Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	1	1	1	1	1	-1	-1	1	1	1	1	1	-1	-1	1	-1	1	-1	1	1	1	-1	-1	1	1	-1	-1	-1	1	1	1	-1	1	1	1	1	1	1
EA_G__GBA2	7.0611	7.9182	7.2585	7.1177	7.7517	7.7342	8.9204	7.3434	7.9632	7.1583	7.0217	7.9961	8.1298	7.4439	6.7869	10.8175	7.7709	7.9028	8.3792	7.6672	7.7553	7.7022	7.8072	7.5787	7.9938	8.3174	8.0147	7.6414	6.5285	6.4815	7.3485	8.6403	7.3107	8.0718	7.2136	7.4953	7.6339	7.5122
EA_G__KRT86	13.3379	10.3848	8.5794	8.4565	8.7735	8.3179	8.0746	7.4759	8.0969	8.9404	8.3171	8.7657	8.2766	8.6907	8.3822	8.3819	8.363	8.1089	8.5233	7.9741	10.0862	8.2085	7.6371	13.9235	9.2948	13.1366	8.3402	8.4784	9.2708	9.5647	8.9904	8.0865	13.6157	13.318	8.5214	9.642	8.7488	8.6665
EA_G__MUC1	10.7485	9.3354	8.5583	9.6525	11.0311	8.4104	10.0109	8.1385	7.6877	7.2345	9.5962	9.4833	6.9752	6.8465	9.0466	9.1369	6.9437	6.835	10.7156	7.125	9.84	6.573	7.0024	11.0353	9.2355	10.806	7.2765	7.6032	7.3348	9.1411	7.2021	8.4137	9.6284	9.3378	11.5556	11.9165	10.8592	11.0123
EA_G__C5orf13	5.5414	4.3653	4.1747	4.5417	5.3873	7.5209	7.8357	5.1632	8.383	7.2215	4.5145	4.5834	6.7748	5.0358	6.5435	6.0565	4.6739	6.0911	5.2714	8.5295	5.1223	7.5981	8.7321	5.6175	6.0678	8.1582	5.921	4.7948	5.9629	5.2228	9.0534	7.5218	5.122	5.3452	4.7828	5.8596	5.3181	5.0496
EA_G__STEAP4	8.7208	8.8261	8.2268	3.6065	3.9258	3.5677	3.5754	4.1022	7.0677	3.6997	6.8604	5.1387	3.3645	8.0281	9.744	3.9855	4.4083	3.3684	9.233	3.3895	4.5633	3.5896	3.4877	7.5717	3.6823	8.3019	4.0973	6.8116	4.0102	10.6528	4.3021	3.5768	9.1109	3.8375	5.9035	4.1422	4.1833	4.1754
EA_G__IL1R1	5.2433	6.2627	5.8067	6.4215	5.9244	6.9492	7.1119	4.9937	5.9677	7.8353	3.6556	3.6594	6.2725	4.4349	5.2934	8.6186	5.4512	6.8552	6.9971	6.0492	5.0264	7.5645	6.6671	6.0735	7.0316	7.5953	9.5627	5.5494	6.534	5.8414	5.9406	5.4326	4.8437	5.9686	5.867	5.7212	6.7576	4.3297
EA_G__FAM132A	6.6035	7.0726	6.7356	6.7905	6.7412	6.6927	6.7581	6.5001	7.0008	6.7711	6.4586	6.6316	6.6128	6.5886	6.8081	6.5194	6.706	6.4491	7.0554	6.5887	6.9314	6.6823	6.5831	6.9293	6.6262	6.5639	7.1606	7.0314	6.8575	6.9061	6.9675	6.5985	10.2581	7.3771	6.8498	6.9846	6.7779	7.1615
EA_G__CDH1	9.4474	3.8156	9.8271	10.2402	10.823	4.1816	8.2155	9.3623	7.7169	4.0645	9.8984	10.4438	8.4461	9.4381	9.6232	4.383	8.3525	4.2405	9.6597	4.2637	10.2763	6.5768	4.0202	10.0856	11.1983	10.3286	7.0185	4.1026	4.9675	8.714	4.0229	9.5589	10.3671	9.2285	9.8379	9.9968	10.6397	10.3255
EA_G__DDAH1	8.2975	8.0848	8.152	6.8764	7.1266	8.5481	6.7475	7.913	5.1987	6.4624	7.6645	7.6054	7.5138	8.2456	7.3184	7.9016	7.528	8.1061	7.6799	9.8182	7.2951	8.4799	7.6619	7.2348	7.3886	8.5508	7.5272	8.303	7.6419	6.6042	8.2063	8.1604	7.7275	8.0472	7.3595	7.8989	7.4722	7.056
EA_G__CDKN1A	7.6223	5.6813	6.1515	6.4516	8.1183	5.5956	5.843	7.4914	7.5622	5.7902	6.163	6.0874	5.8016	7.1044	6.6212	5.4977	7.7513	5.5767	6.2617	6.6892	7.4505	7.7351	6.1198	7.588	7.3511	5.8232	6.166	5.8865	6.8653	5.5836	6.0481	6.6928	7.0882	5.8646	6.8521	6.7727	7.4713	7.7466
EA_G__NBL1	5.6874	6.1693	6.0302	6.5123	7.91	7.2287	8.8627	7.4446	6.4894	6.4088	7.8477	8.9876	7.7277	7.989	6.262	7.4926	6.8964	7.0244	9.3898	7.4014	6.2728	8.6259	7.7704	5.8527	7.4465	9.3873	8.9764	6.4183	6.2493	7.4905	7.3304	6.0452	7.0402	6.3728	7.4907	7.1949	6.2454	6.7302
EA_G__UNC13D	7.2054	8.5678	8.403	6.589	8	5.9315	6.46	7.585	6.7512	6.1501	6.4098	7.9107	6.1484	6.5748	8.1147	6.6524	6.8474	5.9809	7.1011	5.9956	7.1245	6.1055	6.002	7.0397	7.4076	6.6057	6.9214	9.2958	6.2236	7.8169	6.2601	6.8333	6.4987	7.0049	7.8597	7.6537	6.2393	6.4333
EA_G__EFNB2	6.2732	4.2123	5.8805	7.449	6.8216	7.8088	7.6087	9.4634	5.9782	6.3978	7.6795	6.1879	5.0019	7.8717	7.0661	8.5742	6.675	7.7842	6.9406	7.8725	6.2913	6.4386	8.3838	6.3951	7.4016	6.648	7.1692	5.7584	4.591	7.7342	7.1411	7.4194	5.9107	4.8588	4.9203	4.3397	5.2883	5.3353
EA_G__WDR32	6.688	7.0005	6.9373	6.8804	10.0989	7.6017	8.0546	7.7223	7.6852	6.7785	8.2107	8.427	7.466	7.6113	7.4965	9.7947	6.7844	8.4793	8.3966	6.8673	7.1314	10.1064	7.2606	7.121	7.3108	8.0252	7.2598	7.0917	7.6321	5.6922	6.8736	8.3833	7.1692	7.345	7.1693	7.718	7.6429	8.1755
EA_G__STK17A	5.9146	6.3042	7.6759	6.7496	6.2505	6.8388	6.5173	7.0289	6.6728	8.0695	6.6336	6.8904	5.9002	7.6215	8.3165	5.6394	7.3603	7.5898	8.0327	7.2169	5.9265	5.4037	8.0381	6.2079	7.2486	5.5554	6.1393	6.0406	8.8014	8.1987	7.3813	5.9857	8.9739	6.1883	6.8924	6.6018	6.6526	6.332
EA_G__ZNF93	6.147	4.375	7.194	6.5279	5.7665	6.9342	6.3574	3.4943	7.5111	5.2389	7.2837	6.2869	6.2543	5.0808	3.6879	6.6652	4.4768	6.4007	5.336	5.0037	6.0368	6.6539	7.814	6.1453	6.68	5.6051	6.1785	4.4487	6.1894	5.6231	4.2672	7.0443	5.3449	4.1129	5.5432	5.9714	4.8962	4.0352
EA_G__SEPT3	6.9903	5.635	6.6031	6.7384	7.6211	7.1111	8.259	7.2777	8.3934	8.2094	6.1608	7.8876	8.5761	6.2407	6.9621	7.1455	7.637	7.8916	8.5005	5.7086	6.7981	8.7827	8.0446	6.7842	6.2873	7.0206	7.3441	6.1114	5.7419	6.6475	5.6368	8.9265	7.2357	5.9289	6.4781	6.64	7.4648	8.101
EA_G__NPAL2	6.9008	5.9027	6.8153	6.3489	6.9902	4.937	4.6577	5.4937	6.2101	3.9815	8.9241	8.0853	6.4543	7.2119	6.8325	7.1773	6.7199	5.7675	6.141	6.516	6.8102	4.6957	6.6986	7.2536	6.9277	6.313	5.4176	5.8846	5.0348	6.7427	5.276	5.5001	8.6295	6.5493	6.7587	7.214	6.7578	6.4154
EA_G__NEDD9	6.0988	7.0541	8.0254	6.369	5.6202	4.3702	6.2842	6.296	8.1089	4.4978	7.6662	5.8265	4.8435	7.3277	7.9067	6.6483	8.7324	4.4449	5.8518	6.7673	6.171	5.5023	5.6725	7.695	7.1416	6.0837	5.3281	7.4896	4.4785	5.6738	7.5467	4.6345	6.6369	6.7999	6.6815	5.1042	5.6103	4.8497
EA_G__SYT8	6.8303	7.6929	7.5678	6.44	6.5346	6.4279	6.1642	6.2781	6.3613	6.1181	6.3438	6.6819	6.2913	6.3662	7.5477	6.5741	7.6114	6.0903	6.5336	6.3085	6.4505	6.319	6.0314	9.1213	6.4885	5.9924	7.0635	8.2657	6.3503	6.5691	6.5606	6.3762	7.982	7.136	7.9103	7.0497	6.2935	6.5223
EA_G__SLC4A11	9.1921	8.9866	7.2203	7.3209	7.4539	7.8472	8.5303	8.5641	7.396	6.2965	6.7692	5.3264	8.7725	8.2222	7.3366	8.4046	6.696	6.4225	8.0129	6.177	6.5257	7.1012	7.4302	8.6239	6.3392	8.1333	8.0368	8.0777	6.0485	7.5147	6.4748	8.0641	9.8761	6.6098	7.2113	6.6258	6.5596	7.397
EA_G__ETNK2	7.0246	7.5221	6.2958	9.7857	10.3826	7.9061	9.9112	6.888	8.279	6.8342	7.9484	10.7975	8.3972	7.3287	6.047	6.9475	7.6305	7.4034	5.0177	6.0105	7.2977	10.6718	8.5517	8.6151	8.6961	8.7361	8.9902	8.1005	5.4341	6.619	4.237	7.1677	6.6387	8.0919	7.2943	10.09	6.6311	6.3521
EA_G__ECM1	6.7716	6.1191	6.1854	6.9577	6.2551	5.786	5.6779	7.9959	5.9024	7.5814	10.8279	5.7397	5.5639	6.195	5.9834	5.4321	6.074	6.0819	6.0952	8.5332	6.2035	5.638	5.8615	6.8823	6.684	6.2559	6.4748	6.2118	7.9966	6.6804	6.4288	6.1959	5.4744	6.0158	5.79	6.0164	5.7783	5.5644
EA_G__PGF	5.602	5.8381	6.0041	5.772	5.406	6.2008	5.697	6.0163	5.8025	5.8768	5.3008	5.5795	7.2205	5.8713	5.7716	6.156	6.2143	6.1993	6.1518	7.7203	6.2033	7.841	8.116	5.7095	5.7111	5.3044	6.7778	6.159	5.5805	6.3683	5.8387	7.055	6.285	5.8603	6.2237	5.9724	5.9649	5.7674
EA_G__KIAA0258	7.5539	8.1496	8.0279	7.9098	8.3539	7.7622	8.6785	8.1152	8.2046	7.4495	7.9908	8.078	8.3061	8.2706	7.7579	10.9617	8.2897	7.981	9.1788	8.1073	8.0685	8.4831	7.5373	7.5261	8.7406	8.2172	8.7381	7.8566	7.6932	7.4298	7.7927	8.3623	8.023	7.8995	7.6542	7.6521	7.9678	7.9041
EA_G__UCHL1	6.4525	5.7946	4.931	5.3146	6.3368	9.9801	5.0259	6.5753	10.4462	10.1736	6.9799	4.8118	8.9111	8.1848	5.0429	5.8865	4.7882	10.5443	8.079	4.6751	5.2248	5.4795	7.8491	5.0463	4.9464	6.5207	6.0308	5.5858	5.0615	5.8771	5.3554	5.4628	7.5819	5.1078	6.2853	5.9129	4.8978	4.7617
EA_G__CNN3	8.4208	5.6037	8.51	7.712	6.7753	9.0177	9.2162	8.9063	8.3886	8.6155	9.2855	7.7128	8.5625	9.4372	9.1471	7.7323	9.3889	9.7847	9.7946	9.0441	3.5971	9.1817	9.392	8.0108	8.2272	9.1239	9.3042	7.601	9.0462	8.283	8.3459	8.3036	8.8179	8.6341	8.8297	7.4936	8.3843	4.7103
EA_G__CDKN2A	7.3231	7.3827	6.0767	6.6305	6.9325	9.7428	7.7762	7.2902	8.585	5.7667	6.8184	7.5164	8.8826	9.0146	8.4218	7.0357	9.0947	5.6978	10.0086	5.9713	5.742	7.8898	8.856	6.9963	6.9057	7.6006	7.6794	8.0816	5.8326	6.005	5.5676	7.1071	7.7702	8.0533	7.8227	6.1777	7.3088	7.2229
EA_G__SPARC	4.5171	4.8293	4.2373	4.5504	4.2699	11.8832	4.6628	6.7226	5.1153	9.4855	4.3425	4.5079	9.4465	6.789	4.6287	4.3059	10.9051	11.0077	4.8481	12.1508	4.6314	6.3594	12.8203	6.4311	4.4453	12.4428	5.2404	4.8983	8.4651	5.4089	10.5706	4.7633	4.774	4.8747	4.5219	4.6737	4.7502	4.5409
EA_G__EPHX2	6.1146	5.9783	4.3284	4.6869	6.4448	5.5327	7.2029	5.4098	5.6681	6.4895	3.753	6.9547	7.7145	6.478	4.5806	7.0225	6.3232	5.5165	6.1153	4.383	6.169	5.8078	5.5139	7.1491	4.1791	7.5581	6.5342	6.7237	6.1296	5.6184	5.3204	5.8224	6.0375	6.4973	7.5414	7.2345	4.4795	4.3773
EA_G__GM2A	9.8004	10.2563	8.8221	7.6431	8.2909	8.2948	8.4185	8.1669	7.9006	8.703	8.8818	8.7994	9.0123	8.7665	8.6642	9.624	7.9624	8.297	7.686	8.1518	8.3783	8.9486	8.7562	7.8479	8.5323	10.764	8.9791	10.255	8.5844	8.7281	7.7697	8.7543	9.672	9.9034	8.4702	9.1027	8.3441	8.1889
EA_G__MGP	11.2964	4.238	8.9075	9.8437	11.4992	5.5557	7.4113	8.2394	10.0203	9.4448	4.7994	10.4816	8.0997	8.254	8.9644	7.4121	9.4808	4.7946	10.8249	7.0295	6.1517	6.6894	7.0606	7.3407	10.3529	10.2746	7.4205	3.9642	7.0814	9.7347	4.951	4.8602	9.7691	5.0293	10.8577	8.221	7.0551	5.7521
EA_G__LOC728378	6.1287	8.7704	8.7553	8.5358	6.2047	5.9336	6.1367	5.9899	8.331	7.4195	7.4328	8.6495	6.0693	5.5957	7.4847	6.5281	8.253	8.4828	6.4756	8.2818	8.1333	6.9463	5.9416	5.657	8.5718	7.9767	6.404	8.0674	7.4921	7.0628	6.3735	5.9872	7.9214	7.4684	6.0233	5.811	6.9625	8.4742
EA_G__MPP1	4.6323	4.6149	5.5659	4.1933	4.53	7.3661	5.2864	5.9491	6.1238	6.5432	4.0628	4.851	6.9422	5.376	4.4365	5.2199	6.7918	7.3067	4.5936	7.6194	4.6134	6.1798	8.3037	5.8638	4.1565	6.2867	6.0077	4.7191	7.4905	6.8069	8.2609	5.4014	4.4879	6.8111	6.0661	4.9223	4.6406	4.793
EA_G__TMEM46	6.4423	5.1015	6.5192	9.6024	10.4639	7.1859	8.6029	8.1859	7.4466	5.3487	5.5054	6.7608	5.4892	7.7384	6.4836	7.437	6.7356	6.8301	5.4494	4.996	6.9716	9.7908	7.2249	5.5967	6.131	6.2753	6.8332	5.4534	5.8093	5.7947	5.4807	7.3774	6.2216	5.7481	7.7154	7.5406	5.2959	5.084
EA_G__ABCA12	4.3109	7.364	7.1095	6.8238	7.0373	3.3572	3.9202	3.4709	3.3851	3.4184	8.1267	8.8693	3.3669	6.1363	6.2983	6.998	4.6112	3.2091	5.7931	3.2291	9.5323	4.7044	3.1101	6.8836	10.1166	5.9646	7.5299	8.0032	3.6763	5.1243	3.733	6.1352	9.0577	7.3809	7.9179	9.511	9.895	8.4165
EA_G__GDF15	8.7068	7.1724	5.6526	5.962	9.4267	8.161	5.4139	4.8212	5.2088	5.2556	9.4947	5.5548	5.304	5.3912	8.6846	5.6073	6.0021	4.7668	5.3299	5.2659	9.0769	6.3475	4.9128	10.0786	6.8564	5.8438	6.2679	5.9322	5.7552	5.5337	5.7553	6.3737	9.3912	6.9215	6.5323	8.1624	6.3288	8.3241
EA_G__NPNT	9.7175	4.796	4.7201	6.5012	7.8917	4.441	10.7625	8.1607	5.8982	4.3833	7.3872	11.8091	11.6626	8.443	5.5542	8.6324	7.036	4.1383	8.539	4.1836	8.2778	7.9445	9.2354	8.4311	6.7171	10.0655	8.3994	6.4436	3.8952	5.0532	4.2828	7.6355	5.4506	5.7851	6.7138	8.0511	6.9318	6.0306
EA_G__MXRA8	6.1191	6.7694	6.3297	6.4558	7.8818	6.2704	6.2502	6.2307	7.7057	6.2399	6.453	6.3686	6.0808	6.0093	6.3004	6.2512	6.2578	6.0688	6.3549	10.1672	6.3027	7.0311	9.7514	7.2899	10.5625	6.2986	7.1936	6.8869	10.9536	6.3515	6.4133	6.5797	6.6828	6.5608	7.7171	8.3042	7.5477	8.1395
EA_G__ST6GALNAC5	5.9522	5.516	5.6332	5.5457	5.3218	7.7685	5.2248	8.5429	5.7012	5.7852	7.0975	5.2275	8.0197	8.2565	6.8828	6.238	9.2436	9.2887	9.1363	6.0635	5.8365	6.786	5.8298	5.8212	5.3974	7.3398	6.0806	5.9393	5.5472	7.7935	6.4576	5.5097	5.4934	5.7869	4.7809	5.1216	5.1008	5.7477
EA_G__SH3RF2	7.3729	6.0867	7.37	6.2286	5.9256	5.639	5.3667	7.43	6.1878	6.4714	6.1167	6.2721	5.2171	8.7813	6.9138	6.4435	6.5822	6.3956	7.0495	7.113	5.8152	6.4949	5.7632	6.5689	6.5312	6.7045	6.1989	5.8138	8.4877	6.646	6.2157	6.4112	8.1102	6.9071	7.2445	5.9877	6.7448	5.5621
EA_G__ME1	9.7735	9.4078	9.3851	6.5083	7.0281	8.4237	3.1365	7.2797	7.9076	8.9929	9.6001	8.2709	7.1567	9.1385	9.5668	7.792	8.4014	8.2729	8.3429	7.9079	8.3896	4.7532	7.6543	6.0116	8.1212	9.6163	3.9624	7.8627	8.7987	8.0325	8.8776	3.5062	10.1389	9.3132	3.3946	6.8196	9.1478	8.6228
EA_G__BMP4	6.759	4.9334	5.0114	6.0309	6.098	6.0715	7.1783	6.7259	4.6689	6.2272	4.4739	6.9521	5.1107	7.2095	5.0103	7.2881	5.2657	6.2001	5.1243	5.8727	6.7862	6.3408	6.9458	4.7369	6.0005	4.8624	7.5144	4.8065	4.6613	8.2492	6.0626	8.2262	6.6187	5.3941	6.9863	5.8698	5.6496	5.4777
EA_G__FLJ22662	5.6135	4.4291	8.2246	4.8535	5.1402	9.39	6.2443	4.5283	6.6027	4.1952	7.4806	6.352	6.5432	8.182	3.7977	7.7989	7.6519	8.1594	8.5424	4.4533	7.1795	4.684	7.6238	6.103	6.0894	10.6537	5.3317	6.9531	7.0047	6.9269	3.6518	4.3403	4.5238	7.1608	6.0079	6.3239	6.4946	5.1384
EA_G__SLC39A8	7.5069	5.2339	7.9614	7.0481	5.9744	7.7922	5.9074	7.5774	5.9204	7.8345	8.7128	6.1333	7.0918	7.9149	7.5197	7.5713	8.1024	6.6158	9.0195	7.128	7.1336	4.6784	7.0412	7.0472	8.6047	7.8042	7.489	5.4089	7.1187	10.3383	8.1133	8.1534	8.8371	7.8607	8.4558	7.6448	8.2974	7.7944
EA_G__RPS6KA2	7.2247	7.2512	6.4795	6.7426	6.0129	4.9791	5.3537	6.4925	6.9078	6.2883	6.2732	4.9725	5.8669	6.4346	7.5155	5.9798	6.8663	5.2436	6.5689	9.0315	6.8342	6.9687	5.1484	7.0255	6.9008	4.9655	5.6143	7.5479	5.5176	7.4256	7.175	7.7108	8.3379	6.5329	5.2178	6.7964	5.4018	6.1544
EA_G__FAM59A	7.1098	7.7905	6.5341	7.2024	7.3453	4.8712	6.68	5.9347	5.9744	5.6379	7.3743	6.2539	5.5819	4.9289	7.2641	5.9312	5.9031	4.8528	7.5857	5.9462	6.0759	7.2006	4.0473	6.5938	7.0464	6.7735	6.2219	7.0846	5.2325	6.4577	5.2007	6.2579	7.22	6.1833	5.4105	6.3264	6.358	6.649
EA_G__CKB	6.7564	8.415	7.1876	6.7638	7.8151	8.6024	8.9011	9.0014	7.0709	7.8112	8.0904	8.7487	6.6814	8.2067	7.4356	8.1285	6.9951	7.7235	8.1848	6.6182	7.745	9.1138	9.5121	7.14	8.7548	8.6406	10.6523	7.7758	10.0349	7.2008	6.8383	9.4566	8.4882	7.3678	7.6543	7.9767	9.4666	10.1107
EA_G__7A5	10.3607	8.9896	8.1824	8.3314	9.0219	3.2606	7.2942	7.6597	5.6095	3.7134	9.2592	6.5231	3.7622	8.3687	9.8414	8.9054	8.2759	4.0236	9.6757	3.4441	7.4974	5.2953	3.1486	9.6105	7.6718	8.5499	7.1	8.7273	3.9994	6.9247	3.9668	7.1495	9.2352	7.0569	8.1383	9.6843	7.3096	9.2036
EA_G__PLK2	7.5236	7.8727	8.5494	8.8925	8.5242	10.5128	8.5205	8.6085	7.4595	7.9545	10.1316	8.5336	7.8623	9.9297	9.543	9.8103	8.7463	8.8406	9.5894	8.67	10.4749	9.3449	9.7563	9.7828	8.7253	10.3724	9.3284	6.7134	7.406	8.4268	8.0216	9.6279	7.9646	8.9164	9.9098	7.2602	7.4777	7.7337
EA_G__AREG	6.2041	5.7836	6.7673	5.8584	10.9135	5.1731	6.7787	6.5017	4.8797	4.9522	6.8361	6.199	4.9694	7.338	7.7748	5.5203	5.7802	4.7099	5.6865	4.9715	5.9791	6.5608	4.6884	5.5337	6.7826	5.4017	5.6694	5.462	5.2824	10.2272	6.2371	5.898	6.5822	5.7593	6.9511	6.4223	6.0466	5.9556
EA_G__RAD51C	6.8606	4.935	6.7649	8.5637	5.8431	5.7975	7.0133	6.7198	6.1266	6.765	6.9505	7.073	6.4052	6.7	6.7522	6.4426	6.4353	6.9924	6.4504	6.032	8.8987	6.8283	7.2504	5.918	8.1751	5.6679	5.7756	4.7278	7.4921	6.206	7.2721	6.2036	6.6002	6.2317	7.1679	7.1046	7.3229	8.0509
EA_G__RORC	7.6294	7.8594	5.6786	7.0519	7.5726	5.514	5.6777	5.6198	6.0853	5.5107	7.422	7.2508	5.5734	5.5921	6.1229	6.9352	5.5364	5.4595	8.2631	5.482	7.2834	6.8486	5.1718	7.0259	5.6745	5.7574	6.3865	6.4728	5.2525	6.2949	5.6901	7.2421	6.84	6.987	6.9613	8.9875	7.1181	6.3763
EA_G__ITGB8	7.0563	4.3345	6.4719	5.1465	5.9577	4.0873	4.1401	7.5286	5.774	5.2072	5.7826	5.2163	8.4625	7.234	7.3067	4.659	6.9491	5.0819	7.6877	5.151	4.6015	4.2081	5.1207	5.038	4.6954	4.9463	4.3102	4.6555	5.4208	9.0265	5.8961	5.499	7.0729	4.6554	4.8433	7.1037	4.1332	4.4104
EA_G__SYK	6.4062	5.9849	7.3582	7.3327	7.0955	4.7423	5.0707	5.0835	6.2633	4.4833	4.4849	6.8967	4.6334	7.6245	8.463	6.9189	8.076	4.409	4.8371	4.7997	6.8805	4.6771	4.5247	7.3438	6.3931	4.4987	5.1463	7.264	4.8881	4.8966	4.8173	5.6372	7.2579	7.2591	6.9358	5.5448	6.3764	5.6168
EA_G__DHRS2	4.826	12.6045	11.3429	10.9225	6.4126	4.7951	4.9841	5.0026	4.1419	5.2133	9.4922	7.8911	4.6987	6.6305	6.1002	6.6271	7.6348	4.3533	4.9997	9.4494	9.8142	5.6673	4.3182	9.6429	11.2132	5.0481	5.6525	12.2474	4.5827	5.307	5.0884	5.0364	5.5179	5.5243	4.9878	5.1772	8.1213	5.7559
