Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
EA_G__TGFB1I1	6.881	6.4663	6.6397	6.8029	6.5888	9.4417	6.5277	7.127	6.666	7.3622	6.6124	6.4412	8.1362	7.1815	6.5382	7.2284	6.5412	8.601	7.4834	9.5542	7.0097	7.226	9.2389	7.6378	6.4864	6.5355	7.5049	6.8377	6.8156	8.2448	8.4756	7.0859	6.9208	7.4535	6.8739	7.1977	6.8266	6.8368
EA_G__KRT6B	5.9665	6.0994	5.8116	5.5577	5.8059	5.3078	5.5672	11.9954	5.9931	8.7915	5.7222	5.9716	5.6386	7.1274	6.4871	5.8183	8.5156	6.2271	9.2072	5.3215	6.0416	5.4281	5.4047	5.7401	5.5949	5.1991	5.8816	5.703	5.219	9.6538	5.5815	6.1517	7.4943	5.6991	6.0661	6.0697	5.5985	5.8874
EA_G__ABCD3	8.0706	8.5544	8.1513	7.6145	8.5018	7.8171	8.6562	7.2693	7.5809	8.6903	8.75	8.8656	8.5035	8.9051	8.1507	7.9655	8.0947	8.2058	8.9356	8.0793	7.1561	9.1548	7.6698	7.2648	7.6617	9.0646	7.2414	7.932	7.7466	8.6189	7.6636	8.5949	8.3414	8.0512	7.576	7.7226	7.1523	7.1825
EA_G__LRIG1	9.1612	8.4644	7.5392	8.7042	8.5962	7.0764	8.4047	7.6769	8.3325	7.3526	9.3453	9.2857	7.6133	7.9605	7.5204	9.2238	7.7319	6.9662	7.6377	8.0083	7.9151	8.2763	6.6753	9.1526	9.4991	6.4779	9.8144	7.5698	6.9521	7.7575	7.6009	7.4641	8.9085	8.3308	9.4649	8.0402	8.882	9.1154
EA_G__ABCC2	3.6331	7.4715	8.1193	7.9082	6.3848	4.4975	4.8232	4.6653	3.5896	5.1058	5.6607	4.9603	4.4145	5.2968	7.8134	4.0107	7.3457	4.0064	3.6374	4.3962	4.3731	3.849	4.6094	4.8797	10.1734	7.0615	4.2	6.1408	4.0775	4.7021	7.8903	5.0043	8.7158	5.3143	4.486	4.224	8.8068	4.9605
EA_G__HIST1H4F	9.3096	10.1766	6.6891	6.5893	6.1192	6.0342	6.9893	6.2196	6.8731	6.789	6.1668	6.2814	6.5782	6.2046	6.3489	6.7268	8.9075	9.4822	6.246	5.4877	8.3599	6.3555	9.5996	8.6101	6.5338	9.9472	7.8608	9.833	6.1433	5.8144	6.5602	6.362	5.685	6.2002	8.1842	5.9407	6.568	6.1126
EA_G__DNAJC15	6.9118	6.9937	2.6658	7.7077	7.0135	8.308	7.1935	6.3444	5.2438	6.7721	7.1606	6.1003	6.7324	7.1365	7.1778	7.2713	2.617	7.7351	6.837	7.2589	7.2035	3.5344	7.4094	5.5272	3.6009	9.1076	6.7994	7.3359	8.0468	7.6206	7.172	5.3105	7.1944	5.8382	6.0935	7.0449	5.3177	2.431
EA_G__GFRA1	4.3521	4.1412	4.1306	5.4443	10.8364	10.5529	7.342	4.1267	9.2337	4.7233	4.2298	5.6427	4.5953	5.9682	4.5526	4.3998	7.365	7.0256	4.3539	4.3863	10.8982	6.6614	5.6593	5.4338	9.6117	7.3103	5.0388	4.5726	4.6636	4.5616	4.5873	4.644	4.4514	4.9426	4.8111	4.3584	4.6337	5.7545
EA_G__SERPINA1	8.4084	6.0914	5.1733	6.926	8.1427	4.8651	4.5021	5.2038	4.6022	5.1433	4.7795	6.7707	5.5588	5.508	4.7926	5.0654	5.4058	4.9145	5.1516	4.6727	5.3772	4.9932	4.8065	5.1902	8.3465	5.8342	5.5057	5.5763	4.8264	5.8225	5.1528	5.5648	6.2194	6.9738	8.3627	7.8604	7.3305	5.8752
EA_G__ASH2L	8.3695	7.5032	8.8317	8.7541	11.3249	9.0738	9.9881	7.9064	8.8671	8.6079	8.9691	8.9276	9.3402	8.3893	7.9697	8.6524	8.3482	9.6057	7.7414	8.9074	8.1755	11.392	9.0545	8.5777	9.2976	8.2044	8.7109	7.7592	7.9237	8.0788	8.1687	9.0115	8.2323	9.8576	8.6394	8.8618	9.9775	9.9512
EA_G__MET	5.2919	8.4888	9.8576	6.907	6.8321	8.3625	3.2377	9.2522	5.3249	7.5857	3.2698	6.3495	6.1792	9.18	9.5533	6.3674	8.9764	6.0304	8.9068	9.9443	7.1523	4.6219	7.3588	5.4183	7.5613	6.2826	3.9662	7.0874	9.5923	8.4591	9.0204	5.2276	7.3053	6.7738	4.1065	3.6661	5.8882	4.1216
