Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	SKBR3	SUM102PT	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	UACC893	ZR751	ZR7530	ZR75B
EA_G__HGD	6.292	6.1701	7.6492	5.5405	3.7536	7.1472	3.9809	3.8709	3.8208	3.6315	8.002	8.7179	8.6658	3.8689	3.4665	4.1149	5.727	8.0684	3.8546	3.7892	4.0083	3.6706	4.0437	5.1745	8.727	3.4955	4.5873	3.8207	9.1095	8.8747	3.9482	5.3693	4.2486	3.5747	3.9795	3.876	3.8261	5.1101	4.4323	4.1422	5.0669	6.8034	8.3076	8.7802	8.2304
EA_G__ITGA3	10.2433	7.1625	9.4809	8.6867	9.988	7.9646	10.5504	10.8488	6.3057	9.4156	8.263	9.152	5.7255	10.145	10.5788	10.1378	8.7805	6.9766	10.3045	10.4508	9.1873	9.405	8.6618	8.6604	8.2649	10.2717	8.3754	10.0401	9.1213	8.7804	10.2193	9.1269	7.8483	10.9838	8.8705	9.4272	9.9778	7.6624	8.3121	7.9009	7.8484	10.1927	7.2278	8.7712	7.4981
EA_G__SRPX2	4.1973	4.7095	4.3877	4.2742	4.2844	4.0862	5.6395	5.4767	4.4034	6.441	4.0076	4.3344	4.1716	5.7482	7.5426	8.5976	4.5518	5.2662	6.331	6.7143	9.6519	7.1681	4.5453	4.3283	4.2355	4.4019	6.2141	5.4315	4.1632	5.0324	6.2722	4.908	4.8403	7.9095	6.884	6.2682	6.3809	4.7994	4.7459	4.5637	4.38	5.2552	4.4076	6.9111	4.1805
EA_G__EHD2	7.3175	7.175	6.3603	5.9076	9.1305	7.8483	9.2984	8.6393	6.4028	8.256	6.0272	6.5969	6.0329	8.7643	7.588	8.5066	7.2154	7.8595	7.7524	9.2252	8.1121	9.9391	6.6247	6.7547	7.943	8.9681	7.5343	7.6772	6.0786	8.2494	6.2251	7.1402	7.063	8.5541	8.4964	8.0041	9.1996	6.4192	9.2335	7.4684	6.7046	6.3061	6.9207	7.7155	6.7111
EA_G__ACSL4	3.8905	3.2437	3.2175	3.0199	8.1981	3.93	7.1792	5.8474	4.9921	7.8339	3.2795	4.7223	6.0223	5.4391	5.9242	7.1514	3.1844	3.2448	6.4566	7.5506	6.3064	7.7862	4.3467	3.4318	4.0505	6.5727	4.394	8.0383	3.8174	6.3426	7.9804	4.0514	3.2697	7.2759	7.359	6.9283	7.5937	6.0038	5.8348	4.7256	3.5077	5.4632	3.3705	3.9672	5.1109
EA_G__OSMR	7.3804	4.082	5.802	6.8804	9.497	7.2103	8.186	7.7341	7.646	9.3854	7.0832	7.2204	9.4997	8.1243	8.2112	9.4281	4.1859	3.9004	8.415	7.5476	9.8494	9.3473	5.7608	5.667	3.9652	9.6437	5.9028	8.3514	6.6129	4.4232	9.265	5.7495	3.6578	8.974	7.5476	8.4167	9.3045	6.6755	7.2652	7.6885	7.1203	3.7886	6.7778	4.0986	4.7162
EA_G__SLFN5	6.3551	4.5627	7.9279	3.3937	4.6782	3.8517	5.0884	6.4659	5.4428	6.1726	3.1811	3.7721	5.7445	5.5597	6.1661	8.0224	5.4493	7.6382	6.6715	5.8769	5.0148	6.1858	3.8609	3.6344	3.7697	5.5046	6.4506	5.5264	7.019	6.8036	5.8362	5.2233	5.1094	9.6881	6.6307	6.8766	6.7561	6.619	5.8034	6.9799	3.166	4.2701	3.9379	5.457	3.9261
EA_G__EMP1	7.3819	6.3911	5.8153	5.7756	6.8032	4.0355	5.0923	9.1487	4.3234	7.6364	4.3292	3.8499	4.3325	8.4222	8.4295	6.9615	4.8464	7.2113	6.964	5.7053	8.5989	7.4242	4.1604	3.8749	4.0779	5.7537	6.0598	7.2059	4.2582	6.4765	7.5572	4.4231	5.8757	8.3004	7.6785	7.6572	7.8355	4.3011	6.9305	4.6827	4.4767	7.3558	4.816	7.1438	3.5023
EA_G__IL1RAP	6.0265	6.1281	5.4285	5.2318	8.5605	4.6479	7.0412	6.7741	4.9606	7.2732	3.5927	7.4711	5.7043	6.6493	8.9711	7.6073	3.7917	4.5118	7.8827	6.5759	7.4222	7.2679	5.1662	5.7594	7.1111	7.1611	5.4991	5.5669	5.644	6.3766	6.4677	5.4108	6.8384	7.6262	5.0218	7.8395	7.5739	5.2868	6.7854	6.5759	6.5869	6.1343	5.6948	4.7547	5.1088
EA_G__MSL-1	8.3143	9.5621	8.0684	8.5439	7.6181	8.671	7.5789	7.5438	8.1079	7.5239	7.0892	7.678	7.9667	7.5503	7.291	7.2022	7.4844	7.4556	7.6121	8.1564	7.084	7.2103	7.5327	7.4885	8.1408	7.7784	8.0182	7.5154	7.0039	7.2696	7.288	7.5585	9.1093	6.914	7.3865	6.9794	7.651	7.6485	6.9326	7.8802	10.7038	11.3219	7.957	6.7075	7.6873
