Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	UACC893	ZR751	ZR75B
EA_G__B3GALNT1	6.1488	4.8247	7.7167	7.4481	4.2293	7.5074	4.8981	5.454	5.5644	4.7191	7.6901	7.8454	7.4987	6.5447	6.5885	5.2193	7.6185	6.9654	3.7969	6.9197	6.6681	5.229	7.4146	6.9288	6.2082	5.3114	7.6341	7.4663	6.6235	4.7529	7.1675	6.1321	5.7178	6.2119	5.2284	5.5004	5.8687	6.557	6.9052	7.1476	7.3143	4.4337	4.388
EA_G__MUC5B	9.6932	6.4361	6.9314	7.7404	5.8684	6.7346	6.1071	7.1014	5.912	5.8945	5.7874	6.5453	7.6719	6.1315	5.7623	5.913	6.744	6.0889	5.8992	5.7273	6.1171	5.8392	6.768	6.814	6.4839	7.028	6.0495	7.1666	5.8982	5.9088	6.7563	6.5455	6.287	6.0671	6.2929	6.0471	5.946	6.3067	6.072	9.8801	7.9384	6.2141	7.8827
EA_G__NRN1	3.7117	3.7115	3.9894	3.8488	7.8623	4.1983	4.134	4.1911	9.5621	4.7676	3.7225	4.2483	5.1235	9.0866	5.8655	6.8081	3.9634	4.3879	7.2667	6.9137	4.0412	4.2024	4.4142	3.99	4.1612	4.708	4.3209	3.778	3.9451	9.3328	4.1938	9.3617	4.5049	8.1735	7.3623	7.7589	3.9766	4.7531	4.1114	4.5266	4.6267	4.2242	5.3893
EA_G__OLFM2	6.9079	5.547	6.6675	6.4416	7.0342	7.1634	5.7245	6.3654	7.564	7.2611	5.8302	5.6484	6.8719	6.0297	5.951	5.8034	6.2664	6.476	5.9857	7.942	6.1818	6.022	6.28	6.5583	7.4585	7.1608	5.4015	6.9463	5.5184	5.8233	6.6936	6.9623	6.362	7.077	5.9255	6.4636	6.3492	6.8775	6.1343	6.9109	5.9329	6.1437	6.6845
EA_G__PLK2	7.5236	7.8727	8.8925	8.5242	10.5128	8.5205	9.8673	8.6085	7.4595	7.9545	10.1316	8.5336	7.8623	8.9048	9.9297	9.543	8.0052	9.8103	8.7463	8.8406	9.5894	8.67	9.0988	10.4749	9.3449	9.7828	8.3677	8.7253	10.3724	8.33	9.3284	9.8337	6.7134	7.406	8.4268	8.0216	9.6279	8.9164	9.9098	7.2602	8.6954	7.4777	7.7337
EA_G__C9orf150	6.3988	7.1869	7.0707	10.7652	8.6927	9.877	6.2799	7.1481	7.4135	7.6684	8.5063	8.2506	5.0014	5.7357	6.51	8.3959	7.9191	8.0107	6.6126	6.4634	9.9622	6.4075	7.596	7.9432	9.3978	8.0685	5.8597	8.115	9.0118	7.2474	6.6495	7.367	6.7351	7.0564	6.7245	7.6222	6.9489	7.2989	10.3317	7.9699	8.0791	7.1346	6.9196
EA_G__EDG3	7.4502	6.934	10.4128	9.7139	6.3952	9.5367	8.6075	8.0358	6.8443	8.9643	9.1369	8.9153	7.8993	5.3846	7.8087	9.1444	9.3102	7.1815	7.2726	8.8852	8.5981	8.5947	8.383	8.9758	8.7868	8.7596	7.7877	9.4427	8.5052	9.2437	8.8173	7.4434	8.0215	7.9986	8.4006	7.2288	9.8528	8.3141	6.9779	7.5722	8.45	8.9381	8.2089
EA_G__PLAU	5.9385	4.9315	4.8841	4.8479	8.6933	4.4801	6.9891	8.7436	5.0131	5.279	4.9719	4.9397	4.9615	8.8449	7.0979	4.7291	5.766	6.7666	5.7082	7.4742	6.0511	8.372	5.0009	5.0307	4.8073	5.1139	9.1058	5.2563	4.9718	8.7948	5.5771	7.4528	6.7449	11.4254	6.0597	6.0434	5.0122	5.0896	5.0643	5.9255	5.0427	5.1345	4.9608
EA_G__PRLR	4.5995	7.9719	9.1863	9.9247	4.9871	9.5426	3.8677	6.8392	7.9902	5.3778	9.5253	9.6628	4.8155	3.4702	5.1603	5.2633	8.7529	8.3946	6.1661	3.8892	6.4743	3.5713	6.7331	8.7018	9.5475	7.3558	3.9288	10.1469	8.5814	5.5031	7.4217	6.6645	7.8099	3.7377	4.6704	4.4364	9.0648	8.0691	11.1837	7.9121	9.1934	8.9712	5.9926
EA_G__C4orf19	8.0286	6.5288	4.9878	6.3467	4.1448	4.8124	4.634	4.6326	4.7271	4.2693	6.6724	7.2498	4.6081	4.8004	6.5168	6.2142	6.5536	9.0779	4.6013	4.0473	6.2509	4.3065	4.9555	4.6187	6.4672	6.5942	5.269	7.0548	8.0548	4.7338	6.4595	4.6511	6.9425	4.5201	4.0911	4.4877	8.2994	6.5223	8.511	6.0154	6.9919	4.8186	5.6633
EA_G__LOX	4.0749	4.3528	4.4889	3.8604	11.8002	3.914	6.3952	6.6246	6.7898	7.5504	3.5531	4.0064	8.533	6.0924	5.0426	3.8545	4.5193	6.5508	7.0379	9.1134	6.2016	11.1703	4.2671	4.1135	3.8759	4.1215	7.2851	4.4892	3.6242	7.0178	4.1681	5.7811	3.9021	11.4184	9.062	6.3026	3.8599	4.396	3.8898	4.255	3.6751	5.2499	3.5707
EA_G__KLHL2	8.3587	6.0843	5.8795	4.8245	5.5681	4.4533	5.6745	4.8289	5.2569	6.2357	7.2477	5.2499	5.7442	5.9133	7.0091	6.8963	5.9809	5.3661	6.0851	5.5678	6.1052	6.2443	5.8969	5.594	4.9807	5.1338	7.3609	6.058	6.831	6.0377	5.1092	6.5699	5.3609	5.8007	6.5952	6.0257	6.0448	7.3673	5.3257	4.8985	7.4451	5.6249	5.2991
EA_G__RAPGEF5	6.3415	7.266	6.5457	6.6712	3.3864	4.7324	3.7336	6.3047	5.8669	4.0035	7.7655	6.0587	6.0581	5.7079	6.3887	6.0594	7.4801	5.7724	6.221	4.9361	7.0582	4.0924	4.4095	5.2392	6.3018	7.3046	5.3194	5.321	6.2087	5.8377	5.705	6.4751	6.5869	3.6423	5.23	3.6547	8.3677	6.4436	5.4905	6.7032	7.1257	4.9861	4.911
EA_G__DUSP7	7.0819	7.1304	7.4986	6.9567	8.0476	6.8351	8.7428	8.0283	7.2346	7.8467	6.719	6.6396	8.93	9.1008	8.8756	7.3244	7.0671	7.5301	8.784	7.4795	7.1837	8.7985	7.1622	6.6445	6.9243	7.8456	8.9582	7.2809	6.007	8.2278	8.4003	7.4093	6.9404	8.3185	7.7062	8.6932	7.5221	6.5235	6.587	7.3279	6.3338	7.2961	7.2288
EA_G__ASRGL1	7.1149	7.0425	5.6356	6.5771	6.3831	5.0036	6.4931	7.3281	7.1895	6.3351	4.5902	7.1005	5.729	6.1189	6.368	5.3845	5.4255	7.2684	7.2256	6.573	4.9263	5.1455	6.733	6.0474	7.7749	6.2716	5.6172	7.5256	9.2882	6.7345	6.0556	7.8553	7.2998	5.8367	5.5255	5.1819	6.353	7.3248	6.848	8.3195	5.1542	5.795	5.7236
EA_G__RHOBTB3	6.8543	6.5474	5.4411	6.1739	7.0789	7.5618	8.0076	4.4781	5.2445	7.2688	6.5487	9.8641	7.4908	7.6615	7.8144	7.5197	6.4311	6.9526	6.6402	6.8244	6.9868	7.0553	7.2886	7.6878	7.5053	4.5866	8.0385	6.1834	8.5237	5.421	3.908	5.65	6.9359	7.1391	7.2233	7.0365	7.012	7.2343	5.2581	7.6606	7.3272	5.5109	4.7252
EA_G__ASAM	4.8114	5.6733	4.7681	5.4879	6.7381	4.9316	6.974	4.7475	5.066	9.2454	4.715	5.2325	6.9802	7.9552	8.5412	5.1787	5.0131	5.2943	5.2275	8.3252	5.3162	10.0925	5.1602	5.1685	4.815	7.4335	6.0968	4.823	5.0188	9.8344	5.7042	6.3334	5.5786	8.0168	8.4038	10.0129	5.001	5.3421	5.526	6.6321	4.9431	5.0912	5.1976
EA_G__LDHB	5.2705	9.9549	6.5869	5.9575	10.2955	3.0453	10.4609	10.7181	11.0786	9.4898	2.9818	6.978	11.0733	10.9666	10.7587	2.5138	3.7516	10.4313	10.2146	10.8921	8.2479	10.3377	3.5445	3.0401	2.8244	10.0613	11.1245	9.6888	9.633	11.1414	3.417	7.3173	9.8014	10.5553	11.0504	10.9831	2.989	10.1744	5.3941	7.9447	9.0963	2.9497	2.7444
EA_G__TPM2	5.1606	5.2415	5.2106	5.4191	8.835	5.1325	9.4171	7.9514	4.8864	9.1702	4.8827	5.0739	8.6567	7.1902	5.372	5.5809	5.3692	6.0067	6.5898	8.3943	7.59	9.1634	5.7814	5.7214	5.3237	5.2437	5.8531	4.9569	5.4943	6.2826	5.9133	6.4258	5.5924	7.7389	7.1555	8.7479	5.3061	6.742	5.3229	5.5192	5.2608	5.3575	5.2939
EA_G__TMEM64	7.4041	7.5768	6.028	9.2968	7.3777	6.0631	7.1689	8.9803	5.8561	6.7361	5.2219	10.6582	7.683	7.2797	6.1302	7.2179	6.7618	4.6514	7.647	8.3857	6.3327	7.7196	8.6717	8.8982	5.4313	7.2697	7.5732	6.6667	4.4371	6.3307	6.8398	6.0477	6.7572	7.2563	7.0071	6.945	6.2322	5.7483	6.4495	6.4628	4.649	7.4725	7.0964
EA_G__RASD2	6.9149	7.0317	5.414	5.5278	5.5651	5.2306	5.8107	7.0133	4.9303	7.2952	5.0267	4.3904	7.5323	5.709	5.8891	5.7056	7.608	8.57	4.9134	4.7322	6.8847	4.9978	5.4107	4.2452	5.6581	7.1076	4.7861	4.6176	5.3761	5.2556	6.0954	6.3404	7.4073	8.1158	5.2831	5.2284	5.0798	6.8398	5.5065	5.077	6.2881	7.3208	6.4781
EA_G__PCDHB2	4.4948	5.0829	4.4529	6.4251	8.2598	7.4692	5.3046	4.9725	8.4299	8.7134	6.7504	7.6752	8.5849	4.6784	7.2808	6.8724	8.9614	6.8445	4.6553	6.4834	7.0868	6.3885	5.3048	6.7586	7.9302	7.4577	5.1475	8.0273	6.7163	6.0599	6.27	6.8812	6.3246	4.4062	4.8928	6.5213	7.9516	6.7636	8.285	7.2934	4.598	5.3258	7.2574
EA_G__LIFR	3.1254	5.3269	5.6366	5.5904	5.9904	6.8648	8.2669	5.6356	6.7469	7.0785	6.7025	6.7629	6.2736	3.6609	4.6611	7.4623	3.1926	3.3126	4.6649	6.206	6.579	8.1775	4.0128	5.2909	6.2795	4.6048	6.5072	5.5981	8.3784	7.3768	3.6575	6.1823	4.456	5.697	4.9695	7.9998	4.6174	4.9194	4.7245	5.909	6.0313	6.6614	5.2576
EA_G__SLC35A3	6.8764	6.9759	7.2907	7.3304	6.8804	8.5712	6.8467	6.8258	5.0838	6.1417	8.3065	7.4292	6.5046	6.4687	7.3555	7.401	6.7868	6.9591	7.1973	7.1317	7.6052	6.4983	6.4506	6.4749	7.5416	6.7088	7.0361	7.4263	7.7302	6.5207	6.4726	7.1934	7.0178	5.9109	6.6303	6.5504	7.5868	6.8543	6.5599	6.6407	7.3283	7.2108	6.8161
EA_G__AR	6.9661	7.0617	8.3549	6.7735	7.5162	9.0105	5.372	5.0413	7.5879	5.2557	8.4454	7.9054	5.3141	5.6306	5.044	7.7099	10.3843	7.6659	5.4751	5.0709	5.6657	6.2381	7.3953	8.2357	6.7372	7.7378	5.2134	8.7813	9.1804	5.1866	9.5757	4.7697	6.2873	7.595	5.6012	6.2466	9.2337	5.6023	7.7766	6.883	8.3022	9.3152	6.1824
EA_G__RBP1	4.8403	5.9552	6.6656	6.0731	5.2736	5.9034	5.3036	9.2259	7.7798	5.7334	5.6325	8.3341	5.4096	6.5517	8.8984	7.9803	5.6123	5.797	6.2743	7.3786	7.6065	5.3195	5.4454	6.0751	10.828	6.181	5.6685	5.5169	8.7108	5.509	5.8746	8.2075	5.5847	5.6237	8.4724	5.6264	5.294	5.7197	5.646	7.4831	9.3506	5.5608	5.3198
