Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM102PT	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	UACC893	ZR751	ZR75B
EA_G__GALNT6	8.9187	8.6602	8.6345	9.9625	4.7514	9.6093	5.9659	7.1112	6.9446	6.5514	9.8516	8.9842	5.5323	6.8487	6.3386	8.2409	5.6076	9.23	7.851	4.671	8.141	5.0226	8.965	9.2303	9.3822	4.7392	9.425	5.2894	9.393	10.0229	6.4105	9.2867	7.4486	9.2247	7.0398	4.9243	7.8977	5.0908	10.1047	10.2162	8.6008	10.6343	9.7198	9.5105	9.4242
EA_G__C9orf19	4.855	6.829	5.2876	5.7361	6.026	5.1261	7.0392	6.4771	6.7151	6.7726	5.3678	4.8164	7.5139	5.4878	6.4374	5.5258	5.006	7.9401	7.2436	7.8618	7.5982	6.9045	5.9074	5.816	6.7327	9.8291	5.6739	6.2212	6.3068	4.5292	6.6111	5.5009	5.9091	5.9774	6.2412	6.2198	6.1858	5.8776	6.0657	5.4415	6.019	5.3041	5.0796	5.1365	5.374
EA_G__PSAT1	3.5968	8.2914	8.5626	6.3553	9.8292	3.9255	8.9272	9.3664	8.8569	9.819	8.0891	6.1267	8.8646	8.96	9.5056	8.9409	9.0663	7.9384	4.1475	9.6668	9.8041	8.7413	8.3464	7.1102	4.4041	8.3568	7.6086	8.8755	6.8694	4.8052	9.4472	4.78	9.9291	8.176	10.9175	10.1293	8.7025	9.0258	10.4948	4.0839	7.9566	4.4052	7.7577	6.4859	6.414
EA_G__C3orf57	9.2863	5.9049	7.7309	8.9084	4.6794	7.6111	4.7424	4.6058	4.6305	4.8902	7.5725	7.8092	4.6555	4.8895	6.7978	6.3972	8.5908	7.6159	5.5729	4.2895	7.5956	4.3645	9.7988	9.5034	6.3347	4.7775	8.9892	4.9538	8.019	6.9899	4.8445	7.6702	5.6152	6.6396	5.7208	4.8998	5.106	4.8812	9.1923	6.9367	7.0395	9.2455	7.8258	4.7138	4.7469
EA_G__BAG2	3.8525	4.3299	3.8546	3.7077	7.7073	3.4446	7.5401	6.687	6.4005	6.3219	6.2911	4.5582	8.1386	7.9545	7.1173	6.8822	6.5667	4.381	6.3286	7.4399	6.2299	7.9982	5.0232	5.4682	4.334	7.5584	3.3871	8.1211	5.4731	4.2242	7.1485	4.7056	7.8788	4.5241	5.7523	8.2828	6.9224	8.5168	5.2833	3.6269	5.8246	5.7192	3.9471	3.7646	3.4296
EA_G__KYNU	2.7545	6.5637	3.0571	3.6287	6.7003	7.2841	3.2709	3.1125	3.0818	8.9225	3.4824	5.5531	3.5652	7.1163	5.6721	7.6008	5.2911	5.9862	6.4004	3.1709	3.8684	3.1535	8.359	9.0514	4.158	4.3618	6.111	5.1898	5.3358	5.035	3.7514	3.9986	7.9596	6.7976	8.7257	3.1385	10.0464	6.0116	3.8755	5.0804	7.6599	3.5664	4.3221	5.468	3.4697
EA_G__TMEPAI	9.0313	7.6306	9.54	8.6064	6.2846	7.0365	6.4014	9.0017	5.6839	8.1741	8.9912	5.7617	5.8511	7.0375	8.3055	9.528	7.79	7.3319	9.8654	7.7737	7.5938	7.1114	7.2926	7.102	7.431	8.911	8.2193	5.7113	7.5478	8.244	6.4626	8.6251	6.9829	9.7532	7.955	8.1357	8.1942	6.3423	8.011	7.8324	7.4014	8.2315	8.0319	7.8687	6.9058
EA_G__KRT19	12.6916	12.4257	11.8694	12.9008	5.3088	12.0071	5.7273	11.0092	10.8661	5.2972	12.4057	12.4572	5.4234	11.375	5.3996	6.6896	11.5907	12.625	10.7132	4.9996	11.9989	5.3899	11.9541	12.1304	12.2871	4.8359	12.0948	8.5044	12.135	12.3305	5.0361	11.3655	11.9057	12.6503	5.2523	6.0673	11.4019	5.1683	11.8464	11.6161	12.478	11.9621	12.0421	11.4901	11.9652
EA_G__ACOT4	7.9904	7.5193	8.1776	7.8059	5.4917	7.1285	5.342	6.0694	5.512	4.9214	7.8169	7.2952	5.7055	6.1858	6.3676	5.3287	5.4342	6.8359	5.1841	5.8504	6.5305	5.4131	6.8139	7.1462	6.5896	6.7919	5.8255	4.9953	6.0179	7.6577	5.8164	7.627	6.8348	7.675	5.8886	5.6212	6.388	5.26	5.4872	6.8487	8.7934	8.7735	7.5333	6.8973	6.3898
EA_G__EEF1A2	8.724	10.195	10.1908	10.7744	7.0377	10.2507	8.9869	7.8491	6.0991	6.8516	8.2655	9.0378	6.769	8.7147	8.2178	9.52	9.0043	6.3966	6.868	8.5526	7.5921	8.032	10.8297	10.7881	9.8957	9.2038	9.8723	8.1047	10.1051	7.9425	8.2043	9.8692	6.37	7.5646	7.4346	6.6486	9.7901	7.7531	8.5854	7.4054	10.1629	9.1895	7.0915	11.0605	11.6464
