Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM102PT	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	UACC893	ZR751	ZR75B
Response	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	1	-1	1	1	1	-1	-1	-1	1	-1	-1	-1	-1	1	-1	1	-1	-1	1	-1	1	1	1	-1	-1	-1	-1	1
EA_G__INPP4B	7.4601	5.5609	8.2586	7.8952	6.7976	9.0549	5.5846	5.2547	3.8202	3.6908	6.6821	9.0399	6.2207	7.1384	7.9002	8.0145	5.8217	4.926	6.9207	4.0702	6.683	6.1541	8.4551	8.0536	8.007	6.2776	8.6376	6.7377	9.2115	8.2744	4.0436	4.6256	5.8411	5.9112	7.3532	6.4328	7.1682	6.4642	4.5528	6.9154	7.0869	6.5131	7.803	4.7484	4.2681
EA_G__AREG	6.2041	5.7836	5.8584	10.9135	5.1731	6.7787	5.4119	6.5017	4.8797	4.9522	6.8361	6.199	4.9694	8.1086	7.338	7.7748	4.7889	5.5203	5.7802	4.7099	5.6865	4.9715	6.0426	5.9791	6.5608	4.6884	5.5337	5.8989	6.7826	5.4017	5.678	5.6694	6.1571	5.462	10.5997	5.2824	10.2272	6.2371	5.898	5.7593	6.9511	6.4223	6.0565	6.0466	5.9556
EA_G__NCOA3	8.1052	9.2571	10.8214	9.0906	8.4774	8.7035	7.7347	8.4412	7.5889	8.6077	9.7062	7.983	7.965	8.448	8.4315	9.4085	8.0727	7.9253	7.81	8.1464	7.7562	7.9493	10.8399	11.1574	8.5521	8.1327	8.578	7.2583	8.1256	8.9069	7.2047	7.9599	8.7304	9.2201	8.4439	7.7563	7.9861	7.9172	7.8126	8.8724	8.4034	7.8476	8.7819	8.766	8.1996
EA_G__GPR124	6.1572	6.2907	6.1908	6.7786	6.6865	5.9578	7.3058	6.2679	6.3984	7.2256	5.9889	5.9476	8.1697	6.24	6.1227	6.2101	6.0348	6.7991	6.4929	6.6489	7.1157	7.4119	6.6003	6.3922	6.541	10.3343	6.8439	6.3286	6.0251	6.1809	6.6576	6.7951	6.924	6.4529	6.0167	6.7114	6.3026	6.7205	6.3336	6.7618	6.3279	6.2505	6.2481	6.1435	6.1915
EA_G__NHEDC2	5.1404	4.6241	5.0185	4.8827	6.6627	4.1264	6.27	5.9421	5.7687	7.6438	4.8055	5.3737	6.7333	6.4724	6.1886	5.7758	5.6225	6.4636	6.7411	6.1157	5.8529	7.1676	5.7495	5.4824	4.453	6.4926	5.3535	4.4558	5.0307	4.3183	7.0453	5.1944	7.3446	5.7618	5.6396	7.2622	6.4832	7.8141	6.5272	4.7038	5.6645	5.6493	4.624	4.6542	5.4813
EA_G__DZIP1	3.8423	3.8318	3.9976	3.6467	7.9986	3.7616	6.9908	7.7736	7.865	6.4633	3.7432	3.8025	7.1699	5.7347	7.3229	3.8667	4.0447	3.9119	5.2573	8.0773	5.5767	6.5828	3.9509	3.9015	3.7455	8.5714	4.2862	3.9174	3.8676	3.8059	8.098	4.6561	7.0349	4.3905	6.1114	7.8718	4.8824	6.8542	4.2409	4.2736	4.0125	6.6612	4.0882	4.1754	4.1316
EA_G__GJA7	4.8989	4.8475	5.84	5.5942	7.4714	4.7178	8.1015	8.5742	7.3874	6.8312	5.3196	4.6661	6.5742	6.9284	6.4528	6.9926	4.8027	6.2159	6.8559	7.0645	7.013	7.5561	4.9328	4.7611	4.9592	7.6568	5.2429	4.7212	6.6205	4.4482	6.7532	5.435	6.8885	4.9082	5.4605	8.624	6.5147	7.1838	5.9559	6.474	6.7178	4.9803	4.9229	6.6005	6.5818
EA_G__CCND1	10.5395	9.3268	9.3457	9.8957	7.3944	10.0676	6.6398	11.4027	8.7569	8.04	9.2783	9.2807	5.4172	9.3223	9.806	10.8656	7.3837	9.2462	8.0863	8.1412	8.9279	9.0659	9.317	9.3855	11.9805	8.5732	9.7956	9.4326	9.5072	10.9368	7.7167	9.1561	7.8883	9.1446	8.0608	7.8095	6.6524	8.9671	8.6034	8.793	8.0185	8.4978	9.4889	8.9741	9.6589
EA_G__LEPRE1	6.6604	6.106	6.4096	6.721	8.8094	6.5042	8.5858	6.8624	8.5287	8.9158	6.903	7.1955	7.9912	6.5855	6.995	7.2352	6.5996	6.9778	7.1388	8.5846	7.1597	8.3424	6.6356	6.827	7.2675	9.3727	6.8462	8.1582	6.7103	6.9469	8.4926	7.0673	7.5154	6.3158	7.0666	9.2172	7.4327	8.3081	7.7253	7.4537	6.4544	6.851	7.4008	6.5327	6.3042
EA_G__FBP1	7.5216	5.2071	9.4178	8.9701	4.6472	9.2616	4.761	4.5261	4.8	4.8787	7.7114	7.8887	4.5754	5.8823	8.7709	5.6515	7.9793	4.8183	4.6158	4.5283	7.404	4.6383	9.9041	10.3261	9.9083	4.6404	9.948	4.8766	9.9939	8.753	4.6071	6.105	4.5889	8.9461	4.9142	4.7417	7.7847	4.8368	9.9019	8.5676	8.2741	9.6585	8.7433	9.9927	8.1147
EA_G__TNS4	10.7968	9.7714	5.1035	5.6707	4.9406	8.7542	5.3083	8.8222	4.9742	4.8131	8.2169	4.8104	5.0797	9.8753	7.1148	8.9879	5.137	5.6328	8.1433	5.1679	5.5463	4.9638	5.3947	5.5514	7.6197	5.0328	8.5011	5.5462	5.9443	8.2497	4.9635	5.8093	6.1308	7.4534	11.3002	5.1079	9.5218	5.6571	6.1038	8.6614	7.807	7.7563	7.8129	6.6947	5.159
EA_G__LOC493869	7.5675	4.5883	6.5814	6.1373	9.9093	3.4796	9.1786	6.1974	8.7434	9.0133	2.7338	6.9972	7.0989	7.0566	6.7197	7.9293	7.2688	4.9328	8.408	8.8576	8.31	8.9892	6.3644	5.0232	6.2845	9.1317	6.159	8.3857	6.483	7.7228	9.177	4.5915	7.9309	3.9953	8.4744	9.3612	8.0153	9.2636	9.5856	5.9401	8.3805	5.4012	7.5894	4.2873	7.5247
EA_G__ESR1	7.8103	5.949	7.1801	8.5941	5.6039	8.4071	5.6002	5.601	5.7796	5.8403	7.5436	9.7789	5.8332	6.1272	6.5118	5.9623	5.8451	6.2441	5.6586	5.4846	6.0553	5.6479	8.4338	8.7397	9.4422	5.3713	6.9678	5.413	8.6907	8.0188	5.4613	6.1198	5.7241	5.8501	5.7842	5.7046	5.9209	5.8721	5.7063	7.9154	8.6844	8.1235	6.2841	6.081	8.4263
EA_G__ORAOV1	8.2313	6.4744	7.8938	7.219	6.7332	8.1568	6.6245	9.6947	7.2866	7.9577	7.3624	7.1782	7.0665	7.3266	7.6739	9.2426	6.8291	6.9966	7.0467	6.8871	5.9478	6.6288	7.3092	6.799	9.6775	6.6838	8.0037	7.4794	7.8636	9.6344	6.3117	6.2121	7.1063	6.4221	7.1279	6.4126	6.9603	6.91	6.4525	6.6058	7.1829	6.6734	6.8374	7.3147	7.9994
EA_G__ABAT	8.23	5.4464	8.575	9.4055	5.3302	9.2967	5.7108	5.496	5.4262	5.5373	7.6306	10.8312	5.688	5.6851	6.7821	6.747	6.9225	5.2465	5.5203	5.3154	5.3766	4.9875	9.1146	8.6121	7.7509	5.7589	7.5396	5.0792	10.0971	8.0442	6.0458	7.7377	5.9374	5.8369	6.4155	5.7817	5.8305	5.4758	6.1131	7.1274	7.9643	9.9256	7.9147	7.7029	7.5442
EA_G__BCAT1	3.559	3.487	3.6425	3.4845	3.6725	3.7736	7.2903	3.8186	5.6875	4.1368	3.6033	3.645	6.6512	8.3436	4.4085	3.8989	4.1599	3.9405	3.6893	7.2425	4.7664	7.319	4.3085	4.3023	3.8038	6.9113	4.4397	8.2891	3.6262	3.5873	7.929	4.553	3.6845	4.3198	7.6098	8.4699	7.2623	8.0376	7.984	4.0087	4.0349	3.7986	3.9107	4.0382	3.8361
EA_G__SIDT1	5.7225	7.4447	8.8752	8.5645	4.6729	8.5319	4.7236	4.3608	4.6682	4.3873	8.7279	8.8931	4.4944	4.8537	4.7245	7.2688	7.7584	7.114	4.5267	4.2934	6.0595	4.3148	8.2739	8.5397	8.675	4.4179	8.167	4.9182	8.5383	9.0785	5.1703	8.1899	5.683	7.1021	6.0213	4.6199	4.8109	4.4668	7.8236	7.9518	8.588	7.5637	8.7403	7.6898	6.1964
EA_G__RNF43	5.3598	5.5481	9.0024	6.2745	4.517	7.0424	5.2826	6.9704	4.5084	4.5124	6.8189	7.5374	4.6685	6.1754	6.2646	5.8021	5.4243	7.392	6.6274	4.3808	5.6474	5.393	7.2004	8.5708	7.292	4.3806	6.8899	4.7247	9.1075	8.2078	4.8242	6.6093	6.1516	5.1643	6.4716	4.3623	6.5364	6.1999	7.3213	5.925	6.1298	4.9051	7.8624	7.9528	5.3555
EA_G__LCP1	5.146	6.839	5.6893	5.4391	4.4055	5.8053	5.6161	6.1497	4.4387	9.0783	6.6189	7.492	5.1398	10.7988	10.4284	5.2753	5.1781	4.6537	11.0631	7.0851	6.6132	4.7714	7.4452	7.2867	6.4447	4.1299	9.1857	7.7379	7.1143	11.3924	4.3906	5.5718	5.154	9.4017	9.0702	5.9028	4.9689	9.937	4.7529	4.8614	5.0352	5.244	5.5115	6.6673	5.3981
EA_G__COBL	6.9315	7.3722	7.4904	7.3429	4.9504	7.2341	5.1155	7.084	5.6151	5.0062	7.6344	6.6659	6.0049	5.1724	6.0185	6.5425	6.4602	6.9815	5.7516	4.7727	5.2075	4.9245	6.4901	6.7704	6.272	4.8492	6.4282	5.0952	8.0264	8.5046	5.8414	6.01	4.7346	6.9633	6.359	4.8804	6.3035	5.1492	7.1308	6.8173	6.8655	7.2664	7.094	7.0127	7.0229
EA_G__KRT13	6.9552	7.2847	6.1001	10.33	5.8539	5.749	6.0119	6.2374	5.8131	5.8504	5.8338	8.2877	5.8424	10.3909	10.2844	6.4656	5.9006	5.958	5.8992	5.5661	5.9554	5.8534	6.201	6.0885	5.618	5.3836	6.2938	5.7852	5.6344	5.7481	5.8919	6.6622	5.8605	7.0171	8.9373	5.947	6.2364	5.6979	5.7858	6.0699	7.0802	6.0486	6.0406	5.977	5.6948
EA_G__LIPH	8.4661	7.5135	8.2321	6.8172	3.6755	7.9496	4.4041	6.4182	3.6525	4.0753	9.3901	7.1827	3.6134	6.0356	8.0156	8.1393	7.5188	7.5421	6.9907	4.983	7.9823	3.51	5.738	6.1944	6.2969	3.7329	8.8815	6.2542	7.8334	9.0871	3.646	5.0663	6.4183	7.6077	6.2225	4.2029	4.7425	3.8212	5.1787	8.8942	8.1795	7.7175	8.1537	7.6	5.5122
EA_G__PCOLCE	6.7534	6.7128	6.712	7.2308	6.7364	7.4607	9.2394	6.9746	7.6908	10.842	6.4453	6.5451	7.4562	6.8707	6.4979	6.2802	7.4487	7.2003	6.3125	6.7406	7.4144	10.6903	7.7289	7.314	6.9391	11.8645	7.3984	6.8586	6.6072	6.1781	8.4094	7.129	6.5356	7.0203	6.018	7.1821	7.4437	8.8205	6.6901	7.396	6.5972	6.7696	6.9162	7.103	7.3112
EA_G__HMOX1	6.6282	7.6033	6.4604	7.3781	10.3403	7.8006	7.4373	7.4218	9.441	8.9858	6.3006	6.8771	7.4095	7.0947	6.6083	6.9832	7.1866	7.9572	7.1287	7.5388	7.7313	8.0817	6.7644	6.9032	7.2963	7.0065	7.1569	6.823	6.9709	7.2995	9.4213	6.9214	8.2259	7.8251	6.8276	10.9474	7.5801	9.7875	6.8201	6.622	6.6301	6.6336	6.8436	7.2665	8.529
EA_G__ALDH1L2	3.8704	4.6506	3.8029	4.0778	8.2493	3.8382	5.0807	6.0497	8.1465	8.2078	4.1275	3.7704	7.1758	6.5789	5.668	4.2326	5.146	4.624	6.2321	7.7076	8.421	7.2761	3.9378	4.2675	4.6066	7.2696	4.0337	3.8061	3.6811	3.6515	6.6819	4.2305	9.0307	6.1047	9.9614	8.7186	5.4012	4.4385	5.1538	4.5222	6.1109	4.577	3.7395	3.9143	3.8966
EA_G__GREB1	7.7266	5.1994	8.065	9.9004	4.9192	8.3065	5.6457	5.0069	4.9788	5.0048	5.6605	10.3094	5.0213	5.124	4.7545	5.1244	4.8717	4.9551	5.1207	5.0989	5.1942	4.9357	8.9837	8.8045	7.495	4.9269	5.5524	5.4587	10.088	5.7659	6.0497	5.3925	4.9612	5.4098	5.4519	4.7723	5.3523	4.9276	4.9994	7.1014	8.7221	8.5094	4.9916	5.2315	6.7104
EA_G__MOSC1	7.2047	7.7244	7.4006	7.5815	5.2325	8.0611	5.2145	5.6455	6.4694	5.3303	7.5824	5.2939	7.148	8.4058	7.6881	6.5205	7.7703	7.7554	5.052	5.7615	5.5529	4.618	8.3247	7.9413	6.8259	5.0039	8.2946	7.9699	7.5204	7.4566	5.0831	7.7944	7.6019	7.1235	5.7428	5.1006	9.8581	5.3711	7.2209	6.8277	7.5493	8.2886	8.0112	7.739	7.165
EA_G__PLA2G10	8.5249	7.4097	6.2138	6.5712	5.9734	6.4801	6.3065	5.8603	6.1584	7.2084	6.4113	7.186	6.003	7.7286	6.572	6.2121	6.3304	7.2149	6.2563	5.4353	7.149	5.9167	7.1404	6.5337	6.9787	5.2459	8.2977	5.5339	7.2334	10.1074	6.641	6.4499	5.98	7.7312	5.6117	6.1785	6.1912	5.9954	6.0704	5.8723	6.6205	7.9511	7.179	6.6977	6.1379
EA_G__SLC16A6	6.3763	6.9175	7.9652	9.3395	6.2609	8.504	4.9086	6.5765	5.5061	7.0216	8.6466	7.1262	4.4458	5.417	6.0462	6.0024	6.6771	7.1765	6.5612	5.107	5.8467	4.2712	7.8573	8.4955	9.9281	5.155	7.3289	4.8415	6.8034	6.259	5.5067	9.8112	5.8482	7.1754	3.9697	4.514	5.1226	6.0726	9.6108	7.6663	7.6884	9.1586	7.7272	6.7156	6.4555
EA_G__HIST1H1A	5.8645	4.0453	3.5876	3.5514	3.9681	3.6907	7.9176	7.6004	7.6991	6.3949	3.9692	3.1037	7.5128	8.8424	8.2176	3.1446	4.2314	6.9075	9.0793	8.1828	7.6253	4.7202	3.5802	3.8159	3.8268	5.9687	7.1763	4.0482	3.4884	4.5521	5.7129	3.8362	8.32	3.4594	6.4689	4.5463	6.2006	5.5518	4.6448	4.4879	3.8866	4.3226	3.4156	3.7257	4.0929
EA_G__MME	3.7488	4.2193	5.8745	3.8299	5.8503	3.7392	7.7406	4.4121	4.1589	5.4356	3.8361	3.8756	4.0762	4.4176	7.8495	4.8749	5.7301	3.9929	4.2718	10.0839	9.1142	5.8842	4.1751	5.6371	3.8823	10.2583	5.1333	4.1547	3.6984	3.8362	8.1986	6.2662	9.634	4.2118	8.8948	10.1735	8.6152	7.2612	4.1969	4.223	3.8639	3.7725	3.9829	3.6667	4.0496
EA_G__ABCA12	4.3109	7.364	6.8238	7.0373	3.3572	3.9202	3.5168	3.4709	3.3851	3.4184	8.1267	8.8693	3.3669	5.5671	6.1363	6.2983	5.5426	6.998	4.6112	3.2091	5.7931	3.2291	6.2715	9.5323	4.7044	3.1101	6.8836	3.3908	10.1166	5.9646	3.3419	7.5299	5.4337	8.0032	9.4448	3.6763	5.1243	3.733	6.1352	7.3809	7.9179	9.511	6.7682	9.895	8.4165
EA_G__ANTXR1	5.3638	5.021	6.2803	4.3643	8.3203	6.4484	7.697	7.9829	6.8212	6.5266	4.5447	5.1114	6.4815	6.0603	7.8974	7.4695	4.5918	6.41	7.5128	8.3548	8.5385	8.4815	6.8244	5.5532	4.8534	9.1346	5.6954	7.7099	4.9336	5.5327	8.2659	5.7268	7.7026	5.1019	6.795	7.686	8.0006	8.3681	6.3598	6.7588	6.3156	5.2435	4.7063	4.9089	5.114
EA_G__CACNG4	8.4308	7.5358	8.1032	9.2906	6.8087	9.2541	7.2291	5.6569	5.5719	5.8529	8.0835	9.0764	5.7716	5.8549	6.1478	7.1012	6.3777	7.839	6.7572	5.5176	6.431	5.6094	9.1382	8.0995	8.3302	7.8307	8.431	5.7591	9.7756	8.0782	6.093	7.9557	5.4376	7.3151	5.6334	5.791	5.8689	5.7018	8.4194	7.2037	8.0248	8.5048	9.0385	5.6487	6.6438
EA_G__IRF6	9.1696	8.0282	8.1633	10.1843	3.8128	9.1797	5.2981	10.0554	6.7037	4.5638	8.2055	9.4594	8.5462	9.872	9.6737	8.8168	8.5601	8.441	8.7425	4.26	8.7031	4.1966	7.1606	7.4177	8.6837	4.2715	8.9155	4.6084	8.7099	9.4025	4.2265	8.2687	7.1182	8.274	10.3923	4.6999	8.2688	5.0442	8.089	9.079	8.3038	7.8424	8.5611	9.1979	8.3068
EA_G__PRSS12	4.3777	4.7632	4.706	4.5602	6.369	4.6807	6.2222	6.9948	5.4788	5.4348	4.3786	4.8573	9.1774	6.4117	6.7058	4.9165	4.915	5.8521	9.6837	6.4128	6.596	7.4233	4.8768	4.8229	4.9016	7.318	4.9399	7.096	4.5567	4.3978	6.8038	5.5074	5.8907	5.0102	7.8736	6.0849	8.1192	7.4649	5.1428	5.2435	4.672	4.4986	4.4105	5.5805	5.0513
EA_G__GPR177	7.4313	6.5646	8.088	5.2854	8.8432	4.465	7.5921	6.9746	7.7814	7.3153	3.9865	6.8497	7.5306	7.1746	8.6333	7.9523	6.4605	8.0881	8.547	8.6787	8.9108	8.8539	4.5316	5.1773	4.3457	8.89	5.7728	8.4612	7.7822	6.3128	8.8235	6.3973	8.6537	5.7239	8.2	8.5792	7.7636	8.6474	4.7687	4.3787	5.5476	5.2176	5.4713	5.4504	7.1333
EA_G__CORO2A	8.836	8.192	7.6983	7.9726	6.1212	5.916	6.5813	7.1036	5.3988	5.5632	7.6917	5.9273	6.9104	8.3333	8.0255	7.9177	6.5271	7.2362	8.2172	6.5257	6.9419	5.259	7.272	7.2688	7.7225	7.9547	8.5228	6.7366	7.9694	7.9375	6.1657	7.3518	6.6055	8.5669	8.0895	5.6086	6.7998	5.6645	9.9395	7.8776	7.0397	6.8073	8.4566	7.5325	6.9546
EA_G__RND1	7.3143	8.2366	5.5848	8.1345	5.2959	7.5678	5.2664	4.9253	6.6945	4.833	6.5432	5.3653	4.8394	5.688	5.355	5.6049	8.3402	6.4109	5.1296	5.0251	5.5654	4.655	7.389	6.8855	7.5082	4.321	9.0383	5.229	6.9107	7.667	4.8228	7.8736	5.2342	8.9453	5.3685	5.08	5.2271	5.1002	6.2484	5.9817	7.1618	8.9243	6.8513	7.8627	6.9375
EA_G__IGFBP5	10.3675	7.9594	11.0184	10.9194	4.3101	11.7233	4.7256	7.6186	6.4925	7.4736	4.8845	8.188	4.538	4.7586	7.9624	6.9878	11.0805	9.2414	6.4845	4.3247	6.8854	5.2977	8.5975	8.7877	5.5867	4.2559	9.5631	4.3236	11.3033	11.5721	4.6191	9.9012	5.8662	9.5648	4.1126	5.5703	5.0144	4.674	4.7641	5.7393	10.3953	10.0362	9.2308	8.0895	7.3692
EA_G__MAP1B	4.0691	4.1506	4.4828	4.4376	7.3859	4.0451	7.5013	7.1683	6.6007	8.4876	3.7581	4.3324	4.8655	5.0727	5.2252	5.1172	6.0937	4.0538	6.0101	7.7143	6.2577	8.7705	4.4155	5.0935	5.1036	7.836	4.0668	7.159	4.158	5.8074	7.4831	4.7968	5.1698	4.2089	7.1621	8.0577	4.7129	8.5112	8.6027	4.2357	4.0326	4.3419	7.2641	4.0378	4.0619
EA_G__ATP2C2	7.3612	7.1301	8.2179	7.788	5.3497	7.7028	5.2331	5.9351	5.1224	5.0997	8.4417	7.4719	5.2602	7.0346	7.169	5.8961	7.2734	8.3016	6.6985	4.6332	6.8254	4.8393	8.5253	8.1187	6.7656	4.7757	7.7212	5.1175	7.5495	8.7963	5.0799	7.9613	7.5006	7.5787	5.8326	5.4452	6.4738	5.2595	8.2752	6.7796	7.0768	7.274	8.2264	7.6677	6.6969
EA_G__KIAA0984	6.3444	8.4452	8.8413	7.6971	4.2138	7.8078	4.5502	6.3599	4.2813	4.2274	8.9468	6.8133	5.1804	6.9557	5.9346	6.8	7.4365	8.0653	6.409	4.0248	5.8291	3.668	8.2604	8.3418	5.4775	4.4505	7.3813	5.864	7.8929	7.1228	4.3903	7.3149	6.6069	7.8815	4.9319	4.4008	6.0266	3.9297	7.968	6.4222	7.4861	8.208	7.4529	8.3521	8.0007
EA_G__MMP2	4.619	4.7727	4.5862	4.3656	4.9219	4.4867	6.4642	7.6929	5.7732	10.9422	4.4826	4.4733	4.9088	6.0595	5.4077	5.6186	4.9253	4.9941	4.6012	7.4544	5.7767	10.3265	5.0395	4.9834	4.8745	9.8229	5.0684	4.6176	4.5248	5.481	7.0672	5.6996	6.143	5.2895	5.7591	9.6213	7.411	9.4531	4.7076	5.1411	4.8119	5.1935	4.771	4.914	4.563
EA_G__C5orf13	5.5414	4.3653	4.5417	5.3873	7.5209	7.8357	6.2671	5.1632	8.383	7.2215	4.5145	4.5834	6.7748	4.4672	5.0358	6.5435	5.5412	6.0565	4.6739	6.0911	5.2714	8.5295	4.9998	5.1223	7.5981	8.7321	5.6175	5.4841	6.0678	8.1582	6.2123	5.921	6.0297	4.7948	5.5737	5.9629	5.2228	9.0534	7.5218	5.3452	4.7828	5.8596	6.7674	5.3181	5.0496
EA_G__TLE4	4.0222	3.8544	3.904	4.018	8.7904	3.9341	9.0481	6.1528	6.7137	7.0187	7.207	3.7176	4.7436	5.6386	6.3728	5.9757	4.8959	6.085	6.4427	7.5938	6.9186	7.7927	5.4186	4.2411	5.3919	8.2546	6.0291	3.7657	4.0863	3.8625	6.9824	5.7479	6.3974	4.681	7.0409	6.409	6.5703	4.2996	6.8817	4.1489	4.2274	3.6597	4.1333	4.2559	3.9956
EA_G__SLC7A8	8.5421	7.6746	8.8236	8.1028	5.042	10.6962	5.4009	5.0441	6.3737	6.0296	9.5636	7.2944	4.7488	8.4816	5.2606	5.1604	8.3362	8.1148	4.7435	5.7111	5.5632	5.0076	5.3353	5.3922	10.8003	4.7921	10.2389	4.9899	10.2853	9.6818	5.117	8.7371	4.9509	6.5396	6.7069	4.8894	6.1091	4.9765	7.0086	8.5397	9.0232	10.533	5.8295	6.8407	5.1734
