Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
EA_G__S100P	11.3731	10.1247	7.9615	7.2864	5.4932	5.7465	5.557	6.9423	5.8348	5.7318	9.1996	5.8917	6.7804	6.0665	7.9226	7.2762	9.8817	8.8998	5.1913	7.8569	5.8489	7.6831	6.3119	5.3577	5.5392	9.0019	6.1748	6.4696	7.9889	5.8328	9.015	5.4877	8.6915	5.2488	9.9677	9.2091	7.4099	6.8574	7.2725	9.0204
EA_G__BCAS2	6.2279	6.7805	7.8709	6.1467	6.0379	6.8632	6.5338	6.1219	5.7785	6.0715	7.0184	6.4264	6.8239	6.7915	7.7819	6.0808	6.0397	7.0405	7.6989	6.5601	6.6001	8.5313	9.044	6.7778	6.5099	5.9668	7.5764	5.8857	6.3185	6.3712	6.487	6.8064	6.7067	6.5679	6.4755	6.0276	6.5575	5.9642	6.1783	5.9334
EA_G__KRT10	6.7857	7.0445	6.4279	6.6254	8.0339	6.4804	6.9532	6.4993	6.641	6.7273	6.6412	6.7273	6.5188	6.9106	7.0155	6.7177	6.8042	6.5046	6.5812	6.3903	6.6742	6.8911	7.0637	6.5853	6.2408	6.3063	6.5867	6.093	6.3976	6.7607	7.0754	6.7185	7.329	7.0358	7.3607	6.7347	7.4977	7.0732	6.575	6.744
EA_G__SH3RF2	7.3729	6.0867	7.37	6.2286	5.9256	5.639	5.3667	7.43	6.1878	6.4714	6.1167	6.2721	5.2171	7.5054	8.7813	6.9138	6.4435	6.5822	6.3956	7.0495	7.113	5.5176	5.8152	6.4949	5.7632	6.5689	7.6185	6.5312	6.7045	6.1989	5.8138	8.4877	6.646	6.2157	8.1102	6.9071	7.2445	5.9877	6.7448	5.5621
EA_G__RPS6KA2	7.2247	7.2512	6.4795	6.7426	6.0129	4.9791	5.3537	6.4925	6.9078	6.2883	6.2732	4.9725	5.8669	6.45	6.4346	7.5155	5.9798	6.8663	5.2436	6.5689	9.0315	6.5766	6.8342	6.9687	5.1484	7.0255	6.8695	6.9008	4.9655	5.6143	7.5479	5.5176	7.4256	7.175	8.3379	6.5329	5.2178	6.7964	5.4018	6.1544
EA_G__ZNF750	6.7199	7.3482	4.6567	6.7097	6.6858	4.9155	5.6839	4.6689	7.2202	5.1846	6.7591	6.451	4.7703	5.1668	5.5797	5.4145	7.1353	5.1352	4.7351	5.3662	4.4688	5.7987	6.4591	5.1944	4.6503	6.6426	4.6995	6.0296	5.1191	6.1847	7.0681	4.8725	5.4428	4.8895	7.0578	6.3349	6.3737	6.0345	6.7232	5.4634
EA_G__FZD7	5.6238	4.9595	7.5193	5.0229	6.7963	5.7581	5.4522	9.4585	5.8364	7.2116	5.7953	7.0174	7.2477	5.2591	6.6431	5.8451	4.8257	5.7462	6.7231	7.1561	8.2216	6.4394	4.9982	8.1128	7.5659	5.5336	6.8319	5.2781	4.3631	5.6368	4.8198	6.1794	4.7808	6.6816	6.0904	6.1188	5.3736	5.83	4.6495	5.1116
EA_G__C9orf19	4.855	6.829	5.2071	5.2876	5.7361	6.026	5.1261	6.4771	6.7151	6.7726	5.3678	4.8164	7.5139	5.4878	6.4374	5.5258	7.9401	7.2436	7.8618	7.5982	6.9045	5.9074	5.816	6.7327	9.8291	5.6739	6.2212	6.3068	4.5292	5.5009	5.9774	6.2198	6.1858	5.8776	5.6259	5.4415	6.019	5.3041	5.1365	5.374
EA_G__GUCY1B3	5.4722	4.8053	5.0459	4.2776	5.3475	8.0374	5.0634	7.2303	8.833	7.7941	8.7253	4.4872	5.9624	5.3104	5.2187	4.2365	4.2342	4.0363	6.5594	8.6541	5.8324	4.5064	5.6586	3.9242	10.1264	7.3901	6.6436	6.4968	6.2236	6.7091	4.422	5.7335	4.66	4.5811	5.2481	4.7088	4.2932	5.6111	6.9791	6.4822
EA_G__SECTM1	9.308	7.7626	6.1433	6.4991	7.1372	5.4408	6.695	7.2996	6.0516	7.0802	5.3865	5.8299	8.1885	6.4746	5.8766	7.277	5.659	5.7359	5.6122	8.0082	7.2774	6.1621	5.984	5.3917	6.2122	6.2113	6.3534	5.6221	5.5241	7.2426	7.7067	5.7317	8.1738	7.4491	6.9697	6.3637	6.674	6.3723	6.4831	8.8253
