Cell lines	600MPE	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	ZR751	ZR75B
U133A__MYH10	7.7391	7.0683	8.5681	7.7365	9.7416	5.8115	6.4076	8.7884	6.8916	7.9537	8.356	7.6228	7.1923	7.5968	7.6521	8.4861	6.6804	8.1849	7.1557	7.4958	6.7144	8.8112	6.7401	7.0599	7.7911	5.3969	6.3497	6.0481	7.4316	8.043	6.0291	7.5215	6.3579	6.4442	7.2604	6.0016	7.2706
U133A__TIMP1	10.3333	7.0824	8.6722	6.0084	10.3319	6.3865	7.5051	5.2107	9.0007	10.0557	7.8295	7.3896	9.965	5.853	8.1505	8.566	7.5314	9.0919	9.1396	8.942	7.7057	10.7712	9.0823	8.6568	8.1735	9.2124	7.044	5.6415	10.4042	10.5345	11.5046	6.6035	7.0967	8.7976	6.351	5.2706	7.571
U133A__SLC9A3R1	9.519	9.6155	8.3819	9.3381	7.3427	10.3084	7.7895	7.6797	11.4694	8.4963	8.6198	9.0035	8.2239	9.0584	8.1738	7.8626	8.8965	7.1743	9.7706	10.4869	10.1918	6.8074	8.9042	7.6842	11.736	8.9875	10.9463	9.4829	6.4568	7.3574	6.9491	9.7921	9.1212	9.2263	10.2388	10.2528	11.1031
U133A__MCFD2	5.4711	6.2773	7.5503	5.0626	6.386	6.4827	5.7931	4.3098	5.5137	6.2944	8.0238	6.3483	7.2626	5.5338	6.2847	6.213	5.9582	8.8193	6.5741	6.1142	5.5427	7.6131	5.3628	7.2542	6.0619	5.909	6.2241	5.4566	7.0765	7.4358	7.5063	7.3567	5.6655	7.341	5.5784	5.351	6.6413
U133A__DSP	8.0337	8.7599	8.19	10.2272	4.1204	8.9093	9.9995	10.3829	5.1408	8.2259	9.6499	10.3321	8.5612	10.8212	10.0141	8.0855	10.7105	4.4382	8.5645	8.7556	10.6943	6.7151	8.9162	6.2146	8.9265	9.3477	6.8808	8.7908	4.2093	8.6303	4.4257	9.3172	9.9535	9.0121	9.2126	10.2253	8.4497
U133A__ETV5	6.1958	5.3512	8.7998	6.0268	6.6768	4.9464	6.3476	5.5852	5.6541	6.9955	7.4543	6.374	7.529	5.628	6.483	8.1696	5.9095	7.7918	6.185	5.4223	5.673	7.7123	6.6378	8.0412	6.1711	5.7368	5.7878	5.0177	7.3943	7.3494	6.991	7.0011	7.7549	7.809	5.5572	5.4015	5.2783
U133A__GSTM3	8.5295	9.9259	4.9703	9.4319	8.1387	11.2723	7.3368	5.4105	9.6692	8.0063	8.8447	9.2218	7.8898	6.2024	9.0328	10.1601	8.6205	6.615	8.9141	10.139	11.697	9.2361	9.8598	8.5632	10.802	10.9899	4.8628	10.3404	9.0037	7.5544	5.2365	5.819	10.9552	11.8676	11.191	5.4191	4.9216
U133A__SDC2	7.6839	4.4758	4.5208	5.471	4.5404	5.3484	10.2929	6.6377	9.2915	8.7747	4.4879	4.6024	4.7327	9.7014	7.0364	7.5149	4.7632	8.8181	4.7019	6.728	7.8196	9.0147	5.4896	7.431	4.4419	4.9399	5.0457	4.8889	6.2214	4.7253	5.4138	6.0161	4.8645	4.9022	6.7886	4.8569	6.2833
U133A__AGR2	10.3169	10.6821	4.8118	11.0027	4.8801	9.5473	4.7238	4.9574	5.6983	5.7322	9.8422	7.8487	8.9628	11.018	5.5521	4.8807	6.5245	4.9432	9.0223	9.5307	5.3115	4.1066	11.5908	5.8781	10.7955	11.9865	9.8595	9.5144	5.8546	5.7616	4.7808	12.2035	10.6989	11.3355	11.4831	9.3155	10.4286
U133A__DERL1	5.475	8.3416	5.0389	5.9092	6.0889	5.9957	5.7088	5.9916	7.7607	5.6934	6.8211	6.503	7.2959	8.4643	6.2926	5.7426	6.9287	6.1283	6.7508	6.2364	6.6886	6.4555	5.8625	5.6717	5.9146	5.5712	5.5019	8.4292	6.1425	5.7119	5.7651	6.4365	6.9492	7.6148	6.2023	5.956	6.161
