Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
EA_G__FAM114A1	8.5697	4.6273	7.2249	7.0132	7.2669	8.3277	6.7241	6.9198	6.2194	9.2098	8.5856	4.9727	7.0553	6.6427	7.0419	7.348	6.3856	7.5489	7.448	8.6982	8.5022	7.9607	6.6272	6.5231	6.5674	7.9671	6.9999	7.0661	7.7345	8.8432	4.6979	4.2656	9.1323	7.0262	7.5342	7.3642	8.5755	8.3261	7.029	6.7925	8.3748	8.3916
EA_G__DCBLD2	8.5471	4.4849	10.0473	7.708	6.5121	9.4737	3.6511	8.2451	7.0105	8.7746	8.1518	3.6162	7.8489	10.0058	9.1965	9.857	7.8921	8.0481	9.6844	9.6487	8.7991	10.7754	7.3132	6.7617	6.081	10.5443	7.7964	9.4729	7.8692	3.5968	6.9997	6.6151	9.3028	7.7366	9.0471	7.064	7.7637	7.4904	8.1841	8.5023	7.8199	7.5897
EA_G__C6orf145	5.4036	8.3998	8.4855	5.2388	7.33	9.3274	4.84	7.6627	6.9175	7.2514	7.2355	6.1149	7.5599	8.4464	7.8633	9.6262	6.116	8.7077	9.2521	7.4843	8.2029	8.7651	5.8759	5.2908	5.5396	9.2975	6.9192	7.5824	7.0897	5.7131	5.997	8.6844	8.3425	8.6219	8.6442	8.5776	9.1234	6.0272	7.1796	7.373	6.837	5.4988
EA_G__APOBEC3B	7.2748	2.4381	7.9352	8.3055	7.3443	8.2441	6.6623	10.1427	6.7805	8.8728	6.3942	6.455	8.3806	6.6707	8.7842	9.2429	8.9128	7.323	6.5672	4.221	5.4002	8.6776	5.881	7.475	7.3582	7.6135	6.9365	8.0777	7.5166	8.3532	7.8404	4.393	7.6028	6.2948	8.2245	7.9759	8.6403	4.4436	8.2439	7.2063	8.0971	6.7079
EA_G__RHOB	9.2793	9.3585	7.394	9.8896	9.3985	7.6395	10.3938	7.6986	6.9264	7.1127	10.2289	10.0866	7.0769	7.524	6.9368	7.9047	9.6821	8.7278	7.261	6.7834	7.1452	8.2823	9.565	9.2465	9.8531	8.3788	9.4573	7.5833	10.0124	8.9442	9.8377	10.0424	7.0709	7.9873	8.8352	8.6291	8.0375	9.0331	8.5103	9.1206	9.1928	9.4859
EA_G__FAM92A1	5.5302	3.478	6.5384	5.8483	6.4144	8.4157	5.1613	8.0287	5.1954	6.5926	9.1744	4.5411	7.7132	7.0833	7.3376	4.797	4.9067	5.1531	7.1769	8.6012	5.3043	7.7639	6.4938	5.9786	4.0925	8.9483	5.4059	7.7509	5.8867	5.4835	4.3822	3.5541	8.8524	6.8195	8.0827	6.5139	5.3158	3.813	6.5597	7.8706	5.3464	5.5177
EA_G__EMP1	7.3819	6.3911	7.2295	5.8153	5.7756	6.8032	4.0355	9.1487	4.3234	7.6364	4.3292	3.8499	4.3325	8.4222	8.4295	6.9615	4.8464	7.2113	6.964	5.7053	8.5989	7.4242	4.1604	3.8749	4.0779	5.7537	6.0598	7.2059	4.2582	6.4765	4.4231	5.8757	7.6785	7.6572	7.8355	4.3011	7.1448	6.9305	4.6827	4.4767	4.816	3.5023
EA_G__EDG7	3.5288	4.4323	3.7776	4.833	3.6421	4.0994	4.4359	8.0901	4.7853	4.2587	7.5858	4.5372	8.7229	8.8385	6.2848	7.9491	4.8138	7.1886	5.8772	8.0065	6.7514	4.7734	4.8484	4.6227	3.7346	7.5279	4.6986	4.394	7.0688	7.3179	5.3051	4.66	7.3759	8.3309	7.7085	4.3828	8.0393	3.5566	4.0586	4.1638	5.9133	5.8987
EA_G__ELOVL2	4.4509	4.6151	4.3309	5.704	9.5104	6.7806	10.4794	5.3619	7.6891	5.4073	4.5827	8.883	4.305	4.3237	5.0745	4.4337	4.4856	4.1933	5.8873	7.049	4.4812	5.4261	5.5976	7.0984	9.7788	7.7464	7.391	4.2232	9.6627	4.1122	4.6696	4.8449	4.488	4.8972	4.6371	4.6223	5.2547	5.3316	8.008	4.9692	5.4117	6.5635
EA_G__HS6ST2	4.5053	4.7789	6.3417	6.5333	4.4085	4.3813	4.4658	7.6866	4.3082	4.9848	4.5337	4.3372	7.6457	6.9806	7.1144	5.4027	6.1053	6.0676	5.8003	4.0594	6.11	5.2356	6.2487	5.6123	5.7669	4.1316	4.9413	4.2679	5.5731	4.3376	7.2249	4.5967	4.6303	6.0968	4.5167	6.9789	6.0189	5.8069	4.6388	4.5623	4.7357	6.0594
