Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
EA_G__KRT19	12.6916	12.4257	11.7226	11.8694	12.9008	5.3088	12.0071	11.0092	10.8661	5.2972	12.4057	12.4572	5.4234	11.375	5.3996	6.6896	11.5907	12.625	10.7132	4.9996	11.9989	5.3899	11.9541	12.1304	12.2871	4.8359	12.0948	8.5044	12.135	12.3305	11.3655	12.6503	6.0673	11.4019	5.1683	11.8464	11.3409	11.6161	12.478	11.9621	11.4901	11.9652
EA_G__MUCL1	9.7015	9.6708	5.4032	11.9418	10.2431	4.8957	8.9223	4.5051	8.786	4.9442	8.2638	6.8099	4.7529	4.7936	4.5822	5.1223	5.8277	8.4609	4.7998	4.6962	4.8549	4.861	6.192	7.9264	7.538	4.9978	10.2647	4.8186	11.1491	8.2536	10.2257	5.8615	6.5654	5.2871	4.4087	5.4239	12.5835	9.5991	5.3747	11.7143	10.7729	5.1542
EA_G__RHOB	9.2793	9.3585	7.394	9.8896	9.3985	7.6395	10.3938	7.6986	6.9264	7.1127	10.2289	10.0866	7.0769	7.524	6.9368	7.9047	9.6821	8.7278	7.261	6.7834	7.1452	8.2823	9.565	9.2465	9.8531	8.3788	9.4573	7.5833	10.0124	8.9442	9.8377	10.0424	7.0709	7.9873	8.8352	8.6291	8.0375	9.0331	8.5103	9.1206	9.1928	9.4859
EA_G__EGFR	7.0647	8.2975	10.5214	7.0644	5.2572	8.4673	4.4568	8.684	8.52	7.7874	4.1842	5.2693	6.4645	8.6796	8.6335	8.7636	6.7396	8.5062	8.3438	6.3164	8.6417	8.6737	5.6004	4.6993	4.237	8.2983	6.3225	9.1647	6.6811	4.4528	5.0546	8.2905	7.1305	9.1228	7.7843	5.1254	6.712	4.8298	6.2005	4.4951	6.3168	5.4392
EA_G__ZNF625	5.9593	3.9017	6.1368	7.6618	6.0715	6.9551	7.0424	3.8607	6.9674	6.8694	7.2099	6.2266	3.8224	4.4074	5.8433	4.3393	7.2085	6.5772	4.1238	6.7356	3.965	4.5409	4.1474	4.7414	6.8463	6.9807	6.1506	3.646	6.6733	4.1284	5.1304	4.238	5.6741	3.82	5.0868	6.3827	5.3151	6.3003	6.3367	6.3242	4.8614	4.019
EA_G__STK17A	5.9146	6.3042	7.6759	6.7496	6.2505	6.8388	6.5173	7.0289	6.6728	8.0695	6.6336	6.8904	5.9002	8.2019	7.6215	8.3165	6.3507	5.6394	7.3603	7.5898	8.0327	7.2169	6.4256	5.9265	5.4037	8.0381	6.2079	7.6587	7.2486	5.5554	6.1393	6.0406	8.8014	8.1987	7.3813	5.9857	8.9739	6.1883	6.8924	6.6018	6.6526	6.332
EA_G__CACNG4	8.4308	7.5358	5.5674	8.1032	9.2906	6.8087	9.2541	5.6569	5.5719	5.8529	8.0835	9.0764	5.7716	5.8549	6.1478	7.1012	6.3777	7.839	6.7572	5.5176	6.431	5.6094	9.1382	8.0995	8.3302	7.8307	8.431	5.7591	9.7756	8.0782	7.9557	7.3151	5.791	5.8689	5.7018	8.4194	7.8612	7.2037	8.0248	8.5048	5.6487	6.6438
EA_G__PYCARD	9.443	5.8975	6.2016	7.4633	8.2937	5.8679	7.1821	6.5411	6.4667	5.8489	7.1847	7.4192	6.1353	8.2567	8.6562	6.1075	7.568	7.7418	6.1017	7.5823	7.0041	6.1024	8.4495	8.2378	7.7843	6.0251	8.0953	6.0005	8.4311	7.9519	7.989	6.2619	5.8926	8.3914	6.3681	8.4864	6.4585	8.0813	7.3974	9.0695	6.9469	7.0365
EA_G__MAGED2	10.2764	8.1489	7.8591	11.2059	9.1679	9.9061	9.181	7.7178	8.9631	8.9439	10.8694	9.4801	8.287	7.1551	7.058	7.963	10.5076	9.874	7.8358	9.0836	7.9886	7.5896	8.8158	9.5837	11.1899	10.0756	10.1298	7.5636	10.5231	10.9442	9.3951	8.0807	9.7287	8.416	7.7228	8.4196	8.9792	9.5787	10.1646	11.2238	9.4135	8.8541
EA_G__TSPAN13	8.9952	9.6423	8.1642	10.1182	9.6628	5.2331	8.9285	7.1263	8.3643	6.2564	10.0071	9.488	7.0469	8.4981	8.9186	8.9	10.0359	9.8295	7.9678	6.1771	9.4757	4.5718	8.6216	9.4154	9.1455	6.6857	9.4324	5.7384	9.4215	9.7858	9.0558	9.2686	9.1487	6.0293	5.9884	10.2356	9.635	9.965	9.7869	9.9264	9.7648	9.4508
EA_G__TMPRSS2	7.1443	7.2062	5.9505	7.4163	6.1494	4.76	5.2206	5.9465	7.398	4.4614	8.4729	6.5273	4.686	4.6026	5.5772	4.5393	8.7158	9.8984	4.5147	4.4592	8.9766	4.216	7.2592	6.7275	6.4975	4.3741	6.8914	4.2222	6.094	7.3281	6.4244	7.2688	4.3749	4.9769	4.5539	6.2306	7.1473	5.1128	7.3834	5.9248	4.9624	4.7479
