Cell lines	600MPE	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
U133A__CLNS1A	9.4608	8.6558	8.2594	6.9005	8.8302	6.9955	7.7269	8.5912	8.5311	9.0546	9.5556	8.4244	8.5211	8.0984	9.0511	8.2463	8.0085	8.011	8.7419	8.7794	11.0338	8.2217	9.6021	8.4882	7.6112	7.6521	8.5151	8.1378	8.3304	9.2318	9.4287	8.085	10.4912	8.8496	8.6699	7.8664	8.2449
U133A__ASAH1	6.782	7.6309	6.5642	6.3725	6.263	7.5971	6.3153	6.9968	5.0105	5.7667	4.9323	6.2513	6.0697	8.3842	5.5519	5.7256	5.6042	5.8445	5.7707	5.2513	5.7445	5.9329	8.181	5.5178	6.9474	6.1367	6.0655	7.0733	5.3256	5.8795	4.5582	8.1595	6.4194	6.6742	7.7847	7.9367	7.1685
U133A__DPYSL2	6.5499	4.3957	6.3934	5.6905	9.755	6.403	8.6685	6.876	6.4028	8.1874	7.4548	6.1458	4.9671	5.8342	7.3601	7.5697	6.8732	9.3498	4.9229	6.4398	8.4362	7.9753	6.9726	7.9353	6.4448	4.2048	6.5866	3.6449	9.0406	8.4346	8.7608	6.6997	7.204	5.519	7.3291	4.2719	7.339
U133A__CD24	9.747	9.5437	8.9504	8.7744	3.5199	8.2221	9.2422	7.2274	6.6408	6.3939	6.8512	9.9667	9.5275	11.2971	10.3802	7.1	8.5836	3.7671	5.9387	8.2443	9.1643	4.448	8.7916	2.7171	9.446	9.4698	8.2285	9.1722	2.6672	7.1838	3.0234	10.3803	8.0689	7.9118	9.5413	9.566	7.3369
U133A__CPD	8.2101	8.1216	5.649	7.6179	6.7762	5.6894	6.4387	5.4846	5.716	5.8418	6.9123	6.7767	7.1457	6.9298	6.9384	7.8036	6.9833	6.223	5.6333	5.8221	7.2464	6.1744	7.3296	6.9398	9.0281	6.4524	6.7077	7.2602	6.3593	5.2009	6.5355	8.9923	7.2562	7.5889	9.3538	8.3809	7.1765
U133A__PRSS8	8.8288	8.984	7.5482	8.4017	5.5972	7.5995	7.1231	8.7157	7.8521	7.897	6.8913	7.7276	7.1033	9.0244	7.8961	6.167	9.0988	5.8126	6.6594	7.696	7.6602	5.2863	8.842	5.6892	8.4368	7.7911	7.8115	8.3283	5.4722	7.4115	4.5504	10.1071	6.0866	7.2982	9.366	8.0536	7.1875
U133A__KMO	5.7671	7.6837	5.6079	6.0018	5.4186	4.9161	5.6305	4.6965	5.4732	5.4523	4.9175	5.0193	5.6756	7.1436	7.2444	5.8379	4.714	5.3228	4.7488	4.7064	4.5188	5.1243	7.3547	4.6571	7.0098	5.6323	8.8071	6.233	5.1258	5.2933	4.7453	5.5913	4.6167	6.1682	5.529	6.2072	4.8873
U133A__MYLIP	6.25	6.9508	6.3273	6.7777	4.7525	7.3267	5.5464	6.9503	7.7358	6.2283	5.9586	6.7797	5.847	6.6923	6.4724	6.1119	5.8868	5.7605	6.2882	6.4799	5.9671	5.0222	7.521	5.9602	6.7489	6.3817	6.16	6.2006	5.2242	6.0862	5.3436	6.8308	5.6126	6.095	5.7256	7.4054	5.7174
U133A__TGFB1	5.9513	4.8708	6.8974	5.4725	7.6091	5.426	7.5996	5.0132	6.1979	6.213	7.3059	5.6044	5.7321	5.1609	5.4784	8.1482	6.8518	9.5736	6.1038	7.11	6.7	9.5702	4.9982	7.0412	7.021	5.5408	5.1952	5.4666	7.4693	8.4618	8.5279	4.7022	5.0334	5.4006	5.4102	5.4893	7.0574
U133A__ANKRD57	5.9697	4.6663	6.3858	6.1402	5.939	7.7336	6.0224	5.2587	6.8299	5.4594	6.5732	6.5182	6.5702	5.1079	5.4951	5.5572	6.0201	5.2873	5.7804	5.1389	7.8938	5.3602	5.5994	6.4687	6.098	4.9998	6.1175	5.572	5.31	6.1903	6.4324	7.6739	6.4395	5.5621	7.0825	5.7018	5.2503
