Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	ZR751	ZR75B
U133A__SQLE	4.6168	4.8927	4.3591	6.8869	5.4736	6.0938	5.7546	5.5038	5.7628	5.3462	7.445	7.1082	5.9528	5.9324	6.0501	6.1707	8.6598	6.0786	4.967	7.0212	6.4167	5.7956	7.6022	6.6369	5.7665	6.1527	4.5071	4.947	6.3689	5.9702	6.331	6.4119	6.1972	5.8236	5.8157	9.494	6.6624	5.4748	4.6577	6.0556
U133A__ANP32E	7.7696	7.1675	6.183	4.7827	8.1079	8.5756	6.3299	7.9447	9.2043	9.8021	7.8249	7.8684	7.971	7.8101	3.4688	6.0967	7.0035	8.1617	7.4757	9.4891	7.3647	7.0967	7.6872	7.282	6.932	7.591	9.3323	5.9998	7.3604	7.4851	6.1264	8.0691	7.2748	8.2153	6.6022	7.9594	7.1498	7.5878	6.7701	8.739
U133A__ASS1	8.9965	10.6204	10.1405	6.9859	9.3596	5.5255	9.906	5.071	11.4385	11.12	10.6679	9.6001	8.4924	10.0439	9.7497	8.8312	8.4519	9.9007	8.7957	10.7883	4.8566	7.9373	8.0875	7.5611	9.8209	6.1858	6.6999	8.4122	6.5167	8.0832	9.8523	5.3248	8.1294	7.8138	8.7915	10.3206	10.7413	8.3081	9.8953	8.8249
U133A__ASNS	5.7555	6.9915	8.9025	8.6184	7.1894	8.7816	8.0217	6.8922	7.2217	8.7944	7.2405	7.4364	8.23	7.3351	6.7055	8.3372	7.0562	7.619	7.5599	9.0102	8.0987	7.5216	7.197	7.7174	7.4411	6.7424	9.2835	6.6397	8.0286	6.3197	7.3892	8.7993	8.3637	7.3568	10.555	9.2583	11.7898	6.9057	6.5745	7.3136
U133A__KDELR3	7.7574	6.0177	6.3733	7.3768	7.0073	8.4164	5.4499	8.9598	8.6357	6.8337	6.2748	7.8566	7.4485	7.0864	5.1006	5.8854	6.8283	8.3566	7.4494	7.6389	8.6264	6.6977	5.9754	6.0059	7.9155	7.6533	7.7169	7.0497	8.1051	5.3789	5.5027	7.7253	6.8508	6.7554	8.6796	7.3828	7.6741	5.9734	7.138	9.1425
U133A__ISG20	8.275	7.6967	4.8316	6.2746	5.2423	5.0474	6.6827	6.4422	6.8949	5.3508	5.1734	5.7079	4.9467	5.2002	6.1257	6.1106	5.3907	6.1804	6.1827	7.1092	4.8358	5.1388	6.1813	5.9174	6.6011	6.2896	4.7503	5.8328	6.4042	5.2956	7.6847	4.819	6.2048	5.2027	7.8979	5.9049	6.5604	5.2023	7.9348	7.1531
U133A__RWDD1	7.4205	7.7046	8.7215	7.1539	6.7113	7.8573	7.1267	7.6753	6.7122	7.0839	7.2993	7.7228	7.3589	8.2412	8.0047	5.4506	11.1379	8.4297	7.6919	7.4456	7.9971	8.4697	7.1268	8.3973	8.1803	7.8542	8.3264	7.9228	8.0948	8.1495	7.8762	8.1894	7.0984	8.5174	7.2492	7.9832	8.9298	7.2329	5.5182	7.5395
U133A__ETV5	6.1958	5.3512	8.7998	6.0268	5.6377	6.6768	4.9464	6.4844	6.3476	5.5852	5.6541	6.9955	7.4543	6.374	7.529	5.8064	5.628	6.483	8.1696	5.9095	7.7918	6.185	5.4223	5.673	7.7123	6.6378	8.0412	6.1711	5.7368	5.7878	5.0177	7.3943	7.3494	6.991	7.0011	7.7549	7.809	5.5572	5.4015	5.2783
U133A__EFNA1	7.4693	9.3579	7.8341	7.5136	8.376	6.6392	8.3622	6.4668	9.1469	8.2413	7.3582	8.6901	6.6008	7.1272	7.1407	8.6568	7.8695	7.9285	6.7005	8.463	5.9166	7.5664	7.1332	5.7053	6.1636	7.2538	5.6049	7.2607	6.8021	7.6601	8.13	5.6522	7.3104	5.6485	7.3048	7.8227	7.0874	7.6772	8.8508	7.5574
U133A__SEC23A	5.6536	6.4033	6.0959	6.3551	5.6767	7.5831	5.0365	6.3168	5.6319	6.0224	3.7853	4.5046	6.0269	5.8319	6.0896	4.0846	7.3692	7.0419	7.823	6.2331	6.2394	6.075	6.6442	5.7261	6.617	6.0018	8.0254	4.5341	5.9943	5.3945	5.3527	6.4626	6.0872	6.8353	7.8656	5.2568	6.3942	5.4397	4.3727	6.6133
U133A__GNE	5.3352	5.3076	6.8641	5.2581	5.499	6.5008	5.4021	6.5984	5.967	4.4695	4.7172	5.5494	5.0627	6.9256	5.3405	4.9399	8.1098	5.192	6.4608	8.5545	5.9888	4.7223	4.7803	5.7832	7.899	6.9789	6.4229	6.856	6.3987	5.8493	4.9721	5.7542	5.3722	5.1636	3.8687	7.4947	5.399	4.9661	6.238	5.4946
U133A__PSPH	3.0836	2.8068	6.7289	8.8397	6.7999	6.9781	3.9571	3.0708	3.5236	4.0114	2.8876	4.9507	5.6603	5.337	4.8724	3.7695	3.2991	8.5676	4.3599	6.2269	3.3834	3.9784	3.957	3.1641	7.7069	8.0686	6.9336	3.8532	6.5213	3.6251	3.3861	7.1978	6.3427	3.5548	6.222	7.1996	3.3091	3.816	2.8167	3.3359
U133A__IMPA1	5.2363	5.5406	5.9502	6.2377	7.4474	7.8499	6.6765	6.156	6.7184	6.6645	7.2692	6.5049	7.2301	6.5723	6.7778	5.7266	6.2072	6.3296	9.1622	7.2514	8.1778	6.2839	5.8652	7.2879	7.6629	5.4641	9.0728	6.6845	5.8907	6.172	5.4364	7.0298	7.1631	7.3519	6.3428	7.4269	7.1394	6.7237	6.539	7.6335
U133A__SCGB1D2	12.0295	5.9787	4.3246	7.4401	4.2367	4.2012	5.4419	4.56	4.6072	4.468	4.4654	4.979	4.1649	4.2359	4.5342	4.8032	4.6409	4.3858	4.3554	4.1849	4.42	4.4166	4.8656	4.8114	4.6315	7.8355	4.3171	10.0737	11.5815	4.2609	4.5471	4.4279	4.1243	4.5642	4.1517	10.427	7.4584	4.425	6.8625	4.441
