Cell lines	600MPE	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	ZR751	ZR75B
EA_G__C3orf57	9.2863	5.9049	4.4867	7.7309	4.6794	7.6111	4.6058	4.6305	4.8902	7.5725	7.8092	4.6555	4.8895	6.7978	6.3972	7.6159	5.5729	4.2895	7.5956	4.3645	9.7988	9.5034	6.3347	4.7775	8.9892	4.9538	8.019	6.9899	7.6702	6.6396	4.8998	5.106	4.8812	9.1923	8.0725	6.9367	7.0395	4.7138	4.7469
EA_G__F2R	6.7287	3.9377	5.3006	6.0925	4.2658	5.4885	8.6304	7.5208	7.3673	3.7952	3.924	5.4926	5.8655	6.2163	6.2123	4.8476	5.9294	5.7165	5.6475	8.9206	4.2515	4.3759	7.2447	9.6043	7.1297	6.9131	6.7434	7.4069	4.324	4.1797	9.12	5.1913	9.355	7.9381	4.7486	5.2218	4.3686	6.5613	6.8521
EA_G__ABCC5	5.9535	8.05	7.5093	8.3158	6.8239	8.6461	6.9295	6.5499	7	7.9766	9.0062	7.5615	7.5179	8.4078	7.2503	9.2941	6.922	6.4032	8.0915	7.2329	8.4363	7.7763	6.6309	6.5591	7.5629	6.0979	8.1434	8.4676	6.6576	8.1011	6.0554	6.2323	6.02	9.9184	5.7974	6.9504	7.7622	7.3995	7.4722
EA_G__ARNTL2	6.1217	3.8101	6.5916	4.8596	6.4819	3.8273	7.7471	6.2038	6.5566	4.5198	3.7394	5.7917	9.3976	8.4682	6.7304	5.9108	7.6544	6.7791	6.4344	6.9847	5.4205	5.5538	4.4456	4.9612	4.6794	7.737	5.8374	4.5655	4.671	4.5466	8.1851	7.4415	7.0224	6.74	4.5638	5.8324	5.2486	5.0043	5.9745
EA_G__DEGS2	10.094	7.8298	7.062	10.9171	6.9738	11.1875	6.9282	7.169	7.3682	7.8178	11.8243	7.0946	7.2195	7.4204	7.132	9.1281	8.1767	6.9468	7.466	6.9471	8.7706	10.052	10.3736	7.0186	11.2507	7.0805	9.9454	11.6743	10.5058	8.2788	7.3888	7.2168	7.1113	10.6843	10.3998	9.5285	10.7139	11.6494	11.3238
EA_G__C10orf38	6.2483	5.0201	5.3839	5.3107	8.0693	5.1925	7.2034	9.0347	6.0324	4.802	4.8767	7.5243	7.2618	6.0726	5.855	5.238	6.5257	7.1925	5.3892	7.1998	5.5845	5.4859	4.9971	8.3927	5.5611	7.5852	5.2761	4.6143	5.828	5.3883	5.3581	5.9375	7.9592	5.5203	5.343	5.5036	5.4112	5.3111	5.3004
EA_G__RNF43	5.3598	5.5481	6.4542	9.0024	4.517	7.0424	6.9704	4.5084	4.5124	6.8189	7.5374	4.6685	6.1754	6.2646	5.8021	7.392	6.6274	4.3808	5.6474	5.393	7.2004	8.5708	7.292	4.3806	6.8899	4.7247	9.1075	8.2078	6.6093	5.1643	4.3623	6.5364	6.1999	7.3213	6.961	5.925	6.1298	7.9528	5.3555
EA_G__ERBB2	9.7997	12.3532	8.5748	12.3566	7.7806	9.1247	7.7491	8.9829	7.1261	12.6526	8.5876	11.3467	7.4832	7.6512	12.3708	10.2349	8.7512	8.1322	8.6875	7.0841	8.5271	8.7417	8.307	7.9542	9.8661	7.3805	11.4924	9.0715	10.6304	12.0992	8.1194	7.4859	7.6326	8.7176	12.6826	8.6454	9.1608	10.0611	9.751
EA_G__CDYL2	7.3631	7.0718	8.1386	8.2646	5.849	8.0675	5.272	5.5548	5.3771	8.4468	8.5447	5.8033	5.7483	5.7744	7.8384	8.1388	5.639	5.5573	5.97	6.2366	8.7179	8.367	8.0456	5.4427	8.2305	6.9612	8.487	8.1416	7.5519	7.1617	5.9508	5.5106	6.3854	8.3072	6.9069	7.6963	7.086	7.7872	6.4997
EA_G__MAPK13	8.8569	5.7396	8.8783	8.9074	5.4127	8.4843	7.2281	6.6557	5.5989	8.9054	7.3132	5.6793	9.2513	7.9948	7.8879	7.9473	5.5743	5.7215	9.0168	5.3583	8.6374	7.9377	9.0236	5.4413	8.6852	8.6457	9.7135	9.2189	8.8961	6.4072	5.5621	8.1762	5.5973	9.1242	8.9669	8.3048	8.7898	8.6697	8.3449
