Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
EA_G__PLSCR1	6.007	4.9531	6.0385	5.2434	5.7498	6.2815	4.905	7.562	6.3723	6.1836	6.0387	5.7123	6.5254	6.119	8.0815	5.5683	7.0136	5.5771	8.2668	6.0881	5.757	5.0735	5.4781	5.158	5.696	6.174	6.115	6.533	5.08	5.103	5.5	7.6768	6.8309	4.4089	7.7226	5.4504	5.5249	5.2	4.3885	5.0149
EA_G__PSPH	8.1364	7.3902	10.0086	8.985	6.9631	9.0737	8.3679	8.7555	8.7772	8.3853	8.0849	7.9505	7.6698	7.865	8.5813	8.078	8.4717	8.0389	8.4856	8.2638	8.3905	7.56	7.4143	8.7498	7.7325	8.7525	8.3302	7.5235	8.1851	7.2295	9.1561	7.8796	7.7659	8.8248	9.1318	7.2878	8.4671	7.1854	7.4852	7.5738
EA_G__IFI6	8.0205	8.8049	6.9188	7.9177	11.3769	8.1399	6.2723	9.5254	8.5864	8.7518	7.8325	8.8305	9.6611	7.6102	10.0389	7.7947	7.5965	7.6075	12.4696	7.8243	8.8915	9.206	10.2621	9.0368	8.9342	7.4426	9.8659	11.0616	7.5724	7.6435	8.5163	10.2681	7.7294	6.7292	12.5566	8.3479	9.3106	7.8069	7.9529	6.4615
EA_G__PDGFC	6.2406	5.2252	5.8828	4.5988	4.6285	6.9602	4.254	6.6341	6.9329	6.5961	5.683	4.128	4.3127	5.9231	5.6638	6.1259	5.5105	6.0058	6.6886	6.8017	4.0501	4.408	3.7897	6.6632	4.9434	8.0265	5.6458	4.57	5.3536	4.9157	8.2663	6.9944	7.0339	3.9536	7.7297	5.2456	6.1582	3.8801	5.4219	5.5455
EA_G__NAV2	7.047	5.9388	8.3512	5.1132	6.0164	6.6849	5.544	6.9753	9.7986	7.586	5.5004	5.4398	5.3615	5.9011	7.0078	5.5622	7.9494	5.0788	6.3855	7.6234	5.2578	4.9935	7.0901	6.821	7.11	6.9071	5.3098	8.0044	5.7505	6.8978	8.132	7.6056	8.1373	6.9788	6.4853	7.9451	4.7301	5.2354	4.8832	4.7912
EA_G__TNFSF15	8.1057	5.0665	4.2376	6.5491	5.3442	4.8168	3.937	6.7509	8.5035	4.0823	4.4359	4.2295	4.6983	5.0589	6.2062	6.7812	6.1778	3.8683	5.2534	4.2908	5.1889	4.1671	6.2623	4.6553	5.7061	4.5483	8.9447	6.2674	5.0295	4.9746	4.2144	5.4643	4.2661	8.0557	5.1116	7.2695	5.1029	5.1025	4.7308	4.587
EA_G__ZBTB38	6.445	5.7599	7.019	5.9454	5.7582	6.691	6.0673	5.7725	4.6195	6.0146	5.3294	6.516	5.4122	6.1625	6.9446	5.9031	7.1504	7.0423	6.7134	8.622	5.4905	5.4519	5.5256	6.4745	6.2141	6.3602	6.5626	6.7874	4.8442	5.7475	7.3034	7.7935	7.6197	5.8735	7.7381	6.2525	7.1268	4.9842	5.6218	4.7997
EA_G__PPM2C	6.8303	5.9722	7.7697	7.6728	7.438	8.6017	8.5499	9.1553	6.737	7.8162	10.0805	6.7368	7.5476	7.6749	8.7905	7.33	8.7959	6.844	8.9514	8.7395	7.4152	7.2127	7.1936	8.1894	7.0653	7.5908	7.1395	7.3435	7.4793	5.8525	8.2374	7.4353	7.6362	7.6471	8.0402	5.724	6.4073	7.4892	7.2866	7.1381
EA_G__ARHGAP18	5.5988	5.631	5.5199	6.5887	4.7252	7.2885	5.2074	6.6089	4.9579	5.6958	6.7369	5.1862	6.6774	6.4351	7.3713	6.7022	7.2933	7.8405	7.9695	7.5814	5.5177	6.6724	4.2449	6.1321	5.6656	6.8698	6.285	7.6441	5.6892	5.7823	5.9652	6.9738	9.2011	6.1521	5.9493	5.8856	6.5006	5.9544	4.8022	6.3868
EA_G__PSAT1	3.5968	8.2914	9.3579	8.5626	6.3553	9.8292	3.9255	9.3664	8.8569	9.819	8.0891	6.1267	8.8646	8.96	9.5056	7.9384	4.1475	9.6668	9.8041	8.7413	8.3464	7.1102	4.4041	8.3568	7.6086	8.8755	6.8694	4.8052	4.78	8.176	10.1293	8.7025	9.0258	10.4948	10.2469	4.0839	7.9566	4.4052	6.4859	6.414
EA_G__TNFSF10	7.2591	5.7198	3.5621	6.1808	6.6762	3.9131	4.191	3.5048	7.7882	3.4474	7.5689	6.5684	3.5722	4.645	6.3477	8.1757	5.2783	3.5772	9.709	3.725	3.7304	4.1417	6.1581	6.8426	5.5207	4.6852	7.0454	8.5212	6.1688	4.2662	3.6572	4.2944	3.437	7.5867	9.1214	7.7597	6.7804	6.5223	5.9878	4.0143
EA_G__ETV5	6.2865	4.3272	9.1423	7.3578	5.0088	6.9009	4.2365	5.8917	6.4816	7.5422	7.6289	4.0637	6.2938	6.6339	8.6748	4.5278	8.0022	8.106	6.3993	8.4113	5.8307	5.215	4.6177	7.0525	6.8419	7.8838	4.0658	6.391	5.5641	4.6071	8.3688	6.1142	7.3205	7.1489	8.6807	7.6779	4.437	7.0861	4.0131	3.8071
