Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM102PT	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
EA_G__INTS4	9.0693	7.569	6.9865	7.4736	7.7803	6.8325	7.1769	6.7986	7.6222	7.6034	6.7463	7.5097	7.4777	8.5471	7.7013	7.8553	7.3614	7.0777	7.3271	7.6682	6.7944	7.8397	7.558	7.3147	6.8751	7.8706	6.2978	7.1597	6.4948	7.0961	7.7161	6.984	6.8129	7.2186	7.2886	7.2815	7.1437	8.7687	8.1203	7.4996	6.5338	6.8937
EA_G__ANPEP	6.8343	5.9528	5.4461	5.4878	11.5006	5.3386	7.6388	5.215	7.8921	6.1665	5.1413	5.3679	5.2457	5.8735	9.4036	5.5622	5.7574	5.5417	5.4591	8.0727	6.9193	9.248	5.723	5.6553	9.2404	5.2504	5.238	5.586	10.8271	5.9814	9.9961	6.0553	5.3041	12.6822	11.1296	11.0415	5.504	5.5284	5.6926	6.1733	5.347	5.2839
EA_G__WWTR1	8.5062	8.2368	6.8254	6.4282	9.2967	6.3017	8.757	9.5252	6.9849	10.1663	7.4681	8.7618	8.6822	9.1395	10.0926	8.6425	7.9111	9.9261	9.4158	10.9385	9.7446	9.7977	7.4116	7.6245	8.8946	9.0873	7.4909	7.9722	7.8901	7.2931	9.0628	7.9894	8.3158	10.0168	8.4116	7.8581	5.6614	9.2749	8.2689	8.4534	7.9319	6.0988
EA_G__ATP2A3	6.4418	10.1714	10.4885	9.4747	5.8486	6.8611	6.7855	7.2042	6.2893	6.6021	10.5171	6.5551	6.2867	6.3948	6.3348	5.8829	8.8228	9.0422	5.9762	6.143	6.0371	5.8594	9.182	10.404	7.3485	5.9051	9.8146	8.7424	6.6343	7.2988	5.8833	9.8741	6.031	6.0386	6.5756	5.9371	10.2892	7.2415	8.8388	8.334	8.8984	9.8977
EA_G__CRISPLD2	4.9521	6.5086	6.4789	6.4204	8.341	5.3443	6.7446	5.3199	9.5989	6.4407	5.1924	5.9152	5.1351	5.9629	7.4849	5.9673	6.7264	6.3755	6.8858	7.9022	6.0834	7.0641	6.0387	6.0562	6.4748	5.4103	7.1873	4.8537	5.3089	5.9612	6.169	6.0439	4.8138	4.6397	5.7479	7.8721	6.6619	5.5499	6.5141	6.0975	5.8106	5.1146
EA_G__GREB1	7.7266	5.1994	8.065	9.9004	4.9192	8.3065	5.6457	5.0069	4.9788	5.0048	5.6605	10.3094	5.0213	5.124	4.7545	5.1244	4.8717	4.9551	5.1207	5.0989	5.1942	4.9357	8.9837	8.8045	4.9269	5.4587	10.088	5.7659	6.0497	5.3925	4.9612	5.4098	5.4519	4.7723	5.3523	4.9276	4.9994	7.1014	8.7221	8.5094	5.2315	6.7104
EA_G__ALDH1L2	3.8704	4.6506	3.8029	4.0778	8.2493	3.8382	5.0807	6.0497	8.1465	8.2078	4.1275	3.7704	7.1758	6.5789	5.668	4.2326	5.146	4.624	6.2321	7.7076	8.421	7.2761	3.9378	4.2675	7.2696	3.8061	3.6811	3.6515	6.6819	4.2305	9.0307	6.1047	9.9614	8.7186	5.4012	4.4385	5.1538	4.5222	6.1109	4.577	3.9143	3.8966
EA_G__DCBLD1	8.0507	7.3596	6.569	5.4158	6.654	6.1741	8.4015	7.8853	7.573	8.619	7.2112	6.2603	8.716	7.3743	8.3283	9.1338	6.5455	9.7068	8.8283	8.211	8.1033	9.1712	7.6008	7.0742	7.9422	9.4711	7.2718	7.6412	7.2028	7.4242	9.2099	6.6999	8.5466	8.6572	10.4023	9.4362	6.8646	7.0277	6.9867	7.219	6.199	6.7029
EA_G__MCAM	5.2407	5.7795	5.1883	5.2259	5.6003	5.1722	5.398	9.3743	7.982	7.1729	5.052	4.9842	9.6692	7.1972	5.6044	5.2324	6.005	6.1156	8.2544	7.2642	6.6063	6.1967	5.3892	5.3243	10.2004	7.8638	5.0728	5.3592	5.5956	5.9372	5.9742	5.5648	5.8187	6.5817	8.8252	6.4371	5.4652	5.5898	5.4962	5.4539	5.5286	5.1903
EA_G__TBC1D9	7.4411	8.3535	7.6125	9.4084	6.2048	8.2922	6.5655	5.6316	6.1005	6.2244	8.751	9.4283	6.6935	4.8845	6.4304	6.9985	7.2152	7.8677	6.602	6.7832	7.9176	7.5388	8.4629	10.3338	7.3339	7.0702	9.0012	8.2913	7.3994	6.6536	7.5585	7.897	7.2012	7.062	6.6687	7.2625	9.282	7.818	7.18	7.4421	7.7944	8.5484
