Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	UACC893	ZR751	ZR75B
Response	-1	1	-1	1	1	1	1	-1	1	1	-1	-1	-1	1	-1	-1	1	-1	-1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	-1	-1	1	-1	1
EA_G__KRT15	6.6447	7.3006	7.5904	10.0685	4.6526	4.7242	4.613	8.7603	5.3217	4.7074	11.2798	6.6491	8.6675	6.5006	10.2787	11.5355	5.2958	6.6294	9.1835	4.323	7.0635	4.5703	5.6076	5.4125	5.1034	4.2498	8.0252	4.9823	5.8626	6.1464	4.2547	4.569	6.7887	6.5217	4.726	6.2376	4.6378	7.824	5.7526	6.9139	5.7426	7.3525	4.8536	7.2027
EA_G__NPAL2	6.9008	5.9027	6.3489	6.9902	4.937	4.6577	3.3981	5.4937	6.2101	3.9815	8.9241	8.0853	6.4543	4.0973	7.2119	6.8325	7.3829	7.1773	6.7199	5.7675	6.141	6.516	7.0963	6.8102	4.6957	6.6986	7.2536	6.4927	6.9277	6.313	4.8701	5.4176	6.0651	5.8846	5.0348	6.7427	5.276	5.5001	6.5493	6.7587	7.214	6.6721	6.7578	6.4154
EA_G__MLLT11	8.007	6.2008	5.7109	6.3736	8.5988	6.3349	7.4033	5.8992	6.8591	6.23	6.483	6.4591	6.2006	8.6925	5.9117	5.5161	7.3871	5.3775	5.7241	9.0878	6.1603	7.701	6.562	7.0744	8.2785	9.0157	6.1221	6.7845	8.4846	7.7671	8.6984	7.8246	6.7332	5.9092	7.6861	6.9994	8.4946	5.9528	6.7688	7.357	6.6726	7.6247	6.1401	5.5694
EA_G__KRT23	9.6844	6.71	4.1386	8.425	3.63	3.6053	3.3917	6.9669	3.8549	3.5091	3.9312	4.4876	9.4953	4.3026	8.6489	8.5774	4.8774	7.5157	6.7166	3.6214	9.4504	3.4724	4.0244	4.2074	4.4201	3.2977	6.7056	3.5147	3.6071	4.4773	3.6244	5.3331	9.6482	5.8319	3.6117	5.6051	3.61	8.5478	7.5049	9.525	7.3896	3.6491	3.9554	3.8349
EA_G__MPP7	8.0834	7.201	7.6254	7.7941	3.5809	7.1178	5.6788	6.0094	6.4583	3.9626	7.6765	8.069	7.0109	4.702	6.5822	6.5066	7.1208	8.1318	6.4942	4.974	6.8515	4.1343	6.835	7.312	7.3818	3.4258	7.7846	4.8621	7.4319	7.8872	4.733	4.7048	7.0416	6.7447	3.9781	5.7979	4.8244	7.7533	5.708	8.7197	7.3438	7.8291	7.4885	6.8702
EA_G__MAP1B	4.0691	4.1506	4.4828	4.4376	7.3859	4.0451	7.5013	7.1683	6.6007	8.4876	3.7581	4.3324	4.8655	5.0727	5.2252	5.1172	6.0937	4.0538	6.0101	7.7143	6.2577	8.7705	4.4155	5.0935	5.1036	7.836	4.0668	7.159	4.158	5.8074	7.4831	4.7968	5.1698	4.2089	8.0577	4.7129	8.5112	8.6027	4.2357	4.0326	4.3419	7.2641	4.0378	4.0619
EA_G__LIPH	8.4661	7.5135	8.2321	6.8172	3.6755	7.9496	4.4041	6.4182	3.6525	4.0753	9.3901	7.1827	3.6134	6.0356	8.0156	8.1393	7.5188	7.5421	6.9907	4.983	7.9823	3.51	5.738	6.1944	6.2969	3.7329	8.8815	6.2542	7.8334	9.0871	3.646	5.0663	6.4183	7.6077	4.2029	4.7425	3.8212	5.1787	8.8942	8.1795	7.7175	8.1537	7.6	5.5122
EA_G__CHMP4C	6.9565	7.0253	7.5918	7.4754	4.8844	7.1787	4.9775	7.8679	6.6028	4.4485	10.317	7.7176	6.0677	6.7877	7.5568	7.223	7.8252	7.8167	7.6065	7.0129	7.5536	4.1153	7.291	7.4487	7.2768	4.752	7.1539	6.6016	6.743	7.0289	5.7798	7.3943	6.9935	6.9426	4.4597	7.4901	5.7615	7.3185	7.1496	7.4523	7.0903	6.3365	7.0563	7.0406
EA_G__CHAC1	6.4402	6.8948	6.8373	6.0799	7.8801	8.0356	6.779	7.3749	7.5149	7.6317	7.4711	6.3025	6.3981	7.9541	7.0921	6.7527	7.6918	6.156	6.4615	6.6071	8.4346	7.2855	8.1311	8.0203	6.3289	7.28	7.068	7.5078	6.4666	7.1311	7.9951	7.937	8.6301	6.8757	9.1523	7.1693	6.6026	10.1926	5.765	6.5656	7.071	8.3474	6.0084	5.5164
EA_G__LOXL1	8.8376	7.4349	7.7773	7.7061	9.0295	7.7618	8.9224	7.752	10.6471	8.9133	7.4156	7.31	8.0085	7.5414	7.4587	7.4168	7.5779	7.5758	7.4601	8.8739	7.7037	9.9236	7.5935	7.9409	8.9285	9.9529	7.5511	8.058	8.253	8.0283	8.3031	8.322	7.0696	7.6632	9.634	9.1346	8.9559	8.8333	8.7906	7.5289	7.9717	7.6656	8.0361	7.5038
EA_G__HMOX1	6.6282	7.6033	6.4604	7.3781	10.3403	7.8006	7.4373	7.4218	9.441	8.9858	6.3006	6.8771	7.4095	7.0947	6.6083	6.9832	7.1866	7.9572	7.1287	7.5388	7.7313	8.0817	6.7644	6.9032	7.2963	7.0065	7.1569	6.823	6.9709	7.2995	9.4213	6.9214	8.2259	7.8251	10.9474	7.5801	9.7875	6.8201	6.622	6.6301	6.6336	6.8436	7.2665	8.529
EA_G__PLTP	5.0073	8.5711	5.2791	5.2349	10.3023	5.2284	7.8471	4.7825	8.4926	6.2465	5.1712	4.9001	5.0077	9.6842	6.7248	4.9769	5.2512	5.1362	5.2193	8.4584	7.8778	7.0504	5.3973	5.4912	5.1136	5.7376	5.922	5.4134	5.2568	5.2596	8.3295	6.0475	4.8866	9.1856	5.2902	6.5947	5.3555	5.1643	5.5689	5.832	5.2921	5.1624	5.1842	5.1372
EA_G__TMEM16A	5.2908	7.2916	9.4332	8.3635	4.9702	5.3162	4.9749	9.8919	8.7183	5.2833	9.0278	8.6188	6.5456	7.9563	8.5709	7.4917	7.0008	7.5129	6.7371	4.7918	5.8483	5.1414	5.324	5.5073	6.9861	5.098	7.6208	4.7971	8.0768	11.1144	4.6176	7.8885	6.907	8.0278	5.0673	5.1832	5.1206	5.3765	5.3902	7.2997	5.773	7.4956	10.4323	8.705
EA_G__CCL28	6.3841	4.5541	4.4882	5.5135	3.9286	3.9476	5.7813	6.9018	5.03	3.7831	6.3095	9.8222	4.2333	6.598	6.3216	7.205	7.008	7.8981	4.3006	3.8536	8.3271	3.7685	4.202	5.9563	4.2058	3.8438	4.8442	5.0595	3.9539	6.7971	3.9413	6.9669	6.5128	4.5795	3.7521	4.022	3.8049	4.1642	5.9627	6.8893	7.1737	6.1808	4.6225	4.278
EA_G__IRF6	9.1696	8.0282	8.1633	10.1843	3.8128	9.1797	5.2981	10.0554	6.7037	4.5638	8.2055	9.4594	8.5462	9.872	9.6737	8.8168	8.5601	8.441	8.7425	4.26	8.7031	4.1966	7.1606	7.4177	8.6837	4.2715	8.9155	4.6084	8.7099	9.4025	4.2265	8.2687	7.1182	8.274	4.6999	8.2688	5.0442	8.089	9.079	8.3038	7.8424	8.5611	9.1979	8.3068
EA_G__MPZL2	7.3719	8.6176	7.2143	7.3076	4.2879	4.419	5.9611	7.7694	6.6724	3.5131	7.6984	8.0349	8.2702	9.4412	8.84	9.0008	7.4943	9.3383	8.5485	4.4397	8.184	3.998	8.2389	8.139	4.93	3.2662	9.3087	5.9442	7.1773	7.9779	3.6367	7.2399	7.7566	9.0231	3.7817	8.534	3.5483	7.5277	8.5938	8.7982	8.025	8.5613	6.9311	6.4377
EA_G__C20orf54	7.8454	7.0549	8.7599	8.2466	4.561	7.0352	4.9848	7.1855	6.3617	4.0836	7.3675	5.81	5.7621	7.1471	7.8136	6.9528	7.1588	8.6817	6.6259	4.5418	9.0217	4.4105	5.525	5.5658	7.5515	4.7941	9.2928	5.1877	8.0301	7.9836	4.8258	7.323	6.982	7.5251	5.0305	5.8399	4.8263	8.2048	7.4639	8.2019	7.7561	7.4981	8.9315	7.757
EA_G__TGFA	6.3629	5.5145	6.1973	5.791	5.3757	5.4324	5.5428	8.1416	6.3221	4.9146	6.4146	7.4134	5.2882	8.9068	8.1292	7.6788	5.1958	7.2032	7.1936	5.1957	7.2558	5.0225	5.8052	5.81	6.5098	5.1393	6.0162	6.7124	6.3208	5.4841	6.5223	5.7603	6.866	5.7866	5.3489	6.6355	5.6539	6.6669	6.6719	6.4806	6.862	6.2334	6.463	6.1656
EA_G__VTCN1	8.5548	8.4065	7.5452	6.2201	3.5205	8.5954	3.7821	6.5572	6.2389	3.9224	8.7124	8.4635	8.9774	3.9249	6.5605	7.6681	8.428	8.5877	7.1076	3.96	9.0505	3.5167	5.94	6.4774	5.1673	3.6512	7.8442	3.599	7.2457	8.9107	3.7255	5.6222	9.044	9.5899	4.0347	5.0407	3.5754	7.0528	4.6838	7.9421	4.3324	6.3741	8.6651	8.5439
EA_G__ADAMTS2	6.1291	6.4219	6.2602	6.0553	7.6736	6.1679	6.8899	6.1605	6.2747	7.8228	5.8276	6.0975	6.1593	6.3934	5.9939	6.1867	6.1105	6.3238	6.2655	7.1276	6.3853	9.24	6.3816	6.4391	6.064	10.5608	6.2993	6.1669	6.0913	5.8184	7.2758	6.9592	5.8207	6.5254	6.4858	6.4164	7.2845	6.2169	6.6946	6.26	6.1651	6.1677	6.1176	6.2255
EA_G__KREMEN1	6.5585	6.9751	8.046	7.4854	6.2366	6.3047	7.0071	7.6357	6.6143	7.7238	9.2185	7.0632	7.6468	7.082	6.9969	6.8058	7.631	7.5835	6.7676	6.5842	5.4202	6.1612	7.2185	6.9237	7.4166	7.088	8.303	6.2457	9.67	7.3885	5.957	7.2974	6.3222	6.9629	6.9396	6.5568	6.1826	7.9062	7.3377	8.1413	8.4315	7.6513	8.2097	7.8019
EA_G__CD70	5.751	6.095	5.9264	5.9891	9.2873	5.8165	8.6229	5.635	6.0109	6.1717	5.5472	5.7894	5.9084	6.3698	7.5095	5.9854	6.4595	6.0164	6.57	7.3889	6.1514	7.0363	6.5176	6.2921	6.1646	7.9037	6.093	5.8775	5.838	5.6141	7.0739	6.8988	6.031	6.4766	8.247	7.4493	6.1209	6.271	6.5134	5.7678	6.0505	5.9258	6.2478	6.0144
EA_G__SPG20	6.4757	5.0461	3.5577	5.1113	7.816	5.6194	6.0121	5.5456	6.6799	7.0237	4.4108	4.0133	5.9425	7.2958	3.4923	3.9953	5.6525	3.519	5.1023	6.697	5.8755	6.5782	3.5495	5.1681	4.2738	5.3775	4.8571	6.4802	3.8283	3.2704	7.1908	3.8675	3.4602	5.2663	7.3736	6.6888	6.3502	6.0086	4.7567	4.7806	5.011	5.1621	4.7522	4.8467
EA_G__NAV1	7.4175	8.9354	5.4838	5.7925	7.8052	5.1032	7.2041	5.0575	7.9118	7.629	4.8157	4.8473	5.8443	6.4689	7.4442	6.9431	5.6569	7.9222	7.0711	8.0474	8.2228	8.6572	5.6577	5.8182	8.033	8.6836	6.9589	6.4817	6.5266	6.955	6.9507	6.2838	7.576	8.7193	8.8574	7.5636	8.4718	6.3187	6.2935	5.239	5.7713	5.9253	5.7746	5.8825
EA_G__PCOLCE	6.7534	6.7128	6.712	7.2308	6.7364	7.4607	9.2394	6.9746	7.6908	10.842	6.4453	6.5451	7.4562	6.8707	6.4979	6.2802	7.4487	7.2003	6.3125	6.7406	7.4144	10.6903	7.7289	7.314	6.9391	11.8645	7.3984	6.8586	6.6072	6.1781	8.4094	7.129	6.5356	7.0203	7.1821	7.4437	8.8205	6.6901	7.396	6.5972	6.7696	6.9162	7.103	7.3112
EA_G__FBN1	4.0325	4.4696	4.3114	3.7441	9.1291	4.5158	7.4772	3.9745	4.8806	9.1111	3.8068	3.7206	3.7491	5.0767	5.1934	3.7998	4.1794	3.9682	4.7343	7.9714	4.2928	10.7199	4.1196	4.204	4.1752	8.9657	5.9105	7.4142	3.7385	3.8478	7.4946	4.9919	3.7862	5.3032	8.5241	4.622	7.1987	4.0836	4.4269	4.0175	4.0932	4.1633	4.4051	4.1226
EA_G__CTSH	9.1657	7.8295	8.0322	8.7116	8.5869	5.5315	6.7076	8.4511	8.0863	6.4945	9.7603	8.0625	9.3242	8.5953	8.9432	9.5252	8.6171	8.341	8.4416	7.2664	9.9204	5.6387	8.4003	8.9769	7.4055	7.5765	8.5307	7.2789	6.8818	8.5445	4.4925	6.6818	9.7643	8.1243	8.5227	8.5039	5.5465	5.5571	8.151	8.5519	8.9272	10.1629	8.1753	7.6677
EA_G__TFAP2C	8.4653	10.5778	10.7608	10.6184	7.8386	9.2186	7.3581	9.3715	8.6474	8.6443	10.4105	10.6646	9.1427	7.5203	8.1918	9.9949	8.3308	9.229	8.6087	7.8509	8.6552	6.3748	9.5426	9.962	8.8983	9.3239	9.4242	7.7802	9.0826	7.7759	8.7367	8.0262	9.6231	10.7448	4.2527	8.6018	6.8846	9.3288	9.3561	9.5701	9.9779	9.4766	8.6696	9.141
EA_G__ORAOV1	8.2313	6.4744	7.8938	7.219	6.7332	8.1568	6.6245	9.6947	7.2866	7.9577	7.3624	7.1782	7.0665	7.3266	7.6739	9.2426	6.8291	6.9966	7.0467	6.8871	5.9478	6.6288	7.3092	6.799	9.6775	6.6838	8.0037	7.4794	7.8636	9.6344	6.3117	6.2121	7.1063	6.4221	6.4126	6.9603	6.91	6.4525	6.6058	7.1829	6.6734	6.8374	7.3147	7.9994
EA_G__ANPEP	6.8343	5.9528	5.4461	5.4878	11.5006	5.3386	7.6388	5.215	7.8921	6.1665	5.1413	5.3679	5.2457	5.8735	9.4036	5.5622	5.7574	5.5417	5.4591	8.0727	6.9193	9.248	5.723	5.6553	5.3523	9.2404	5.4979	5.2504	5.238	5.586	10.8271	5.9814	9.9961	6.0553	12.6822	11.1296	11.0415	5.504	5.5284	5.6926	6.1733	6.3325	5.347	5.2839
EA_G__ERBB2	9.7997	12.3532	12.3566	10.2935	7.7806	9.1247	7.8804	7.7491	8.9829	7.1261	12.6526	8.5876	11.3467	7.4832	7.6512	12.3708	12.1521	10.2349	8.7512	8.1322	8.6875	7.0841	8.5271	8.7417	8.307	7.9542	9.8661	7.3805	11.4924	9.0715	7.2558	10.6304	8.1444	12.0992	8.1194	7.4859	7.6326	8.7176	8.6454	9.1608	12.2493	12.3737	10.0611	9.751
EA_G__ORMDL3	8.742	9.4661	11.4831	8.9199	7.3014	8.1979	7.672	6.6416	7.9055	7.2593	8.4602	8.1771	7.8021	7.2506	8.1827	12.4038	8.1391	8.7695	8.0969	8.429	7.8199	7.3423	7.8046	7.8203	9.0599	7.7325	8.5764	7.4686	7.6291	8.4639	7.2511	8.7947	7.5371	9.477	6.7234	6.7856	7.2867	7.9185	8.0333	8.8896	10.8822	12.4916	9.0178	8.2547
EA_G__7A5	10.3607	8.9896	8.3314	9.0219	3.2606	7.2942	3.6041	7.6597	5.6095	3.7134	9.2592	6.5231	3.7622	8.2988	8.3687	9.8414	9.9699	8.9054	8.2759	4.0236	9.6757	3.4441	6.8545	7.4974	5.2953	3.1486	9.6105	4.0122	7.6718	8.5499	3.7539	7.1	8.027	8.7273	3.9994	6.9247	3.9668	7.1495	7.0569	8.1383	9.6843	9.369	7.3096	9.2036
EA_G__TMEM40	7.2854	7.4334	5.7782	7.8476	5.2513	5.2131	6.6751	7.5406	6.6415	5.0773	6.6767	7.0888	5.194	7.6131	8.3898	8.0411	6.4523	7.7376	8.3524	4.9283	7.4664	4.9958	6.1124	5.4015	6.3516	5.0811	8.6503	5.1149	6.7885	5.7731	7.6318	5.6452	6.9034	8.0187	5.178	5.4182	5.0215	8.4149	8.5111	7.7856	6.1424	6.3804	6.5906	5.847
EA_G__CALB2	8.0751	4.3682	4.991	7.6983	4.5283	4.2529	5.2906	6.6151	6.014	5.4987	4.9633	6.5905	9.8532	6.3751	6.9999	9.7141	4.72	6.0323	9.3111	5.3211	9.8956	4.8503	4.3033	4.8289	4.4451	4.5107	8.4755	5.5838	4.4435	4.3592	6.6555	5.5252	4.3736	5.0455	5.3978	5.355	4.3414	6.2369	4.9478	4.5061	5.5055	9.9995	4.6117	4.5077
EA_G__CHDH	8.1747	5.7765	8.0397	6.7069	5.5535	7.8047	6.1859	7.3454	7.4832	6.7226	5.4023	7.3578	8.4609	5.9458	6.8987	6.2812	7.5206	7.2342	6.9515	6.0461	7.5888	5.1343	7.4567	6.7619	6.0203	5.6341	8.1154	5.4675	8.361	7.9733	6.5292	7.7363	6.8733	5.5396	6.7458	6.3557	5.3534	5.9997	5.8103	7.2057	7.6034	7.6775	7.8407	7.3754
EA_G__SGK3	5.7648	5.5345	7.7462	7.3721	5.8386	6.7755	4.7772	6.8608	6.8632	3.7862	7.6689	8.075	6.2488	6.7499	6.9819	6.0813	4.8688	8.1469	6.143	5.6877	6.0123	6.4531	5.643	7.2611	7.2405	5.2273	6.546	6.6847	8.3658	5.6821	5.2706	4.6227	6.405	6.2563	6.8148	5.3602	6.0481	6.2606	6.007	7.5886	6.1775	4.1912	5.8094	5.8588
EA_G__ST6GAL1	7.1627	7.7394	6.0727	5.7592	4.9826	5.8866	4.836	5.2929	4.8651	4.3675	7.1704	4.4732	6.6134	4.3999	5.6027	6.9928	6.392	6.3251	5.7577	4.7896	6.3255	4.7526	5.2073	4.6559	4.3331	4.6197	6.3901	4.8325	5.7496	8.8885	5.2717	5.4107	6.5059	6.5704	5.1495	6.8937	4.9485	5.7285	6.9642	6.9889	6.987	8.8146	7.0116	5.2249
EA_G__S100P	11.3731	10.1247	7.2864	5.4932	5.7465	5.557	5.5822	6.9423	5.8348	5.7318	9.1996	5.8917	6.7804	6.0665	7.9226	7.2762	6.5167	9.8817	8.8998	5.1913	7.8569	5.8489	7.6831	6.3119	5.3577	5.5392	9.0019	6.1748	6.4696	7.9889	5.4397	5.8328	7.65	9.015	5.4877	8.6915	5.2488	9.6301	9.2091	7.4099	6.8574	8.529	7.2725	9.0204
EA_G__KRT13	6.9552	7.2847	6.1001	10.33	5.8539	5.749	6.0119	6.2374	5.8131	5.8504	5.8338	8.2877	5.8424	10.3909	10.2844	6.4656	5.9006	5.958	5.8992	5.5661	5.9554	5.8534	6.201	6.0885	5.618	5.3836	6.2938	5.7852	5.6344	5.7481	5.8919	6.6622	5.8605	7.0171	5.947	6.2364	5.6979	5.7858	6.0699	7.0802	6.0486	6.0406	5.977	5.6948
EA_G__EMP3	5.322	5.0197	5.1681	6.3225	10.1699	5.5899	9.5225	8.0838	4.9953	9.7662	4.5906	5.1911	4.8669	6.8768	6.8134	5.197	5.3824	6.0581	5.5938	9.5156	5.8185	11.0961	5.6683	5.9556	5.3945	9.489	5.4398	9.6866	4.9836	5.1674	9.0077	6.1817	5.0252	5.9198	9.6902	8.0509	9.8346	6.533	5.8618	5.9019	5.7597	5.6629	5.2845	5.4276
EA_G__IL17RB	8.2164	4.8068	7.7176	6.163	4.8811	7.9169	5.5076	7.6651	7.2527	6.0732	4.3759	10.5956	8.2299	5.2855	6.8549	5.1317	7.7709	6.0263	6.4415	5.6218	7.2592	4.4307	7.1498	5.9822	5.6592	4.4381	7.6382	4.1731	9.1388	8.6897	5.0682	7.4301	7.0002	4.4972	6.2121	5.7334	4.63	5.5023	4.6039	7.6294	7.6466	7.1764	8.0236	7.7553
EA_G__GRB7	8.5454	10.9211	11.1297	8.1717	6.2075	7.1224	6.3966	7.4261	7.5684	6.3606	11.6802	7.283	9.436	7.1132	6.9786	11.7721	10.5789	8.4244	7.8473	5.9178	8.1182	6.2106	7.3692	7.4325	7.641	5.5442	8.1737	6.1796	9.8138	7.8417	6.0123	8.799	7.9745	10.5391	7.3985	7.0859	6.2713	7.9055	8.1468	7.4714	10.6486	11.6368	7.7878	8.0155
EA_G__NDRG2	6.7662	6.8623	6.7853	6.7912	5.7435	6.3104	6.6679	6.7433	6.6815	6.6023	6.8493	6.4111	7.0117	7.0328	6.9778	6.972	5.7511	7.5192	6.1585	7.0447	8.3189	5.2718	7.1064	6.8671	7.0222	6.8981	7.6737	5.3705	6.9741	5.2688	6.193	6.3356	6.4801	6.1748	5.6636	5.887	5.4832	6.9763	7.4623	7.749	7.0447	6.1245	7.3103	7.7231
EA_G__EGR1	7.2232	8.7098	6.3103	8.1336	7.8221	6.1358	7.8819	6.6678	6.5339	6.5598	6.3202	6.1111	6.802	7.8476	7.4299	7.0737	7.3802	6.53	7.0966	8.2822	7.5578	7.8292	7.87	7.7604	7.3577	6.6488	7.4059	8.9551	6.8846	6.5683	6.8573	6.7538	6.4272	7.0109	8.5028	8.2034	6.8387	6.121	6.7924	6.1829	7.0234	6.676	5.9809	6.9012
EA_G__LRIG1	9.1612	8.4644	8.7042	8.5962	7.0764	8.4047	7.1212	7.6769	8.3325	7.3526	9.3453	9.2857	7.6133	6.3691	7.9605	7.5204	8.2662	9.2238	7.7319	6.9662	7.6377	8.0083	7.897	7.9151	8.2763	6.6753	9.1526	7.0332	9.4991	6.4779	8.621	9.8144	8.4085	7.5698	6.9521	7.7575	7.6009	7.4641	8.3308	9.4649	8.0402	8.8489	8.882	9.1154
EA_G__AZGP1	11.8674	10.2938	6.3166	7.9619	5.1861	7.8483	5.1909	10.5743	5.8672	4.8475	9.8598	5.393	10.1989	5.1734	7.6159	8.1158	8.9454	9.9126	7.6711	4.5263	11.0381	4.8353	5.798	5.7386	6.463	4.8156	8.6593	4.9316	8.3578	10.6706	4.7639	10.6377	11.6413	8.0518	5.702	6.1725	5.9591	6.4786	7.3664	9.6307	9.8486	11.3159	10.4682	8.0104
EA_G__CDH1	9.4474	3.8156	10.2402	10.823	4.1816	8.2155	4.0369	9.3623	7.7169	4.0645	9.8984	10.4438	8.4461	8.5324	9.4381	9.6232	10.1534	4.383	8.3525	4.2405	9.6597	4.2637	9.9596	10.2763	6.5768	4.0202	10.0856	3.8114	11.1983	10.3286	3.8855	7.0185	8.4138	4.1026	4.9675	8.714	4.0229	9.5589	9.2285	9.8379	9.9968	10.255	10.6397	10.3255
EA_G__MRC2	9.5108	6.3393	6.1911	6.1822	8.4666	6.2529	7.2371	6.9342	7.854	7.6383	6.094	6.172	6.5812	6.4211	6.1795	6.195	7.3137	6.1677	6.3087	9.0085	6.3022	8.5076	6.5354	6.5896	6.3506	9.5693	6.3342	7.1079	6.09	6.0684	7.3681	7.1592	6.3311	6.5291	9.3857	7.3701	7.4802	6.2204	6.9931	6.3224	7.244	6.5332	6.3834	6.5285
EA_G__GK5	6.1789	6.7761	6.7273	6.158	5.9959	6.4528	6.0808	6.3518	5.4193	6.5937	7.2851	6.3154	6.5553	5.8377	6.897	6.4483	6.3348	6.9943	6.737	6.6079	7.0026	6.2439	6.4498	6.154	6.1114	5.7931	6.1452	5.9919	6.6209	6.4341	5.7381	5.6613	6.9803	6.9923	5.5771	6.3035	5.7394	6.5173	6.8699	7.3231	6.2983	6.4726	6.8407	6.525
EA_G__REPS2	6.5275	6.2241	7.1806	7.7358	4.5458	8.1946	5.5475	6.6843	6.0354	4.9365	8.4365	8.1252	6.6802	5.4402	5.4823	7.2127	6.5473	7.2935	8.2511	4.7054	7.2418	5.2193	6.3946	6.8378	8.1829	4.8785	6.7219	5.5902	7.2359	9.1659	4.8798	6.6638	7.7952	6.8168	5.0851	6.4284	5.6297	5.5005	7.4447	7.3572	8.9063	5.8714	6.1953	7.4236
EA_G__SYK	6.4062	5.9849	7.3327	7.0955	4.7423	5.0707	4.7114	5.0835	6.2633	4.4833	4.4849	6.8967	4.6334	7.5505	7.6245	8.463	5.0255	6.9189	8.076	4.409	4.8371	4.7997	6.8007	6.8805	4.6771	4.5247	7.3438	4.6861	6.3931	4.4987	4.7327	5.1463	7.6422	7.264	4.8881	4.8966	4.8173	5.6372	7.2591	6.9358	5.5448	5.2568	6.3764	5.6168
EA_G__TJP3	9.3077	8.0518	8.3849	8.6587	5.9377	7.9192	6.2656	6.4262	6.6429	5.9521	9.8328	7.6407	6.3501	6.2599	7.1653	7.5222	8.3666	8.4592	6.5682	5.9474	8.0263	5.6884	8.0699	7.9648	7.8198	5.7056	8.8534	6.1169	8.5057	8.1059	5.998	8.1475	8.2122	7.9939	6.014	7.1509	6.1539	8.6348	7.8886	8.6752	8.1957	8.0349	8.4645	8.0411
EA_G__CXorf6	4.6909	4.703	5.4679	5.1907	8.3684	4.5585	6.1312	5.4825	6.7759	5.7365	4.5194	4.6782	6.0019	5.1329	5.4703	7.0092	7.11	4.9661	6.908	5.1928	6.5742	7.0185	5.8373	5.9203	7.2788	7.3823	5.2577	7.3093	5.8459	4.8433	7.1486	6.0344	5.9973	4.9336	6.8324	6.1706	6.6113	5.2559	5.3975	4.9226	5.3042	6.2	4.7027	5.0711
EA_G__IGFBP2	8.5819	7.265	9.2045	10.6598	5.7406	9.0647	6.409	7.9946	7.7249	6.7037	9.6491	9.7208	8.1824	6.5365	7.6499	7.3055	7.1166	7.7549	8.2099	5.7756	6.114	6.1845	8.9304	9.2132	9.5332	7.7601	7.9848	5.934	10.1046	8.3743	7.8952	9.0101	7.9592	6.3136	5.7437	6.0489	6.0078	8.2235	8.6306	8.9587	9.4836	7.6824	8.4837	9.1231
EA_G__SLC7A11	5.1809	5.1817	4.1599	5.0311	6.5597	4.2618	5.9986	5.8494	3.5826	8.4557	4.9675	5.0098	5.4931	7.8307	6.4145	6.5624	5.4258	3.8433	5.6015	6.7087	5.6799	7.1183	5.8004	5.4594	5.75	5.2728	4.449	8.0821	4.96	5.0106	7.0953	4.2806	5.882	4.9229	7.2331	5.2141	7.3597	6.9123	4.0292	4.5781	4.0326	6.4763	4.6664	4.9372
EA_G__NPNT	9.7175	4.796	6.5012	7.8917	4.441	10.7625	4.4581	8.1607	5.8982	4.3833	7.3872	11.8091	11.6626	5.0469	8.443	5.5542	10.1728	8.6324	7.036	4.1383	8.539	4.1836	8.3548	8.2778	7.9445	9.2354	8.4311	4.3101	6.7171	10.0655	4.2042	8.3994	5.3552	6.4436	3.8952	5.0532	4.2828	7.6355	5.7851	6.7138	8.0511	9.4878	6.9318	6.0306
EA_G__COL5A3	6.0189	6.2887	6.2862	6.0945	6.236	6.0593	6.8945	5.9246	6.2869	7.0594	5.9013	6.1306	6.2508	6.5466	5.9113	6.243	6.436	6.4478	6.239	6.8404	6.6119	7.2675	6.6925	6.5985	6.3625	9.8415	6.5755	6.4051	6.0249	6.0573	6.2699	7.2296	6.0144	6.6544	6.3384	6.7666	6.3787	6.3571	6.7902	6.5178	6.4617	6.3234	6.5096	6.4026
EA_G__C5orf13	5.5414	4.3653	4.5417	5.3873	7.5209	7.8357	6.2671	5.1632	8.383	7.2215	4.5145	4.5834	6.7748	4.4672	5.0358	6.5435	5.5412	6.0565	4.6739	6.0911	5.2714	8.5295	4.9998	5.1223	7.5981	8.7321	5.6175	5.4841	6.0678	8.1582	6.2123	5.921	6.0297	4.7948	5.9629	5.2228	9.0534	7.5218	5.3452	4.7828	5.8596	6.7674	5.3181	5.0496
EA_G__DTX4	10.0037	9.0437	7.6009	6.9354	5.9571	6.573	6.366	7.0537	8.1414	6.3483	7.3775	6.7969	8.8522	7.4853	8.7511	9.5893	6.3224	10.2251	7.1285	5.8389	8.5995	5.5045	6.8731	6.2001	6.2433	6.9709	9.3066	5.8262	7.3856	8.5159	6.744	7.2944	8.8887	8.2357	6.4031	8.3291	6.1319	6.8272	9.2681	6.1744	8.5524	8.9683	6.424	7.0198
