Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	UACC893	ZR751	ZR75B
EA_G__ZNF652	7.5137	6.6796	9.1134	7.658	5.4265	8.0263	6.8461	7.5657	6.1455	6.1679	10.4217	8.3293	6.9403	6.4695	6.4805	6.6269	8.7194	7.371	6.6141	7.0294	6.8064	6.2259	7.3028	7.8102	7.151	6.7251	7.2562	6.172	9.0124	7.6468	5.7613	7.4323	6.6414	6.5588	6.6853	6.6539	6.3657	7.335	7.8613	7.2296	8.3435	7.029	8.7495	7.6069
EA_G__SLC16A7	4.8493	3.4592	3.2731	3.0772	3.4045	4.2548	7.3091	3.1533	4.7534	2.9543	3.046	5.2479	3.4038	6.6219	6.679	4.0281	4.7234	3.5918	4.3754	6.7221	8.1752	8.4444	6.2381	7.3267	3.3773	6.4977	4.9457	7.5411	5.0845	6.1068	7.9566	3.7976	2.8813	4.6549	4.9479	7.8198	8.772	3.2801	4.0122	3.4756	3.5634	4.3822	3.8513	3.6912
EA_G__C9orf152	8.4683	7.9416	9.015	6.242	3.3253	7.5362	3.1121	3.2593	3.6704	3.8201	9.6854	6.8934	3.2606	2.5096	4.7044	6.1075	7.7687	7.8747	4.4017	2.9521	5.0464	3.4125	4.5846	5.7573	3.74	3.1833	7.9758	2.9212	9.606	7.4371	3.407	6.4351	6.564	7.1601	2.7658	3.7666	3.421	8.6164	7.795	7.8891	6.4831	8.2505	9.313	9.0216
EA_G__GPX2	6.9093	8.9357	5.6689	5.0334	4.0395	3.727	4.581	6.7554	4.8049	4.2832	6.3298	5.7511	4.2277	9.9643	6.6701	9.5887	4.8756	7.7366	5.6015	3.9423	4.2268	4.3312	5.2706	5.462	6.3312	4.2776	9.3185	4.4185	9.9389	7.6946	4.4255	4.6661	3.9761	7.2433	4.2492	4.9195	4.1064	9.5051	9.4966	4.9059	4.7975	5.3958	6.788	5.2186
EA_G__CPAMD8	7.0478	6.0825	7.2388	6.7996	5.6587	6.0427	5.8858	5.6522	7.7413	5.7791	6.8633	6.049	6.0436	5.9711	6.7098	6.1118	7.7258	8.4635	5.9444	5.3842	6.5933	5.5284	6.2974	6.322	5.9579	6.7371	8.6424	5.4769	7.4537	5.9555	5.8882	7.027	8.6056	6.3632	5.7861	6.2587	5.9367	6.3406	6.9385	8.6235	8.1872	7.563	6.9222	6.1828
EA_G__CDK5RAP3	8.0769	7.0657	7.5364	7.9107	7.8547	7.8394	7.8517	8.6243	7.1116	7.3997	10.176	7.8988	7.9888	6.9633	7.5531	7.1028	7.4433	7.9227	7.4204	7.2929	7.5687	6.8329	7.8635	8.8183	7.3012	7.1384	7.2617	8.1751	8.666	8.6379	6.4857	8.04	6.8096	6.512	6.8064	7.0335	6.9849	7.0939	8.3218	8.1078	7.7401	7.1417	8.6391	8.6733
EA_G__CAPS	10.7823	9.0478	7.9658	9.4653	5.8603	7.0129	6.1867	6.1536	6.1463	5.8143	10.8287	7.3341	10.5962	5.7871	6.0836	6.8688	6.898	6.3952	7.0283	6.3341	6.1385	5.7156	6.4196	5.9889	7.0841	6.3328	9.9621	5.8726	8.5837	6.55	5.9006	7.1682	6.7698	9.0415	6.2687	6.1294	6.116	11.1088	7.0327	6.4839	7.9726	9.0677	6.3301	6.3652
EA_G__COBL	6.9315	7.3722	7.4904	7.3429	4.9504	7.2341	5.1155	7.084	5.6151	5.0062	7.6344	6.6659	6.0049	5.1724	6.0185	6.5425	6.4602	6.9815	5.7516	4.7727	5.2075	4.9245	6.4901	6.7704	6.272	4.8492	6.4282	5.0952	8.0264	8.5046	5.8414	6.01	4.7346	6.9633	4.8804	6.3035	5.1492	7.1308	6.8173	6.8655	7.2664	7.094	7.0127	7.0229
EA_G__SLC19A2	7.8428	7.7834	8.6972	9.2989	5.8688	8.05	6.2701	5.9865	7.3949	6.009	8.1815	10.1415	8.0242	6.2908	7.3019	7.0936	7.4043	7.6557	7.2335	6.9579	6.8503	6.6471	7.8194	8.4896	7.8273	3.9396	8.397	7.9704	7.8213	8.2376	7.6021	7.1089	7.6994	7.2999	6.8343	7.3796	7.4287	7.7499	6.9377	7.6287	8.3672	7.6606	8.0226	7.9977
EA_G__MGP	11.2964	4.238	9.8437	11.4992	5.5557	7.4113	2.9261	8.2394	10.0203	9.4448	4.7994	10.4816	8.0997	3.7353	8.254	8.9644	8.6556	7.4121	9.4808	4.7946	10.8249	7.0295	3.8019	6.1517	6.6894	7.0606	7.3407	2.9411	10.3529	10.2746	2.5536	7.4205	10.941	3.9642	7.0814	9.7347	4.951	4.8602	5.0293	10.8577	8.221	11.3061	7.0551	5.7521
