Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
EA_G__TMEM63C	7.9641	8.592	6.0696	8.7886	7.8238	4.5419	8.2991	4.5942	6.0379	5.3185	8.5746	8.1623	7.3653	4.9035	4.698	7.1967	7.5247	6.3223	7.603	7.3911	4.2781	5.8289	6.3846	8.1346	7.6805	8.2487	4.4405	7.4794	8.0082	9.2885	7.5344	4.2336	4.6113	4.8724	8.902	8.7742	7.7339	5.4872	9.4194	7.6357	6.3547
EA_G__PCP4	10.1667	6.5286	5.0555	5.437	6.6064	4.3983	6.5311	4.6403	5.9112	5.1521	5.6116	6.06	4.7868	5.3258	4.6097	4.3657	10.57	5.5234	4.9326	5.3257	4.6323	7.0488	7.3361	6.2066	4.9014	9.0066	5.2082	5.9918	8.2043	5.2775	7.6777	5.4337	5.3151	5.7331	6.4316	5.3913	7.8539	7.8234	6.7121	5.5744	4.8747
EA_G__FAM92A1	5.5302	3.478	6.5384	5.8483	6.4144	8.4157	5.1613	8.0287	5.1954	6.5926	9.1744	4.5411	7.7132	7.0833	7.3376	4.797	5.1531	7.1769	8.6012	5.3043	7.7639	6.4938	5.9786	4.0925	8.9483	5.4059	7.7509	5.8867	5.4835	4.3822	3.5541	8.8524	6.8195	8.0827	6.5139	5.3158	3.813	6.5597	7.8706	5.3464	5.5177
EA_G__KIAA1161	7.5336	8.5935	6.3491	8.0995	8.3119	5.961	8.8216	7.4813	5.558	4.978	6.8816	8.6918	5.8828	6.5016	6.3173	6.5558	10.7468	7.2179	6.3672	7.4519	5.3607	6.8104	6.6223	7.1909	5.4313	7.8995	5.6807	9.0698	8.6115	7.4427	9.0701	5.6673	5.8678	4.9556	7.0576	6.2692	7.8144	8.5458	7.9949	7.4192	6.7034
EA_G__SACS	4.5844	5.5065	5.7151	4.387	4.7922	8.2338	5.5884	6.3576	7.2455	7.5184	5.6008	4.9033	5.9435	6.2962	5.4477	5.9335	3.5737	6.839	6.8542	4.146	8.3747	5.1792	4.7755	3.6428	6.9225	3.9677	7.6452	4.2029	3.5922	4.7532	5.8038	8.5415	5.6956	7.7867	4.8587	4.2936	4.3439	4.6223	5.3828	4.3278	6.2313
EA_G__TC2N	8.5979	9.0717	6.9775	9.3938	7.3508	3.3223	8.2578	6.9443	9.7443	3.7734	8.8806	7.6394	5.7542	7.1173	6.7638	7.7872	8.4157	6.5571	2.5474	7.8365	3.1031	7.5099	7.5506	7.6286	3.4834	8.7449	4.5382	8.6498	8.2854	8.3271	8.4929	3.1594	6.1981	2.9353	9.1398	8.8122	7.8362	8.1402	8.2774	9.4791	8.1944
EA_G__GLS	7.4277	7.4228	9.005	6.9834	6.7626	8.2057	6.6295	9.1094	7.2106	8.9736	8.0475	7.609	9.5461	8.4018	8.6477	8.1178	7.4503	8.7597	8.412	7.7883	8.4596	6.8403	6.6922	7.5002	8.8394	6.5709	8.5453	6.2814	7.2594	4.5529	7.0692	10.0833	8.7098	8.438	6.5093	7.0957	6.6458	6.6057	6.9638	6.5527	6.4748
EA_G__F2RL1	7.5229	7.0777	7.9743	5.6143	7.2969	4.8537	6.6298	8.6187	5.9766	5.6359	5.5217	6.1085	6.6712	7.492	7.5467	9.0517	7.198	7.7225	5.8382	7.2931	7.3569	6.9353	6.8548	6.2075	8.8065	6.6745	9.1391	6.4667	8.1978	5.5016	7.1023	8.367	7.1334	6.0605	5.9872	7.295	5.7391	6.7029	6.6517	5.978	6.7769
EA_G__CDYL2	7.3631	7.0718	8.1386	8.2646	8.9194	5.849	8.0675	5.272	5.5548	5.3771	8.4468	8.5447	5.8033	5.7483	5.7744	7.8384	8.1388	5.639	5.5573	5.97	6.2366	8.7179	8.367	8.0456	5.4427	8.2305	6.9612	8.487	8.1416	7.5519	7.1617	5.9508	5.5106	6.3854	8.3072	6.9069	7.6963	7.086	7.575	7.7872	6.4997
EA_G__CNTNAP3	4.7443	4.1172	7.4826	4.142	4.2774	4.4703	4.015	8.0846	5.1941	6.7583	5.2287	4.0007	5.202	8.2941	7.786	6.8538	6.649	8.3716	6.6659	5.9434	8.7955	4.3218	4.2363	4.0633	4.9848	5.1048	6.3487	4.1745	3.787	5.552	4.4674	4.3541	4.5422	4.9346	4.1382	5.3206	4.7668	4.6038	4.1425	5.8202	6.4722
EA_G__CLU	7.2352	8.8649	6.2451	8.9068	8.992	8.9576	9.6033	6.8112	8.1157	7.4522	8.8358	9.7927	5.9431	7.7097	6.4074	6.824	9.5115	8.6745	7.7043	7.3793	7.2732	8.8706	8.885	9.1728	7.8152	9.6338	6.7991	9.3254	10.2466	8.8604	9.8643	7.6939	5.8874	7.0941	7.9162	8.5631	8.2237	10.2223	8.7504	8.0166	6.5865
EA_G__PIP	5.4517	6.0194	4.2726	9.8248	5.6362	4.5378	4.3694	4.1597	6.2646	4.891	7.1082	5.4811	4.2352	4.3455	3.9187	5.0015	5.4016	3.98	4.2767	4.7902	4.8801	4.254	4.5241	5.7092	3.9924	9.9719	3.8229	6.6374	5.211	8.0533	5.4421	3.9923	5.1924	4.433	11.7168	8.0814	5.4705	12.3875	5.4503	9.2289	5.9032
