Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
U133A__CALML5	9.1843	4.9355	4.4468	7.506	5.0858	4.3927	4.4391	3.9667	7.0081	4.7674	4.4988	3.976	7.0929	6.2387	4.7763	6.2877	4.6611	5.6873	4.1746	7.6889	4.3762	4.2787	4.7548	3.9299	4.0226	5.8142	4.3322	9.4476	4.2781	8.6032	3.8489	4.0363	4.425	4.5789	10.2072	8.829	4.1725	4.0406	4.8753	4.1623	4.0767
U133A__MYLIP	6.25	6.9508	6.3273	6.7777	6.3276	4.7525	7.3267	6.5531	5.5464	6.9503	7.7358	6.2283	5.9586	6.7797	5.847	5.8257	6.6923	6.4724	6.1119	5.8868	5.7605	6.2882	6.4799	5.9671	5.0222	7.521	5.9602	6.7489	6.3817	6.16	6.2006	5.2242	6.0862	5.3436	6.8308	5.9241	5.6126	6.095	5.7256	7.4054	5.7174
U133A__ASH2L	7.6539	7.106	8.131	7.6494	10.8951	8.5314	9.22	7.8935	7.5736	8.1569	8.175	8.2125	7.7153	7.5994	7.691	7.65	8.0986	7.5654	8.62	7.1897	8.0532	7.6117	7.6926	11.06	8.0895	7.7328	7.9855	8.1322	7.3696	8.1864	7.1923	7.7714	7.6423	7.6905	7.7051	7.6894	9.0066	7.6147	7.9134	8.7789	8.7874
U133A__CST3	7.8659	6.7192	3.9499	9.7824	10.026	8.2635	7.8759	8.359	7.946	5.0466	9.2058	9.3159	9.137	4.7632	4.5048	4.4327	8.171	5.8202	8.888	5.6844	9.0656	8.2799	8.6406	9.918	8.8921	10.9584	8.5309	9.7941	8.7841	7.291	6.6027	7.7348	9.7141	8.1298	10.963	6.9886	8.4317	8.6142	9.3117	6.7087	7.6018
U133A__PRAME	5.1003	5.3193	6.3397	5.3357	5.3379	6.2642	5.1516	4.4277	8.9344	9.7548	6.0639	7.7932	5.4245	4.9665	6.5426	5.6625	4.7451	5.1626	8.5171	7.8514	7.7627	5.4001	4.8634	5.1053	6.2272	7.7763	4.4942	4.8008	6.0026	5.1608	5.4706	5.8955	4.9292	4.9845	4.9079	5.7112	7.4347	6.7545	4.8801	5.8399	6.7549
U133A__KRT19	11.6554	11.9776	10.9191	11.935	12.491	3.995	11.6489	4.3819	10.8671	10.3292	12.2228	3.8177	10.8381	4.5913	4.6342	12.1027	12.4618	11.0216	10.3341	11.7799	3.831	10.65	11.6347	12.2467	4.0939	12.0447	7.2772	11.6624	11.784	10.9377	12.0028	3.9802	10.1275	3.2941	11.8623	11.6439	11.4468	12.1604	12.1037	11.9516	11.561
U133A__NR3C1	5.0765	6.954	7.0652	5.1788	5.9925	8.9925	6.6683	7.8246	6.9561	9.1735	6.103	6.7952	7.9111	7.5877	6.4	5.6993	5.6099	4.8193	7.9143	7.896	7.9943	6.4699	6.8241	5.5863	8.052	4.8591	8.189	5.6192	5.6545	7.9997	5.85	7.6812	6.8754	7.9483	5.625	7.9101	6.4618	4.868	6.6686	6.906	6.4361
U133A__TPD52L1	7.5691	7.9725	8.419	7.606	7.9326	4.9533	6.9205	4.5253	7.7398	7.015	9.1963	6.7747	6.7627	9.2769	7.7655	6.3176	7.331	7.9275	6.0534	8.7119	4.9874	8.7672	9.101	8.1636	4.4448	7.2668	4.8542	8.9955	10.0234	6.5342	8.4437	4.5276	7.166	5.6365	8.1106	8.9222	9.7928	8.0223	8.0755	7.4465	7.8597
U133A__HIST1H1C	6.7013	7.1292	8.0132	6.5045	9.1141	6.9532	8.2509	7.242	7.0394	6.3388	10.398	6.9231	6.9608	8.2905	7.3105	9.371	9.7845	6.9361	11.4337	6.1558	7.0663	7.2514	7.5185	7.507	8.0986	6.4316	6.8679	9.5265	10.1659	7.8506	6.8838	9.78	5.7435	5.3977	6.8637	8.1879	8.3266	7.75	6.6189	8.2057	7.231
U133A__ACSL3	7.1919	6.6538	4.13	7.0956	7.0192	5.1187	6.245	7.3775	6.0106	6.1809	5.5562	5.0836	5.5273	4.8164	4.4287	4.2377	5.6088	4.1027	6.7675	6.823	4.2666	7.1963	5.5137	6.6526	5.7361	7.214	5.9762	6.5155	6.1214	5.7947	6.5763	5.0383	4.6216	6.1252	6.7986	6.8997	8.8893	4.3885	6.9935	6.6779	6.744
U133A__PLA2G16	7.1982	8.495	6.5464	8.0667	6.7911	5.2454	6.3602	7.3149	6.5026	6.8197	7.8318	5.449	8.3152	7.9048	6.0987	8.1864	8.3904	5.2744	7.1345	7.8377	6.4017	6.4259	7.1985	9.0873	8.8867	7.7284	8.576	5.7546	9.345	5.7119	8.4557	5.8096	8.2032	7.7789	6.2083	6.7106	9.2644	9.5939	8.748	5.3636	5.4294
U133A__FOLR1	7.267	7.2539	5.7563	4.6122	6.6765	5.2837	5.2817	5.1053	6.6157	6.049	5.332	5.7393	5.2999	6.8881	5.2769	6.1082	8.4179	5.9979	5.2837	5.4512	5.5185	4.9262	5.2332	5.3831	5.4749	6.8812	5.3677	5.9134	5.4527	5.4047	5.8875	5.3654	5.6305	5.0397	7.4495	7.0132	7.5242	7.7639	4.9922	6.0473	5.2068
U133A__PLOD2	4.3063	7.3206	7.0262	4.5369	6.9176	9.2988	4.8502	7.713	6.7221	4.8014	5.6396	6.5382	6.0955	7.4393	8.281	5.5341	4.2286	6.6365	8.4281	8.6329	8.0595	6.0565	7.9788	4.0323	7.7046	4.7658	7.3204	6.5491	6.0127	5.6189	6.3062	5.0164	7.6348	5.9357	4.2051	7.5965	4.8868	7.4106	8.3946	5.5846	6.5638
U133A__SLC16A1	5.5794	5.7645	8.3004	6.0565	5.5591	7.9693	6.5954	7.3612	7.3152	6.2764	5.9809	7.3342	8.5427	8.3794	8.0237	5.8946	5.2666	7.0439	8.327	8.4403	7.6278	6.1698	6.5289	6.4164	7.8131	4.8744	5.4479	5.6483	8.4516	5.5286	5.5178	8.0539	8.2358	8.9896	5.3126	5.4203	6.7675	5.835	6.0467	4.937	7.0823
U133A__SLC39A6	7.7971	6.2623	5.3606	8.41	9.7579	7.1998	7.8475	5.9221	7.3674	7.4381	7.3231	6.8048	6.6043	5.6466	7.0401	6.3356	6.5261	6.3182	7.2364	6.9683	6.666	7.9931	10.5732	8.0261	5.5622	7.2093	6.5394	8.0151	6.4029	6.5248	6.2838	6.153	7.6162	7.6329	7.1446	6.6113	7.6467	7.1279	8.8267	9.2532	11.5676
U133A__BAG3	8.2247	8.6391	7.6031	6.253	9.9605	8.3813	9.003	7.8039	7.9982	7.4648	11.0007	7.1423	9.6167	8.4159	8.6065	7.9534	7.5275	8.5037	7.9374	8.6106	8.5739	9.9299	9.2509	8.7854	8.1334	8.0965	9.2955	9.1869	9.7985	8.0433	8.1213	9.3118	8.3239	8.7457	7.9336	8.2314	8.2817	7.725	8.5901	8.0945	8.6739
U133A__ACAA1	6.1633	8.8997	6.6984	5.2632	6.5332	6.3551	7.0217	5.9495	6.3772	6.4261	7.1641	7.3011	6.5595	6.1541	6.6504	7.2811	7.0428	6.9482	6.9299	6.3982	6.6822	7.7278	6.912	5.4479	7.0365	7.5844	6.3811	6.9764	7.9024	6.7552	9.1231	6.4906	6.7173	6.0876	7.3427	6.9957	6.6535	6.6359	6.846	6.6572	6.2702
U133A__PRR15L	8.4675	7.591	6.1531	9.0722	8.1647	5.2518	7.9719	5.8518	9.937	7.0928	8.2127	5.8732	5.7062	7.6331	6.1713	8.5749	8.9961	7.8532	6.768	8.1892	5.6078	7.6569	8.1452	7.1584	5.3097	9.0232	5.9224	9.8647	7.949	8.5299	7.4547	5.3048	6.2798	4.9068	8.3583	8.9671	9.4867	7.4828	8.8995	9.7675	8.9323
