Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
EA_G__FGFR4	6.212	7.4027	6.3774	9.4947	8.6522	6.7252	11.1104	6.9616	6.8446	6.9437	9.9702	7.7334	8.649	7.4069	6.9704	9.0064	7.8246	7.3383	7.6825	6.2891	5.6839	7.6865	8.3879	8.0356	8.0349	7.9172	6.6169	9.9462	9.8037	11.4544	6.6971	6.6719	6.5764	5.6794	8.3049	9.0287	8.2707	6.8843	8.8386	10.7427	9.4229
EA_G__OSBP2	6.3933	5.4149	6.1665	7.0103	6.1887	6.0775	6.588	6.6328	6.0387	5.9605	6.7175	5.3871	5.9563	6.3132	5.8966	6.2768	6.9864	6.1351	5.8975	6.8151	5.4788	6.0308	6.6413	6.5594	5.5347	6.9036	5.593	6.7878	6.2614	6.3643	6.039	5.8646	8.203	5.9551	5.9665	6.6892	6.033	6.2767	6.1252	6.5893	6.6163
EA_G__CUL4B	6.6142	7.0274	8.4121	6.2287	6.8128	9.3472	7.0256	8.1315	7.2752	7.686	7.6102	7.6919	7.0614	6.7863	6.5816	7.5829	7.2735	7.3667	10.0552	7.1003	7.8513	6.5622	7.0789	7.0753	8.6142	6.8373	7.2966	6.404	7.2378	6.5199	6.8767	7.1544	6.4288	6.9163	6.5287	6.3816	6.6166	6.3577	7.0476	7.0727	6.9907
EA_G__C1orf115	7.068	6.9015	6.0423	7.6415	6.4767	5.93	7.3311	6.0274	7.5634	5.7279	6.9938	5.9561	7.2573	6.5801	6.1443	6.048	7.5419	6.6758	6.316	5.8911	5.5091	6.5475	6.5878	6.3762	5.729	7.606	5.8222	7.7466	8.6046	7.8599	7.1421	5.9752	6.5733	6.2333	6.3785	7.8187	7.7581	6.8106	6.258	9.1222	7.12
EA_G__SAT1	9.6344	7.1856	7.0784	8.5647	5.7801	6.2256	5.0978	6.9633	5.0015	5.936	8.7038	5.3289	6.1538	6.7125	6.9544	7.7947	8.9141	9.673	7.1432	8.4228	5.6257	5.6731	6.2945	7.3281	6.9265	8.3603	7.0655	8.3079	7.4734	4.8276	6.5373	7.3396	8.7211	5.0473	5.2257	7.5962	9.3788	7.7302	6.4651	4.7563	7.7445
EA_G__HEG1	6.8455	6.2128	9.9633	4.3598	7.1837	8.3098	6.562	6.4836	5.2993	6.9825	6.2301	7.5078	5.2928	5.9003	6.8884	7.6971	6.2066	6.0265	7.9313	7.4061	10.095	4.7841	4.9313	6.2316	9.1828	5.3043	8.3031	4.2267	6.6247	5.3676	7.0547	6.655	6.1362	8.4389	7.818	5.8099	7.466	8.0922	7.6151	4.0331	4.3623
EA_G__HOXC10	4.74	6.9683	8.1828	7.8332	9.4461	6.9178	5.1939	6.9379	5.1428	7.1737	8.5486	5.3777	8.2195	7.3622	7.208	7.7071	7.6059	7.2768	6.7651	7.9149	6.8844	6.6844	5.3594	4.7996	6.5243	8.4752	4.9652	8.4344	8.7743	8.7311	6.6801	6.7435	7.9778	7.779	9.1746	7.9355	8.816	8.9938	8.9917	9.3653	8.1466
EA_G__LHFP	6.1614	5.3139	5.5954	5.4274	5.774	8.7766	5.1859	7.2268	5.5358	7.5145	5.1002	7.5025	6.0825	7.0349	6.7126	5.8718	5.3806	6.8659	7.1626	5.8128	7.4787	5.8162	5.6178	4.9328	7.6395	5.7058	7.2848	5.1617	5.2191	6.2937	6.4466	7.4815	5.9507	7.0226	7.117	5.2327	5.7135	6.1764	5.4187	5.6329	5.9481
EA_G__ANKRD43	6.611	6.8985	6.8855	7.2732	7.891	6.5285	9.5979	6.4434	6.8133	6.7494	6.9246	7.5739	7.0532	6.8187	6.6032	6.7646	7.0515	6.7147	6.3477	7.0361	6.6071	6.8687	6.9376	7.4046	6.6548	6.5654	6.5435	7.2164	7.2604	7.2567	6.8754	6.8865	7.0308	6.9637	6.5943	6.7568	7.1226	8.5722	8.3917	7.0905	6.8103
EA_G__REPS2	6.5275	6.2241	6.9314	7.1806	7.7358	4.5458	8.1946	6.6843	6.0354	4.9365	8.4365	8.1252	6.6802	5.4402	5.4823	7.2127	7.2935	8.2511	4.7054	7.2418	5.2193	6.3946	6.8378	8.1829	4.8785	6.7219	5.5902	7.2359	9.1659	6.6638	6.8168	5.0851	6.4284	5.6297	5.5005	6.558	7.4447	7.3572	8.9063	6.1953	7.4236
EA_G__CA5B	6.9369	6.4488	6.1867	9.8853	7.5831	6.9713	7.9319	6.4217	6.3814	6.7546	9.6441	7.5718	6.1838	6.1346	6.8366	6.9423	8.8326	6.433	6.1952	6.711	7.0975	6.8575	7.7441	6.8363	7.3049	8.2804	6.0855	9.1757	9.2258	6.4901	6.0825	6.6733	6.6921	6.9056	6.6601	6.6108	9.1303	7.0359	6.9926	6.5561	6.3884
EA_G__MPP2	6.1691	6.2134	6.0063	5.3463	8.2711	6.776	6.3588	6.5849	5.6217	6.5627	4.9561	8.105	6.8007	6.2796	6.0538	5.9262	5.5303	5.8452	7.423	6.4743	6.5471	6.62	6.5894	8.2721	6.6649	6.0583	6.5197	5.5904	5.3955	6.0175	5.7428	5.9556	5.4923	5.7716	5.8514	5.6234	7.7935	6.9553	7.2392	5.8677	6.9831
EA_G__CADPS2	7.5792	7.7456	4.908	7.4979	5.9192	4.0964	6.4627	4.4223	5.6493	4.16	7.0315	4.4205	4.0071	4.8258	4.1246	5.3083	6.7121	3.9804	3.6804	6.6876	4.1893	5.843	6.0549	4.6595	4.342	7.6282	5.1269	5.4529	8.4842	6.1528	6.7688	4.2951	6.5761	6.4273	7.7822	6.6469	5.8467	5.8717	6.468	6.224	5.6319
EA_G__PDLIM4	6.3468	6.5293	6.2511	7.1997	6.0704	6.2219	6.1313	7.301	7.815	6.5161	6.2182	5.9288	6.1434	7.481	7.1811	6.1103	6.187	6.2728	7.7514	7.6157	7.0196	6.4254	6.4202	6.2574	5.8866	6.2572	7.9411	5.9933	8.7632	7.0234	6.5909	6.332	6.5471	8.3351	6.3504	6.1832	6.7261	6.1563	6.9223	6.2421	6.277
EA_G__SYDE1	6.3871	6.1369	6.3992	6.3616	5.8841	8.4653	5.4574	8.3258	6.6153	7.9902	5.8161	5.3023	6.2033	6.9579	7.0087	6.4074	6.1217	6.9318	8.2904	7.7112	8.9081	6.0991	6.2731	5.5612	8.7207	6.3382	8.9894	5.7382	5.0994	6.1707	6.551	8.0444	7.0048	8.2118	6.1916	5.8197	5.9689	6.0967	6.1051	6.3412	6.0907
EA_G__STAC	4.6901	5.967	6.944	4.4744	4.4739	8.7517	4.4143	8.7019	5.2245	6.8093	4.2275	4.1802	4.3895	5.9041	6.5323	7.7776	4.569	6.183	6.74	6.7671	7.8582	4.503	4.5206	4.5124	6.7276	4.6546	7.5021	4.3421	4.3729	4.7293	6.4295	4.531	5.9112	7.5436	4.6565	4.8691	4.9889	4.5177	4.371	4.5517	4.6534
