Cell lines	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM102PT	SUM1315MO2	SUM159PT	SUM185PE	SUM44PE	SUM52PE	UACC812	UACC893	ZR751	ZR75B
EA_G__C21orf63	5.7103	5.2612	5.2604	4.9491	5.5532	5.4778	7.3771	7.8351	4.9149	7.3169	4.4919	7.3015	4.8158	7.1669	6.5267	6.609	5.6132	5.4436	6.9256	6.3665	4.842	5.5903	4.732	5.1242	5.3627	6.429	4.8902	4.2435	5.2942	4.4116	5.4456	5.6244	7.7985	4.458	6.1941	6.347	5.6502	4.4131	4.3879	5.7319	6.0314	6.1272
EA_G__MFAP2	6.4032	5.9616	7.052	7.9288	5.6943	7.8498	6.8463	8.2588	6.953	5.4328	7.2136	5.8401	8.0022	5.8888	7.446	7.0134	5.9638	7.7595	6.3354	8.4242	6.1778	6.2912	7.792	7.3194	6.6679	5.8938	5.7406	5.6681	6.4685	7.0369	5.3759	7.0438	7.0755	8.2636	6.0061	8.6836	5.4935	6.235	5.7762	5.8738	5.8864	6.4897
EA_G__FAM83B	4.2489	7.5482	6.1591	7.1767	8.1613	4.6994	8.9338	7.3558	6.2679	8.1672	9.0873	5.885	9.1367	9.0246	8.5407	4.7067	9.3121	4.5395	8.5196	4.3005	8.9319	9.9937	5.4213	5.593	7.5611	3.9742	10.6464	7.693	5.9038	6.9275	8.673	5.2107	9.9509	4.5717	4.6842	8.0655	7.1826	7.971	4.9443	6.4806	9.305	8.0142
EA_G__ARHGAP26	6.0343	5.2012	5.6362	5.4373	5.9076	6.1336	5.9907	6.8852	6.9546	5.9095	7.4606	6.1525	5.4581	6.7838	5.2654	4.8999	6.3635	5.1735	6.7521	5.8445	6.1472	5.5005	4.5885	7.2821	6.2599	7.1542	5.8499	9.2324	7.0933	6.3331	6.7737	5.6871	8.1382	5.7467	5.9975	6.3155	8.3734	6.3191	6.4902	7.0135	5.7331	5.1441
EA_G__KCNAB2	6.9684	6.0389	6.5181	7.0723	5.8128	7.2841	6.0837	6.1133	6.8849	5.9883	6.2011	6.5699	7.005	6.574	5.4957	5.8221	6.6062	6.2523	7.7148	6.2041	7.063	6.9145	7.2979	6.0917	6.832	8.0451	6.3589	6.5327	9.1156	7.0228	6.6712	6.1342	5.7512	6.0931	8.571	6.3799	6.1608	6.7238	7.1485	6.0111	6.6954	7.0463
EA_G__ANPEP	5.9528	5.4461	5.4878	11.5006	5.3386	7.6388	5.215	7.8921	6.1665	5.1413	5.3679	5.2457	5.8735	5.5622	5.7574	5.5417	5.4591	8.0727	6.9193	9.248	5.723	5.6553	5.3523	9.2404	5.4979	5.2504	5.238	5.586	10.8271	5.9814	9.9961	6.0553	5.3041	12.6822	11.0415	5.504	5.1997	5.5284	6.1733	6.3325	5.347	5.2839
EA_G__B3GALNT1	4.8247	7.7167	7.4481	4.2293	7.5074	4.8981	5.454	5.5644	4.7191	7.6901	7.8454	7.4987	6.5447	5.2193	7.6185	6.9654	3.7969	6.9197	6.6681	5.229	7.4146	6.9288	6.2082	6.7603	5.3114	7.6341	7.4663	6.6235	4.7529	7.1675	6.1321	5.7178	4.9273	6.2119	5.5004	5.8687	5.6082	6.557	7.1476	7.3143	4.4337	4.388
EA_G__MPP2	6.2134	5.3463	8.2711	6.776	6.3588	7.1645	6.5849	5.6217	6.5627	4.9561	8.105	6.8007	6.2796	5.9262	5.3981	5.5303	5.8452	7.423	6.4743	6.5471	6.62	6.5894	8.2721	6.6649	6.0583	6.5197	5.5904	5.3955	5.7829	6.0175	6.2842	5.7428	5.4391	5.9556	5.7716	5.8514	5.3971	7.7935	7.2392	5.5451	5.8677	6.9831
EA_G__CKB	8.415	6.7638	7.8151	8.6024	8.9011	8.134	9.0014	7.0709	7.8112	8.0904	8.7487	6.6814	9.422	7.4356	7.9725	8.1285	6.9951	7.7235	8.1848	6.6182	7.6509	7.745	9.1138	9.5121	7.14	6.9366	8.7548	8.6406	8.0653	10.6523	6.7514	7.7758	7.1223	10.0349	6.8383	9.4566	7.6593	7.3678	7.9767	8.6011	9.4666	10.1107
EA_G__P2RX5	5.6535	4.8513	5.2032	7.7908	4.405	7.2265	7.3498	6.238	6.0583	4.9714	4.9715	7.6052	8.3032	4.7167	5.0817	4.8552	4.6299	7.2043	4.7547	5.8678	4.9903	5.4081	6.8051	5.4568	5.6807	7.9649	4.5572	4.2916	6.3463	5.3502	7.528	5.708	7.0998	4.4613	7.2148	4.7202	4.1078	7.4141	7.0021	4.8915	5.3453	6.1291
