Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM44PE	SUM52PE	T47D	UACC812	UACC893	ZR751	ZR75B
EA_G__SLC7A8	8.5421	7.6746	8.8236	8.1028	5.042	10.6962	5.4009	5.0441	6.3737	6.0296	9.5636	7.2944	4.7488	8.4816	5.2606	5.1604	8.3362	8.1148	4.7435	5.7111	5.5632	5.0076	5.3353	5.3922	10.8003	10.2389	4.9899	10.2853	9.6818	5.117	8.7371	4.9509	6.5396	4.8894	6.1091	4.9765	7.0086	11.0027	8.5397	9.0232	10.533	5.8295	6.8407	5.1734
EA_G__JARID1C	8.4727	8.759	8.4412	8.5789	8.0786	8.2359	7.4754	7.1037	9.3003	7.333	8.403	9.2775	8.0249	7.5312	7.6876	8.43	10.9831	8.0617	8.201	7.6305	7.498	7.1084	8.2853	8.0884	8.5646	8.4773	7.0705	9.1277	8.7115	8.5756	8.6377	8.3564	8.4706	7.9191	8.0947	8.334	7.5517	8.3945	8.1892	8.0437	8.4209	8.1096	8.2214	8.1412
EA_G__ABCC11	4.9799	5.0771	8.9135	5.5246	4.3409	6.068	4.4537	4.3488	4.5022	4.3945	9.0536	6.4968	4.3846	4.531	5.3781	4.6172	7.1058	5.5215	4.3978	4.2837	4.7067	4.5984	4.5406	4.9815	5.9853	8.7674	4.4954	7.3019	6.4495	4.468	9.0235	4.202	6.726	4.427	4.9806	4.4854	9.756	9.8253	8.4576	9.3681	8.0366	7.2449	9.5692	4.8818
EA_G__RARA	7.7415	8.0728	7.3062	8.5953	6.4986	8.1003	6.705	6.2955	6.8057	6.9795	6.9268	7.7523	6.3667	6.836	6.2488	6.8869	6.999	6.6594	7.1295	7.0633	6.867	6.4577	7.8228	7.5889	7.6497	7.4975	6.4896	7.2241	7.3317	6.4385	7.1561	6.7182	8.2712	6.7798	6.8118	6.954	7.0002	7.2185	7.1679	7.721	10.1923	7.2428	6.8625	8.0987
EA_G__FGFR4	6.212	7.4027	9.4947	8.6522	6.7252	11.1104	6.4953	6.9616	6.8446	6.9437	9.9702	7.7334	8.649	7.4069	6.9704	9.0064	9.4306	7.8246	7.3383	7.6825	6.2891	5.6839	7.6865	8.3879	8.0356	7.9172	6.6169	9.9462	9.8037	7.0445	11.4544	6.3279	6.6971	6.6719	6.5764	5.6794	8.3049	10.846	8.2707	6.8843	8.8386	7.7795	10.7427	9.4229
EA_G__RAP1GAP	7.8799	8.4973	8.1113	6.5433	5.7543	6.6874	6.2196	6.2945	5.5823	6.8339	8.8874	6.4177	6.6467	6.6522	6.1962	6.8892	7.3406	6.8436	6.2461	6.0267	7.3026	5.7874	7.563	7.4447	7.3535	6.9761	5.9038	8.0141	9.6091	6.3212	8.3862	6.4026	7.8449	5.9335	6.747	5.6571	8.1292	6.8291	8.3811	5.8442	6.5819	8.3674	6.6144	6.5221
EA_G__PHCA	9.4805	7.0124	6.733	6.9934	6.8958	6.8838	6.0324	6.4098	7.1016	5.9372	6.1021	7.9612	6.1233	7.4588	6.4816	7.4683	5.7149	6.4559	6.918	6.6104	4.7823	6.5791	6.287	6.3702	9.8663	7.2654	7.1283	6.1298	6.2601	5.8494	6.7278	6.8088	6.7396	6.2054	6.767	6.9983	7.2969	9.9303	9.8195	6.9235	8.7412	8.5009	4.3451	5.3949
EA_G__ZNF649	6.3709	5.7303	7.6582	6.8691	6.3895	6.2774	4.7512	5.297	7.2554	5.962	7.0301	7.482	6.0581	6.8143	6.0947	5.2195	8.6292	8.197	5.5291	7.1498	6.0276	5.5455	3.833	4.7577	7.4516	6.7017	3.8653	7.6469	6.985	6.2257	6.6308	6.2296	5.9335	6.1333	5.7362	6.0239	6.0245	6.7515	5.7814	5.9513	6.5329	6.8429	5.3778	5.1546
EA_G__BEX4	8.9361	5.6188	6.1791	8.0725	4.2978	5.6652	5.3066	4.8114	7.3642	5.1709	6.8946	5.837	4.4937	5.8369	5.2212	6.516	6.1857	5.2613	6.1891	8.0966	4.6612	4.7209	7.2116	6.2217	8.6899	8.1452	4.8113	8.149	8.1283	5.9711	5.8092	3.8227	5.6201	7.0737	5.2215	4.8546	6.8738	5.2708	7.9242	6.2657	8.1437	7.0682	8.1866	6.8652
EA_G__TGFB2	8.6086	7.8164	3.7069	9.2193	8.588	6.9572	7.9395	10.7977	7.555	9.4652	4.3705	3.9796	5.5356	6.4676	8.377	10.1452	8.5107	9.3163	9.5593	10.3503	8.9543	9.47	6.2555	6.1774	3.7395	7.0037	10.0626	5.2703	6.8137	8.0111	4.9299	9.6945	7.8379	7.1376	11.2373	8.4518	5.0337	3.6116	6.8578	6.7752	5.3196	9.358	4.1757	4.3058
