Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM44PE	SUM52PE	T47D	ZR751
U133A__CCNE1	6.8741	7.656	6.0468	6.445	6.8969	7.2893	6.4485	7.2019	7.4141	6.8348	10.73	9.2363	7.2786	7.4831	6.9354	6.9815	7.6167	6.8902	7.2455	6.758	7.6532	6.6415	6.293	8.9341	7.247	6.0525	6.3022	6.87	6.7345	6.3794	7.0469	6.7699	7.6627	7.2453	5.2141	6.221	6.1398	6.3324	6.3656
U133A__EFHD1	9.5837	9.9173	9.7862	10.4842	6.3996	10.6224	6.1782	8.6955	9.7906	10.8012	8.6042	5.8168	7.3487	6.7717	10.3858	10.3268	8.7539	6.6386	5.7835	6.4648	6.0895	7.4306	9.3281	6.4413	9.8417	6.5019	8.6508	9.4486	6.8756	9.002	9.7556	6.3446	5.8119	6.6156	9.3171	10.9233	9.4809	9.9842	9.006
U133A__CALD1	4.2559	5.8786	3.9365	4.9682	7.9225	3.6763	6.3654	6.2884	9.1905	3.4181	8.0223	6.0784	7.1754	4.4506	5.9083	5.5558	9.2409	8.6378	8.8403	9.3954	3.6019	3.9175	4.3435	7.5768	4.9728	7.2995	5.0421	4.1759	7.5142	3.5041	4.7812	7.3616	7.3157	7.8436	7.7707	5.9218	6.7517	4.3805	4.0081
U133A__MAGED2	9.5459	7.1852	9.5445	7.5829	8.6174	7.9693	8.0632	7.5651	7.7693	7.7994	7.5027	6.6761	6.652	7.0565	9.2376	8.4889	6.9181	7.5441	6.8521	6.9591	7.1645	7.6811	9.2966	8.499	8.5682	6.3939	9.5196	9.4359	7.7606	8.0972	7.0496	8.8147	6.8232	6.9957	7.654	9.8545	8.314	9.298	7.8509
U133A__TFF3	12.242	7.4282	11.8098	12.1898	5.9539	7.9505	6.1278	5.6693	5.4995	9.7873	5.9862	5.5639	5.8248	5.9636	6.9685	5.7579	5.9571	5.5964	5.385	6.1336	7.9223	8.6074	8.054	6.0694	12.8617	5.781	12.1275	8.7981	5.6714	6.2142	7.2255	6.0829	5.986	5.7096	12.552	10.8436	6.9097	7.2481	8.677
U133A__ANKRD57	5.9697	4.6663	6.1402	6.2868	5.939	7.7336	6.5621	6.0224	5.2587	6.8299	5.4594	6.5732	6.5182	6.5702	5.2921	5.1079	5.4951	5.5572	6.0201	5.2873	5.7804	5.1389	7.8938	5.3602	5.5994	6.4687	6.098	4.9998	6.7942	6.1175	5.572	5.31	6.1903	6.4324	7.6739	7.499	6.4395	5.5621	5.7018
U133A__GATA3	4.3432	3.6303	5.039	9.974	4.1358	8.5593	3.5801	2.9041	5.2215	8.0058	4.0984	4.9866	4.7334	5.0131	7.259	7.9089	3.0972	5.915	5.4572	3.2756	8.2784	9.0129	8.8407	2.9786	7.4635	3.0718	7.1761	6.9304	3.0294	9.0051	4.2017	3.2494	3.2905	2.7796	8.2158	6.9584	7.0477	8.5736	6.4257
U133A__NMI	5.4002	6.3355	5.7453	6.2096	6.1877	3.8738	6.686	5.7535	7.1553	4.6454	6.3539	7.9995	8.664	7.9398	6.1445	6.8946	7.0581	6.7868	8.4223	6.1866	5.3983	5.7694	4.0752	7.4026	5.436	6.8466	6.5341	3.9968	6.5408	5.6363	5.8808	6.4119	8.0871	6.5488	4.6572	6.5662	5.5115	4.7055	6.4388
U133A__COL4A2	6.4635	5.4771	4.9197	4.4398	9.5328	4.7309	7.1	6.7139	4.8079	4.9894	7.5194	8.2333	5.6191	5.1904	5.6325	5.0157	9.3085	8.3007	4.2182	8.3461	4.7889	4.7039	4.7941	9.7331	5.177	5.9915	4.8098	5.2981	5.5286	4.7465	5.4106	6.024	9.0196	4.8637	4.61	4.8713	4.8703	4.9757	5.105
U133A__CLDN3	7.7269	8.5775	7.7776	9.2494	4.7725	8.7299	4.6935	8.1731	6.2573	8.0305	4.4347	5.0398	6.8845	4.4998	10.8392	3.9735	3.9722	6.2876	7.4706	4.6249	8.2015	10.1075	7.6582	4.2289	5.683	4.4656	7.8263	8.3076	4.5995	7.829	7.6463	5.0252	5.2019	3.7519	9.1572	8.2842	6.5411	9.7858	5.8151
