Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
U133A__TNFAIP3	5.9295	6.7965	5.7553	5.6916	5.7218	5.7495	7.1966	6.4198	8.9139	6.1028	6.7203	8.4994	6.6061	6.4225	5.9136	5.9013	6.9691	6.2094	7.2405	5.4449	5.5353	5.9057	6.3513	5.8423	5.564	5.8709	5.9297	8.9282	5.7984	7.7501	5.9432	6.3301	8.7543	8.0292	5.6503	5.5626	5.8664	6.2742	5.6705	5.8143	5.6778
U133A__MT1G	9.5396	9.8014	9.5375	9.1879	10.2389	9.5497	10.9803	10.1966	8.9364	10.0569	9.4293	10.1144	9.3626	10.3956	9.6338	8.9171	9.9396	10.0105	11.0897	9.5614	9.4205	9.4776	9.8725	9.5197	10.9873	9.9641	11.216	10.8516	9.6989	10.5912	9.9504	10.9458	11.5697	11.2823	9.5986	9.9742	9.6423	8.985	9.3284	10.8216	8.7799
U133A__FTL	9.9572	7.7744	10.0591	9.0597	10.2013	8.6878	11.5796	10.819	10.2002	9.6632	9.4582	11.7469	11.211	10.81	10.1587	10.6899	9.2376	11.1678	11.7066	8.6347	9.802	9.7402	10.2633	9.1036	11.4905	9.5794	9.595	11.9073	8.687	8.1879	7.3449	12.0038	10.5268	11.4457	11.6906	10.7519	8.3996	9.5434	9.0406	9.2702	8.4759
U133A__ADORA2B	6.2311	6.1615	5.3114	5.5734	8.4773	5.51	7.5576	7.9456	5.3852	6.126	7.0501	8.6464	7.6821	8.9669	7.12	7.1201	7.0246	7.1372	8.0401	6.1847	5.779	5.1524	9.0234	6.3393	8.2953	5.5289	6.2769	7.0087	5.5188	7.702	6.1711	7.4778	6.8111	6.6939	5.2126	5.9435	5.4204	6.5418	6.1897	6.3217	6.3068
U133A__ISG15	6.2029	6.9837	5.5449	10.2551	7.848	6.5951	9.5835	8.99	11.005	7.8349	9.826	8.9883	10.2185	9.9476	12.0484	6.4512	6.7595	11.0436	7.8412	7.1602	10.1019	6.9091	10.7759	6.9745	9.7251	7.1162	7.5725	8.273	8.311	11.7544	5.8968	8.9234	8.5587	7.5265	6.4722	6.2122	6.5785	6.7421	5.7411	5.8216	6.0034
U133A__RAB11FIP1	7.0112	6.3265	6.3952	10.1852	4.1652	7.5606	4.6623	6.1832	5.5435	7.7345	6.5955	5.6248	6.6226	5.2897	5.0526	7.879	5.1828	5.6434	4.4743	5.1289	5.3596	9.2312	5.4449	6.7784	5.3435	6.8999	5.2841	4.1855	5.1493	6.8548	6.3631	3.4957	5.5237	5.5979	7.3772	7.5511	7.0406	7.0536	8.8087	5.8785	8.0265
U133A__BAG2	3.9484	3.6233	3.847	3.6546	6.779	3.7302	6.7389	4.687	5.112	3.9445	6.6817	8.2798	6.0631	5.3853	4.0193	4.1116	5.402	4.2779	6.4596	4.6848	4.244	4.0731	6.4698	3.909	7.9802	4.5399	3.9434	6.3208	3.9206	5.8701	3.9939	8.1652	7.0594	7.9745	4.0376	3.8011	4.8384	4.0353	3.5252	4.6713	3.6305
U133A__WWTR1	5.5378	5.4353	3.966	4.1743	7.3987	3.3913	5.7099	8.3892	5.0729	5.616	6.4266	6.3704	8.6394	6.8808	4.278	8.0557	6.9231	8.5677	7.4314	3.8181	3.8193	3.4958	6.5088	4.0356	6.9541	4.5266	3.6265	6.1605	4.75	6.726	5.0238	7.8837	6.1643	5.4187	3.2832	8.0272	5.8601	6.6523	5.1135	5.1994	3.6301
U133A__PI3	5.4605	6.0659	5.2747	5.1541	5.6851	5.4395	5.4688	5.4843	5.4682	5.3716	9.0288	9.8906	11.7417	7.4857	5.3839	6.3272	8.0137	10.9352	5.6048	5.2401	5.4199	5.3788	6.6699	5.4661	5.3969	5.2653	5.5095	11.1656	5.6113	8.5496	5.7414	5.7132	10.5138	5.7526	5.6718	5.2888	5.0395	5.2202	5.1343	5.6601	5.3184
U133A__APOBEC3B	5.6539	4.2711	6.5459	6.1597	7.1609	5.2836	8.7672	8.8535	7.4971	5.6452	7.898	6.4634	8.5401	6.9878	8.8726	6.3674	7.4904	4.6104	8.1097	4.2584	5.2772	6.7787	7.0989	5.8155	8.1658	6.4705	7.6752	5.9632	7.7664	8.4691	4.3131	6.0569	7.041	6.4845	5.3145	3.7522	6.726	5.4782	6.346	6.7144	6.0347
