Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
EA_G__CDC42EP3	9.0257	7.1684	8.2816	6.4466	5.5439	6.0591	5.2021	8.6114	5.8992	7.0122	6.1762	6.0531	6.2691	8.2591	7.7353	7.5788	6.1763	7.0087	7.4932	6.3863	6.5898	9.4579	5.4725	5.3958	7.5972	9.2612	6.0781	7.1779	5.7903	7.6114	6.5633	7.1839	7.8793	6.2241	7.028	8.4548	6.881	6.5467	5.3772	5.4262
EA_G__CREB3L4	8.1311	8.1722	6.239	8.8266	8.2267	5.1526	8.4914	5.7882	5.6323	6.0428	8.1729	6.4823	6.4278	5.55	5.5635	6.0272	8.4488	7.1548	5.7115	5.4265	6.6527	5.4111	6.6146	7.3017	5.3083	5.5882	7.768	7.4532	8.0278	7.7082	5.6583	5.9138	5.4051	7.0025	7.9691	7.4838	8.0176	7.745	8.8611	8.2783
EA_G__RECQL5	6.3866	5.9241	6.0982	6.0967	6.7977	6.1105	6.3339	6.1693	5.8448	6.5609	6.5268	6.6407	6.1679	6.2175	6.1243	6.0609	6.8126	6.1575	6.5895	6.5771	6.3722	6.0161	6.9088	6.9666	6.6794	6.0628	7.0021	6.1281	6.3826	6.4489	6.5105	6.0787	5.9867	6.2323	6.493	6.191	6.7539	6.5892	6.812	6.8478
EA_G__PDLIM4	6.3468	6.5293	6.2511	7.1997	6.0704	6.2219	6.1313	7.301	7.815	6.5161	6.2182	5.9288	6.1434	7.481	7.1811	6.1103	6.0078	6.187	6.2728	7.7514	7.6157	7.0196	6.4254	6.4202	5.8866	7.9411	5.9933	8.7632	7.0234	6.5909	6.332	6.5471	8.3351	6.3504	6.1832	6.7261	6.1563	6.9223	6.2421	6.277
EA_G__EPN3	8.6199	8.2278	8.0466	9.6436	8.7561	6.3758	8.069	7.4293	7.116	6.3802	8.672	8.7373	8.1351	7.9438	6.843	7.7746	10.1126	7.7472	7.1172	6.3093	7.9575	6.3471	8.673	8.446	6.1877	6.2349	9.6115	8.2606	8.6589	8.2641	6.6755	7.3269	6.6283	8.2206	7.2364	8.4764	8.7652	8.4147	8.8978	8.7596
EA_G__DPYD	5.7967	5.64	5.7553	4.3788	4.2825	8.3159	4.2017	7.8062	4.2855	8.8549	3.9347	4.0726	5.0063	6.1143	9.4525	6.9179	5.538	4.5943	4.9597	9.4643	8.6987	8.286	4.1438	5.5058	7.1156	8.739	4.3333	7.724	5.5622	5.8884	7.8689	7.0905	7.6585	4.0732	6.6423	6.7683	4.2669	4.0758	4.0451	4.3467
EA_G__ERBB2	9.7997	12.3532	8.5748	12.3566	10.2935	7.7806	9.1247	7.7491	8.9829	7.1261	12.6526	8.5876	11.3467	7.4832	7.6512	12.3708	12.1521	10.2349	8.7512	8.1322	8.6875	7.0841	8.5271	8.7417	7.9542	7.3805	11.4924	9.0715	10.6304	12.0992	8.1194	7.4859	7.6326	8.7176	12.6826	8.6454	9.1608	12.2493	10.0611	9.751
EA_G__EGFR	7.0647	8.2975	10.5214	7.0644	5.2572	8.4673	4.4568	8.684	8.52	7.7874	4.1842	5.2693	6.4645	8.6796	8.6335	8.7636	6.7396	8.5062	8.3438	6.3164	8.6417	8.6737	5.6004	4.6993	8.2983	9.1647	6.6811	4.4528	5.0546	8.2905	7.1305	9.1228	7.7843	5.1254	6.712	4.8298	6.2005	4.4951	6.3168	5.4392
EA_G__SRPX	4.8418	3.8166	4.7162	5.1588	4.2865	4.4735	4.0039	7.2853	4.7073	10.396	4.3236	4.6318	9.3757	4.3267	4.0548	5.2999	4.2515	4.527	5.7129	5.7652	4.6263	6.3779	4.5545	4.5687	6.9883	5.8279	4.3906	5.7889	4.9086	4.3626	10.949	6.1023	9.3259	4.8527	4.4114	4.3412	4.962	4.12	4.6042	4.6542
EA_G__SRPX2	4.1973	4.7095	7.9005	4.3877	4.2742	4.2844	4.0862	5.4767	4.4034	6.441	4.0076	4.3344	4.1716	5.7482	7.5426	8.5976	4.5518	5.2662	6.331	6.7143	9.6519	7.1681	4.5453	4.3283	4.4019	5.4315	4.1632	5.0324	4.908	4.8403	6.884	6.2682	6.3809	4.7994	5.0401	4.7459	4.5637	4.38	4.4076	4.1805
EA_G__STRA6	6.7414	6.289	8.1692	5.4803	5.5155	5.7664	5.3015	5.2021	8.3085	6.2458	5.2694	5.3811	5.311	5.6253	6.1813	6.659	5.7231	6.7091	6.389	6.6861	8.5028	5.7136	5.7998	5.8201	5.747	5.6188	5.2515	5.3631	6.3975	6.4701	5.314	7.4427	5.6336	6.0435	5.6735	5.8389	5.8468	5.7931	5.6851	5.5958
EA_G__MYST3	8.1225	7.2101	7.5827	7.9023	8.8491	8.2654	9.4978	8.2803	8.4163	7.4617	8.2893	8.3112	8.4965	7.9237	8.1024	8.7314	8.6497	7.8195	8.2078	8.2801	6.3291	7.8467	7.5357	7.2349	8.357	7.765	8.557	7.5893	8.0318	7.2941	7.2059	8.1683	7.7478	8.3676	6.4999	9.0857	8.3661	8.4175	9.0079	9.0507
