Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	1	1	1	1	-1	1	1	1	1	1	-1	-1	-1	1	-1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	-1	-1	-1
EA_G__TGFBR2	6.9434	7.122	8.3904	6.5636	4.7044	7.6681	4.6862	8.3695	6.7089	8.3645	4.4748	5.3047	5.4067	7.9499	7.6715	8.5874	5.241	4.773	7.6865	7.6328	7.8443	8.9298	5.7233	6.4778	7.1766	8.7346	5.9185	7.2226	5.4298	6.893	8.0594	8.1697	9.4684	5.389	6.8625	5.8513	5.002	5.1139	4.6654	4.2384
EA_G__ADAMTS2	6.1291	6.4219	6.3072	6.2602	6.0553	7.6736	6.1679	6.1605	6.2747	7.8228	5.8276	6.0975	6.1593	6.3934	5.9939	6.1867	6.1105	6.3238	6.2655	7.1276	6.3853	9.24	6.3816	6.4391	10.5608	6.1669	6.0913	5.8184	6.9592	6.5254	6.4858	6.4164	7.2845	6.2169	6.3472	6.6946	6.26	6.1651	6.1176	6.2255
EA_G__REEP6	7.2756	7.3124	7.8296	8.0118	9.1556	6.6815	8.2179	7.8251	7.3053	7.6152	10.3249	9.2159	7.4347	7.4881	7.4719	7.15	9.761	8.9474	7.5053	6.5065	6.8337	6.7464	8.4331	8.6279	7.2691	7.1275	9.1377	6.3806	10.0931	7.8307	7.1074	7.1343	6.4064	7.4075	9.6168	7.6949	9.7124	9.2173	9.9128	8.8387
EA_G__TNC	6.8419	4.5317	8.0622	7.9377	5.5042	6.5045	4.5282	10.3359	11.7961	10.5952	4.4803	4.2461	6.7117	5.6666	6.5706	9.083	5.1491	6.9443	8.7277	10.3709	9.8215	9.1583	4.8052	4.8852	10.3004	6.8871	5.9621	9.4908	9.8865	4.591	9.3078	7.1626	9.313	6.8903	6.6164	9.3018	4.8565	4.7517	4.5568	4.34
EA_G__CDH1	9.4474	3.8156	9.8271	10.2402	10.823	4.1816	8.2155	9.3623	7.7169	4.0645	9.8984	10.4438	8.4461	8.5324	9.4381	9.6232	10.1534	4.383	8.3525	4.2405	9.6597	4.2637	9.9596	10.2763	4.0202	3.8114	11.1983	10.3286	7.0185	4.1026	4.9675	8.714	4.0229	9.5589	10.3671	9.2285	9.8379	9.9968	10.6397	10.3255
EA_G__ANTXR1	5.3638	5.021	6.8935	6.2803	4.3643	8.3203	6.4484	7.9829	6.8212	6.5266	4.5447	5.1114	6.4815	6.0603	7.8974	7.4695	4.5918	6.41	7.5128	8.3548	8.5385	8.4815	6.8244	5.5532	9.1346	7.7099	4.9336	5.5327	5.7268	5.1019	7.686	8.0006	8.3681	6.3598	4.7558	6.7588	6.3156	5.2435	4.9089	5.114
EA_G__NPAL2	6.9008	5.9027	6.8153	6.3489	6.9902	4.937	4.6577	5.4937	6.2101	3.9815	8.9241	8.0853	6.4543	4.0973	7.2119	6.8325	7.3829	7.1773	6.7199	5.7675	6.141	6.516	7.0963	6.8102	6.6986	6.4927	6.9277	6.313	5.4176	5.8846	5.0348	6.7427	5.276	5.5001	8.6295	6.5493	6.7587	7.214	6.7578	6.4154
EA_G__TCEA3	8.2375	5.9539	5.5222	6.0256	7.4926	5.0487	8.8314	5.0673	5.5704	6.1196	8.0815	7.159	8.4022	5.5647	6.6279	5.2515	8.1284	5.1551	5.0747	5.9317	8.4357	5.064	6.9062	6.2141	5.6284	6.534	6.4577	8.4136	7.6133	5.6212	5.6072	5.5857	5.4579	6.1439	8.918	8.5451	7.826	7.9185	9.0069	8.328
EA_G__C8orf38	5.6885	5.2961	6.0933	7.4005	6.7728	6.36	6.5944	5.9578	5.9875	5.4229	9.7617	7.3404	6.8741	5.5815	7.5749	6.428	6.7847	7.2665	6.1555	5.9237	6.2838	7.1253	6.3628	6.663	6.2003	6.4429	6.5667	6.5273	6.1991	5.3366	5.7822	6.0141	5.8823	5.7278	6.8811	5.6055	6.2685	6.7931	6.1164	6.5177
EA_G__S100A4	7.436	7.1974	5.1217	5.0732	4.9989	6.3472	7.2798	7.4983	6.2674	6.533	4.6036	4.3392	5.2873	5.2775	7.1519	4.9025	5.1462	7.5715	6.4541	6.3144	6.0386	7.9102	5.121	5.1448	7.3002	5.6066	7.2439	7.4551	4.2037	9.3271	9.2706	6.0814	8.8714	6.2248	5.8644	6.5472	6.6539	4.7041	4.8505	4.503
EA_G__NAV1	7.4175	8.9354	6.7217	5.4838	5.7925	7.8052	5.1032	5.0575	7.9118	7.629	4.8157	4.8473	5.8443	6.4689	7.4442	6.9431	5.6569	7.9222	7.0711	8.0474	8.2228	8.6572	5.6577	5.8182	8.6836	6.4817	6.5266	6.955	6.2838	8.7193	8.8574	7.5636	8.4718	6.3187	5.356	6.2935	5.239	5.7713	5.7746	5.8825
EA_G__TP53INP1	7.1211	4.0339	4.7723	8.5398	8.086	6.3946	6.9129	4.1921	4.5465	4.4168	10.0237	8.8782	6.0874	4.385	6.9501	5.9169	8.0398	6.8808	4.0731	6.0588	6.1896	5.8195	7.2924	7.6158	6.6539	4.5579	8.3123	7.0256	6.518	4.5237	3.7159	4.1588	3.8629	7.5959	7.2959	5.8419	6.9661	7.8789	6.8327	6.9651
EA_G__COX6C	8.4251	8.7722	8.4294	9.3046	10.7821	8.8445	9.8554	8.8231	8.5697	8.6473	11.0978	10.6795	9.4782	8.5041	9.477	9.1648	9.118	10.0254	7.9185	9.4142	7.3975	8.1813	9.3532	11.4426	9.1365	8.3708	8.6786	8.346	7.8627	8.7901	9.2058	8.5356	8.4797	8.2679	9.1264	8.8519	8.3672	9.887	8.7243	9.307
EA_G__APOBEC3C	4.9575	4.3796	8.4404	5.0079	4.3185	4.6432	3.9746	6.252	7.5233	7.2601	4.2715	4.3922	4.4322	7.6314	8.0586	6.1462	4.3766	4.9659	6.7292	8.0813	6.5526	7.1948	4.5514	4.7951	7.4161	7.5841	7.6699	8.5436	4.8073	4.7309	4.6374	7.9769	7.4662	5.0818	5.0684	8.9395	4.9317	4.2818	4.5283	4.3357
EA_G__MID1	7.3575	7.8671	7.6225	6.5319	4.0253	9.2256	4.8036	5.4959	6.325	7.5814	4.2086	3.5424	6.8833	6.9614	7.3835	8.122	3.8564	9.1473	8.728	6.919	7.6831	6.2463	5.1206	4.2893	9.4667	6.9923	5.9284	5.9819	4.6915	7.7104	7.4575	6.4535	6.77	5.7152	5.6586	6.2357	6.9547	5.4707	5.6867	6.1604
EA_G__DNAJA4	7.9766	4.7516	4.5141	8.0682	7.3489	4.2649	6.8891	6.3925	5.3544	4.7358	8.8331	6.9037	5.5941	7.0226	7.0286	4.6258	7.5871	6.1691	4.6041	7.0471	6.3352	5.3644	7.0912	6.871	4.8811	4.7158	8.324	6.9391	7.0638	5.8064	4.5857	6.9409	4.803	5.0151	7.474	6.8647	7.9157	8.4296	8.8969	7.5146
EA_G__MTSS1	5.8587	5.6912	4.5068	6.8843	7.0331	6.4919	5.8012	5.3065	7.1918	6.2432	8.5811	7.0421	7.0883	7.5023	7.0308	5.9383	5.6926	4.9353	5.3388	5.1834	4.8634	5.7994	5.7517	6.2886	5.0317	4.561	6.0564	8.121	5.6778	5.9113	5.2908	4.9113	5.8955	5.5815	6.5243	7.5958	6.1442	7.246	7.146	6.6464
EA_G__RAB11FIP1	7.7489	7.29	6.7556	7.2374	10.9487	6.0996	8.0487	7.7821	6.9453	5.8301	8.3145	8.4506	7.1372	6.5495	6.7129	6.7962	7.4883	8.1631	6.6448	7.058	7.0896	5.8517	6.8206	6.8315	7.2036	6.2077	7.9194	6.8136	6.9053	7.6757	6.0579	6.4956	6.959	7.013	10.2659	8.072	7.7446	7.0056	8.1997	8.3727
EA_G__EHD2	7.3175	7.175	6.3216	6.3603	5.9076	9.1305	7.8483	8.6393	6.4028	8.256	6.0272	6.5969	6.0329	8.7643	7.588	8.5066	7.2154	7.8595	7.7524	9.2252	8.1121	9.9391	6.6247	6.7547	8.9681	7.6772	6.0786	8.2494	7.1402	7.063	8.4964	8.0041	9.1996	6.4192	7.1679	9.2335	7.4684	6.7046	6.9207	6.7111
EA_G__RBMS3	3.6966	3.9791	3.4284	3.7614	3.2958	6.9879	3.583	6.8575	3.6609	6.9888	3.541	3.5718	3.7914	3.8414	5.8881	4.5971	3.8785	3.7264	5.8152	7.3861	5.6311	8.01	3.8227	3.7421	8.1422	7.5577	3.5926	4.3143	4.0302	3.8835	7.0336	4.6486	7.2745	3.4165	3.5711	3.8293	3.865	3.5954	3.6699	3.4762
EA_G__LIPG	5.1381	5.163	7.1426	4.9295	4.8718	4.6897	4.6188	7.0169	10.9807	4.7925	4.1621	4.592	4.6623	6.8091	5.6252	9.1776	5.1501	5.0515	5.1382	7.1466	7.0825	6.1352	4.986	4.9245	5.151	6.6887	4.5965	5.4637	6.2382	5.6447	4.9432	7.1057	5.1428	6.8457	5.4978	5.4611	5.2502	4.7586	4.8716	4.5788
EA_G__PRKCA	5.1123	6.9849	6.7965	6.093	4.4173	8.7689	4.7539	7.1254	3.9318	7.493	4.0132	4.0291	5.6109	6.9189	6.4077	7.722	4.558	6.2455	7.0923	8.9502	4.7269	8.3028	6.6467	5.9656	9.6278	8.5886	5.5478	7.1467	5.4288	7.173	9.0008	4.8225	8.6544	5.553	5.3847	5.7431	5.6894	6.2828	5.5399	5.837
EA_G__TGFBI	7.8583	7.3654	6.7359	6.4943	5.5709	5.5324	5.0026	5.9032	9.4129	11.9905	6.5426	5.3841	5.1904	9.5998	9.0848	10.3532	5.7241	8.1936	8.0879	11.7397	10.3964	12.124	6.9215	6.836	10.9424	8.6777	5.6641	5.8451	5.9103	7.4635	11.9134	9.4362	11.7644	5.5448	5.6932	5.0333	5.5732	5.8233	5.305	5.0359
EA_G__THBS1	10.1181	8.8537	10.1535	6.8427	9.5472	11.7756	9.5093	12.1592	9.5535	9.3881	6.4172	6.256	5.7423	10.1946	9.8642	11.2382	7.5699	6.3827	11.5562	10.0309	8.1139	11.2999	8.4058	9.8527	9.8837	10.2805	7.7776	10.0528	10.1956	8.4328	5.1794	11.4742	11.5545	7.7318	9.2531	8.0413	8.8181	8.8273	5.1516	5.3147
EA_G__NT5E	5.9068	7.0846	5.1501	3.9196	3.2264	9.0413	3.3792	7.2634	3.8917	3.5081	3.4181	3.341	3.6388	6.864	8.5101	8.8687	3.6206	3.5929	6.896	5.2742	5.9823	10.1163	3.8698	5.5831	8.137	10.8683	3.268	4.7321	4.3347	7.0175	10.6481	5.3531	8.4554	3.5999	3.747	3.7861	3.4798	3.9113	3.6276	3.2018
EA_G__S100A3	4.4039	5.3412	4.9353	4.3282	4.2059	5.6023	4.3749	6.6335	6.9833	6.4591	4.2712	4.0737	4.3869	5.8534	6.0279	5.0119	4.6463	4.5809	6.6095	7.8016	4.8696	7.5816	4.6237	4.3372	8.4498	6.8913	4.202	4.152	5.2117	6.455	6.0566	6.3403	6.9666	4.1692	4.1719	4.8878	4.3484	4.3764	4.3595	4.5112
EA_G__ZNF652	7.5137	6.6796	7.1304	9.1134	7.658	5.4265	8.0263	7.5657	6.1455	6.1679	10.4217	8.3293	6.9403	6.4695	6.4805	6.6269	8.7194	7.371	6.6141	7.0294	6.8064	6.2259	7.3028	7.8102	6.7251	6.172	9.0124	7.6468	7.4323	6.5588	6.6853	6.6539	6.3657	7.335	8.4527	7.8613	7.2296	8.3435	8.7495	7.6069
EA_G__KREMEN1	6.5585	6.9751	6.0424	8.046	7.4854	6.2366	6.3047	7.6357	6.6143	7.7238	9.2185	7.0632	7.6468	7.082	6.9969	6.8058	7.631	7.5835	6.7676	6.5842	5.4202	6.1612	7.2185	6.9237	7.088	6.2457	9.67	7.3885	7.2974	6.9629	6.9396	6.5568	6.1826	7.9062	7.6804	7.3377	8.1413	8.4315	8.2097	7.8019
EA_G__CALCOCO2	8.4692	6.6383	7.7069	9.6562	8.6952	7.8574	8.6576	8.2623	7.6502	7.7392	10.6594	9.3799	8.0394	7.4656	7.6139	7.5792	10.6111	7.8504	7.8448	8.7402	7.8462	7.8244	7.7946	8.405	7.8819	7.8642	9.6198	8.5167	8.2891	6.2432	8.685	7.1097	7.8718	7.3404	8.2046	8.7228	9.0431	9.6396	9.2757	8.839
EA_G__SLC19A2	7.8428	7.7834	6.555	8.6972	9.2989	5.8688	8.05	5.9865	7.3949	6.009	8.1815	10.1415	8.0242	6.2908	7.3019	7.0936	7.4043	7.6557	7.2335	6.9579	6.8503	6.6471	7.8194	8.4896	3.9396	7.9704	7.8213	8.2376	7.1089	7.2999	6.8343	7.3796	7.4287	7.7499	7.1276	6.9377	7.6287	8.3672	8.0226	7.9977
EA_G__TOB1	9.7608	9.0994	8.2733	10.3884	10.6059	7.4602	9.6086	8.2488	7.4455	7.3781	10.7407	10.9032	8.0535	7.6285	8.1314	7.6875	11.098	9.066	7.1435	8.0148	7.7478	5.8354	9.5153	10.1659	7.4631	6.2229	10.9348	8.9254	9.3315	8.7014	7.2404	7.3259	7.5716	9.1303	8.452	9.2129	9.9542	9.2213	10.3392	10.2663
EA_G__GPR137B	7.3173	7.3696	7.6294	7.4089	8.1599	7.0778	7.3259	6.2259	6.8084	6.4613	8.107	8.2884	6.8585	6.7126	6.9986	6.5121	8.0507	7.6793	6.8539	6.108	3.5024	4.7996	6.656	7.7104	7.3236	6.6327	7.212	5.9258	6.6425	7.1303	6.8735	6.4763	5.6081	7.6708	7.6703	7.3033	7.8159	7.0711	8.8563	7.0471
EA_G__PGM2L1	5.1043	5.0607	5.1815	5.9896	5.7321	5.7676	7.7206	6.3623	6.7073	7.1083	4.302	5.4083	4.8871	4.7927	4.2934	7.8337	5.8619	7.0438	6.7975	6.2643	6.7048	6.6205	5.1081	5.1711	7.3829	5.9498	5.1439	6.6134	4.6713	4.8103	5.9794	6.251	6.8761	7.0398	5.335	5.2986	4.9215	5.3564	4.3529	4.3942
EA_G__CALD1	4.9976	5.3745	6.4921	4.0059	4.5323	6.9477	4.1231	6.8428	7.5601	8.1298	3.9074	4.2596	6.0823	5.2906	6.3946	5.1864	4.6531	5.3524	7.4511	7.9533	6.2922	9.3633	4.4971	4.3691	9.1755	6.51	5.4997	4.7735	4.7727	5.7915	6.303	6.8236	7.1648	6.5636	6.1459	5.5227	4.6722	4.2721	4.3237	4.2804
EA_G__SRD5A1	8.0855	7.7981	8.399	7.6275	6.6327	7.4336	7.1454	8.3436	7.7263	8.1358	7.0578	6.9902	7.0641	7.5414	9.0122	7.6676	7.0617	7.9855	7.9288	7.2715	10.5835	7.8071	7.3295	7.2067	8.68	7.457	8.0689	7.8639	6.0999	7.4931	7.124	5.9887	7.6524	7.1851	7.4128	7.5333	6.3411	6.8793	6.9635	6.1703
EA_G__TPD52	5.9209	8.4542	5.7277	7.0653	6.6962	5.3719	6.8489	6.829	4.9629	5.1704	7.2799	6.5672	7.0081	5.6315	6.5702	6.5929	6.3041	6.491	5.8988	5.8681	5.9646	3.9806	6.3341	6.808	4.2657	5.3093	6.894	6.7619	6.1522	8.3772	5.8053	5.8745	5.9066	6.8577	7.4252	6.5493	5.7787	7.5175	7.2785	6.8565
EA_G__ADAM19	7.0925	6.7177	4.8427	5.0563	5.4713	6.7155	4.8301	7.786	6.0565	6.9025	4.6711	4.9038	6.0687	6.2888	5.1522	5.7544	5.1512	5.8864	6.6231	6.8082	5.7394	8.7117	5.4742	5.4706	8.544	7.72	4.7314	6.6282	5.6521	7.3337	8.5251	5.7288	5.9389	4.9755	5.7672	6.095	5.2166	5.0739	5.4023	5.2444
EA_G__WWP1	8.0302	8.9967	7.7907	8.8018	9.7101	8.1978	8.8679	8.3785	7.5529	7.4231	11.3334	8.4612	8.6495	7.1267	8.5063	7.861	8.4297	8.3236	7.9304	8.7833	8.4192	7.9482	9.4423	9.7243	7.8338	7.7268	9.4123	8.1499	8.3365	9.3644	7.2959	8.2918	7.7756	9.3304	9.3449	8.0658	7.9781	8.6656	8.7748	8.939
EA_G__TMEM16A	5.2908	7.2916	6.4055	9.4332	8.3635	4.9702	5.3162	9.8919	8.7183	5.2833	9.0278	8.6188	6.5456	7.9563	8.5709	7.4917	7.0008	7.5129	6.7371	4.7918	5.8483	5.1414	5.324	5.5073	5.098	4.7971	8.0768	11.1144	7.8885	8.0278	5.0673	5.1832	5.1206	5.3765	8.6544	5.3902	7.2997	5.773	10.4323	8.705
EA_G__BMP1	6.6703	6.5794	7.9687	6.0246	6.445	8.212	6.0746	7.1822	9.0463	8.0235	5.4548	6.9235	6.8115	6.6383	7.5455	7.9091	5.7024	6.5834	7.2222	7.792	7.3279	8.4422	6.9906	6.6899	9.678	7.0429	6.1197	7.0648	6.6947	6.5005	7.0603	7.7511	7.8272	6.9575	6.411	6.4197	6.3307	6.3149	5.8934	6.5979
EA_G__FGFR4	6.212	7.4027	6.3774	9.4947	8.6522	6.7252	11.1104	6.9616	6.8446	6.9437	9.9702	7.7334	8.649	7.4069	6.9704	9.0064	9.4306	7.8246	7.3383	7.6825	6.2891	5.6839	7.6865	8.3879	8.0349	6.6169	9.9462	9.8037	11.4544	6.6971	6.6719	6.5764	5.6794	8.3049	9.0287	8.2707	6.8843	8.8386	10.7427	9.4229
EA_G__PRKAR2B	3.6639	4.751	7.6397	6.673	7.3892	4.2612	5.5339	6.1629	5.6519	5.6035	7.3352	8.2984	6.7023	3.924	7.0818	5.0653	4.5253	7.3375	6.4084	5.38	8.6228	5.2452	7.008	6.7479	6.3269	5.5951	6.3291	4.8747	4.7273	5.1911	6.4866	4.6942	3.6612	6.1377	6.4419	5.7235	5.3886	6.9424	6.823	6.4128
EA_G__GSTP1	11.5172	6.0003	6.1295	6.0346	5.6096	11.1308	5.8622	12.02	11.7468	11.734	5.8607	5.9335	11.77	12.0193	5.513	5.9581	6.2447	11.1635	11.2713	11.265	8.5568	10.561	6.195	5.9383	11.1738	8.9486	5.7978	11.6968	6.8557	9.2514	11.0721	11.5502	11.2948	11.9288	6.2721	6.4486	6.3612	5.7143	6.0423	7.4988
EA_G__PTRF	6.1378	5.9441	8.4012	5.9461	5.7085	9.47	6.0342	7.9379	6.2178	8.1509	5.8965	5.563	7.0871	8.0149	8.4522	8.1467	6.1849	6.696	6.8672	9.1449	6.8679	9.7016	6.208	6.3008	8.7173	8.8381	5.6244	6.5879	6.7201	6.1917	8.0202	8.0864	8.6629	5.8363	6.4714	6.5439	6.4796	5.9012	5.9419	5.7248
EA_G__EDIL3	4.2675	4.4678	4.1222	4.2003	4.1091	10.3398	3.9199	7.7527	10.7627	10.9328	4.1415	6.574	4.1486	5.3387	3.582	5.0077	4.1852	4.3808	6.4883	10.5374	4.466	10.2267	4.3709	4.7425	9.6383	9.9608	3.9369	3.9483	4.4458	4.7088	7.9988	6.332	7.8969	4.3348	4.5551	4.1115	4.1293	3.8469	4.2709	3.9187
EA_G__CRIP1	8.4336	5.31	5.3267	9.7731	11.423	5.334	5.4641	5.3474	8.9387	4.8935	11.7544	5.561	8.2598	7.0206	5.2656	5.5827	7.7479	5.8054	5.3255	5.4495	8.2606	5.0561	5.5382	5.4859	5.3967	4.9174	9.2424	6.8474	7.5698	5.9588	5.2163	8.9972	5.2167	5.7411	6.8932	5.2574	9.2766	9.2825	9.7626	10.5449
EA_G__STAC	4.6901	5.967	6.944	4.4744	4.4739	8.7517	4.4143	8.7019	5.2245	6.8093	4.2275	4.1802	4.3895	5.9041	6.5323	7.7776	4.7595	4.569	6.183	6.74	6.7671	7.8582	4.503	4.5206	6.7276	7.5021	4.3421	4.3729	4.7293	6.4295	4.531	5.9112	7.5436	4.6565	4.8691	4.9889	4.5177	4.371	4.5517	4.6534
EA_G__ARL4C	6.9231	6.4043	8.6446	7.8979	6.524	8.6542	6.5207	8.5419	6.249	9.5728	7.2395	5.713	6.9818	7.8644	7.5521	7.3938	5.5924	8.1788	8.3581	8.8294	7.832	8.4905	6.8551	6.4925	9.064	7.769	6.7918	5.7117	6.6629	7.184	10.1983	7.1131	6.0957	7.0154	6.579	7.5063	5.9402	6.3704	6.6452	6.0953
EA_G__MMP14	5.1852	5.3987	5.2376	5.2335	5.0592	10.3729	5.1512	8.0249	9.9154	9.7962	5.0892	5.2954	5.2874	8.803	7.6928	6.3976	5.5909	8.0609	5.2277	8.9768	8.7686	8.9717	5.9409	5.8539	7.6746	8.2005	5.1668	5.3091	6.2949	5.8482	11.2199	7.0852	7.8574	5.7305	5.466	5.7344	6.2135	5.2291	5.5205	5.535
EA_G__NAV2	7.047	5.9388	8.3512	5.1132	6.0164	6.6849	5.544	6.9753	9.7986	7.586	5.5004	5.4398	5.3615	5.9011	7.0078	7.7367	4.7494	5.5622	7.9494	5.0788	6.3855	7.6234	5.2578	4.9935	6.821	6.9071	5.3098	8.0044	5.7505	6.8978	8.132	7.6056	8.1373	6.9788	6.4853	7.9451	4.7301	5.2354	4.8832	4.7912
EA_G__RBL2	6.5155	6.8291	7.1781	7.173	7.4847	7.5013	8.3133	7.6582	6.384	7.5506	7.7134	7.583	7.2456	6.4413	7.4927	6.7561	7.0312	7.2492	7.1869	7.6166	7.4074	5.9941	6.8225	6.765	6.2257	6.6463	7.2992	8.2297	7.0719	6.6407	7.5723	7.353	6.7457	6.9845	8.7925	7.1554	6.8087	6.8755	7.7084	7.6992
EA_G__PROSC	8.4071	6.9543	8.2249	7.7791	9.4024	8.2912	9.0613	7.4837	7.3607	7.3428	8.2497	8.1848	8.5838	8.105	7.1638	7.2847	8.1915	8.4134	7.7126	8.3445	6.9349	7.8458	8.0721	7.6868	7.8446	7.7727	8.3526	8.0222	7.7677	7.2703	8.1236	7.7901	7.9593	7.9341	9.9284	9.7352	8.1248	8.1056	9.0744	8.8766
EA_G__LOC653391	6.5666	6.9131	6.9086	7.1983	7.2077	6.6292	8.0002	6.5219	6.9319	6.3736	7.7959	7.6275	7.6459	5.7625	6.5929	7.0805	6.409	6.3346	6.4281	6.6881	6.0577	6.9954	6.7399	7.0051	5.7961	6.637	7.2294	8.9528	6.2286	6.5107	6.2781	6.0329	6.7981	7.771	7.1838	7.4489	7.9916	8.5776	9.8749	8.768
EA_G__ELK3	6.214	5.7875	6.4343	5.0173	5.7208	6.3793	6.0668	6.2242	5.6844	6.4943	6.0164	6.0869	6.0582	6.9747	5.8821	6.9185	5.3533	4.5117	6.5217	6.7734	6.2157	7.2924	6.2209	5.6102	6.1929	8.1946	5.6704	5.4659	5.4923	6.0903	8.2677	6.319	8.0026	5.7072	5.567	5.9615	5.5961	5.5168	5.4524	5.4035
EA_G__ELF5	4.2981	5.8202	4.2489	7.3218	7.309	4.3044	4.9445	5.2392	9.8355	4.3338	6.7358	7.7811	4.6943	4.4652	6.239	4.271	7.1992	7.4263	5.3967	4.094	4.411	4.0815	6.4913	6.7385	4.0654	4.2349	6.8165	4.3561	4.6392	6.1555	4.6482	4.6594	4.1047	8.7989	7.3541	5.8785	8.5803	7.339	5.3151	6.8873
EA_G__MPP7	8.0834	7.201	6.8077	7.6254	7.7941	3.5809	7.1178	6.0094	6.4583	3.9626	7.6765	8.069	7.0109	4.702	6.5822	6.5066	7.1208	8.1318	6.4942	4.974	6.8515	4.1343	6.835	7.312	3.4258	4.8621	7.4319	7.8872	4.7048	6.7447	3.9781	5.7979	4.8244	7.7533	8.0238	5.708	8.7197	7.3438	7.4885	6.8702
EA_G__WDR32	6.688	7.0005	6.9373	6.8804	10.0989	7.6017	8.0546	7.7223	7.6852	6.7785	8.2107	8.427	7.466	6.4857	7.6113	7.4965	7.8452	9.7947	6.7844	8.4793	8.3966	6.8673	7.0156	7.1314	7.2606	7.136	7.3108	8.0252	7.2598	7.0917	7.6321	5.6922	6.8736	8.3833	7.1692	7.345	7.1693	7.718	7.6429	8.1755
EA_G__SLC39A11	8.0039	7.6914	6.4328	7.5502	7.8772	6.5108	9.2791	6.8888	6.8928	7.3307	7.5156	8.6527	7.168	6.3672	7.0764	7.36	8.9869	8.1172	7.0266	7.0961	7.8446	6.3549	7.9397	7.9691	7.3801	6.5379	7.9556	9.0344	6.4632	8.3686	7.2705	6.1905	6.1289	7.8538	8.5277	6.7183	7.9721	9.1536	9.6432	8.6471
EA_G__IGFBP3	6.5418	6.2321	5.9447	6.194	6.6882	10.4666	5.8726	10.7593	8.2432	10.8471	5.6892	5.5772	5.9308	8.7316	10.2826	10.7306	6.27	10.0307	9.709	9.0301	11.3362	9.3579	6.1592	6.4941	8.1435	7.4194	5.9981	6.6661	7.6014	6.7459	8.8475	7.5569	6.2586	7.9654	6.9434	6.7155	5.8457	6.3318	5.853	5.7447
EA_G__EPHA4	4.1217	5.0734	5.9051	6.2606	4.4531	7.9784	3.8708	7.1865	5.253	6.9047	4.6924	4.5379	4.3548	5.9984	6.7428	6.6761	5.5218	9.2057	5.8254	6.264	7.1311	7.3232	7.0524	7.149	8.0528	6.3083	6.0132	4.0356	7.8997	5.4945	4.3484	4.3606	6.4671	8.8106	3.9527	6.7085	7.4911	6.4549	4.1474	4.7413
EA_G__DENND1B	6.8796	6.6791	6.7675	7.167	7.3121	4.7193	6.0054	5.8785	5.9951	5.7859	6.8062	6.8071	6.1834	6.5026	6.5064	6.6765	6.7352	7.4498	6.5538	5.7247	7.5458	5.444	6.254	6.4954	5.8145	5.6087	6.7896	7.0417	8.8044	6.7401	5.1312	5.7658	5.6866	7.0638	7.1235	6.6987	5.8053	7.2246	7.9649	9.7169
EA_G__HGD	6.292	6.1701	3.7824	7.6492	5.5405	3.7536	7.1472	3.8709	3.8208	3.6315	8.002	8.7179	8.6658	3.8689	3.4665	4.1149	5.727	8.0684	3.8546	3.7892	4.0083	3.6706	4.0437	5.1745	3.4955	3.8207	9.1095	8.8747	5.3693	4.2486	3.9795	3.876	3.8261	5.1101	8.751	4.4323	4.1422	5.0669	8.3076	8.2304
