Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM44PE	SUM52PE	T47D	UACC812	UACC893
EA_G__RNF145	8.2864	8.9906	7.8601	5.9042	6.4469	8.2399	3.6986	7.9628	8.1927	6.4509	8.8975	4.383	6.8288	6.957	7.388	7.931	8.2957	7.1362	6.8248	7.964	8.0655	8.2727	9.2999	5.8841	5.5607	8.7718	5.3762	8.5754	5.0477	9.0789	9.2572	5.5689	8.3803	8.0365	8.8456	9.6135	7.7868	7.1606	8.1719	4.8457	8.3063	7.5792	6.3729	8.0164
EA_G__TGFBR2	6.9434	7.122	8.3904	6.5636	4.7044	7.6681	4.6862	7.6677	8.3695	6.7089	8.3645	4.4748	5.3047	5.4067	7.9499	7.6715	8.5874	5.241	4.773	7.6865	7.6328	7.8443	8.9298	6.4778	5.1441	7.1766	5.8674	8.7346	5.9185	7.2226	7.7136	5.4298	7.4191	6.893	8.0594	8.1697	9.4684	5.389	6.8625	6.9689	5.8513	5.002	5.1139	7.3592
EA_G__RBMS3	3.6966	3.9791	3.4284	3.7614	3.2958	6.9879	3.583	7.138	6.8575	3.6609	6.9888	3.541	3.5718	3.7914	3.8414	5.8881	4.5971	3.8785	3.7264	5.8152	7.3861	5.6311	8.01	3.7421	3.3788	8.1422	4.3691	7.5577	3.5926	4.3143	4.2558	4.0302	4.0642	3.8835	7.0336	4.6486	7.2745	3.4165	3.5711	3.2362	3.8293	3.865	3.5954	3.9363
EA_G__CREB3L4	8.1311	8.1722	6.239	8.8266	8.2267	5.1526	8.4914	5.6421	5.7882	5.6323	6.0428	8.1729	6.4823	6.4278	5.55	5.5635	6.0272	8.4488	7.1548	5.7115	5.4265	6.6527	5.4111	7.3017	6.9522	5.3083	7.8557	5.5882	7.768	7.4532	5.2433	8.0278	6.3376	7.7082	5.6583	5.9138	5.4051	7.0025	7.9691	8.0392	7.4838	8.0176	7.745	8.0589
EA_G__ETS1	3.8667	4.805	5.9815	3.8221	3.5321	9.1987	3.7611	7.9136	9.7835	5.4674	8.8179	3.5174	3.7092	9.0214	8.4312	8.6336	7.6481	4.1411	4.2609	8.9186	6.6496	6.1098	7.8626	4.1251	3.6311	8.5584	3.7782	8.8462	3.44	3.778	8.6385	4.6855	7.7448	4.7509	7.741	7.9709	8.314	4.3718	5.9158	3.6491	4.288	4.0329	3.9583	3.7085
EA_G__MALT1	6.1856	6.8006	6.8844	6.6217	6.2121	8.5624	6.7858	6.3024	8.3258	5.7342	6.901	6.3425	6.2349	6.6303	6.5109	6.7436	7.3168	6.1011	5.518	6.689	9.3823	6.2279	7.8265	5.3337	5.8366	7.5889	5.4144	6.8856	6.1808	4.8845	7.0338	5.9347	7.5507	6.6455	7.5106	7.3724	7.5651	7.0666	5.7784	6.0549	5.2207	6.0642	6.4532	5.9553
EA_G__FAM92A1	5.5302	3.478	6.5384	5.8483	6.4144	8.4157	5.1613	7.6075	8.0287	5.1954	6.5926	9.1744	4.5411	7.7132	7.0833	7.3376	4.797	4.9067	5.1531	7.1769	8.6012	5.3043	7.7639	5.9786	4.0925	8.9483	5.4059	7.7509	5.8867	5.4835	7.4907	4.3822	5.7306	3.5541	8.8524	6.8195	8.0827	6.5139	5.3158	4.5068	3.813	6.5597	7.8706	3.4892
EA_G__BAG2	3.8525	4.3299	5.1524	3.8546	3.7077	7.7073	3.4446	7.5401	6.687	6.4005	6.3219	6.2911	4.5582	8.1386	7.9545	7.1173	6.8822	6.5667	4.381	6.3286	7.4399	6.2299	7.9982	5.4682	4.334	7.5584	3.3871	8.1211	5.4731	4.2242	7.1485	4.7056	7.8788	4.5241	8.2828	6.9224	8.5168	5.2833	6.1298	4.4462	3.6269	5.8246	5.7192	3.9471
EA_G__DCBLD2	8.5471	4.4849	10.0473	7.708	6.5121	9.4737	3.6511	9.2955	8.2451	7.0105	8.7746	8.1518	3.6162	7.8489	10.0058	9.1965	9.857	7.8921	8.0481	9.6844	9.6487	8.7991	10.7754	6.7617	6.081	10.5443	7.7964	9.4729	7.8692	3.5968	10.1384	6.9997	7.4382	6.6151	9.3028	7.7366	9.0471	7.064	7.7637	3.8788	7.4904	8.1841	8.5023	3.8183
EA_G__GRB7	8.5454	10.9211	8.0083	11.1297	8.1717	6.2075	7.1224	6.3966	7.4261	7.5684	6.3606	11.6802	7.283	9.436	7.1132	6.9786	11.7721	10.5789	8.4244	7.8473	5.9178	8.1182	6.2106	7.4325	7.641	5.5442	8.1737	6.1796	9.8138	7.8417	6.0123	8.799	7.9745	10.5391	7.3985	7.0859	6.2713	7.9055	12.3691	7.2703	8.1468	7.4714	10.6486	11.6368
EA_G__S100A3	4.4039	5.3412	4.9353	4.3282	4.2059	5.6023	4.3749	8.6903	6.6335	6.9833	6.4591	4.2712	4.0737	4.3869	5.8534	6.0279	5.0119	4.6463	4.5809	6.6095	7.8016	4.8696	7.5816	4.3372	4.3606	8.4498	4.8696	6.8913	4.202	4.152	7.0581	5.2117	8.3333	6.455	6.0566	6.3403	6.9666	4.1692	4.1719	3.8816	4.8878	4.3484	4.3764	5.5405
EA_G__S100A2	4.9938	4.9619	5.4168	4.3304	4.8145	6.0816	4.8565	7.3456	9.6017	5.8766	6.2329	4.4923	4.5089	4.6254	9.9432	7.9132	6.2996	4.9466	5.0789	9.6456	6.3764	7.9301	5.4236	4.6769	4.421	6.233	5.0704	5.8	4.2069	4.6835	6.2242	5.3593	6.6049	4.8616	7.3285	8.6077	6.9381	4.8188	5.1131	4.2846	5.1742	4.6866	4.7369	5.0098
