Cell lines	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1419	HCC1428	HCC1569	HCC1806	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751
EA_G__ISOC1	7.7312	7.7099	8.4881	7.1505	10.1811	6.8003	8.3692	7.8247	9.2481	8.0613	7.4609	7.7585	7.7394	6.4754	6.4981	7.13	9.3042	9.2846	9.3326	6.4466	7.818	8.0524	8.6912	8.875	8.4946	7.982	7.6054	7.2698	7.2342	8.2947	7.5257	7.1917	8.0935	7.8404	9.2017
EA_G__OCC-1	4.7657	6.4463	6.0232	7.9125	8.1939	7.9815	6.4479	7.0864	6.2162	7.7616	7.2971	4.7101	6.4958	7.6337	5.1407	8.9882	6.7867	6.4518	8.3745	8.6907	5.5728	7.9621	7.1268	6.1152	4.9518	5.6333	7.3574	7.0924	8.3571	7.0635	4.3091	5.966	6.2156	7.6201	4.414
EA_G__TACSTD2	9.3731	8.4011	7.8646	4.9233	7.8754	9.4373	6.4671	8.1558	8.4789	4.6365	8.695	8.9977	4.923	4.6642	11.008	4.4877	9.087	9.0993	5.3417	4.6093	9.0348	6.6849	8.5865	9.0008	8.5592	9.7614	4.9094	9.0425	5.0911	9.2428	9.5358	9.102	9.8601	9.4885	8.5365
EA_G__ATP7B	5.8567	5.7373	8.4859	5.5861	8.0376	6.1909	6.562	7.9776	9.3079	6.3782	5.2183	5.7551	5.9086	5.888	5.2875	4.8425	6.5883	6.4678	5.873	6.1273	7.1474	5.1534	9.4854	8.2401	5.8082	6.645	6.3643	5.7143	5.6434	6.7281	6.2771	6.1749	6.2514	9.3683	7.6427
EA_G__GALNT6	8.6602	8.9768	8.6345	4.7514	9.6093	7.1112	6.9446	9.8516	8.9842	5.5323	6.8487	9.23	7.851	4.671	8.141	5.0226	8.965	9.2303	9.3822	4.7392	9.425	5.2894	9.393	10.0229	9.2867	9.2247	4.9243	7.8977	5.0908	10.1047	9.6267	10.2162	8.6008	10.6343	9.5105
EA_G__GPR81	6.0516	3.5022	7.939	3.5141	6.9006	2.868	3.5631	8.6916	6.629	4.3242	6.9887	7.3637	3.5687	5.2175	4.6384	2.9743	7.6206	7.1395	6.8412	3.373	8.2863	4.1802	8.6643	7.4676	6.8526	6.064	3.7546	3.8905	2.7273	7.8144	4.8618	5.8669	6.462	5.8118	6.8539
EA_G__MLLT6	7.5689	7.9745	10.2659	7.2075	7.8921	7.3103	7.924	6.9293	7.4125	7.6523	7.1562	7.9772	7.9221	7.1573	7.9475	7.3379	7.5901	7.3045	7.6289	6.8315	7.8394	7.544	8.5385	7.1777	8.2068	8.0174	7.181	7.6071	7.4195	7.375	7.3583	7.2287	7.7259	8.7446	7.8067
EA_G__IMPA1	5.64	6.5029	6.7796	8.5002	7.0914	8.1413	6.4712	10.1349	7.6023	7.4605	7.4336	6.3577	7.343	9.2356	6.7086	8.7102	6.2201	6.475	7.7587	8.1433	6.6791	8.6678	6.847	6.3373	6.3375	5.9252	7.897	7.4781	8.082	6.392	7.3375	7.6818	7.4752	6.9355	7.3998
EA_G__HIG2	10.3182	7.6916	9.7982	7.1806	8.8925	6.8114	9.2443	8.9429	8.8777	8.7612	7.0476	9.728	7.6702	6.7164	7.1713	7.7054	9.4173	8.7386	7.9982	7.3557	9.539	7.2633	9.5566	8.4201	8.6189	9.6608	7.134	7.2611	7.6784	8.9239	8.0475	8.4674	9.1108	7.9012	8.5845
EA_G__GREB1	5.1994	4.9872	8.065	4.9192	8.3065	5.0069	4.9788	5.6605	10.3094	5.0213	5.124	4.9551	5.1207	5.0989	5.1942	4.9357	8.9837	8.8045	7.495	4.9269	5.5524	5.4587	10.088	5.7659	5.3925	5.4098	4.7723	5.3523	4.9276	4.9994	4.9946	7.1014	8.7221	8.5094	5.2315
EA_G__ATP2A3	10.1714	6.8072	10.4885	5.8486	6.8611	7.2042	6.2893	10.5171	6.5551	6.2867	6.3948	9.0422	5.9762	6.143	6.0371	5.8594	9.182	10.404	7.3743	7.3485	9.1894	5.9051	9.8146	8.7424	7.2988	9.8741	6.0386	6.5756	5.9371	10.2892	6.7498	7.2415	8.8388	8.334	8.8984
EA_G__CLIC3	8.1927	8.3041	6.5415	6.185	7.7296	6.0092	6.5107	10.2002	10.0641	6.4205	6.5692	8.2096	5.9382	5.5997	7.1404	5.8165	7.4794	7.7337	6.5956	5.9123	8.0755	5.9865	8.6685	6.9106	8.6884	8.286	6.2981	6.7925	6.6261	8.7999	7.3727	7.0178	9.8811	8.4713	7.4439
EA_G__RHOD	6.3205	9.3367	8.4884	5.5742	9.5478	5.9601	8.9794	9.6713	9.1259	8.1197	9.1846	8.733	8.065	7.6813	8.0761	6.3719	8.9545	8.7762	7.9949	6.3457	8.7998	7.5	8.5256	10.589	8.8677	6.6228	6.1711	8.7664	6.7042	8.4099	7.9751	9.6388	9.4683	9.594	8.2317
EA_G__ANXA1	3.6072	8.2376	4.0476	10.2017	3.5434	10.6675	5.6443	5.7747	3.241	9.4661	10.3797	5.1369	10.5083	10.031	11.0436	10.0326	3.448	3.7029	7.6301	10.0666	7.3355	9.9841	4.7581	8.4359	3.764	5.1137	11.0653	10.5969	9.902	8.9069	10.2567	8.2487	5.7561	3.9458	3.0291
EA_G__VIM	5.158	5.9012	5.9379	10.7977	5.4171	11.3817	8.0182	5.2627	5.1136	9.4485	5.5819	5.4915	9.8841	10.9289	7.2613	11.442	5.4061	5.6065	7.7675	11.8277	5.75	10.3946	5.2262	5.1511	5.8853	5.6673	11.8249	7.839	11.273	5.4748	5.4106	5.6659	5.91	6.5815	5.3475
EA_G__TOB1	9.0994	8.2733	10.3884	7.4602	9.6086	8.2488	7.4455	10.7407	10.9032	8.0535	7.6285	9.066	7.1435	8.0148	7.7478	5.8354	9.5153	10.1659	9.1038	7.4631	9.6678	6.2229	10.9348	8.9254	9.3315	8.7014	7.2404	7.3259	7.5716	9.1303	8.452	9.2129	9.9542	9.2213	10.3392
EA_G__C9orf127	6.0376	5.8018	6.4187	6.2762	6.8552	5.9154	6.6219	6.4232	6.2548	6.7088	6.2656	9.3532	6.3092	6.2466	7.7017	6.4998	6.651	6.4793	7.7449	6.446	7.3693	5.8992	7.6257	7.3927	7.5077	6.2648	6.3197	6.1399	6.0337	7.0987	6.7204	6.8046	6.6364	6.5821	7.4356
EA_G__ANXA9	6.7661	8.291	6.2682	4.8888	9.4956	5.0476	5.9137	8.2202	8.4838	6.7228	5.7918	6.7506	5.056	4.9114	7.3041	4.9863	9.2851	9.9914	8.5984	5.2292	8.5816	5.3425	8.1028	9.0798	8.036	7.942	5.0301	6.1862	5.2573	7.8449	6.669	8.2312	8.9961	8.5833	6.7036
EA_G__GBE1	7.5239	8.155	6.3966	8.5971	6.6869	7.4889	4.9943	7.5394	6.471	7.5278	7.1057	5.8657	7.6057	8.2961	6.5153	9.4952	6.8885	7.5212	7.8519	7.2937	6.8441	8.7027	6.8781	5.6533	7.102	7.1436	8.6559	8.4116	9.5431	6.0081	6.5628	6.1145	7.2027	7.5811	7.0531
EA_G__COTL1	7.0348	10.274	6.6603	8.8765	6.1352	8.5549	7.4247	6.565	7.2202	7.2821	9.2408	6.8316	9.2709	9.1656	9.3668	8.8264	7.2009	7.0144	6.3387	7.8644	6.9472	8.3797	6.4174	5.9237	7.2764	7.4072	7.7958	7.976	9.0746	6.9195	7.4659	7.2679	7.4007	7.0112	6.5166
EA_G__TNFSF10	5.7198	3.5621	6.1808	3.9131	4.191	3.5048	7.7882	7.5689	6.5684	3.5722	4.645	8.1757	5.2783	3.5772	9.709	3.725	3.7304	4.1417	6.1581	6.8426	5.5207	4.6852	7.0454	8.5212	6.1688	4.2662	3.6572	4.2944	3.437	7.5867	9.1214	7.7597	6.7804	6.5223	5.9878
EA_G__BCAM	8.5352	7.2259	9.581	6.2673	8.0224	7.1544	8.0057	10.324	8.5515	6.7296	7.6049	8.0228	7.377	7.7845	6.7104	7.3065	8.3757	8.9779	9.6798	6.5678	9.3828	6.643	10.3764	9.5041	8.8674	9.7229	6.3302	7.3465	6.1911	10.1589	9.4881	10.6832	9.4485	8.6028	9.8222
EA_G__CCDC125	6.9231	5.8437	8.2014	6.5806	7.5742	5.6801	6.3658	8.1674	7.8031	6.378	5.856	7.0037	6.4699	5.9728	6.3171	5.7122	6.9265	7.4992	7.8276	4.8539	7.4091	6.4407	7.3733	8.7571	6.9123	7.071	5.6281	5.3484	6.4832	8.3702	6.7762	6.4973	8.0046	8.2983	8.289
EA_G__PRKCDBP	4.9869	6.6066	4.8024	7.0079	4.9027	9.1517	5.7634	4.4053	4.6242	7.4982	8.314	5.4113	6.7699	7.3649	6.0356	8.2985	5.6818	5.3427	4.9622	7.9633	5.8675	8.1638	4.8741	6.2092	5.7995	5.1549	8.6926	7.6327	8.5386	4.9303	5.1614	4.9373	5.379	5.3021	5.1032
EA_G__LOC493869	4.5883	6.8253	6.5814	9.9093	3.4796	6.1974	8.7434	2.7338	6.9972	7.0989	7.0566	4.9328	8.408	8.8576	8.31	8.9892	6.3644	5.0232	6.2845	9.1317	6.159	8.3857	6.483	7.7228	4.5915	3.9953	9.3612	8.0153	9.2636	9.5856	8.1735	5.9401	8.3805	5.4012	4.2873
EA_G__MYL9	6.2808	8.1376	6.0403	9.0829	8.2787	8.8326	6.3362	6.7514	6.7845	8.7136	7.7516	6.4925	8.9906	9.4131	7.2959	9.2271	6.6307	6.5607	6.0219	9.6946	7.5745	8.2165	5.9337	7.4537	7.4393	7.2278	7.8784	7.6641	7.7727	6.9746	6.8768	6.5586	7.8883	7.8833	6.2851
EA_G__FXYD5	8.4722	10.1501	5.1452	10.3061	5.212	9.9677	7.5861	4.9676	5.8157	8.678	10.7836	7.316	9.7402	8.2865	10.1781	9.7392	5.3102	5.5668	5.4603	10.1368	5.6902	9.7893	5.2174	5.9207	8.6977	8.8892	7.4253	9.2964	9.4217	8.919	8.5269	5.7418	8.3542	7.2186	5.8579
EA_G__MAPT	5.1448	5.1469	6.9443	5.1979	8.0624	5.4416	6.2766	4.9614	9.0827	5.6293	5.3387	5.7802	6.5011	5.2449	5.3896	5.4343	7.0464	7.1596	8.4538	5.1361	6.1992	5.4871	5.6839	6.2724	6.3443	5.4325	5.4093	5.6854	5.1477	5.3825	6.9415	5.8018	5.8948	7.4277	7.6494
EA_G__KIAA1244	9.1807	7.1621	7.9794	4.7103	7.731	6.7773	5.926	9.7452	7.5222	5.2587	7.0398	9.4749	6.767	4.6396	7.3284	5.1369	8.4806	8.5158	8.9598	4.7583	9.0587	6.9271	9.3135	10.3382	9.7247	8.5838	6.5364	5.8571	5.421	9.2156	9.3295	10.1233	8.0033	9.1089	8.061
EA_G__FAM126A	4.5794	7.043	7.153	8.6294	6.0958	6.8821	7.6573	3.5746	4.3202	7.0721	8.1954	4.5708	7.4622	7.9965	6.1561	9.3766	5.7628	4.3029	2.9915	9.1447	5.9057	7.9583	6.4401	5.131	4.7284	4.2539	8.47	5.9557	9.0501	6.6312	5.0043	6.138	7.4823	6.8191	6.6976
EA_G__SYT7	7.8438	6.3065	9.013	5.624	7.1669	6.5406	9.135	6.5977	7.5207	7.5053	6.4084	7.5656	5.8712	5.0595	7.731	5.6967	7.7789	7.5346	9.5571	5.577	7.9565	5.5078	7.7687	8.2806	6.7126	7.8086	5.8711	5.7903	5.8368	8.2797	7.6034	7.7134	7.6941	7.9714	7.917
