Cell lines	600MPE	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
EA_G__MYO5C	8.7021	7.8463	7.275	7.9832	4.007	8.6099	7.3812	6.793	3.7876	8.5988	8.705	3.62	5.4571	7.8221	6.9236	7.7686	7.586	4.5314	8.1173	4.1085	9.2621	8.7398	7.5274	3.747	7.8407	7.0582	7.7598	8.3844	7.2253	7.5109	3.8417	6.0904	3.955	7.9313	7.7172	8.2857	8.322	7.6815	8.492	9.2547
EA_G__MB	5.5817	7.1763	6.3524	7.2958	5.2965	6.4939	4.99	4.7298	4.5217	6.6331	5.3755	4.4841	4.3542	5.2556	5.9544	8.1329	5.7617	4.0266	5.7767	4.4095	5.9646	5.6589	5.4337	3.8807	7.0531	4.2898	7.3515	7.1651	5.9651	7.5111	4.3969	4.8076	3.9391	5.781	6.2852	6.3506	5.5164	6.4085	7.0086	6.8752
EA_G__ST6GALNAC2	10.2973	5.0291	5.516	10.3685	4.5595	8.7228	6.5984	7.353	4.8036	9.9648	6.5371	4.6823	5.9709	5.9589	4.8008	8.1178	5.1009	5.8811	7.4136	4.6967	6.3217	8.8799	9.8266	5.7877	9.9075	4.6438	11.3695	9.1258	9.9534	5.1063	4.954	6.391	4.6258	9.9215	6.6702	10.1722	9.3112	10.0639	10.5198	10.1631
EA_G__RHOV	7.283	9.7227	8.4574	8.0872	6.4486	7.6528	7.8628	8.3043	6.7707	8.7399	7.3848	6.8553	7.3721	7.5034	7.5923	9.2953	7.7164	7.1533	10.4826	6.6712	7.3987	7.7727	6.8814	6.5363	9.1443	6.5731	6.9177	7.754	8.1173	9.6719	6.3819	8.2071	6.3571	7.415	7.5265	7.9056	8.4813	7.4151	7.846	8.0596
EA_G__AHNAK2	6.4315	5.5114	6.6197	5.7758	8.7237	8.1277	11.0055	6.8184	8.9185	6.0669	7.319	5.8046	8.2741	7.0113	8.4468	6.8208	9.6726	7.9732	7.629	8.2223	6.3356	6.7179	7.2793	9.2604	7.7131	7.9926	5.8029	5.5643	6.3239	5.8413	11.1983	8.7533	9.2006	8.6161	7.8498	6.7657	6.6229	7.0651	6.7233	6.8062
EA_G__FXYD5	9.087	8.4722	10.1501	5.1452	10.3061	5.212	9.9677	7.5861	9.9666	4.9676	5.8157	8.678	10.7836	9.0929	10.6352	7.316	9.7402	8.2865	10.1781	9.7392	5.3102	5.5668	5.4603	10.1368	5.6902	9.7893	5.2174	5.9207	8.6977	8.8892	7.4253	9.2964	9.4217	8.919	8.5269	5.7418	8.3542	7.2186	5.8579	5.2807
EA_G__S100A14	12.1606	11.7148	9.5587	11.289	4.4478	12.2259	9.3338	7.1653	5.7788	11.67	10.2776	5.6437	9.6689	10.4498	10.811	11.2622	9.7527	5.038	10.9988	5.5585	11.3198	10.6309	6.945	5.2235	10.7045	5.3671	11.2594	11.6653	10.9996	11.6593	5.6242	10.3786	5.2591	11.5032	11.3	11.9228	5.3263	11.1298	11.7503	12.5428
EA_G__FBP1	7.5216	5.2071	4.8652	9.4178	4.6472	9.2616	4.5261	4.8	4.8787	7.7114	7.8887	4.5754	5.8823	8.7709	5.6515	4.8183	4.6158	4.5283	7.404	4.6383	9.9041	10.3261	9.9083	4.6404	9.948	4.8766	9.9939	8.753	6.105	8.9461	4.7417	7.7847	4.8368	9.9019	7.8951	8.5676	8.2741	9.6585	9.9927	8.1147
EA_G__RAB25	10.8666	10.4334	10.1003	9.9079	3.8607	10.7159	9.6031	10.1822	3.6389	9.7437	9.4452	6.1522	9.1054	10.0308	9.6647	10.1648	9.5767	3.8849	10.5599	3.9126	10.2002	10.0905	9.4475	3.7434	11.0147	4.0552	9.3272	9.9948	9.7709	10.1201	4.0278	9.2791	4.5403	10.7285	10.0699	10.2789	10.6313	10.6547	10.5913	10.6589
EA_G__TC2N	8.5979	9.0717	6.9775	9.3938	3.3223	8.2578	6.9443	9.7443	3.7734	8.8806	7.6394	5.7542	7.1173	6.7638	7.7872	8.4157	6.5571	2.5474	7.8365	3.1031	7.5099	7.5506	7.6286	3.4834	8.7449	4.5382	8.6498	8.2854	8.3271	8.4929	3.1594	6.1981	2.9353	9.1398	8.8122	7.8362	8.1402	8.2774	9.4791	8.1944
EA_G__CPT1A	10.0084	9.7015	7.5302	9.5527	8.3415	9.4435	8.2157	5.0064	7.7151	8.4611	7.485	8.2409	8.9857	8.4221	8.6628	8.8196	7.7552	7.8873	7.7419	7.9604	9.2672	9.1785	10.0054	7.8197	10.1675	7.996	9.5613	10.951	7.5483	9.4049	7.9403	8.8719	6.8117	7.7292	8.7383	10.2412	9.7116	9.142	9.6458	9.9982
EA_G__TMPRSS3	9.8081	6.2517	4.6731	6.3099	4.3753	6.8658	4.1635	5.2231	4.4602	5.3789	6.8408	4.6199	4.668	6.3221	5.0635	6.0278	6.1435	4.2958	7.1903	3.9978	5.25	4.758	4.0896	4.7685	7.5031	4.1056	7.4917	9.4186	4.7655	5.2652	4.5343	9.1125	4.5138	7.2599	7.5815	7.0602	5.4646	7.505	4.7394	4.7502
EA_G__PDCD4	8.7451	7.2221	4.9274	9.1525	6.9065	9.7468	6.4642	9.1019	7.7495	8.5973	10.2921	6.4907	5.6176	6.6294	5.985	8.9419	5.47	6.8651	7.9542	5.877	8.1806	7.8868	8.306	6.0254	8.0429	8.695	9.6332	10.4832	8.1844	6.4457	7.2904	6.741	5.8866	7.7702	8.4289	7.9408	8.9593	9.1703	10.8018	10.2493
EA_G__SPNS2	9.8805	9.969	8.6701	8.4662	6.8191	7.0283	7.5126	9.9317	6.8229	11.6553	7.2706	6.8292	7.4192	7.6798	7.3562	10.0962	8.1059	6.6545	9.2274	6.7099	8.0606	7.5755	7.2118	7.0562	8.216	6.6837	7.9393	7.0477	8.1117	10.6069	6.7323	6.8803	6.9207	9.4183	9.1181	9.2715	8.6209	9.1067	8.3499	7.8089
EA_G__MYB	6.4454	7.3833	5.8315	7.7499	5.0163	7.364	5.9692	6.8993	5.1898	8.3839	7.6386	5.2504	4.5412	5.2464	5.6456	8.0208	5.3536	4.5154	5.93	5.8028	7.1808	8.0709	7.0712	4.4789	6.9476	5.6926	8.6746	7.4365	7.2492	6.6892	4.7019	5.5426	4.7383	6.1985	6.1338	6.9719	6.8456	7.1594	6.537	7.2111
EA_G__LOC124220	8.934	7.4736	6.5045	8.0215	5.4055	8.8675	5.9469	5.7857	5.9124	7.9883	7.6471	5.8141	6.6156	6.0411	5.8713	7.8574	5.7468	5.5707	7.5995	6.7221	8.0322	7.9345	8.4762	5.7493	7.8782	7.1355	9.1801	8.6759	7.6816	7.9156	6.0924	6.2257	6.4568	6.7771	7.0487	8.2349	8.0054	8.3906	7.3629	7.7702
EA_G__YIPF1	8.1538	8.0855	7.1149	8.3387	7.2018	7.6327	6.9169	7.4989	7.0897	8.6056	7.8128	7.3801	6.5796	6.9075	7.2824	7.7843	7.0031	6.9285	7.6619	7.4184	7.168	7.7474	7.5846	7.1724	7.4127	7.3375	8.7118	8.8558	7.7027	8.1777	7.4907	7.4336	7.036	8.3011	8.8785	7.9406	8.1006	8.0957	8.5275	8.1699
