Cell lines	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM159PT	SUM185PE	SUM44PE	SUM52PE	UACC812	ZR751	ZR75B
Response	1	-1	1	1	-1	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	1	1	1	1	-1	1	-1	1	1	1	1
U133A__GOLGA8A	5.624	7.8406	6.2792	7.9159	5.1443	6.4675	6.1268	6.5558	3.9995	6.2642	7.0239	5.7512	4.8288	6.4569	5.5296	6.6093	6.9683	4.5496	4.7798	5.7913	4.5748	6.1873	5.6399	5.1079	4.7992	4.7586	6.7718	6.2041	5.8264	5.4125	5.9638	4.9087	7.7159	5.4622	8.1643	7.8459	8.5237	7.3475
U133A__IFI27	5.1543	4.6777	5.8546	4.687	4.5519	6.1249	4.9288	11.1042	4.871	6.238	7.2516	11.3436	8.4421	4.4035	5.9256	4.4385	10.9936	4.7467	4.7579	8.9666	4.6875	7.4637	4.8506	4.661	4.404	4.8339	4.3892	4.6337	9.6865	4.5304	4.6953	6.5604	4.5079	9.8241	4.5195	4.3101	4.3879	4.4577
U133A__DDAH1	8.5483	7.8829	8.8633	8.3878	7.0164	7.2762	7.0683	5.6482	8.0142	6.9419	7.8773	7.671	6.9839	8.697	7.4941	8.6928	7.845	9.6453	6.2098	7.4176	9.7077	6.2347	8.0152	10.6373	8.2905	8.9321	7.3515	8.726	8.8341	8.7206	8.3137	8.0215	8.5239	7.7765	8.3946	9.3856	7.7819	8.5761
U133A__CKB	7.7875	5.4548	7.2727	7.2986	7.9556	6.9587	7.8831	5.951	7.7218	5.4318	7.4084	6.0638	8.1013	6.8017	5.8878	6.9659	6.6128	5.5701	5.7784	6.5721	8.3052	7.7159	5.8863	5.9212	7.0171	6.8611	6.2835	9.5775	6.555	7.0333	9.5311	5.512	8.4104	7.1249	5.1422	7.7166	9.1697	9.3753
U133A__KRT17	4.4229	4.4065	4.2371	4.2453	4.4635	4.338	9.1914	6.9783	4.6626	4.4668	7.7268	8.2134	4.4425	4.4224	11.2313	4.6517	5.2437	4.895	4.8219	4.4969	4.2308	4.2958	4.5319	4.5144	4.4182	4.8657	4.383	4.5314	8.6433	4.5867	4.6411	4.531	4.2526	4.7358	4.5278	4.2884	4.3942	4.1639
U133A__CITED2	7.7415	6.6171	6.2217	8.6066	6.6819	6.4765	8.129	5.4857	5.8681	6.4711	5.6471	5.0942	5.6045	9.6672	5.0741	7.2485	5.5668	7.7101	6.7048	7.0532	7.0748	6.3869	7.4172	7.5293	6.8764	6.7352	6.9985	7.2716	7.6076	8.0474	7.6179	7.6259	7.8132	7.9106	8.3585	9.1731	8.0739	6.485
U133A__LAMC2	6.0777	5.6348	5.93	6.002	6.0625	6.4877	8.5082	5.881	5.7732	6.2261	8.5525	6.1018	7.1326	5.9453	8.8207	6.4814	7.7414	6.8578	6.3223	5.9447	5.8067	7.0817	6.0721	6.1309	6.0593	6.7055	5.9876	5.7604	6.9467	5.9867	6.0108	6.2632	5.755	6.6585	5.8722	5.9923	5.9061	5.7819
U133A__BNIP3L	6.2052	8.103	7.7679	8.6934	7.3541	7.1476	7.3395	8.3008	5.2278	6.0727	5.3145	4.5581	4.9433	8.0548	6.343	7.0537	6.2095	7.0532	4.6164	7.3856	6.4527	5.59	7.7427	6.7753	6.9296	7.1868	7.5776	7.2602	6.6789	6.0024	7.387	5.8446	7.6413	5.9886	7.5988	9.1955	9.4425	7.1327
U133A__MKNK2	9.1024	9.4367	9.134	7.54	8.4693	8.4639	7.416	9.167	9.0655	7.1375	8.6892	7.7142	8.8308	8.9706	7.5959	9.0658	8.9596	7.0119	7.0536	7.6164	8.2146	7.3453	8.596	8.3944	8.5317	7.9915	7.5164	9.8256	7.9628	9.3436	6.5736	8.4037	11.1721	7.8753	8.8276	9.5034	10.562	9.1577
U133A__CPD	8.1216	7.6179	7.5848	6.7762	5.6894	6.5485	6.4387	5.4846	5.716	5.8418	6.9123	7.1457	9.0313	6.9298	6.9384	7.8036	6.9833	6.223	5.6333	5.8221	7.2464	6.1744	7.3296	6.9398	9.0281	6.4524	6.1381	6.7077	6.6432	7.2602	6.3593	6.5355	8.9923	6.6605	7.2562	9.3538	8.3809	7.1765
U133A__P4HA1	8.9855	8.818	8.1603	9.0919	7.1902	7.6475	6.5065	8.2364	6.6997	6.2185	7.4434	7.3668	7.9664	6.2182	6.7204	7.365	7.7865	7.4218	6.5969	7.6202	7.498	7.5294	7.6432	7.5739	7.4626	7.2203	9.1006	7.9305	5.9222	9.3707	8.5351	7.0624	8.8927	8.3377	6.1585	9.5099	10.0873	8.6853
U133A__TRPS1	7.3827	7.0458	9.6951	6.9494	8.2062	3.4593	8.634	5.392	8.5305	7.8165	3.8643	4.2236	6.5161	8.4291	7.4467	7.9026	6.7044	5.5976	7.4086	7.1694	8.6372	5.0367	7.8186	3.923	6.8585	7.5954	6.8846	8.5243	6.1981	8.38	7.5346	4.1508	10.0281	6.6724	9.272	8.4461	8.5384	8.6575
U133A__IL17RB	5.2466	6.843	6.2471	5.4904	7.3323	6.0119	7.4661	7.126	7.2657	7.2222	5.3553	5.8397	6.6872	5.6375	6.1953	5.9681	6.8122	5.8206	6.4179	5.8688	6.2372	5.2065	7.0024	5.0123	8.7116	8.1319	5.2247	6.924	6.321	5.5917	6.0384	4.3868	5.6571	9.0115	5.6092	5.8909	6.2496	7.187
U133A__SEC63	8.0079	7.5172	7.0148	7.1944	6.7005	6.6663	6.5026	7.5784	6.1044	7.1861	7.5493	7.0448	4.7733	10.6458	7.9112	7.1481	7.537	6.8794	6.5015	6.7805	7.7143	7.4356	6.523	7.2384	8.5514	7.4856	7.5814	7.4719	8.1426	7.5031	6.5847	7.4147	7.7981	8.0086	8.3403	8.245	7.4579	7.6101
U133A__ACTL8	6.6188	6.9101	6.7162	6.7304	6.789	7.1005	6.7821	6.4917	7.0359	9.48	6.4103	6.801	6.9221	6.7823	6.5964	6.6881	6.9857	6.7492	7.0368	6.9253	6.7076	6.7121	7.0124	6.5698	6.7753	6.6986	6.6875	6.6741	6.3711	6.9823	6.8612	6.7522	6.656	6.7858	6.6576	6.3788	6.9607	6.7018
U133A__MFAP2	6.6076	5.9402	7.111	7.5045	5.7163	7.9069	6.9391	8.4452	7.7932	6.2262	8.1355	6.1253	6.5223	6.7741	5.872	7.9716	6.0081	8.2035	5.8531	6.5901	7.7756	6.9779	6.299	6.5138	6.3103	6.1716	6.4909	6.4924	5.9218	6.7567	7.848	6.2524	9.4332	5.7462	6.033	6.0933	6.4525	6.9361
U133A__PBX1	9.5764	9.4725	9.8965	7.1982	8.9231	6.5424	8.3278	6.6554	8.7516	7.3662	6.3245	4.0816	6.8856	9.1327	6.7302	7.2431	8.0011	5.482	7.1916	8.0443	8.9407	5.4143	8.5418	4.6607	8.253	8.9907	5.5921	9.1773	7.7912	9.2953	7.468	4.8149	9.5481	8.8864	7.913	9.2425	9.5066	9.2392
U133A__CX3CL1	7.6425	7.1501	5.3846	4.4939	4.8967	4.5963	6.9372	6.8788	6.223	5.5573	4.6235	5.7214	6.2905	8.0736	5.568	6.0087	8.0273	4.9628	5.0352	4.9562	5.2278	5.0901	7.4116	4.7459	4.917	5.7636	4.8201	4.6433	7.122	6.4664	4.8297	5.1102	4.8107	4.9374	4.9193	4.6462	4.864	4.668
U133A__AKR1C3	3.9471	3.4576	3.4923	3.5327	3.5596	4.8023	5.9661	4.4479	3.8913	4.2299	11.0316	6.4956	4.1821	3.6174	8.1922	8.1221	9.9288	7.8707	3.9479	4.7752	5.2109	8.5158	5.1772	4.3366	5.6304	9.5174	4.2349	3.4918	3.5481	3.5267	3.8637	7.2755	9.2411	8.9716	4.8461	3.7663	3.6274	3.8302
U133A__CSTA	5.2138	4.492	3.8183	4.0291	3.9406	3.9232	3.8298	3.1942	5.5298	4.8696	10.7546	6.2854	4.2378	4.0758	8.8013	5.8523	8.0961	4.0575	4.9609	6.884	3.5562	3.861	9.2798	3.9751	7.9998	4.3999	3.7416	3.701	3.5472	4.7564	4.0488	4.9863	3.2478	5.9153	4.8553	3.3322	9.6093	3.562
U133A__DDHD2	5.1869	6.3218	7.5291	7.3764	7.6679	5.6236	5.7755	7.0075	6.4243	6.4252	6.0938	5.0022	4.2637	5.3877	4.7849	8.2977	5.5132	5.3983	4.8431	5.0398	9.4371	6.2164	4.9926	5.8959	7.1894	5.1896	6.2017	5.0304	6.9784	5.7845	5.3218	6.0806	6.4773	8.7399	8.5294	7.1608	6.7111	8.0634
U133A__NUCB2	7.7211	5.7232	7.9201	7.5538	7.0729	7.1309	5.7145	6.1217	6.8224	5.9807	8.7778	5.1027	4.378	6.1882	6.2639	7.9042	6.0763	6.2695	6.5625	6.0033	8.8037	7.634	7.4278	6.0185	8.5373	8.1736	5.7716	5.5587	5.8213	7.0168	7.24	5.8505	8.3176	10.692	7.6776	8.2534	8.2008	6.5569
U133A__CTSB	8.3507	7.895	9.4448	10.3253	7.3919	8.9813	9.8386	7.1998	8.7026	8.7987	10.4713	8.2071	7.5955	8.7264	9.6347	10.3193	8.6727	10.1243	7.6852	8.2081	8.7671	9.7003	8.8804	7.8934	8.1404	8.1867	11.1434	7.8041	9.4426	7.0968	12.1734	8.6083	10.4251	8.5123	7.1327	9.6935	8.6247	8.6464
U133A__BTBD3	6.7463	6.9788	7.7979	7.3751	5.4557	6.8743	7.5269	7.2278	5.7018	8.6077	6.5997	5.9069	5.1432	6.3204	6.3245	7.5103	7.5578	5.7128	5.0384	5.403	6.3836	5.318	6.3853	6.1573	5.5976	6.4031	5.2474	6.3796	6.5573	6.6153	5.4554	6.3747	7.2173	5.2218	7.1558	8.8467	6.1618	6.4409
U133A__DUSP5	7.0306	6.1554	6.2521	5.6553	7.0349	7.1064	5.5241	6.242	6.093	5.2299	8.4126	7.683	7.2017	7.5148	6.6761	5.9641	6.5042	6.1613	6.2056	5.9694	9.9643	6.0573	6.8074	8.367	7.0374	7.2295	7.4467	8.285	7.7822	6.5797	6.8912	8.5354	6.7229	6.0141	7.2854	7.4625	8.0069	6.4727
U133A__BHLHE40	9.0104	7.9928	10.568	7.966	8.0251	8.6863	9.1001	8.8729	7.9228	7.9559	6.8667	7.9007	8.0186	9.1491	9.1102	9.058	9.8461	6.9324	6.5935	7.2855	9.8204	8.4766	7.7957	6.2979	6.4938	6.725	9.497	9.0946	9.4603	7.9858	6.6069	6.3476	9.8552	7.8189	5.9998	10.0326	7.6047	7.3721
U133A__TMEM135	6.7817	5.5373	6.4603	5.8126	5.7686	4.8527	4.7886	5.852	6.7122	6.661	5.797	5.4529	5.7782	7.1022	5.8957	6.9366	6.0968	4.6112	4.98	5.7666	5.261	6.6658	6.5722	6.102	6.82	6.0613	7.1917	7.4905	5.6886	6.4907	4.9966	5.5384	7.1223	6.3615	7.1232	8.6528	7.3552	5.975
U133A__AMIGO2	6.5327	5.0478	8.1995	8.6579	4.6776	5.9248	6.3495	4.6129	5.8787	3.9541	8.7387	6.2682	4.6287	5.1466	5.4281	5.7522	5.0069	7.2447	4.8186	7.0588	6.0228	7.047	5.9365	8.2027	7.6933	4.0096	7.1669	6.5794	6.9238	5.5099	8.94	7.9447	5.8444	4.4895	4.696	6.6145	7.8914	6.3577
U133A__HERPUD1	9.9706	10.0646	9.0896	8.6585	9.142	7.5796	7.0075	7.9117	8.656	7.5817	9.2323	6.9124	9.0105	8.1682	8.0528	9.5369	8.9705	7.9078	6.5098	7.4347	8.0214	8.0284	8.3141	8.3246	9.9331	9.6455	7.1893	8.3991	9.0018	10.3633	9.0879	8.4577	10.0106	8.8183	10.7658	9.0364	10.0959	7.8382
U133A__BNIP3	7.8948	9.2703	9.5636	9.4819	7.7395	7.0844	5.595	7.838	8.4411	7.3292	7.4467	7.0648	6.7499	4.7334	6.4132	7.9987	5.153	7.1221	7.702	8.0036	8.58	7.3753	6.7418	8.1999	8.8301	5.3629	9.8497	9.1338	7.0312	7.5778	7.4537	7.7954	6.9843	8.5263	7.6257	10.5984	10.5509	8.3751
U133A__NETO2	5.2203	5.5229	7.0904	8.3314	3.6251	7.3134	4.9915	7.0426	7.6731	6.7208	7.6539	8.3348	6.1729	6.592	6.4802	7.0906	8.0553	7.0052	6.605	6.4807	8.0547	5.8595	3.8496	4.3	7.2842	7.0955	6.4622	8.1756	7.7767	5.1442	7.8191	8.059	8.5558	4.0016	7.8868	6.024	6.2995	7.593
U133A__EIF4EBP1	7.814	8.056	9.9591	10.0741	9.4622	8.4196	7.6208	7.7225	8.5358	9.1045	8.2318	7.9632	8.6916	8.3943	8.1152	8.9644	8.1909	9.1244	7.9051	8.1133	10.8575	9.238	7.6932	8.7352	8.9594	8.0511	8.5064	8.7799	9.0434	8.0964	8.4184	8.9189	9.8338	10.6286	11.8092	8.623	9.4205	8.7757
U133A__CYP51A1	6.7235	7.9948	6.9283	6.7289	7.7408	6.6008	6.9648	7.9976	8.1668	8.4123	6.9172	7.3519	8.1687	7.165	8.4226	7.2755	7.1489	7.556	7.7218	8.3815	7.7393	7.8408	7.125	8.0664	6.2976	7.4839	8.2237	7.1755	7.0345	7.9582	6.6826	6.8516	7.0758	7.6694	9.0446	7.5436	7.2496	7.5472
U133A__FADD	7.2253	7.3694	7.9263	7.3736	8.6319	6.8245	7.9796	8.0257	7.5068	7.4055	7.7871	9.2216	6.8425	7.4372	7.3283	6.8438	7.0393	7.045	8.2105	7.9457	9.9878	7.5091	8.7146	8.1263	8.5757	10.0277	7.0371	8.4773	7.7937	7.1372	6.7516	7.4219	6.5889	8.9091	6.8788	7.6765	7.8862	9.1575
U133A__LXN	7.7661	6.8655	5.2664	3.8669	8.0764	5.2302	6.4397	6.0067	5.3534	4.4712	3.7789	4.0344	4.36	4.4195	8.408	10.5684	8.7071	3.9819	11.2106	10.4775	4.2656	4.5031	6.9129	6.5438	6.1656	7.5215	4.1926	4.337	9.1543	8.1586	5.1333	4.4119	4.1029	4.4486	4.0936	6.5377	4.2602	4.2287
U133A__UAP1	8.4831	8.1046	8.3803	10.5221	7.3076	7.6231	7.5494	7.5247	7.4176	8.5975	8.0611	6.9409	6.9494	7.8611	7.7855	8.3676	8.4675	8.864	6.5547	6.1229	7.6336	8.1057	8.1617	8.5606	7.148	8.1879	8.7112	8.1683	8.0352	7.9066	9.5836	8.7819	8.9616	8.2987	8.9146	8.1841	7.9779	7.8894
U133A__DAAM1	6.9394	7.4256	9.1201	5.7426	6.5441	7.2811	5.5412	5.8286	7.3134	4.3108	6.1768	5.6336	5.6113	9.0542	6.947	5.6935	6.8334	4.2798	6.7682	7.0736	7.5356	5.712	6.5563	4.2843	6.6937	6.402	5.1898	7.1325	6.5947	6.6966	5.278	4.3674	7.2789	7.2186	5.4127	7.2805	7.2217	7.1886
U133A__TFAP2B	3.7939	3.232	3.5036	3.9473	3.791	3.6876	3.4576	4.0521	3.6527	3.5061	3.6188	3.6528	9.0822	9.3386	3.3784	3.3415	3.3473	4.2692	3.4222	3.6148	9.1798	3.5941	9.0526	3.3865	9.6646	8.48	3.7823	10.225	3.6555	4.1005	3.8977	3.1773	3.5597	3.4125	7.4394	3.9038	9.745	3.622
U133A__LGALS1	7.7525	5.8446	8.8126	11.9757	12.336	12.3419	12.1952	11.1399	10.6651	11.5613	8.1987	10.3303	10.8452	5.0472	11.7356	11.486	11.2154	12.9455	7.8464	8.893	10.3526	12.5884	11.124	11.6327	5.2613	11.3986	11.7984	10.2053	9.4923	8.8885	12.472	11.8188	5.4749	11.6589	9.5798	10.1593	6.0697	8.6626
U133A__PRELP	6.5662	6.843	6.7042	6.6083	6.628	6.7539	9.6306	6.5614	6.599	6.5589	6.3956	6.5104	6.7348	6.7419	6.8514	6.4367	6.4912	6.8243	7.2114	6.7206	6.5358	5.9924	6.6174	6.3867	6.8615	6.2698	6.3719	6.7329	6.4245	6.5423	6.7477	6.764	6.3013	6.8376	6.6793	6.4132	6.6346	6.4253
U133A__IGFBP4	5.2361	9.7198	9.3935	7.2318	8.0076	7.5107	7.3593	7.5275	9.1421	8.2795	8.0721	6.0637	6.2098	6.3741	6.0228	8.3002	8.3906	8.9442	7.3456	9.23	9.7558	7.7929	7.1647	10.3468	9.1055	9.0012	6.9578	5.6107	7.1508	6.7255	5.6586	9.881	6.4871	7.4174	5.5116	10.2401	6.4333	8.2681
U133A__ASAH1	7.6309	6.3725	8.8965	6.263	7.5971	4.7702	6.3153	6.9968	5.0105	5.7667	4.9323	6.0697	5.0817	8.3842	5.5519	5.7256	5.6042	5.8445	5.7707	5.2513	5.7445	5.9329	8.181	5.5178	6.9474	6.1367	6.8027	6.0655	7.0752	7.0733	5.3256	4.5582	8.1595	7.602	6.4194	7.7847	7.9367	7.1685
U133A__SLC35A3	6.6387	6.0582	6.8851	6.0033	7.4743	5.9118	6.2843	4.9917	6.6981	5.9884	6.5002	6.3783	5.8885	6.3503	6.4724	6.6545	6.7635	5.8399	6.1388	6.0806	6.4595	6.2274	6.0412	6.2952	6.644	6.4916	6.3041	6.6031	6.9042	6.3835	5.7362	6.1357	6.7383	9.0409	6.792	7.0759	6.9808	6.7765
U133A__IFI6	6.1205	5.4451	10.1621	5.5759	5.5314	6.4811	7.4325	7.2127	6.6375	9.9393	6.0926	8.4356	8.9623	5.4425	5.726	6.5632	8.5826	6.9663	5.9167	7.0966	7.5224	9.0873	6.7666	5.8968	6.2391	6.5746	6.6056	5.8892	9.3912	5.4492	6.297	5.104	5.1714	6.7943	5.6316	6.5746	5.244	4.6725
U133A__LANCL1	7.9484	7.1973	8.0437	7.4032	6.8113	6.0496	8.2676	7.471	7.7845	6.858	6.4065	6.1261	6.0262	7.1325	6.5866	8.9228	7.4355	7.3639	6.9245	6.5193	7.6214	7.1381	6.6311	7.2862	7.7475	6.4586	5.7058	7.6675	6.9237	9.6917	8.1542	7.5143	6.6789	6.6971	8.0595	7.8901	8.0387	7.3553
U133A__DUSP4	7.7073	8.7557	6.0843	4.1033	3.6137	4.0006	3.1114	3.4129	3.194	3.6057	4.3157	6.9902	6.3384	8.2093	3.5935	6.8971	3.1519	5.7101	6.7026	5.4863	8.3122	5.4229	10.2336	8.0304	8.4695	6.9283	6.3636	6.4106	6.822	9.2095	3.1016	3.4488	10.6614	7.5594	8.6117	9.8113	8.4149	6.4699
U133A__CRAT	7.0301	8.5392	5.3326	6.6085	4.9208	5.7106	5.0816	7.4136	5.5972	6.259	4.5969	4.7328	9.3471	6.135	5.24	6.8102	4.6552	5.6507	4.7699	4.963	5.0092	6.6468	6.8732	4.6449	6.5012	7.3414	6.3033	9.0429	6.1147	5.5132	6.5242	4.8625	8.281	4.5235	6.3673	7.6199	7.4963	7.0787
U133A__SORBS2	5.4961	6.4401	5.4424	5.5175	5.5786	5.7715	8.6285	5.6054	6.2198	6.3474	6.0802	5.4611	5.7926	6.2066	6.4919	6.1776	7.7611	6.6186	5.7661	5.5938	5.7209	6.9767	6.1543	5.9303	6.5877	6.2867	5.4416	5.633	6.0051	5.5737	8.6789	6.5495	7.5596	8.2427	6.8821	5.5824	6.4692	5.6689
U133A__GOLM1	6.9699	6.1436	7.4106	7.6162	6.9619	8.0559	6.097	6.8168	4.7724	7.2941	6.293	8.2171	5.8587	10.0582	6.9203	7.2777	7.3807	6.7465	6.279	5.3774	8.0129	7.4232	8.809	7.3179	5.4568	9.5048	8.1852	5.0972	6.6187	8.7597	7.0625	7.1221	8.1662	5.6319	8.4265	10.2189	5.9218	5.7551
U133A__PODXL	5.7718	7.415	6.6408	5.2774	6.7693	6.4555	7.8292	8.6333	5.6383	5.5409	7.5824	5.8862	5.8571	6.0954	7.4922	5.36	8.3307	6.3805	6.9023	8.2421	7.1327	6.063	6.6091	7.0962	6.9862	5.6992	7.6973	5.7078	7.339	5.6023	5.7194	6.0624	6.5541	9.032	5.9662	6.265	5.4449	6.6903
U133A__SC5DL	7.0351	6.809	7.2429	7.0293	7.3732	6.6472	8.2691	8.7164	8.2697	7.7105	7.5793	7.9503	6.6341	8.6072	7.3147	6.6143	7.4732	7.6902	7.2177	7.4234	7.519	7.0982	7.1048	7.767	8.0885	8.0598	6.9988	7.9005	8.9371	6.4547	6.1235	6.808	7.3359	8.3714	7.3923	8.2823	6.5754	6.7923
U133A__GRB10	5.4919	8.5374	8.2707	5.3595	7.4569	4.8131	5.402	10.2075	6.5732	6.3604	4.9465	6.6414	6.6836	6.2955	4.6338	6.1154	7.6347	7.8401	5.8101	5.4498	9.6632	7.1144	5.4158	6.6734	6.0157	7.1687	8.0491	5.4992	6.6179	4.9824	5.3711	7.763	6.053	8.7005	5.8099	7.2711	4.8448	6.1565
U133A__CRYAB	6.6645	5.2189	5.2365	5.1263	5.5506	5.5302	8.962	10.349	5.5635	10.0838	5.3294	5.5014	5.645	5.2775	8.9366	7.7718	8.6936	5.6617	5.4935	5.4123	5.2084	5.1464	5.1888	5.1236	5.2909	5.2474	5.0901	5.3376	6.8147	5.6819	6.1253	5.4355	5.2794	5.8509	5.5079	4.7935	4.6965	4.9777
U133A__ACSL3	6.6538	7.0956	7.0192	5.1187	6.245	7.3775	6.0106	6.1809	5.5562	5.0836	5.5273	4.4287	4.2377	5.6088	4.1027	6.7675	6.823	4.2666	7.1963	5.5137	6.6526	5.7361	7.214	5.9762	6.5155	6.1214	6.639	5.7947	4.9361	6.5763	5.0383	6.1252	6.7986	6.1098	8.8893	6.9935	6.6779	6.744
U133A__SPHK1	6.2039	6.0943	6.0422	6.0261	6.3492	6.8063	6.9162	6.4991	6.5431	9.0799	7.0979	7.3219	6.5062	6.0867	6.6053	6.6958	7.362	7.0201	7.6825	6.8751	6.2242	8.3971	6.2919	6.1954	8.0365	6.0921	6.7337	7.3532	6.1624	6.2097	9.1271	6.415	6.2242	6.4573	6.052	5.9343	7.0085	7.0155
U133A__TMSB15A	5.6785	5.9245	6.6978	7.4768	5.2008	5.5107	5.4826	10.6595	4.8802	6.8064	4.9319	5.1467	6.4204	7.7815	4.8697	8.2732	4.5523	5.1726	4.6488	5.4541	9.5219	6.1732	6.3996	4.8599	7.0411	5.168	5.3577	6.9616	4.7516	4.8005	5.3907	4.7684	5.8703	4.9114	4.698	6.4729	6.5997	7.9462
U133A__ISG15	6.9837	5.5449	10.2551	7.848	6.5951	9.5835	8.99	11.005	7.8349	9.826	8.9883	9.9476	12.0484	6.4512	6.7595	8.9387	11.0436	7.8412	7.1602	10.1019	6.9091	10.7759	6.9745	9.7251	7.1162	7.5725	8.273	8.311	11.7544	5.8968	8.9234	7.5265	6.4722	8.5203	6.2122	6.7421	5.7411	6.0034
U133A__PLSCR1	6.133	5.6899	7.381	7.0623	5.5627	7.7485	9.5252	8.7953	6.0307	7.8496	7.6944	8.7217	7.12	6.6667	8.7989	7.5371	10.1561	6.8395	6.7902	6.9671	6.7378	7.3472	6.7924	7.2952	6.6431	6.6225	6.6973	5.9994	10.0131	5.5298	6.3075	8.1261	4.5375	4.6893	6.4163	6.1938	4.9059	6.114
U133A__DDIT4	9.4689	9.5108	6.8696	10.5424	8.9504	7.8828	7.5289	10.2985	7	9.2058	8.7386	6.8977	10.1339	6.091	10.2213	7.4198	8.3905	6.1963	7.3089	8.6375	7.2565	7.6621	8.6169	6.395	8.1399	8.6558	9.8945	9.5738	8.7161	9.6591	9.6427	8.3328	9.356	6.7885	9.6722	10.9391	9.3186	8.7454
U133A__FGFBP1	5.9643	6.2317	6.0306	6.0087	6.0549	6.1782	7.9137	6.4222	5.8326	6.1927	9.4132	6.3854	6.5978	6.9877	9.3619	7.9677	9.2637	6.2197	6.3322	6.2949	5.9408	5.8681	6.0405	5.8598	6.0973	6.9935	6.3185	6.0582	7.8898	6.3467	5.9731	6.3369	5.9495	6.3292	5.9557	5.75	5.7739	5.7076
U133A__IGFBP7	2.8753	2.8187	2.8488	2.9678	2.9102	6.2946	8.1639	2.9617	3.057	9.0694	7.7424	2.8659	3.0689	2.8328	7.664	6.8087	5.298	9.287	2.953	2.8392	2.8773	8.7334	2.9882	8.5718	2.8618	4.331	4.3887	2.7709	2.9252	3.7421	3.4559	4.3464	2.9303	3.0678	2.8623	3.1601	2.8804	2.8224
U133A__CYBA	8.4801	8.2641	9.4769	5.9814	9.258	8.3569	6.4165	8.8793	7.1529	9.324	9.0523	6.2915	6.8616	9.1399	6.2252	9.4901	5.747	6.4921	9.1755	10.2423	8.7674	8.5241	9.1094	8.7282	6.2271	7.4685	9.6925	9.3142	10.221	7.853	6.143	7.7619	6.4983	6.389	6.4006	8.2007	9.3755	9.5046
U133A__FSCN1	3.2745	4.2562	3.5981	6.8288	3.5641	5.1787	7.4718	7.3668	3.5026	4.799	8.6923	6.351	4.1064	3.3774	5.0647	4.406	8.2875	6.7558	3.4491	3.7885	3.2768	6.3371	3.2977	4.8134	3.4193	3.3392	8.1181	3.2127	3.4061	3.3518	4.4109	8.0143	4.1927	3.4974	3.2502	3.0805	3.2264	5.344
U133A__KDM5B	7.4558	8.3674	9.3575	7.7621	6.8057	6.3016	6.7703	9.3637	6.7633	6.888	7.5471	6.1548	8.1849	7.2104	6.6561	7.2374	7.8139	5.2883	6.9218	8.0348	7.1544	7.1837	8.3026	6.3683	7.883	7.3634	7.3276	7.4506	7.2707	6.7803	6.9829	5.7313	8.4742	8.107	8.648	10.1097	9.667	8.2752
U133A__SLC27A3	6.8031	7.2837	6.4322	4.9482	8.9034	5.6328	7.3823	7.2365	4.9793	6.363	5.5198	6.0769	7.0712	6.66	6.0547	6.0294	6.3945	5.64	7.0647	7.0305	6.369	6.1087	6.5284	5.2056	6.0497	6.5406	5.2226	7.6815	6.1328	6.8684	5.6795	5.1971	5.7902	7.3455	5.4264	5.941	5.332	7.1086
U133A__GBE1	6.4724	6.6096	6.8172	8.3086	5.6093	8.2969	6.3136	6.5675	5.634	6.3318	6.8546	6.9661	6.1714	4.7537	6.2946	7.1265	6.681	8.3006	6.7359	6.2895	7.2379	6.9486	5.5154	7.9882	6.2151	4.4946	8.6863	7.001	6.7611	6.3652	7.6464	8.4375	4.6733	5.5383	5.4259	8.2007	7.0307	6.1135
U133A__ADAM9	7.5275	6.2804	7.4135	9.3027	7.6696	7.8921	7.9906	6.0137	5.9751	8.8245	8.3077	8.5078	4.5828	7.6816	7.525	8.4688	6.8256	8.2258	6.0776	6.0747	9.3548	8.2242	7.6408	8.4356	7.7889	7.5672	7.7122	5.8249	7.7246	6.8231	8.4699	7.1854	9.0709	9.5609	10.3643	8.8635	6.5808	6.9047
U133A__FABP5	4.0367	3.7473	6.4085	3.5435	5.3344	3.9169	9.2366	8.4386	7.491	9.3953	9.7792	3.3571	3.6996	3.6829	8.758	9.6872	11.0183	8.9013	5.7227	6.7429	3.8621	8.3248	8.5209	9.7444	8.3436	6.9507	8.5762	3.6349	3.1469	5.3397	10.4027	9.9405	3.7177	3.4136	3.5081	3.5285	4.8338	9.0063
U133A__SERPINB5	4.1249	4.1814	4.309	4.475	4.0277	4.1649	9.2067	4.8744	4.5562	7.8717	9.1435	8.1107	4.3272	4.0432	8.489	5.5129	7.3868	4.1973	4.7555	4.4754	5.451	4.3037	4.3547	4.0584	6.3604	6.9888	3.8283	4.2257	5.9763	4.2462	4.103	6.4318	4.3845	4.4092	4.8088	4.1317	4.4617	4.6225
