Cell lines	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM159PT	SUM185PE	SUM44PE	SUM52PE	UACC812	ZR751	ZR75B
U133A__PMP22	4.7053	5.1319	5.4801	8.5525	5.7927	6.8597	10.0992	5.4421	5.429	9.3067	5.4072	5.345	5.2663	5.9816	6.3296	6.8562	5.0425	8.2183	6.5357	9.0143	7.1606	8.7543	9.7452	8.7851	6.3452	8.5414	7.0211	4.8371	5.5181	5.3986	8.7837	7.9716	4.706	5.5135	5.7261	6.5781	5.5308	5.6785
U133A__FNBP1L	6.3494	6.3034	7.1137	5.7258	7.0659	3.4285	4.9683	6.9366	5.9928	5.0314	4.7531	5.0975	5.066	6.6526	6.1696	6.4593	6.5269	4.7117	4.8914	4.3192	7.5094	4.6485	3.3218	5.9207	6.0796	6.3206	3.9647	7.3428	7.1583	5.9159	4.2674	3.693	6.4658	9.0977	6.033	7.0101	5.9501	6.1131
U133A__SERPINH1	7.1112	8.1094	7.609	10.5733	9.4768	8.6268	8.1624	9.1995	7.2126	9.7949	9.0328	7.5828	8.5273	8.1352	9.7503	8.4767	8.1285	9.4153	8.799	8.2441	7.2596	6.5507	9.796	8.2198	7.7041	7.8123	8.8173	8.1456	7.3328	7.2836	9.8089	8.8404	6.2635	8.9087	9.6402	7.692	7.3527	6.6774
U133A__TP53I3	6.6763	6.3293	5.9343	7.1322	6.819	8.4069	7.1618	6.3678	6.5144	7.206	6.7321	7.6571	8.1537	5.8259	8.1345	6.9746	6.8374	7.2446	6.7114	7.2028	7.7129	7.0884	6.1951	7.7591	7.3	6.3167	6.5748	7.4749	7.2586	6.4755	7.6138	7.6483	5.9188	7.7496	6.2309	6.5465	6.4171	6.7233
U133A__ADI1	8.4126	6.0904	7.5485	8.1381	7.1524	8.7872	7.9559	5.7867	7.111	7.2265	8.4107	8.3018	6.6829	7.5084	6.2243	7.7446	7.2521	7.0495	8.7333	8.131	6.9574	8.6245	5.8795	7.4451	8.669	7.2065	7.4689	8.8698	8.2637	7.9541	8.3028	8.8092	7.8845	7.585	7.9971	7.0726	6.8236	7.0473
U133A__SLC29A1	6.4061	6.9671	6.1592	6.072	8.2586	5.7844	7.3036	6.0298	7.3864	7.595	6.5218	6.6417	6.6981	6.6939	6.8846	5.7294	5.6648	6.0583	5.899	6.6256	7.2738	5.1861	6.2051	6.8403	6.5509	7.0954	5.5214	6.9551	5.739	5.7701	7.0758	7.6483	5.4986	9.1382	6.2922	7.5611	7.1754	7.0177
U133A__SLC6A8	7.8981	7.4036	5.6976	8.3725	5.8974	6.4197	5.6049	7.2957	6.4491	7.5947	8.6334	7.764	6.8817	7.1394	6.7583	6.8535	5.7344	6.6405	5.9897	6.7365	5.8509	6.4881	6.2545	6.0851	7.9234	6.7876	9.1798	7.6796	5.7613	9.4851	7.0348	8.1285	9.511	6.7494	6.3318	6.2045	6.8256	7.9459
U133A__INPP1	4.4569	4.9835	4.834	5.0794	5.1826	7.3585	5.963	4.6759	5.639	5.6827	7.4891	5.1384	5.125	5.405	5.9736	7.2265	6.8993	6.1595	5.0695	5.2167	5.3192	7.3656	4.5652	7.1876	5.2332	5.0871	5.0822	5.2625	5.1707	4.6214	5.2558	7.2272	4.1464	5.1839	4.8667	5.4371	4.7565	4.867
U133A__CDCP1	7.2215	7.3078	7.3245	5.7458	7.0456	7.1212	7.5834	6.5563	6.1087	5.8003	8.3644	8.6177	6.9089	7.6904	8.2325	6.9611	7.7991	6.2206	5.8522	5.5089	7.7861	6.0267	6.8073	6.5621	7.4171	6.5984	9.604	7.661	7.8789	5.7184	9.4111	8.8519	5.8008	7.8476	7.2886	7.7043	7.4395	7.2068
U133A__DKK1	5.0117	9.4756	4.5936	6.5014	4.5847	9.7796	3.8903	4.6547	9.8575	5.5531	9.7499	8.9757	5.8126	4.3313	6.5983	7.3948	4.6587	8.431	9.3303	8.505	4.4631	8.7426	6.0065	10.0983	6.1811	9.4083	9.3932	4.3075	8.2598	5.0502	5.9542	10.4274	5.6311	4.2645	9.043	4.5639	4.4719	4.6765
