Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
U133A__MYL9	4.7297	4.7978	4.3871	5.1373	9.1832	8.8391	8.6873	8.4341	4.0346	5.7648	9.6218	6.0583	4.625	4.5724	4.7069	4.813	9.5538	8.1157	4.8778	9.6227	4.8854	4.7024	4.6027	8.4701	5.1536	7.1009	4.6393	6.8697	6.3832	4.2936	4.1384	4.5311	8.308	6.9483	4.9714	4.4915	4.7852	7.4332	7.2213	4.811	4.9805	4.1039
U133A__AGR2	10.3169	10.6821	11.0027	11.4133	4.8801	9.5473	6.1277	4.7238	4.9574	5.6983	5.7322	9.8422	7.8487	8.9628	11.0145	11.018	5.5521	4.8807	6.5245	4.9432	9.0223	9.5307	5.3115	4.1066	11.5908	5.8781	10.7955	11.9865	5.409	9.8595	7.8941	9.5144	5.8546	5.7616	4.7808	12.2035	11.3355	11.4831	10.6889	9.3155	11.2101	10.4286
U133A__ITGA3	7.0347	5.904	7.0003	6.2149	8.0259	6.2689	8.8922	7.8936	5.0259	6.8603	5.3603	7.6743	7.3976	8.3943	7.9867	5.562	7.1843	8.7137	6.5616	7.4535	6.6455	6.406	6.3636	8.2664	6.2884	7.5132	7.5224	6.7249	7.7298	6.8296	6.9427	5.5944	6.0298	7.3832	7.7502	5.8839	6.8074	5.8556	6.1491	5.7229	6.6238	5.9956
U133A__SELENBP1	8.8083	9.7924	7.6433	9.2375	4.404	8.985	5.7129	8.8748	7.4447	7.9249	6.8402	4.8861	6.996	5.9103	9.6817	8.3716	5.1255	6.3603	8.2953	5.4059	5.6645	7.5547	7.3078	5.0839	7.755	5.9437	7.8378	7.8349	5.555	9.293	6.6074	9.5222	5.4631	4.9068	5.4815	8.5464	8.8177	7.1748	8.0832	9.6663	9.2892	8.0155
U133A__CAV2	3.628	3.1779	3.3923	3.0698	7.8986	2.8462	5.1588	7.2226	3.0586	4.8437	4.7763	8.5945	8.2912	7.4602	2.8226	3.682	7.035	7.4937	8.1446	7.6605	4.8362	4.751	3.1371	7.6109	3.3443	7.438	2.9043	3.4366	6.8305	3.0974	7.613	3.3199	7.4425	7.9614	7.5886	3.3399	4.8789	2.8856	3.9524	2.9463	2.8217	2.6443
U133A__FAM174B	7.6688	7.039	7.2556	6.398	5.5542	6.0659	6.0848	5.9859	5.9155	6.0452	5.895	5.4407	6.3246	6.3647	7.21	7.2938	5.6754	5.7021	6.1376	6.1391	6.7886	7.0665	6.8153	5.7914	7.8239	5.7429	7.5637	7.1023	5.641	6.5758	6.168	6.7257	6.0008	5.608	5.8132	8.5023	6.56	6.7379	8.822	6.8445	7.4751	6.1006
U133A__AKR1B1	5.4264	6.9517	5.9901	5.6065	8.7781	5.6946	10.595	5.6857	6.894	7.4072	8.1445	9.6667	9.0128	6.1103	6.0593	5.5161	9.8841	10.5542	10.1821	10.9824	5.9497	5.9629	5.5375	10.7395	7.1787	9.6852	6.313	7.2479	11.7579	5.7109	10.7006	5.7104	9.5693	11.8108	11.2588	5.2415	5.3117	5.4185	5.0463	5.5959	5.9962	6.4257
U133A__CD58	6.4278	6.9993	5.1218	5.9691	7.2698	7.0005	6.2556	6.5853	6.1494	5.5493	6.654	7.2465	7.9814	7.1512	4.8445	5.828	7.2986	7.4893	8.4123	7.5015	6.8778	6.6956	6.5988	7.6528	5.1406	7.857	5.4702	6.611	6.5498	5.2182	7.7288	6.4312	6.6742	8.3999	6.6873	6.3553	5.3401	6.1602	6.1292	6.199	6.6752	6.7084
U133A__SERPINE2	4.1494	4.4242	4.9022	4.2554	9.6075	4.4355	7.5807	6.6807	6.0426	3.9813	8.4672	7.9594	4.2132	7.2359	4.7087	4.2348	6.9187	8.2237	4.4336	10.6755	4.6808	4.5754	4.2682	9.6812	3.944	6.4409	6.9121	5.0607	10.279	4.343	5.3284	4.6083	5.8042	7.156	4.8219	4.8116	4.627	3.9897	4.2821	4.3236	4.7262	4.6368
U133A__SIDT2	5.8856	8.986	7.3246	8.4842	6.6145	6.7782	5.5119	5.727	7.0085	7.2121	6.4307	6.7302	6.8686	5.6188	6.7115	8.9948	6.3065	6.9148	6.7901	5.7854	7.1027	6.6763	6.7265	7.3668	6.6904	6.4539	7.618	6.7863	6.0924	7.0954	6.1609	7.2985	7.8062	5.4073	6.5306	8.0395	6.6182	7.7683	8.1148	7.4488	6.6886	7.262
