Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM44PE	SUM52PE	T47D	UACC812	UACC893	ZR751	ZR7530	ZR75B
EA_G__ABLIM3	5.9591	5.5079	5.1293	6.3249	4.938	7.0815	5.9535	5.1655	4.9608	5.0767	4.7635	7.7259	5.0358	5.9589	6.0618	6.5848	5.9178	5.0659	5.8253	4.8639	5.7143	7.5551	6.224	5.7668	7.4819	5.2369	5.9959	6.2178	5.9998	7.0506	6.0165	6.8433	5.1121	5.6101	5.7573	6.3981	8.6111	5.0819	7.5033	7.3642	5.5965	7.3227	5.7309	5.1975	6.9236	5.0929
EA_G__HSPA2	9.1865	6.5143	6.0734	6.6109	6.9019	6.5664	8.4659	8.1328	7.0044	7.8112	7.127	6.2578	5.3727	7.315	7.8875	6.9199	6.4991	7.3139	7.1002	8.5382	8.6414	6.6641	7.2836	7.5073	7.8789	8.4979	9.6421	7.0652	5.4425	10.4966	7.2464	6.9279	7.6454	6.8192	8.408	8.1889	6.0688	7.0414	7.4748	8.657	6.8424	7.5967	6.6912	6.5403	9.2566	6.8197
EA_G__RND3	10.1573	7.8999	6.1271	6.4514	9.3787	6.5605	8.5919	9.1991	7.1835	8.7782	9.0163	5.1647	6.6321	8.5989	9.4839	9.9065	8.1357	10.6716	9.4119	9.059	9.3223	10.8501	8.1155	8.1217	8.3319	9.0663	8.8121	9.5673	7.2105	7.5672	10.0562	7.4692	8.5887	7.9216	7.9453	9.0072	8.2004	7.6541	7.0135	8.1492	7.8509	4.3407	8.9943	5.9197	8.3125	5.8057
EA_G__LMX1B	6.9476	7.0005	9.3656	9.0905	6.9439	7.6305	7.3941	7.1723	6.8839	6.6951	8.6262	8.5572	6.8858	6.9417	6.9284	6.8258	6.8833	7.4215	6.8074	6.8958	7.5919	6.4544	7.7392	8.5642	7.4095	6.6147	8.2031	6.5912	8.4106	7.433	7.2189	7.7919	7.3849	6.7515	6.5205	6.695	6.3187	8.6843	10.632	7.564	7.6533	7.8472	7.4149	7.4231	7.671	8.3092
EA_G__SEMA4C	7.2719	7.5273	8.26	8.6249	7.0002	8.0346	7.2498	6.9744	7.4205	8.0985	6.9877	9.8344	8.6208	6.4917	6.9693	7.1234	7.4942	6.9843	7.2017	7.7054	7.3261	7.1737	8.8988	9.6211	8.403	7.4376	7.8696	7.3859	9.169	6.8374	7.702	6.8478	7.3498	7.8752	6.9353	7.2155	6.8307	8.7622	9.1107	6.6063	6.5848	7.4099	7.8145	7.6439	6.7406	7.2913
EA_G__EDG2	4.8556	3.3359	4.2557	4.4188	6.8165	6.3432	9.2817	4.4746	6.534	7.7048	3.9111	3.8116	6.6588	9.6996	8.5967	7.2909	4.2481	4.6426	5.8024	6.667	4.1839	9.6511	4.3939	4.5068	9.2968	10.0297	7.5476	9.9468	6.2733	8.3355	8.1237	5.6309	4.3616	4.0072	7.897	5.2177	8.6128	5.2046	3.9776	9.2136	8.0528	4.9111	7.1464	4.7246	5.4687	4.3526
EA_G__NTN4	8.9457	7.3815	4.9204	5.0978	7.1364	4.9212	5.6882	7.1586	6.9979	6.658	7.5512	5.1676	4.9719	6.4198	7.8649	8.8122	5.6499	7.7185	5.9791	6.5246	8.062	7.8699	5.7432	5.7151	5.1214	7.0287	8.1226	6.5949	6.4657	7.9767	6.4987	7.923	8.7584	7.6942	7.2396	6.2955	7.1744	8.1179	6.5618	7.4797	6.9728	5.795	8.1615	5.3447	7.9786	5.0544
EA_G__KCNK5	7.1892	7.6768	6.3405	9.3414	4.9843	8.6618	6.0942	7.4348	7.2036	5.7724	4.9976	9.8878	9.3335	7.2929	8.1296	6.3744	5.5838	8.5578	6.7799	6.0831	7.8641	4.7487	6.6911	6.548	6.8382	5.8044	5.9266	6.3282	6.2406	10.3354	5.9231	5.7042	8.5972	7.4838	5.9933	6.7772	5.3122	5.9738	5.4865	5.8335	5.4823	9.2462	8.2054	5.0166	5.6404	6.0554
EA_G__PAK1	9.811	5.7876	6.1028	7.211	7.2208	5.7292	7.4688	6.8378	6.3034	7.3413	4.2157	6.4608	7.7411	8.7149	6.9446	7.451	4.2022	6.1986	7.7684	7.6308	7.6557	7.5158	4.6218	6.0492	11.1391	7.7746	7.3823	7.5296	6.4291	6.8502	6.6261	6.2824	7.4101	5.2566	5.7809	7.3487	7.6047	7.2088	9.7166	9.3218	7.9048	7.2703	8.7849	6.7669	6.3509	6.197
EA_G__DST	5.7695	5.6314	5.8496	6.8365	6.522	5.4187	7.2984	7.8516	4.2306	7.0187	7.1174	7.453	5.4133	6.8962	7.5451	7.2884	7.3602	6.3799	7.9233	6.8408	6.4526	8.5037	5.407	5.7353	5.4619	7.1812	6.4687	7.7141	7.1402	8.3095	6.7303	5.1303	6.5537	5.9384	9.1508	6.632	8.1101	5.6277	7.7752	6.6125	6.5333	5.4791	6.1783	6.8436	7.8944	5.1731
