Cell lines	600MPE	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC2185	HCC3153	HCC38	HCC70	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751
EA_G__RND1	7.3143	5.5848	8.1345	5.2959	7.5678	4.9253	4.833	6.5432	5.3653	4.8394	5.688	5.355	6.4109	5.1296	5.0251	5.5654	7.389	6.8855	7.5082	4.321	9.0383	5.229	6.9107	7.667	7.8736	8.9453	5.08	5.2271	5.1002	6.2484	6.2849	5.9817	7.1618	8.9243	7.8627
EA_G__COL6A1	6.4655	6.468	6.6022	7.7676	6.0711	9.0875	10.3939	5.8722	6.1268	8.5582	7.8176	7.4242	6.3333	6.5532	10.1632	6.3377	6.6858	6.6419	6.122	11.506	7.7945	7.2708	6.5551	5.9473	7.0464	6.3821	8.3978	8.1566	7.3378	6.2869	7.2379	6.8732	6.525	6.6154	6.361
EA_G__FGFR4	6.212	9.4947	8.6522	6.7252	11.1104	6.9616	6.9437	9.9702	7.7334	8.649	7.4069	6.9704	7.8246	7.3383	7.6825	6.2891	7.6865	8.3879	8.0356	8.0349	7.9172	6.6169	9.9462	9.8037	11.4544	6.6971	6.6719	6.5764	5.6794	8.3049	9.0287	8.2707	6.8843	8.8386	10.7427
EA_G__ACSL4	3.8905	3.2175	3.0199	8.1981	3.93	5.8474	7.8339	3.2795	4.7223	6.0223	5.4391	5.9242	3.2448	6.4566	7.5506	6.3064	4.3467	3.4318	4.0505	6.5727	4.394	8.0383	3.8174	6.3426	4.0514	3.2697	7.359	6.9283	7.5937	6.0038	3.4226	5.8348	4.7256	3.5077	3.3705
EA_G__MSN	6.7845	4.0134	4.419	10.3783	4.1022	11.3117	10.364	4.1309	7.0685	10.7693	10.103	9.5137	4.4627	9.6207	10.8946	10.6461	4.1429	4.7797	6.5085	10.1759	5.7957	10.8438	3.9279	8.4521	5.0086	4.469	10.7101	10.614	10.7822	3.9763	6.4413	4.674	4.3941	4.086	5.8385
EA_G__TPD52	5.9209	7.0653	6.6962	5.3719	6.8489	6.829	5.1704	7.2799	6.5672	7.0081	5.6315	6.5702	6.491	5.8988	5.8681	5.9646	6.3341	6.808	6.5048	4.2657	5.5925	5.3093	6.894	6.7619	6.1522	8.3772	5.8053	5.8745	5.9066	6.8577	7.4252	6.5493	5.7787	7.5175	7.2785
EA_G__SYT12	6.5702	6.4667	7.2718	5.6842	7.9997	5.3679	5.0011	5.5349	7.2782	6.3472	5.9473	6.3003	8.2401	5.853	5.1824	7.0638	8.037	7.7083	6.7108	5.4029	6.0574	5.6268	6.4297	7.8238	8.001	7.193	6.263	8.7831	5.9885	5.3229	6.7599	7.2041	6.3496	8.237	7.9768
EA_G__GPR176	5.2765	4.458	5.1443	7.1887	6.8504	7.4156	6.7334	4.2781	5.7714	5.2195	6.5779	6.6746	4.4455	6.8578	6.1532	4.8029	5.2116	5.7415	6.1286	7.3208	5.634	4.5928	4.5879	4.3922	5.6259	5.0005	7.254	6.2727	8.3008	4.8269	4.2057	5.2999	6.1686	4.6943	4.4512
EA_G__CRIM1	9.0196	6.5929	7.7545	9.7719	4.9514	9.4674	8.0665	5.769	8.1182	7.7723	9.2139	9.9786	9.1212	9.553	8.9683	9.1882	6.9248	7.2872	7.1522	10.3139	7.9992	10.2066	6.0395	8.0396	5.5615	8.5579	8.5317	9.052	10.2588	7.9147	7.6815	8.6219	8.7841	8.2763	5.0659
EA_G__PPFIBP2	7.8433	8.685	6.6337	5.3909	6.8131	5.2124	5.3868	7.7925	5.6154	5.8536	4.9366	5.4374	7.7047	5.6356	5.98	5.7397	6.5585	6.3397	6.9949	4.0523	8.1624	5.0389	7.4755	8.9514	7.7945	6.9673	5.7632	5.0592	4.8184	8.3164	7.5942	7.3962	6.0261	6.8366	6.9521
EA_G__HGD	6.292	7.6492	5.5405	3.7536	7.1472	3.8709	3.6315	8.002	8.7179	8.6658	3.8689	3.4665	8.0684	3.8546	3.7892	4.0083	4.0437	5.1745	8.727	3.4955	4.5873	3.8207	9.1095	8.8747	5.3693	4.2486	3.9795	3.876	3.8261	5.1101	8.751	4.4323	4.1422	5.0669	8.3076
EA_G__ERBB2	9.7997	12.3566	10.2935	7.7806	9.1247	7.7491	7.1261	12.6526	8.5876	11.3467	7.4832	7.6512	10.2349	8.7512	8.1322	8.6875	8.5271	8.7417	8.307	7.9542	9.8661	7.3805	11.4924	9.0715	10.6304	12.0992	8.1194	7.4859	7.6326	8.7176	12.6826	8.6454	9.1608	12.2493	10.0611
EA_G__UNC13B	5.793	9.2627	6.7893	6.8557	7.5027	6.1135	4.7743	8.1912	6.3839	5.7764	5.9227	5.9355	10.2206	6.573	5.9399	4.9792	6.4183	7.4598	7.4711	5.3058	6.8949	6.3107	6.8314	6.8136	7.1209	6.1782	7.1852	5.2062	6.6155	6.2335	6.8873	6.5187	6.9894	6.8792	6.4913
EA_G__BMP1	6.6703	6.0246	6.445	8.212	6.0746	7.1822	8.0235	5.4548	6.9235	6.8115	6.6383	7.5455	6.5834	7.2222	7.792	7.3279	6.9906	6.6899	6.5585	9.678	6.943	7.0429	6.1197	7.0648	6.6947	6.5005	7.0603	7.7511	7.8272	6.9575	6.411	6.4197	6.3307	6.3149	5.8934
EA_G__CTSB	9.501	7.6199	8.1219	9.3317	7.7767	9.3496	8.9493	8.4326	8.7649	8.2129	8.6363	8.7268	8.3457	9.1987	9.0396	8.0125	7.609	7.9978	8.1438	8.5369	8.5159	7.744	7.6151	8.7761	7.5629	7.8522	11.2144	7.9953	8.4264	8.5036	6.9814	7.2367	8.0939	8.6439	7.7091
EA_G__LDHB	5.2705	6.5869	5.9575	10.2955	3.0453	10.7181	9.4898	2.9818	6.978	11.0733	10.9666	10.7587	10.4313	10.2146	10.8921	8.2479	3.5445	3.0401	2.8244	10.252	10.0613	11.1245	9.6888	9.633	3.417	9.8014	10.5553	11.0504	10.9831	2.989	5.1717	10.1744	5.3941	7.9447	2.9497
EA_G__ADD2	5.5151	5.5351	5.3535	5.5599	5.3892	7.3116	7.7376	5.2749	6.6198	6.8201	6.7041	7.7484	5.514	7.5593	6.615	5.87	5.8426	5.7224	5.3596	5.4215	5.824	7.2226	6.1584	5.385	6.318	5.8218	6.0723	7.1771	6.4609	5.5033	5.4357	5.8193	5.5984	5.4563	5.3741
EA_G__PLCH1	5.2438	6.9586	6.0596	3.9486	8.0482	4.651	3.9777	7.7608	6.6251	5.4736	4.7252	4.4941	8.1232	5.2036	3.6959	6.6154	6.6504	6.832	4.0158	4.9347	7.0744	5.7583	7.2641	9.4761	6.8481	7.196	4.228	4.6713	4.1757	5.7348	6.445	6.0627	7.4294	5.562	8.1434
EA_G__AHNAK2	6.4315	5.7758	6.5778	8.7237	8.1277	11.0055	8.9185	6.0669	7.319	5.8046	8.2741	7.0113	6.8208	9.6726	7.9732	7.629	6.3356	6.7179	7.2793	9.2604	7.7131	7.9926	5.8029	5.5643	6.3239	5.8413	11.1983	8.7533	9.2006	8.6161	7.8498	6.7657	6.6229	7.0651	6.7233
EA_G__FAM59A	7.1098	7.2024	7.3453	4.8712	6.68	5.9347	5.6379	7.3743	6.2539	5.5819	5.5316	4.9289	5.9312	5.9031	4.8528	7.5857	6.6224	6.0759	7.2006	4.0473	6.5938	5.419	7.0464	6.7735	6.2219	7.0846	5.2325	6.4577	5.2007	6.2579	7.22	6.1833	5.4105	6.3264	6.358
EA_G__JAG1	5.3676	5.3175	5.37	5.2094	4.8659	10.6497	8.7216	5.2027	5.7356	6.6225	8.4241	9.22	8.3486	8.547	11.4361	8.8384	4.9283	6.6646	5.8994	10.2915	6.7984	8.3717	5.8293	6.3949	6.5058	6.3796	7.2595	6.924	7.0998	8.7139	7.9	5.371	5.2308	4.8664	5.3273
EA_G__ANXA1	9.3451	4.0476	6.3945	10.2017	3.5434	10.6675	9.7178	5.7747	3.241	9.4661	10.3797	10.7509	5.1369	10.5083	10.031	11.0436	3.448	3.7029	7.6301	10.0666	7.3355	9.9841	4.7581	8.4359	3.764	5.1137	11.0653	10.5969	9.902	8.9069	10.2567	8.2487	5.7561	3.9458	3.0291
EA_G__KLRG2	6.9239	8.4057	7.5283	6.4	9.6446	7.8073	6.0509	7.7071	6.9473	6.3701	7.4151	7.5596	8.4247	7.0207	6.3157	7.1726	7.2573	7.355	8.1612	6.4254	8.7608	6.1478	7.9256	9.0586	8.2741	8.7105	6.5291	6.5715	6.701	8.0547	7.249	6.6918	7.2045	7.9626	8.9974
EA_G__MLPH	9.7749	9.4537	9.4619	7.2434	8.8593	6.8868	5.9652	10.2061	9.2145	6.1493	7.1993	6.1736	9.408	7.7663	8.4935	7.6096	9.3005	9.7117	9.0131	8.2664	9.9729	8.0714	10.0726	9.6628	9.7087	9.4819	6.3658	8.0179	6.4396	9.4011	9.1543	9.9994	9.2638	8.9017	10.4752
EA_G__BCAS1	7.6511	10.5313	7.3913	4.4087	6.403	4.3423	4.5984	10.3867	6.7622	4.1964	4.6724	4.3328	9.0372	4.5142	4.3656	4.3987	7.9077	7.2716	6.6171	4.3473	7.9229	4.8844	7.3564	9.719	5.6839	9.8324	4.4616	5.0177	4.8637	7.8706	7.4028	7.9093	7.3722	7.4533	8.0127
EA_G__GGT1	7.5575	7.1065	7.2693	5.3711	7.6542	5.7143	5.8255	8.3686	6.7667	5.8302	6.2027	5.5974	7.0078	6.4158	5.6441	6.8205	6.2737	6.3007	7.403	6.0052	7.7936	6.8593	9.9959	6.1859	7.8444	7.6843	6.2313	5.996	6.5788	5.9141	7.6846	7.3051	6.8609	6.8846	9.633
EA_G__GLS	7.4277	6.9834	6.7626	8.2057	6.6295	9.1094	8.9736	8.0475	7.609	9.5461	8.4018	8.6477	7.4503	8.7597	8.412	7.7883	6.8403	6.6922	7.5002	8.8394	6.5709	8.5453	6.2814	7.2594	4.5529	7.0692	10.0833	8.7098	8.438	6.5093	7.0957	6.6458	6.6057	6.9638	6.5527
EA_G__CDK6	7.6087	5.5281	6.6409	6.9192	3.5988	8.8538	7.2937	6.125	4.3767	6.4356	7.7804	7.8837	6.8198	7.98	7.6771	7.5952	5.7383	5.2545	4.2023	8.4198	6.2835	7.8416	5.6047	6.5876	4.1059	6.5554	8.4041	6.9278	7.5734	6.8846	8.3805	7.8478	4.3604	4.162	3.7064
EA_G__FJX1	8.3967	4.9649	6.9083	9.0274	6.719	9.9085	6.0156	5.9123	6.1875	9.0239	10.8651	7.8271	7.6401	8.2594	7.1323	6.3296	7.4508	5.7965	7.8509	8.9907	7.6792	8.713	6.5637	7.2206	7.9145	6.3355	8.3063	8.4438	8.6121	7.8131	7.6374	7.4963	7.972	7.0963	6.8239
EA_G__TMEM164	7.0979	7.6781	8.5025	8.6222	7.5074	6.4544	7.5203	7.2907	10.3866	7.6298	6.9435	6.7799	7.5043	6.098	6.9625	8.2039	7.2698	7.5322	8.1896	6.8379	7.2051	7.0206	7.6833	8.395	7.0973	8.247	6.3434	7.049	6.8636	7.9599	6.9667	8.2506	6.4222	8.5694	7.892
EA_G__ACN9	5.663	2.2474	6.4061	7.3112	2.7477	7.1126	8.0424	2.5176	7.5615	6.6273	6.5053	7.5679	2.2849	8.2112	7.1776	6.3609	2.5402	2.3462	2.429	7.0306	6.2283	7.6458	6.8231	4.2824	5.423	7.6019	7.7805	7.3034	7.8799	7.6985	6.6824	8.9937	3.1105	6.3996	2.2698
