Cell lines	600MPE	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC2185	HCC3153	HCC38	HCC70	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751
EA_G__FAM92A1	5.5302	5.8483	6.4144	8.4157	5.1613	8.0287	6.5926	9.1744	4.5411	7.7132	7.0833	7.3376	5.1531	7.1769	8.6012	5.3043	6.4938	5.9786	4.0925	8.9483	5.4059	7.7509	5.8867	5.4835	4.3822	3.5541	8.8524	6.8195	8.0827	6.5139	5.3158	3.813	6.5597	7.8706	5.3464
EA_G__ATAD4	8.9675	8.0263	8.0542	4.5523	7.5399	8.0394	4.8296	10.7967	7.4212	4.1336	4.5672	4.7596	8.0676	5.5651	4.2357	7.043	7.2902	7.5689	6.5886	3.7982	8.0822	4.8914	9.0888	8.2291	7.5073	7.1289	4.5322	5.1374	4.3119	7.2446	7.4827	9.1193	7.2602	7.8865	8.9783
EA_G__COTL1	5.9198	6.6603	7.9471	8.8765	6.1352	8.5549	8.4905	6.565	7.2202	7.2821	9.2408	9.7896	6.8316	9.2709	9.1656	9.3668	7.2009	7.0144	6.3387	7.8644	6.9472	8.3797	6.4174	5.9237	7.2764	7.4072	7.7958	7.976	9.0746	6.9195	7.4659	7.2679	7.4007	7.0112	6.5166
EA_G__MPP1	4.6323	4.1933	4.53	7.3661	5.2864	5.9491	6.5432	4.0628	4.851	6.9422	6.5674	5.376	5.2199	6.7918	7.3067	4.5936	4.6365	4.6134	6.1798	8.3037	5.8638	7.4557	4.1565	6.2867	6.0077	4.7191	7.4905	6.8069	8.2609	5.4014	4.4879	6.8111	6.0661	4.9223	4.6406
EA_G__GSTT1	7.6347	8.0168	7.052	7.6019	8.4776	4.7123	4.5363	8.8024	4.5306	4.5116	4.9129	4.2115	7.3671	7.6961	7.5309	4.753	6.5317	7.7158	4.9566	6.9876	7.636	4.0882	8.3665	7.6046	8.6851	6.5673	5.1682	7.0605	6.4598	7.5391	7.2578	4.7409	4.6702	7.7072	9.7679
EA_G__CCDC125	6.7241	8.2014	7.8942	6.5806	7.5742	5.6801	6.0105	8.1674	7.8031	6.378	5.856	5.009	7.0037	6.4699	5.9728	6.3171	6.9265	7.4992	7.8276	4.8539	7.4091	6.4407	7.3733	8.7571	6.9123	7.071	5.6281	5.3484	6.4832	8.3702	6.7762	6.4973	8.0046	8.2983	8.289
EA_G__CLU	7.2352	8.9068	8.992	8.9576	9.6033	6.8112	7.4522	8.8358	9.7927	5.9431	7.7097	6.4074	9.5115	8.6745	7.7043	7.3793	8.8706	8.885	9.1728	7.8152	9.6338	6.7991	9.3254	10.2466	8.8604	9.8643	7.6939	5.8874	7.0941	7.9162	8.5631	8.2237	10.2223	8.7504	8.0166
EA_G__OPTN	7.221	5.3369	6.9311	8.3122	6.5453	7.5186	6.0328	4.7322	6.9897	6.7986	6.2956	7.0622	6.6243	7.2997	8.3212	8.8409	5.3053	5.7791	7.3007	8.1823	5.8963	6.7992	4.892	6.3711	5.1838	6.2416	7.8105	7.3452	6.5014	6.3757	5.827	5.7857	7.2587	5.688	4.9217
EA_G__AR	6.9661	8.3549	6.7735	7.5162	9.0105	5.0413	5.2557	8.4454	7.9054	5.3141	5.6306	5.044	7.6659	5.4751	5.0709	5.6657	7.3953	8.2357	6.7372	6.0964	7.7378	5.2134	8.7813	9.1804	9.5757	6.2873	7.595	5.6012	6.2466	9.2337	6.7197	5.6023	7.7766	6.883	9.3152
EA_G__SYDE1	6.3871	6.3616	5.8841	8.4653	5.4574	8.3258	7.9902	5.8161	5.3023	6.2033	6.9579	7.0087	6.1217	6.9318	8.2904	7.7112	6.0991	6.2731	5.5612	8.7207	6.3382	8.9894	5.7382	5.0994	6.1707	6.551	8.0444	7.0048	8.2118	6.1916	5.8197	5.9689	6.0967	6.1051	6.3412
