Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751
EA_G__GNG12	7.9257	8.0554	9.1125	6.9215	6.2823	9.5214	5.0723	8.6155	6.8475	8.645	7.8236	7.2029	8.1673	7.6447	8.9862	8.8599	7.3246	8.9495	9.2848	9.2523	10.1455	6.6554	6.6615	8.7552	6.672	9.0735	6.6523	8.8439	7.2152	7.7602	9.7441	7.9395	9.8269	7.4973	8.4644	7.8464	7.0967	6.8414	6.0561
EA_G__DUSP6	9.8728	5.2274	7.0322	9.4609	7.1006	5.9895	4.9247	5.8978	4.2526	6.6354	8.795	5.5236	4.7839	9.6087	7.3352	8.9962	6.4023	7.7043	5.4817	5.005	7.6371	5.4104	10.0187	6.56	10.2348	10.3426	5.7494	8.1152	9.5996	5.0428	6.9765	6.9249	6.2371	9.1666	11.5639	11.3319	6.2762	7.5986	5.0224
EA_G__NCOA1	5.7013	6.7755	6.6703	6.6969	6.4277	6.0786	5.9324	5.7387	6.4161	5.8875	7.9094	7.0539	6.4869	5.1038	6.4759	6.3607	6.9388	5.9142	6.0282	6.6922	6.4098	6.8043	5.7002	7.2551	6.1257	5.8861	7.114	6.5122	6.1483	6.4088	5.6262	5.6425	5.8318	7.6638	6.5291	6.9219	6.5437	6.7976	6.6471
EA_G__ALDOC	6.2369	8.6388	6.0756	5.4163	8.3213	5.4514	6.5337	7.6218	6.1767	5.4101	6.7819	5.1834	9.4752	9.124	5.6227	7.5021	6.4042	8.1628	5.3074	5.6819	5.4596	9.3677	8.7188	5.2114	7.1643	8.7962	5.2821	6.0757	5.9179	8.6731	5.6502	7.4675	6.9394	8.492	5.5922	7.5905	9.0665	10.1178	5.624
EA_G__SPARC	4.5171	4.8293	4.2373	4.5504	4.2699	11.8832	4.6628	6.7226	5.1153	9.4855	4.3425	4.5079	9.4465	4.4679	6.789	4.6287	4.3059	10.9051	11.0077	4.8481	12.1508	4.6314	6.3594	12.8203	6.4311	7.2862	4.4453	12.4428	5.2404	4.8983	8.4651	5.4089	10.5706	4.7633	4.774	4.8747	4.5219	4.6737	4.7502
EA_G__GDF15	8.7068	7.1724	5.6526	5.962	9.4267	8.161	5.4139	4.8212	5.2088	5.2556	9.4947	5.5548	5.304	6.6795	5.3912	8.6846	5.6073	6.0021	4.7668	5.3299	5.2659	9.0769	6.3475	4.9128	10.0786	5.4678	6.8564	5.8438	6.2679	5.9322	5.7552	5.5337	5.7553	6.3737	9.3912	6.9215	6.5323	8.1624	6.3288
EA_G__MUC5B	9.6932	6.4361	5.9022	6.9314	7.7404	5.8684	6.7346	7.1014	5.912	5.8945	5.7874	6.5453	7.6719	6.1315	5.7623	5.913	6.0889	5.8992	5.7273	6.1171	5.8392	6.814	6.4839	5.7219	7.028	6.0495	7.1666	5.8982	6.7563	6.287	6.0671	6.2929	6.0471	5.946	6.0624	6.3067	6.072	9.8801	6.2141
EA_G__SUSD4	6.3578	6.6804	6.1263	6.6157	8.607	5.1199	5.6575	9.2095	9.982	7.2765	6.8583	6.6596	6.4585	5.2454	8.243	6.3725	5.7532	6.6212	7.8351	8.388	5.3817	7.784	9.681	8.2303	7.4646	5.849	6.7063	7.8361	7.3116	5.899	6.0963	6.1151	5.3051	6.2632	5.8529	7.8561	5.7485	8.0041	8.6487
EA_G__SYTL2	6.4223	4.9566	6.8946	6.9103	8.1367	4.8492	5.4838	3.9633	4.0345	4.3987	6.4077	7.0164	5.1359	3.4857	4.438	8.1738	5.3483	5.8942	4.075	6.6446	3.8372	9.1756	6.6909	5.6328	6.3496	4.8433	6.7037	7.0191	5.0262	4.9142	5.3838	4.623	3.4051	7.0082	6.9383	5.592	4.812	8.4366	3.9156
EA_G__IGF2BP3	3.6624	4.2122	8.2012	3.8851	3.6266	4.6605	3.6779	7.2037	4.1296	7.5191	4.0699	3.6299	7.7252	8.3337	6.971	7.5306	4.3622	6.5162	8.1443	7.9738	7.2336	4.2482	3.9471	8.6283	4.0471	7.7226	5.4133	4.7006	4.2992	4.4079	8.7171	4.3408	5.2561	3.7931	4.4225	5.3115	4.8538	3.948	3.8747
EA_G__RPS6KB1	7.9285	6.8347	6.7477	9.686	7.7783	6.8791	7.8417	7.1181	7.0867	6.566	7.7392	8.4481	7.0803	7.3503	7.0176	7.2514	7.1259	7.4042	7.96	6.3461	7.2677	10.5843	7.5458	8.3166	7.0482	7.3725	9.0959	7.2654	7.6868	6.4024	7.9014	6.8211	7.5454	7.1291	7.0397	6.9892	7.5328	7.5836	7.8682
EA_G__EPB41L4A	6.9861	4.8197	5.9817	7.0521	5.6139	3.9585	5.7618	5.0865	4.4588	4.1933	8.3309	7.5778	3.9447	4.723	5.6705	6.4675	7.9628	5.5236	3.7847	6.6248	4.0786	4.7297	7.9019	3.733	7.1104	5.7975	7.6741	9.1353	8.1433	5.9446	3.8929	8.5043	4.0766	8.46	8.061	7.4104	6.8676	6.1666	5.3605
