Cell lines	600MPE	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC38	HCC70	LY2	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	UACC812	ZR751	ZR75B
EA_G__CRAT	8.1572	5.9711	11.4567	7.6715	8.287	6.6246	5.8871	7.7008	10.7227	8.3935	8.5281	5.4788	5.4039	5.5109	8.2258	8.3749	5.6272	6.9141	7.6091	8.2104	9.2806	6.5668	8.7434	8.0047	10.9341	7.2747	8.4932	7.7102	5.9546	10.1112	6.9725	9.0664	9.4003	10.8252	9.5145
EA_G__ATP7B	6.2045	5.7373	8.4859	7.6758	5.5861	8.0376	6.1909	5.3359	7.9776	9.3079	6.3782	5.2183	4.7565	5.8059	5.7551	5.888	5.2875	6.5883	5.873	6.1273	7.1474	5.1534	9.4854	8.2401	5.8082	6.645	6.3643	5.7143	5.6434	6.7281	6.2771	6.1749	9.3683	7.6427	6.5602
EA_G__NR4A1	7.0106	6.4987	7.7492	7.3327	6.1782	6.5968	6.4658	6.2776	7.4587	6.4468	6.6935	6.3044	6.1826	6.3809	7.2553	5.8215	6.1123	7.225	6.542	5.7641	7.5251	5.9098	7.1353	6.7565	6.7356	7.0525	6.0845	7.8922	6.6425	6.9256	7.2672	7.5309	6.6764	6.9464	8.454
EA_G__TMEM63A	10.3392	8.8139	9.2252	9.8321	7.9009	8.9321	8.0876	7.8552	9.8166	7.6708	8.6227	8.3271	8.8127	8.4558	9.0724	7.9149	9.794	8.0926	8.1943	8.1384	10.2093	7.9491	9.2452	9.2999	9.5319	9.8231	7.2609	9.6586	7.7197	9.4813	9.5874	9.3064	8.3396	8.9229	8.1762
EA_G__SRD5A1	8.0855	8.399	7.6275	6.6327	7.4336	7.1454	8.3436	8.1358	7.0578	6.9902	7.0641	7.5414	9.0122	7.6676	7.9855	7.2715	10.5835	7.3295	7.2558	8.68	6.9041	7.457	8.0689	7.8639	6.0999	7.4931	7.124	5.9887	7.6524	7.1851	7.4128	7.5333	6.8793	6.9635	6.1703
EA_G__CD58	6.8277	9.2583	5.6632	6.0538	7.2021	6.9656	6.9285	5.8761	6.1121	6.4586	6.5012	6.6152	7.7048	6.6519	5.819	7.9261	7.5297	6.6201	6.3345	6.9016	5.5527	7.6471	5.6213	6.7996	4.9268	6.6071	7.1219	7.1185	7.2653	6.5758	7.1223	6.201	6.1303	6.1112	6.1329
EA_G__CPE	8.6965	4.0052	7.2374	7.1476	5.447	8.0609	5.0502	4.1555	10.5244	4.3901	9.6381	3.877	5.3587	5.2796	4.5581	5.9491	7.3628	5.401	6.8504	6.9886	7.7079	6.5889	7.6605	9.2716	5.5786	7.2783	5.1539	7.8673	4.9719	6.8651	10.2284	9.751	8.6851	9.2257	7.9683
EA_G__BMP4	6.759	5.0114	6.0309	6.098	6.0715	7.1783	6.7259	6.2272	4.4739	6.9521	5.1107	6.0793	7.2095	5.0103	7.2881	6.2001	5.1243	6.6692	6.3408	6.9458	4.7369	8.0266	6.0005	4.8624	7.5144	4.8065	4.6613	8.2492	6.0626	8.2262	6.6187	5.3941	5.8698	5.6496	5.4777
EA_G__CALML5	10.8123	5.673	7.936	8.1066	5.7628	5.8521	6.8941	6.0323	6.7642	5.9267	6.292	8.6287	6.8028	6.0826	6.4955	5.7171	9.1295	7.1617	5.9926	5.746	6.9447	6.0562	9.8545	6.022	9.1781	6.2895	6.4144	6.637	6.3803	10.5225	9.2435	6.8067	7.1076	5.9905	5.969
EA_G__ABCC11	4.9799	4.4868	8.9135	5.5246	4.3409	6.068	4.3488	4.3945	9.0536	6.4968	4.3846	4.531	5.3781	4.6172	5.5215	4.2837	4.7067	4.5406	5.9853	4.152	8.7674	4.4954	7.3019	6.4495	9.0235	6.726	4.427	4.9806	4.4854	9.756	7.5508	8.4576	8.0366	9.5692	4.8818
EA_G__EDG7	3.5288	3.7776	4.833	3.6421	4.0994	4.4359	8.0901	4.2587	7.5858	4.5372	8.7229	8.8385	6.2848	7.9491	7.1886	8.0065	6.7514	4.8484	3.7346	7.5279	4.6986	4.394	7.0688	7.3179	5.3051	4.66	7.3759	8.3309	7.7085	4.3828	8.0393	3.5566	4.1638	5.9133	5.8987
EA_G__PIGS	7.5697	6.8888	7.5384	7.3005	7.0996	7.4286	6.3865	6.7768	8.2206	7.0898	6.9207	6.921	7.0373	7.7928	6.9324	7.1571	7.0957	7.1866	7.3205	6.4457	7.3331	7.1863	7.4162	6.9111	7.4132	8.3361	6.8413	7.2873	7.503	8.072	7.9713	7.4937	9.3036	8.1412	7.9504
