Cell lines	AU565	BT474	BT483	BT549	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	UACC893	ZR751	ZR75B
EA_G__MIPEP	6.7835	8.3486	7.9182	7.9982	7.3639	7.0585	6.8196	6.9337	9.1829	6.9938	7.2814	6.5371	6.9973	6.836	6.8542	7.4639	7.5026	7.2798	6.5412	6.6633	6.846	7.1347	6.5897	6.2694	7.3512	6.953	9.0417	7.2708	7.597	7.9343	7.5689	7.671	8.1321	7.2004	6.8241	6.9328	7.0772	7.7388	10.207
EA_G__SH3RF2	6.0867	6.2286	5.9256	5.639	7.9792	7.43	6.1878	6.4714	6.1167	6.2721	5.2171	7.5054	8.7813	6.9138	5.9921	6.4435	6.5822	6.3956	7.0495	7.113	5.5176	5.8152	6.4949	5.7632	6.5689	7.6185	6.5312	6.7045	5.9852	6.1989	6.9096	8.4877	6.646	6.2157	6.4112	6.9071	5.9326	6.7448	5.5621
EA_G__LANCL2	8.2777	8.6101	6.9215	6.7993	6.8415	7.8774	7.7977	7.0384	7.6701	7.23	7.0278	6.9541	7.5225	7.6978	6.2475	7.0858	7.9592	7.4576	6.716	8.0509	6.6348	6.9244	7.034	7.9014	6.9053	8.0005	7.545	6.6467	7.301	6.6188	10.3038	6.9139	6.7932	7.3607	7.1243	5.964	6.9696	6.9767	7.0689
EA_G__SYT8	7.6929	6.44	6.5346	6.4279	6.5381	6.2781	6.3613	6.1181	6.3438	6.6819	6.2913	6.6771	6.3662	7.5477	6.46	6.5741	7.6114	6.0903	6.5336	6.3085	6.6102	6.4505	6.319	6.0314	9.1213	6.273	6.4885	5.9924	6.3153	7.0635	6.3685	6.3503	6.5691	6.5606	6.3762	7.136	6.5144	6.2935	6.5223
EA_G__C16orf45	6.8769	6.0307	5.9063	5.9137	6.9044	5.7484	5.3196	6.2622	6.2757	5.362	5.7197	6.1233	5.5063	5.5949	5.4932	6.164	5.3603	7.1987	5.7951	8.7459	5.9573	6.1757	5.5124	7.548	6.6192	6.8892	5.5918	6.0186	6.9752	6.41	5.1508	7.9713	5.7848	6.6187	5.4728	5.9732	6.622	7.9662	6.7192
EA_G__KRT13	7.2847	6.1001	10.33	5.8539	6.0119	6.2374	5.8131	5.8504	5.8338	8.2877	5.8424	10.3909	10.2844	6.4656	5.9006	5.958	5.8992	5.5661	5.9554	5.8534	6.201	6.0885	5.618	5.3836	6.2938	5.7852	5.6344	5.7481	5.8919	6.6622	5.8605	5.947	6.2364	5.6979	5.7858	6.0699	6.0406	5.977	5.6948
EA_G__APOD	8.4131	4.576	6.0208	4.5205	5.0811	4.8545	4.5494	4.4454	6.7594	5.1462	5.4408	4.5387	5.4509	4.809	4.775	9.674	4.7458	4.3722	4.5508	4.2252	6.0782	8.385	5.8081	4.9883	11.311	4.705	6.0232	11.749	4.6147	5.2095	4.0595	4.3242	4.9073	4.892	4.5929	9.5483	10.9572	12.4719	5.2026
EA_G__PRLR	7.9719	9.1863	9.9247	4.9871	3.8677	6.8392	7.9902	5.3778	9.5253	9.6628	4.8155	3.4702	5.1603	5.2633	8.7529	8.3946	6.1661	3.8892	6.4743	3.5713	6.7331	8.7018	9.5475	6.0702	7.3558	3.9288	10.1469	8.5814	5.5031	7.4217	6.6645	3.7377	4.6704	4.4364	9.0648	8.0691	9.1934	8.9712	5.9926
EA_G__CAPG	6.4351	6.032	8.1392	9.1905	7.9458	8.0487	6.5024	6.8346	5.99	7.504	8.1058	7.3945	9.9357	6.7679	6.2179	8.2965	6.1711	8.3605	10.4881	9.7125	7.3977	7.1072	6.146	8.9721	7.3892	9.826	6.5516	9.4092	9.3031	8.3112	9.4393	11.5451	9.4273	7.2054	6.5292	6.3742	5.8719	6.3248	6.8779
EA_G__QPRT	9.6019	8.9451	8.3396	6.9316	7.0026	5.7749	6.3975	6.6229	9.5699	7.932	8.8023	6.6334	5.9404	8.6075	8.4661	9.5354	8.7244	8.0401	10.1308	7.2664	9.5191	9.4338	8.7666	9.1491	8.806	6.3479	10.1789	9.9551	9.0966	7.9166	9.2289	6.0334	6.343	6.3583	8.9326	8.5354	9.4007	9.4188	6.6143
EA_G__CCND1	9.3268	9.3457	9.8957	7.3944	6.6398	11.4027	8.7569	8.04	9.2783	9.2807	5.4172	9.3223	9.806	10.8656	7.3837	9.2462	8.0863	8.1412	8.9279	9.0659	9.317	9.3855	11.9805	8.5732	9.7956	9.4326	9.5072	10.9368	7.7167	9.1561	7.8883	7.8095	6.6524	8.9671	8.6034	8.793	9.4889	8.9741	9.6589
