Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
U133A__HLA-G	8.6143	7.7347	8.7024	8.5798	9.5409	8.7046	9.0598	9.5749	11.289	9.1028	10.2618	9.77	10.21	9.8283	9.3209	7.4684	9.2845	10.1384	11.4304	8.9859	7.7501	8.5791	9.3896	11.228	8.8795	8.9788	9.256	9.8145	8.2706	8.0526	9.6119	9.275	9.4308	9.6748	10.8822	8.9972	9.6493	9.7121	8.3077	7.5665
U133A__ABCC5	6.6226	8.0779	7.8607	7.1449	7.6776	6.8408	8.5504	7.4246	7.1746	9.5645	7.9864	8.1341	7.9396	7.1158	7.6418	9.4831	7.1401	7.208	8.2613	7.2144	8.3302	7.7177	6.6558	7.0907	7.519	6.9575	8.0859	7.7665	8.0521	8.6714	6.9314	6.6645	6.9156	10.0979	6.9137	7.4944	8.5541	8.0903	7.0478	7.2983
U133A__IRF9	6.567	7.2426	7.1816	6.4215	10.1828	7.6644	6.1171	8.3291	8.6936	7.7642	7.5971	6.2636	9.3201	8.0265	9.4517	6.8795	7.5318	7.4596	9.766	6.7956	6.2872	7.9939	8.6157	7.9128	7.9232	6.4818	7.5838	7.5909	6.9253	6.1693	6.8573	6.9026	6.0417	6.8427	10.2102	6.3509	6.8277	7.4402	6.3875	6.0362
U133A__PDLIM1	5.7644	8.4756	8.1934	8.1491	8.0434	10.2395	5.7546	8.6414	8.1691	8.872	8.3891	10.8751	9.4136	9.0246	5.0072	10.4489	8.0425	7.2202	8.911	7.2089	7.1798	7.978	5.1613	8.0366	8.0859	8.5789	8.3603	8.9414	5.3044	7.7921	7.6047	8.9463	8.3623	5.2351	8.0587	6.0616	8.3791	9.0974	7.8274	8.0082
U133A__ARHGAP29	6.5591	7.3738	8.7035	6.2753	7.3346	5.1276	9.1535	8.4873	7.8088	7.8577	6.566	7.504	9.7342	8.5161	6.1598	8.5221	7.9414	9.0108	9.1722	8.6052	4.3682	5.6539	7.3205	7.0369	5.82	9.7782	5.1043	7.1398	7.2637	7.1956	7.847	8.5281	6.4753	7.0779	9.6668	7.1987	6.1439	8.6984	4.2457	6.1199
U133A__SLC9A6	6.4055	7.0008	7.4995	5.2708	4.3228	8.7858	4.4773	6.7706	7.7514	4.2629	6.1563	7.1961	7.6515	7.1268	4.8025	4.3595	7.158	6.999	7.5777	6.9	5.9238	6.2413	5.5375	6.5963	5.6565	7.8945	6.3295	4.5921	4.9043	4.9311	6.407	6.7893	7.3206	6.1149	7.724	6.3706	5.8012	6.5172	6.2142	6.5391
U133A__CDK19	5.3304	5.8767	7.3963	6.7732	5.9929	6.3736	5.4995	7.5978	7.2361	5.3764	6.264	4.9381	6.5455	5.2812	4.2043	6.3578	5.7137	5.5056	7.5181	5.0315	5.9824	6.1391	7.2497	6.6508	6.0127	5.577	6.7105	5.9518	5.812	5.4341	5.7714	5.663	4.4614	6.498	6.2092	5.8676	4.777	8.6431	6.62	5.6184
U133A__GPX2	6.8577	7.8843	6.9012	6.8753	6.5148	6.3724	6.8572	7.12	6.8203	6.6785	6.7852	9.9652	7.5593	7.833	7.36	7.5015	7.9281	6.7967	6.4106	6.7065	6.6238	6.4205	6.7016	6.5389	8.3512	6.4839	9.7852	7.5357	6.9365	7.0079	6.7014	6.7308	6.7698	7.4248	6.3658	7.3312	6.2449	6.1697	6.6815	6.5585
U133A__PCTP	6.8289	5.8709	6.6213	8.1664	6.5612	5.1232	5.3802	9.315	5.6513	6.7262	7.3226	6.3297	6.1024	7.302	4.663	5.2925	6.4219	7.3253	7.702	5.4234	6.3381	6.567	6.1451	7.3843	7.1665	5.6885	6.5636	6.578	5.4163	5.4077	6.0721	6.2962	6.41	6.199	7.0656	6.584	6.8001	6.5245	6.6801	6.402
U133A__ZNF238	6.9296	3.6984	8.1969	7.2027	8.8738	7.2082	4.9441	6.3162	7.6741	3.3173	8.3037	5.0206	6.5104	5.7289	3.9919	7.2653	6.3071	4.5975	6.9448	5.6544	3.3741	3.5935	4.9768	7.0301	5.758	7.4201	6.4543	4.1213	4.6561	3.2385	4.123	5.4605	4.4145	7.3186	7.2616	7.108	4.5444	8.6131	7.2481	4.7902
