Cell lines	600MPE	BT20	BT474	BT483	BT549	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB361	MDAMB415	SKBR3	SUM1315MO2	SUM149PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
EA_G__SLC26A2	7.3791	5.7419	4.2698	5.1857	6.0136	6.5436	4.9585	6.1319	3.9399	7.077	8.2402	5.6422	6.9328	5.1586	4.6197	6.0468	6.6715	5.0102	7.0947	4.8452	7.1932	6.8703	7.0172	7.4635	4.7869	6.5838	7.8536	5.1911	5.0668	6.9336	5.5745	6.1295	4.5786	5.2931
EA_G__SGCB	6.7863	3.4677	4.8878	5.9552	7.0929	6.6802	6.2512	7.1509	3.04	5.2005	6.2462	5.4632	4.7161	5.1028	3.212	6.5926	6.4121	3.5149	6.8	4.5618	4.753	7.3587	4.7077	3.4655	4.3251	7.1462	5.8862	4.8611	3.9321	5.3476	4.7311	6.1989	3.9669	4.9488
EA_G__C10orf38	6.2483	5.3839	5.3107	5.1599	8.0693	7.2034	9.0347	6.0324	4.802	4.8767	7.5243	7.2618	6.0726	5.855	5.238	6.5257	7.1925	5.3892	7.1998	5.5845	5.4859	8.3927	5.2761	4.6143	5.3883	5.3581	5.9375	5.5203	5.343	5.5036	5.4112	5.5978	5.3111	5.3004
EA_G__CDYL2	7.3631	8.1386	8.2646	8.9194	5.849	5.272	5.5548	5.3771	8.4468	8.5447	5.8033	5.7483	5.7744	7.8384	8.1388	5.639	5.5573	5.97	6.2366	8.7179	8.367	5.4427	8.487	8.1416	7.1617	5.9508	5.5106	8.3072	6.9069	7.6963	7.086	7.575	7.7872	6.4997
EA_G__CRABP2	7.4296	7.8329	8.2111	10.912	4.4698	8.6534	10.6063	6.122	10.0004	9.994	6.1523	5.359	9.2933	9.5237	10.1017	7.2807	7.095	10.0598	5.7308	10.0904	10.2988	5.4326	6.9694	9.4935	8.4814	6.0872	6.2944	9.0317	7.6666	8.6722	10.4906	11.0984	7.8585	8.5211
EA_G__TMC5	8.6421	6.7603	8.3275	4.9412	4.1477	4.8611	5.9953	4.1582	7.3579	4.1254	4.0837	5.6135	6.3803	7.7465	6.8626	4.5594	4.2029	6.964	4.1799	4.8592	5.0648	4.0229	5.2922	8.1657	6.1085	4.3188	5.4765	7.1972	7.0375	6.6136	4.9861	5.6506	4.7505	4.2989
EA_G__FAM59A	7.1098	6.5341	7.2024	7.3453	4.8712	5.9347	5.9744	5.6379	7.3743	6.2539	5.5819	5.5316	4.9289	7.2641	5.9312	5.9031	4.8528	7.5857	5.9462	6.6224	6.0759	4.0473	7.0464	6.7735	7.0846	5.2325	6.4577	6.2579	7.22	6.1833	5.4105	6.3264	6.358	6.649
EA_G__KLRG2	6.9239	6.5067	8.4057	7.5283	6.4	7.8073	7.8405	6.0509	7.7071	6.9473	6.3701	7.4151	7.5596	6.6501	8.4247	7.0207	6.3157	7.1726	6.2275	7.2573	7.355	6.4254	7.9256	9.0586	8.7105	6.5291	6.5715	8.0547	7.249	6.6918	7.2045	7.9626	8.9974	8.1477
EA_G__GALNT7	9.6749	7.2078	8.5231	7.2484	7.1488	7.5228	6.4385	6.8623	10.4321	6.6273	7.0021	6.6653	8.244	8.7332	8.5352	6.033	6.1371	8.4471	7.1081	7.7906	7.5339	6.9762	8.9969	9.1677	7.6935	7.7995	7.7606	9.9007	9.1024	9.738	7.0766	7.5746	8.5319	8.2358
EA_G__ADAMTS1	3.866	3.8497	4.9445	6.1346	9.1875	7.4012	7.7787	6.7049	4.7688	8.5666	7.7289	8.5801	4.9283	4.8579	5.3417	6.6879	6.7456	5.8341	9.9661	4.0274	4.2892	7.0998	8.3916	6.7812	4.1083	5.9809	8.316	6.4922	7.0801	4.6768	4.1177	4.0955	8.0823	6.4513
