Cell lines	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1419	HCC1428	HCC1569	HCC1806	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751
EA_G__TMC4	6.5461	7.9944	6.2488	6.0186	7.9932	7.4768	6.8929	8.9858	7.8696	7.7434	7.1081	8.0437	7.3004	6.301	9.6454	6.3986	8.2183	9.2347	6.5111	6.0146	8.9193	9.6407	8.511	6.7853	6.3755	8.8233	6.0398	8.8164	8.6888	8.9131	8.8138	7.8806	8.7088
EA_G__METTL7A	6.9604	6.7362	7.0326	4.438	7.0951	4.6015	6.7344	6.5581	7.3135	5.4968	4.9351	7.305	6.3376	5.6256	7.1115	4.6054	5.9996	5.7336	4.9239	4.5007	8.7566	8.0203	6.7689	7.6197	4.517	6.9958	6.3483	5.7368	6.5321	8.0299	7.8142	6.044	7.2418
EA_G__FMNL2	5.0374	5.7022	4.32	6.8369	4.8322	7.2053	7.5584	4.2885	5.597	6.4228	6.6403	6.2067	7.1766	7.6335	5.0551	6.8236	5.6056	5.0364	6.5388	6.9875	4.9813	3.8189	4.6063	5.199	8.2269	6.307	6.8317	4.3607	6.313	5.0518	4.1588	5.4521	5.0902
EA_G__KIAA0644	7.8892	5.8869	7.22	5.0429	7.1733	4.6612	6.9032	6.0241	7.1183	5.0476	5.3085	7.1336	5.2546	5.1951	6.8486	4.7598	5.9194	5.6884	4.7568	4.8293	6.4892	6.3319	6.5456	7.9545	4.9716	5.2662	5.3064	7.3471	7.7024	6.1171	6.8002	7.5086	6.8457
EA_G__MOSC1	7.7244	5.0453	7.4006	5.2325	8.0611	5.6455	6.4694	7.5824	5.2939	7.148	8.4058	7.7554	5.052	5.7615	5.5529	4.618	8.3247	7.9413	5.0039	7.9699	7.5204	7.4566	7.7944	7.1235	5.1006	9.8581	5.3711	7.2209	7.0558	6.8277	7.5493	8.2886	7.739
EA_G__SLC39A11	7.6914	6.4328	7.5502	6.5108	9.2791	6.8888	6.8928	7.5156	8.6527	7.168	6.3672	8.1172	7.0266	7.0961	7.8446	6.3549	7.9397	7.9691	7.3801	6.5379	7.9556	9.0344	6.4632	8.3686	7.2705	6.1905	6.1289	7.8538	8.5277	6.7183	7.9721	9.1536	9.6432
EA_G__TIMP1	7.5359	10.0064	5.9828	10.6076	6.2943	10.4313	6.0579	5.6373	10.8903	11.2532	9.662	6.355	9.3984	9.7969	7.911	10.4885	9.3202	10.1272	12.1036	9.8061	8.7353	10.5777	7.4083	6.8389	11.3341	11.0263	12.4699	8.2387	7.4412	9.8428	7.7003	11.5617	5.4094
EA_G__FAM126A	4.5794	7.043	7.153	8.6294	6.0958	6.8821	7.6573	3.5746	4.3202	7.0721	8.1954	4.5708	7.4622	7.9965	6.1561	9.3766	5.7628	4.3029	9.1447	7.9583	6.4401	5.131	4.7284	4.2539	8.47	5.9557	9.0501	6.6312	5.0043	6.138	7.4823	6.8191	6.6976
EA_G__MLPH	8.9613	8.6126	9.4537	7.2434	8.8593	6.8868	6.8657	10.2061	9.2145	6.1493	7.1993	9.408	7.7663	8.4935	7.6096	7.3314	9.3005	9.7117	8.2664	8.0714	10.0726	9.6628	9.7087	9.4819	6.3658	8.0179	6.4396	9.4011	9.1543	9.9994	9.2638	8.9017	10.4752
EA_G__GPR81	6.0516	3.5022	7.939	3.5141	6.9006	2.868	3.5631	8.6916	6.629	4.3242	6.9887	7.3637	3.5687	5.2175	4.6384	2.9743	7.6206	7.1395	3.373	4.1802	8.6643	7.4676	6.8526	6.064	3.7546	3.8905	2.7273	7.8144	4.8618	5.8669	6.462	5.8118	6.8539
EA_G__CAV1	4.5287	7.4287	3.8568	9.9104	3.712	9.7581	4.2532	3.8194	5.4549	3.8847	9.7682	5.1202	8.3996	9.4259	7.3034	10.2473	5.8282	4.0921	9.7323	9.5902	3.6008	4.9392	4.3121	6.5569	9.6999	9.2782	9.5947	3.7722	4.5306	4.1113	3.97	4.1412	3.5529
EA_G__MYO5C	7.8463	7.275	7.9832	4.007	8.6099	7.3812	6.793	8.5988	8.705	3.62	5.4571	7.7686	7.586	4.5314	8.1173	4.1085	9.2621	8.7398	3.747	7.0582	7.7598	8.3844	7.2253	7.5109	3.8417	6.0904	3.955	7.9313	7.7172	8.2857	8.322	7.6815	8.492
EA_G__ABCA12	7.364	7.1095	6.8238	3.3572	3.9202	3.4709	3.3851	8.1267	8.8693	3.3669	5.5671	6.998	4.6112	3.2091	5.7931	3.2291	6.2715	9.5323	3.1101	3.3908	10.1166	5.9646	7.5299	8.0032	3.6763	5.1243	3.733	6.1352	9.0577	7.3809	7.9179	9.511	9.895
