Cell lines	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1419	HCC1428	HCC1569	HCC1806	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751
EA_G__ANKH	6.1321	8.0863	5.4319	7.5366	6.1278	8.4813	9.0894	4.6888	6.49	7.8379	8.1721	5.1636	6.8831	6.3625	8.2345	8.8695	6.0957	5.1663	7.9234	7.4819	6.675	4.8461	5.6252	6.0369	7.6275	6.1743	8.3735	7.4034	7.0396	7.2997	4.911	7.1822	5.0068
EA_G__ERBB2	12.3532	8.5748	12.3566	7.7806	9.1247	7.7491	8.9829	12.6526	8.5876	11.3467	7.4832	10.2349	8.7512	8.1322	8.6875	7.0841	8.5271	8.7417	7.9542	7.3805	11.4924	9.0715	10.6304	12.0992	8.1194	7.4859	7.6326	8.7176	12.6826	8.6454	9.1608	12.2493	10.0611
EA_G__TRIP13	8.1416	9.0187	8.2321	8.6364	8.1903	8.6113	8.0736	8.1179	7.9184	8.4456	8.9683	8.1894	8.5695	8.627	8.8367	8.9072	7.4412	7.6605	8.9576	8.199	7.7935	7.3926	7.5408	7.639	8.0686	7.5311	9.5113	8.3058	6.3098	7.6794	8.8534	7.6143	7.189
EA_G__C4orf34	7.5189	6.7831	9.2875	5.2272	9.1582	4.721	5.3837	9.7532	7.4229	7.588	5.1128	9.1999	5.4193	6.848	8.0783	6.629	8.3072	8.1002	6.5726	5.1194	9.9662	9.103	8.0987	7.3907	8.1597	7.0955	5.3506	8.451	9.2518	9.4196	8.058	8.6313	9.0896
EA_G__GPR160	6.9782	5.0229	8.0657	3.3556	7.1076	4.229	4.4657	9.3959	7.726	4.058	3.7191	6.9804	4.7694	3.446	5.8982	3.5785	7.7744	7.445	2.9737	4.3088	7.3759	8.3753	7.7969	7.1789	2.9307	3.3042	3.8572	7.0867	5.9659	8.1528	7.8124	7.3001	7.6953
EA_G__COL4A2	6.061	6.9582	5.9927	9.1358	5.6938	8.5657	5.8659	5.706	5.736	8.5431	8.8082	6.3447	9.6397	9.1724	6.1702	9.4784	6.189	6.2593	11.3453	7.8284	5.8093	5.7943	6.9666	6.5292	6.5386	8.0359	6.3432	6.0159	6.3401	6.3543	6.1933	5.9988	6.2438
EA_G__GPR176	5.0352	5.7606	4.458	7.1887	6.8504	7.4156	4.6433	4.2781	5.7714	5.2195	6.5779	4.4455	6.8578	6.1532	4.8029	8.7365	5.2116	5.7415	7.3208	4.5928	4.5879	4.3922	5.6259	5.0005	7.254	6.2727	8.3008	4.8269	4.2057	5.2999	6.1686	4.6943	4.4512
EA_G__ST3GAL2	5.2182	6.5232	5.461	7.5988	6.4466	6.0393	6.1556	5.7459	7.7065	6.7122	6.5264	5.6583	5.9653	7.54	6.4734	7.1447	5.7205	5.275	8.9673	7.274	5.3718	6.8043	6.2369	5.6945	7.4105	6.2584	7.0882	6.2638	5.539	6.4992	5.8892	6.0176	6.7239
EA_G__DEPDC6	6.6941	5.2717	9.1632	4.9752	7.5121	6.4015	6.416	8.3884	8.0948	6.8441	4.7516	8.5968	6.2251	6.0457	7.4547	9.2139	6.8396	7.695	7.3615	5.541	9.0918	9.6198	7.432	8.03	6.4449	6.1382	5.6161	7.127	9.8221	6.946	8.0294	8.5831	6.7683
EA_G__ESR1	5.949	6.0559	7.1801	5.6039	8.4071	5.601	5.7796	7.5436	9.7789	5.8332	6.1272	6.2441	5.6586	5.4846	6.0553	5.6479	8.4338	8.7397	5.3713	5.413	8.6907	8.0188	6.1198	5.8501	5.7046	5.9209	5.8721	5.7063	6.0028	7.9154	8.6844	8.1235	6.081
EA_G__ABCC11	5.0771	4.4868	8.9135	4.3409	6.068	4.3488	4.5022	9.0536	6.4968	4.3846	4.531	5.5215	4.3978	4.2837	4.7067	4.5984	4.5406	4.9815	4.152	4.4954	7.3019	6.4495	9.0235	6.726	4.427	4.9806	4.4854	9.756	7.5508	8.4576	9.3681	8.0366	9.5692
EA_G__MB	7.1763	6.3524	7.2958	5.2965	6.4939	4.99	4.7298	6.6331	5.3755	4.4841	4.3542	8.1329	5.7617	4.0266	5.7767	4.4095	5.9646	5.6589	3.8807	4.2898	7.3515	7.1651	5.9651	7.5111	4.3969	4.8076	3.9391	5.781	6.2852	6.3506	5.5164	6.4085	7.0086
EA_G__CALD1	5.3745	6.4921	4.0059	6.9477	4.1231	6.8428	7.5601	3.9074	4.2596	6.0823	5.2906	5.3524	7.4511	7.9533	6.2922	9.3633	4.4971	4.3691	9.1755	6.51	5.4997	4.7735	4.7727	5.7915	6.303	6.8236	7.1648	6.5636	6.1459	5.5227	4.6722	4.2721	4.3237
EA_G__KRT19	12.4257	11.7226	11.8694	5.3088	12.0071	11.0092	10.8661	12.4057	12.4572	5.4234	11.375	12.625	10.7132	4.9996	11.9989	5.3899	11.9541	12.1304	4.8359	8.5044	12.135	12.3305	11.3655	12.6503	6.0673	11.4019	5.1683	11.8464	11.3409	11.6161	12.478	11.9621	11.4901
