Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
EA_G__KIF13B	8.0514	6.6768	5.72	8.2173	7.0495	5.9885	5.3774	5.5277	6.7391	5.8701	9.4643	6.3293	6.1442	5.5216	6.1503	6.5938	6.9649	7.6732	5.9173	6.9154	6.0326	6.0897	6.5786	6.8171	6.5239	8.4875	6.3783	6.9655	7.7678	5.9139	6.7406	7.8265	6.2576	5.5322	8.7327	6.6436	7.1801	7.4504	7.2131	7.1678	7.2438
EA_G__EFHD1	9.6927	10.4897	6.7838	10.8877	11.0855	6.4363	11.3552	8.4531	10.9246	7.5588	10.9769	10.5969	8.0806	6.5687	7.1335	7.0749	11.1351	10.7681	8.1233	6.512	6.812	6.1904	7.6784	9.8691	6.8011	10.6784	7.1188	10.1568	10.3331	10.1827	10.9819	6.6063	7.3525	6.5382	10.5168	10.2061	10.8369	10.3846	11.0058	10.2031	9.4912
EA_G__SLC19A2	7.8428	7.7834	6.555	8.6972	9.2989	5.8688	8.05	5.9865	7.3949	6.009	8.1815	10.1415	8.0242	6.2908	7.3019	7.0936	7.4043	7.6557	7.2335	6.9579	6.8503	6.6471	7.8194	8.4896	3.9396	8.397	7.9704	7.8213	8.2376	7.1089	7.2999	6.8343	7.3796	7.4287	7.7499	6.9377	7.6287	8.3672	8.0226	7.4034	7.9977
EA_G__NPR3	5.053	6.2791	4.3066	8.8301	6.5755	7.1153	7.7103	6.7764	7.8595	9.2488	4.0526	4.1831	4.8551	4.542	3.9992	4.2357	7.6376	8.6244	6.8258	8.5735	8.2467	7.9171	4.6729	4.8031	8.9189	5.6197	4.4893	5.0461	4.2088	5.8023	6.4772	4.3789	4.7253	6.205	5.898	4.9976	4.9285	4.4669	5.0264	4.9998	4.4551
EA_G__CPAMD8	7.0478	6.0825	7.2596	7.2388	6.7996	5.6587	6.0427	5.6522	7.7413	5.7791	6.8633	6.049	6.0436	5.9711	6.7098	6.1118	7.7258	8.4635	5.9444	5.3842	6.5933	5.5284	6.2974	6.322	6.7371	8.6424	5.4769	7.4537	5.9555	7.027	6.3632	5.7861	6.2587	5.9367	6.3406	6.9385	8.6235	8.1872	6.9222	6.7197	6.1828
EA_G__MFSD2	7.2966	7.7164	6.0506	8.6138	6.477	6.0257	6.2412	6.2149	8.0212	5.8516	6.1562	5.419	6.3786	7.6426	6.6083	6.4054	7.5623	7.0198	6.887	7.071	7.4308	6.0344	5.6524	5.7796	6.7033	7.2184	7.8895	5.9641	8.505	8.7674	8.0289	6.471	8.3094	7.1014	10.8495	7.2966	6.0039	7.0495	5.3309	6.7105	6.8767
EA_G__KLK8	5.603	5.4796	7.03	5.5998	5.8405	5.5788	5.5953	6.4393	7.535	5.6125	5.5485	5.4818	5.7206	6.9128	7.8264	8.2141	5.8213	6.7011	5.7217	5.5303	5.979	5.4428	5.856	5.6216	5.4527	5.6829	5.5983	5.2973	5.6231	6.3025	6.042	5.828	5.8264	5.921	5.6875	6.9526	6.0285	7.1964	5.9249	6.2284	5.5943
EA_G__THBS3	6.7324	6.0947	5.8859	6.298	7.4232	8.4717	7.3067	8.3699	6.6406	6.5718	6.4197	6.241	6.4915	5.3902	6.1364	5.9713	6.8999	7.4373	6.2119	9.5412	7.2421	6.3508	6.8698	6.6416	7.1837	7.1819	5.7001	6.4028	6.6595	6.9651	6.0215	8.3054	6.3199	5.7751	8.7179	6.4831	7.1969	7.7554	7.41	6.8019	7.1428
EA_G__MIPEP	7.2902	6.7835	7.1329	8.3486	7.9182	7.9982	7.4577	7.0585	6.8196	6.9337	9.1829	6.9938	7.2814	6.5371	6.9973	6.836	6.8542	7.4639	7.5026	7.2798	6.5412	6.6633	6.846	7.1347	6.2694	7.3512	6.953	9.0417	7.2708	7.9343	7.1788	7.671	8.1321	7.2004	6.8241	6.9328	7.2435	7.6996	7.7388	6.692	10.207
EA_G__HIST1H3J	8.6515	9.0732	7.0677	4.8538	7.1076	8.9322	7.9819	4.1117	8.3825	9.0427	5.1653	5.3216	9.1621	5.2914	9.125	8.6605	5.4782	7.9351	9.3944	8.833	9.2544	5.1059	8.3425	8.4561	8.6272	7.8093	9.2246	9.3873	9.0946	8.8519	8.5229	4.984	5.5873	8.9926	5.5638	8.7625	9.0177	7.4142	9.6139	7.3771	9.1797
EA_G__PROSC	8.4071	6.9543	8.2249	7.7791	9.4024	8.2912	9.0613	7.4837	7.3607	7.3428	8.2497	8.1848	8.5838	8.105	7.1638	7.2847	8.1915	8.4134	7.7126	8.3445	6.9349	7.8458	8.0721	7.6868	7.8446	7.8482	7.7727	8.3526	8.0222	7.7677	7.2703	8.1236	7.7901	7.9593	7.9341	9.7352	8.1248	8.1056	9.0744	6.9998	8.8766
EA_G__CLCA2	3.7227	5.4736	3.9769	9.3552	3.0331	7.4614	6.097	3.0589	6.5649	3.8866	3.2461	9.319	3.2042	6.093	7.2526	4.7088	4.5663	7.1879	5.0093	3.2672	3.3105	3.8089	3.6486	3.4346	3.1401	7.5734	3.3498	10.4045	11.2438	10.9482	4.7001	4.2562	4.0675	3.7224	4.6584	10.2878	3.5201	4.2438	8.0633	6.1352	4.1802
EA_G__PLOD2	6.1911	8.3419	8.1358	7.0175	6.9131	10.2933	6.8168	7.2038	5.3942	8.7914	7.1322	7.4866	8.0339	6.5989	8.2857	9.3417	7.8623	4.782	8.6845	9.2717	8.4052	9.1792	7.4818	7.5432	9.0537	5.9173	8.1487	7.3068	7.3589	6.2115	7.2225	7.589	9.2253	8.3727	7.0657	7.2993	8.5125	7.6262	6.8806	4.7021	7.1493
EA_G__FZD7	5.6238	4.9595	7.5193	5.0229	6.7963	5.7581	5.4522	9.4585	5.8364	7.2116	5.7953	7.0174	7.2477	5.2591	6.6431	5.8451	4.2904	4.8257	5.7462	6.7231	7.1561	8.2216	6.4394	4.9982	7.5659	5.5336	6.8319	5.2781	4.3631	5.6368	4.8198	6.1794	4.7808	6.6816	5.9467	6.1188	5.3736	5.83	4.6495	5.4353	5.1116
EA_G__GAL	5.663	5.1076	6.8834	5.6671	6.8518	5.351	5.6496	6.9161	7.531	5.9946	5.0022	6.2855	9.8244	9.3584	8.1175	5.8454	5.2346	6.1611	8.1456	7.1952	5.5051	4.9659	6.3427	6.921	4.8406	5.4769	4.6978	6.0197	5.0283	5.7312	5.6401	5.2223	6.4893	5.6417	6.0155	5.5239	5.4186	5.8586	5.6344	5.679	7.9118
EA_G__GABRA3	6.3378	7.195	7.4992	3.5926	6.5108	4.0153	3.9212	3.5361	3.5182	3.6624	3.0698	7.5554	3.5344	5.5103	3.5005	6.405	5.5881	6.679	7.4329	3.515	4.5329	6.819	3.8283	3.9856	5.4322	9.5611	7.2023	3.9977	5.971	4.458	6.5951	7.6812	3.8109	6.4307	10.7726	7.363	4.8882	3.7147	5.777	3.8355	6.1744
