Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
EA_G__EVI1	5.6366	5.0811	6.0671	4.0497	4.4005	3.903	4.6795	4.5918	3.9043	4.6136	4.1728	3.8124	3.7477	6.6586	6.375	6.937	6.7405	7.217	5.6055	3.7139	7.5972	6.3319	5.4193	5.4397	4.2674	7.1328	7.6012	5.1023	5.962	4.6646	5.7564	3.979	4.8133	7.3787	4.8373	6.4312	6.407	5.5098	5.844	6.1673	4.9089
EA_G__LOC349196	8.0785	5.8941	7.1981	6.0111	6.4224	5.6908	6.2716	6.8299	7.6618	6.563	6.8093	6.4141	6.9354	6.3984	6.0345	6.728	5.7727	6.0867	5.8519	8.2137	5.7968	5.9554	7.1532	6.387	6.5907	9.0873	6.6802	6.4903	6.2809	6.5531	6.1947	8.5725	5.9682	5.9493	6.1833	7.1536	6.0121	8.2888	7.5392	6.642	7.1371
EA_G__DNMBP	6.264	5.6061	5.9029	7.4671	4.629	7.5821	6.0355	6.771	5.1335	6.3707	6.1806	6.5786	5.9325	7.7479	5.3193	6.346	4.4996	6.2645	6.8332	6.0247	5.8245	7.7047	5.5747	6.2957	6.7426	6.1111	9.5674	7.7793	7.3264	6.7295	5.3964	7.8646	5.9863	7.7632	6.7723	6.519	5.1557	5.326	6.8578	5.6168	4.9304
EA_G__IL1R1	5.2433	6.2627	5.8067	6.4215	5.9244	6.9492	7.1119	4.9937	5.9677	7.8353	3.6556	3.6594	6.2725	4.2437	4.4349	5.2934	6.9309	8.6186	5.4512	6.8552	6.9971	6.0492	5.4991	5.0264	6.6671	6.0735	4.3427	7.0316	7.5953	9.5627	5.5494	6.534	5.8414	5.9406	5.4326	5.9686	5.867	5.7212	6.7576	8.4675	4.3297
EA_G__KIAA1754	5.6979	6.2297	6.5357	5.8518	5.2852	6.9463	5.4686	6.2887	5.9089	7.0913	6.134	4.8143	5.9613	7.0933	6.3267	6.952	5.9693	5.6172	6.357	5.9586	6.7698	8.4302	6.1948	5.7878	6.2668	5.807	7.5315	5.084	5.6017	5.8272	6.0504	8.4361	6.3043	7.7256	7.0121	5.8607	5.6484	5.4141	5.5	5.9996	5.3359
EA_G__ELN	6.4868	6.6845	6.5721	6.6019	6.4528	6.4104	6.4611	6.5707	10.8157	6.4814	6.2034	6.3682	6.4975	6.7654	6.4598	6.5872	6.6762	6.6687	7.244	7.0337	6.7653	6.3472	6.7831	6.6773	6.3791	6.7574	6.5574	6.296	6.2615	7.1516	6.7202	6.5708	6.8303	6.5289	6.4699	6.7858	6.5157	6.6545	6.5571	7.1778	6.5757
EA_G__GPC4	5.1104	3.5621	5.2864	6.2868	5.1995	3.7073	3.8111	8.8753	5.5451	7.9676	6.8208	3.8903	5.23	3.9947	5.3175	5.8796	4.2999	5.083	7.0786	4.5048	6.9533	4.8186	4.7221	6.6727	3.5094	6.5707	3.6208	4.4385	4.4442	5.4234	3.7719	6.4853	4.2966	3.9069	7.6735	5.5025	4.9544	6.9826	4.2425	7.119	4.573
EA_G__IGFBP2	8.5819	7.265	8.5701	9.2045	10.6598	5.7406	9.0647	7.9946	7.7249	6.7037	9.6491	9.7208	8.1824	6.5365	7.6499	7.3055	7.1166	7.7549	8.2099	5.7756	6.114	6.1845	8.9304	9.2132	7.7601	7.9848	5.934	10.1046	8.3743	9.0101	6.3136	5.7437	6.0489	6.0078	8.2235	8.6306	8.9587	9.4836	8.4837	7.9908	9.1231
EA_G__CALCOCO2	8.4692	6.6383	7.7069	9.6562	8.6952	7.8574	8.6576	8.2623	7.6502	7.7392	10.6594	9.3799	8.0394	7.4656	7.6139	7.5792	10.6111	7.8504	7.8448	8.7402	7.8462	7.8244	7.7946	8.405	7.8819	7.6837	7.8642	9.6198	8.5167	8.2891	6.2432	8.685	7.1097	7.8718	7.3404	8.7228	9.0431	9.6396	9.2757	9.8843	8.839
EA_G__CNKSR3	5.06	4.3108	5.5452	5.9153	5.1754	6.9733	4.262	7.7174	7.0384	6.7579	7.093	6.4602	7.8627	5.9133	5.4103	6.6012	4.065	6.5838	5.3453	5.8715	6.3588	7.1489	5.4549	6.0796	6.9354	5.1829	6.2601	6.0659	4.2492	4.7517	4.5474	6.9434	4.9648	5.893	5.3603	5.3887	3.7367	5.9269	4.9541	5.8103	5.8512
EA_G__NNT	8.9594	4.498	6.2656	8.1961	7.7612	9.1154	7.1893	7.8733	8.3974	9.0731	7.9295	8.0816	8.3827	8.8736	8.8486	4.1845	7.867	9.8433	8.4993	8.7518	8.5517	8.91	8.0412	8.4446	10.364	8.2588	8.8528	8.1478	7.5189	5.9494	5.547	9.6096	7.8752	9.5736	4.8242	4.7976	9.6352	8.1122	6.3612	7.4801	7.0369
EA_G__PTPRM	6.1723	5.206	6.3564	5.8235	4.0196	4.3371	5.1707	6.9291	4.1798	6.622	4.0832	3.8877	6.3608	4.1431	5.9112	5.6496	4.2566	3.9882	6.5661	8.2248	6.089	7.8979	4.417	4.1385	7.2107	6.9261	8.0141	5.921	4.5732	5.0201	4.3981	6.7359	8.1968	7.0189	5.2382	5.3613	4.3122	5.5276	7.1118	4.8458	5.9902
EA_G__IFI16	4.0877	3.3135	4.3335	3.0329	2.8529	3.211	3.0887	3.0011	4.1357	7.8109	2.953	3.1713	6.782	7.3153	6.8005	7.608	3.2238	3.3307	3.4206	7.3667	8.5168	6.9341	3.2072	3.5063	7.0177	3.9298	6.146	2.9532	3.8313	3.6445	3.521	3.32	6.6117	7.8237	3.212	3.8013	3.6526	3.1544	3.128	3.5191	3.2743
EA_G__MOCOS	6.3435	6.217	5.8673	6.3988	5.7591	6.0636	6.2536	6.0695	8.1695	5.8245	5.7636	5.178	6.2517	6.3625	5.9401	8.0116	7.2424	5.835	7.0253	8.2061	8.3419	4.2747	6.5318	6.7043	4.9152	6.2279	8.5545	5.9406	5.3174	5.7299	6.0836	5.0475	9.579	6.7561	5.8692	4.8174	6.2956	4.8126	6.9694	5.1227	7.8283
EA_G__SRPX2	4.1973	4.7095	7.9005	4.3877	4.2742	4.2844	4.0862	5.4767	4.4034	6.441	4.0076	4.3344	4.1716	5.7482	7.5426	8.5976	4.5518	5.2662	6.331	6.7143	9.6519	7.1681	4.5453	4.3283	4.4019	6.2141	5.4315	4.1632	5.0324	4.908	4.8403	6.884	6.2682	6.3809	4.7994	4.7459	4.5637	4.38	4.4076	6.9111	4.1805
EA_G__TMEM16A	5.2908	7.2916	6.4055	9.4332	8.3635	4.9702	5.3162	9.8919	8.7183	5.2833	9.0278	8.6188	6.5456	7.9563	8.5709	7.4917	7.0008	7.5129	6.7371	4.7918	5.8483	5.1414	5.324	5.5073	5.098	7.6208	4.7971	8.0768	11.1144	7.8885	8.0278	5.0673	5.1832	5.1206	5.3765	5.3902	7.2997	5.773	10.4323	7.5198	8.705
EA_G__PGF	5.602	5.8381	6.0041	5.772	5.406	6.2008	5.697	6.0163	5.8025	5.8768	5.3008	5.5795	7.2205	6.9579	5.8713	5.7716	5.9125	6.156	6.2143	6.1993	6.1518	7.7203	5.8004	6.2033	8.116	5.7095	8.2255	5.7111	5.3044	6.7778	6.159	5.5805	6.3683	5.8387	7.055	5.8603	6.2237	5.9724	5.9649	6.3362	5.7674
EA_G__ZNF813	6.2326	5.728	7.226	6.7361	7.2282	6.8674	7.2507	4.1479	6.621	6.2869	6.5393	7.3003	6.3642	6.6557	6.7048	4.6271	6.7368	7.3694	5.5668	6.7917	5.8578	5.268	5.8046	5.9842	4.9736	5.7928	4.4584	6.4775	7.8527	5.3276	5.7723	6.4753	4.5741	4.5841	5.4974	8.2917	5.8546	6.2948	5.0226	5.4382	5.1622
EA_G__EPHA2	9.1154	8.5414	9.6508	7.3461	6.8444	9.4567	7.1665	8.6973	7.4528	7.6542	8.0337	6.4815	6.9884	9.9389	10.0314	10.1517	7.8157	8.3948	9.354	9.0916	8.7865	9.6476	7.7947	7.5449	9.4881	8.1785	10.4042	6.9463	7.1418	7.4838	8.3671	8.6969	9.6151	9.4186	8.7254	7.5725	7.0417	7.2961	6.8289	7.8989	7.5115
EA_G__IGFBP4	10.3518	5.4835	5.6076	8.5982	10.1793	6.7461	8.4923	7.6433	7.6194	5.4232	7.9051	8.8256	8.8224	8.3868	8.038	5.3601	5.9597	6.1742	6.4913	10.0868	8.7161	9.4826	9.0429	8.2276	8.7773	6.9441	10.1979	8.8733	8.2304	6.8784	5.6807	5.9001	7.3242	9.528	7.2975	5.8527	9.1837	9.7395	6.4263	7.1553	7.4335
EA_G__TMEM98	9.4954	4.9119	5.2437	5.4122	6.7786	4.9445	4.5186	5.6463	8.2765	4.8284	4.5504	4.9327	8.7098	7.1575	5.6695	5.0564	5.4408	5.3875	6.7775	7.7384	5.1637	4.8143	5.1628	4.9113	5.3969	7.713	4.8877	6.9486	4.5807	5.6826	4.784	5.0266	5.1448	7.6775	5.2243	5.6284	8.1567	5.5775	5.4691	6.7161	7.1559
EA_G__LRRC3	7.2809	6.7232	6.8439	7.1599	7.518	7.7761	7.5554	8.5148	6.6376	7.6159	6.5069	8.0904	8.6436	7.2912	6.8583	7.6733	5.978	6.5203	8.0376	7.3998	6.5337	5.8985	7.3548	7.4232	9.5961	6.8546	5.6835	6.1708	6.2347	7.2202	6.4558	7.9527	6.8185	6.3277	6.5213	6.9724	6.9385	7.3138	6.7603	6.5621	6.6171
EA_G__DHRS2	4.826	12.6045	11.3429	10.9225	6.4126	4.7951	4.9841	5.0026	4.1419	5.2133	9.4922	7.8911	4.6987	5.8971	6.6305	6.1002	6.0863	6.6271	7.6348	4.3533	4.9997	9.4494	9.5675	9.8142	4.3182	9.6429	5.2669	11.2132	5.0481	5.6525	12.2474	4.5827	5.307	5.0884	5.0364	5.5243	4.9878	5.1772	8.1213	5.7624	5.7559
EA_G__PLXND1	8.4841	7.676	7.6166	6.7531	8.4025	6.1691	7.3083	6.6701	8.3487	7.0234	7.7191	8.7714	7.9056	7.1263	6.8018	6.2004	6.6459	8.554	6.3407	7.9336	8.1718	7.47	8.4443	7.9899	8.8234	9.7495	7.071	7.553	7.083	7.9119	6.8313	6.881	7.4619	6.1199	9.7749	7.7438	7.6225	8.5472	6.6854	7.3386	7.1503
EA_G__REEP1	5.5033	5.2776	4.9751	7.7187	8.1646	4.2074	7.4432	5.0386	5.2532	6.9734	8.0607	5.8655	6.3005	4.2921	4.878	4.814	4.2225	7.0192	5.5482	5.1596	4.3844	4.5623	5.2159	5.6446	7.4545	5.2399	4.8001	7.4304	4.2083	6.0434	4.6308	4.3189	4.6422	4.2838	7.0726	4.6808	6.3316	5.9632	6.1664	6.3869	5.9645
EA_G__DSP	8.4184	8.5174	8.3555	9.7781	9.9137	4.438	8.3945	8.8684	9.8838	4.326	9.484	6.301	8.4854	9.2614	9.8513	8.9699	9.1173	10.249	9.2227	6.8289	9.9116	6.0849	9.2346	9.4662	6.8075	8.9583	6.9698	9.1769	8.8104	5.5198	8.8651	4.3964	9.6506	5.7489	8.7123	9.3918	9.3757	9.3323	9.2241	9.2094	8.0323
