Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
EA_G__MGAT4A	7.1175	7.2337	6.1293	7.9405	6.6441	3.5648	7.0458	6.4377	7.0051	5.7811	8.3426	8.7133	3.9622	4.1821	6.597	7.0333	7.4289	7.2257	7.3125	6.0781	7.3453	3.4221	6.2895	7.3787	7.4632	4.2994	7.5161	4.4567	7.106	7.0817	5.7758	6.8743	4.1153	5.0296	3.4517	7.4609	6.3828	5.6407	6.6198	5.7478	8.0292	4.6306
EA_G__TESK1	7.8959	8.3032	8.1661	8.4928	8.928	7.993	8.7249	8.4959	8.4588	7.8626	8.4984	8.442	8.6059	8.527	8.1811	8.2056	8.9132	11.6165	8.5538	7.971	8.7505	8.1073	8.3541	8.3853	8.6143	8.4285	8.7537	7.8268	9.5718	8.7004	9.3688	8.2201	7.8973	7.1274	7.8586	9.2457	8.6664	8.1986	8.1951	9.1038	9.0552	8.8505
EA_G__SESN3	4.5583	4.7487	2.8018	4.9115	4.4541	3.021	3.1262	5.8558	8.0847	8.6996	3.2049	4.5252	7.9282	4.7009	6.0989	7.462	3.035	4.0826	5.7533	4.1203	7.8565	4.078	3.8719	6.2761	6.9638	5.4794	4.7308	5.6164	6.2569	6.7313	5.2385	4.3555	6.3237	4.5309	3.2875	4.8698	7.2797	3.0218	6.6973	6.2231	3.71	5.3527
EA_G__LOC130576	8.0882	7.3051	7.5463	6.2817	5.9754	5.0178	6.4833	5.4715	5.8439	4.7804	7.28	5.9843	5.9264	6.0446	7.9167	7.2106	6.2281	8.1629	5.5621	5.2542	7.1105	4.7645	6.3846	7.4118	7.5937	5.9617	7.968	5.3021	5.8741	6.6461	6.9476	7.3389	5.1582	6.8692	5.5754	6.7913	6.3295	6.2426	5.5797	6.0156	6.0071	5.5407
EA_G__MFGE8	7.6741	6.2973	7.9092	5.5622	6.729	7.8529	5.5358	8.7195	9.3836	9.1562	5.2872	6.4602	8.088	6.5464	6.5045	7.0548	5.4891	5.6676	7.9345	7.665	8.5882	8.5229	6.1542	6.729	6.9641	9.626	6.8217	8.7395	6.6203	6.5256	6.2627	6.3128	7.3457	8.2244	8.164	5.8954	7.0257	6.2964	8.3133	5.7129	6.3465	6.0856
EA_G__CLSTN2	6.8205	5.6977	6.8997	7.8696	8.1281	5.2503	9.9628	7.2839	5.4275	5.9965	6.8699	8.2244	5.3624	5.5006	5.6761	5.4378	5.3756	5.7285	6.9158	6.928	5.439	5.8407	5.2828	8.1749	10.4373	5.2112	8.3856	5.3934	5.5934	10.5058	7.708	5.657	5.4048	5.7301	5.1216	6.371	7.2234	7.4536	9.8238	5.1649	6.1309	5.4848
EA_G__KRT15	6.6447	7.3006	7.2444	7.5904	10.0685	4.6526	4.7242	8.7603	5.3217	4.7074	11.2798	6.6491	8.6675	6.5006	10.2787	11.5355	5.2958	6.6294	9.1835	4.323	7.0635	4.5703	5.6076	5.4125	5.1034	4.2498	8.0252	4.9823	5.8626	6.1464	4.569	6.5217	4.726	6.2376	4.6378	7.824	5.7526	6.9139	5.7426	4.8536	5.2182	7.2027
EA_G__DENND1B	6.8796	6.6791	6.7675	7.167	7.3121	4.7193	6.0054	5.8785	5.9951	5.7859	6.8062	6.8071	6.1834	6.5026	6.5064	6.6765	6.7352	7.4498	6.5538	5.7247	7.5458	5.444	6.254	6.4954	6.4321	5.8145	6.9989	5.6087	6.7896	7.0417	8.8044	6.7401	5.1312	5.7658	5.6866	7.0638	6.6987	5.8053	7.2246	7.9649	7.4085	9.7169
EA_G__MOCOS	6.3435	6.217	5.8673	6.3988	5.7591	6.0636	6.2536	6.0695	8.1695	5.8245	5.7636	5.178	6.2517	6.3625	5.9401	8.0116	7.2424	5.835	7.0253	8.2061	8.3419	4.2747	6.5318	6.7043	4.8921	4.9152	6.2279	8.5545	5.9406	5.3174	5.7299	6.0836	5.0475	9.579	6.7561	5.8692	4.8174	6.2956	4.8126	6.9694	5.1227	7.8283
EA_G__ADAMTS2	6.1291	6.4219	6.3072	6.2602	6.0553	7.6736	6.1679	6.1605	6.2747	7.8228	5.8276	6.0975	6.1593	6.3934	5.9939	6.1867	6.1105	6.3238	6.2655	7.1276	6.3853	9.24	6.3816	6.4391	6.064	10.5608	6.2993	6.1669	6.0913	5.8184	6.9592	6.5254	6.4858	6.4164	7.2845	6.2169	6.6946	6.26	6.1651	6.1176	6.6823	6.2255
