Cell lines	600MPE	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
U133A__DERL1	5.475	8.3416	5.0389	5.9092	6.0889	5.9957	5.7088	5.9916	7.7607	5.6934	6.8211	6.503	7.2959	8.4643	6.2926	5.7426	6.9287	6.1283	6.7508	6.2364	6.6886	6.4555	5.8625	5.6717	5.9146	5.5712	5.5019	8.4292	6.1425	5.7119	5.7651	6.4365	6.9492	7.6148	6.2023	6.4948	5.956	6.161
U133A__TESK1	6.1277	6.4533	6.6844	6.2831	6.1632	6.7421	6.6612	6.773	6.5293	6.5209	6.533	5.8371	6.3716	10.6915	6.4996	6.3326	7.0714	6.205	6.4097	6.3519	6.8934	6.7607	6.6341	5.7422	7.5346	6.8662	7.7649	6.2511	6.2481	5.9159	6.4373	7.9816	6.5213	6.8686	6.5403	6.1772	7.1722	6.9118
U133A__SORL1	5.7086	8.3488	6.9424	6.2947	3.6815	5.7057	7.3847	5.8328	7.1687	4.6981	6.6514	5.1493	4.9174	7.6933	5.6486	4.043	5.3373	4.3902	5.4828	4.6985	6.2511	4.3243	7.3687	3.9044	7.8562	7.1221	6.9027	7.7997	4.4591	4.9864	4.7273	7.0604	8.2421	7.5793	7.4088	8.5574	6.4981	5.8997
U133A__PMP22	5.2565	4.7053	5.1463	5.1319	8.5525	5.7927	10.0992	5.4421	5.429	9.3067	5.4072	5.1737	5.345	5.9816	6.3296	6.8562	5.0425	8.2183	6.5357	9.0143	7.1606	8.7543	9.7452	8.7851	6.3452	8.5414	4.8371	5.3986	8.7837	6.0432	7.9716	4.706	4.6818	5.7261	4.7756	6.5781	5.5308	5.6785
U133A__BCAS2	6.976	7.1565	9.033	6.483	8.0901	7.4672	6.8205	6.4102	7.746	7.7915	7.7371	8.8231	7.59	6.9229	8.1268	8.5233	7.5586	7.7816	9.8199	9.9917	7.849	7.5805	6.1488	8.9237	6.9103	7.386	7.3388	7.0325	7.6049	7.6677	7.9908	6.7666	7.831	7.5694	7.1844	6.6756	6.4719	6.8578
U133A__PSMB8	5.9129	8.1465	7.6424	4.8895	5.1509	5.1652	6.704	9.2071	5.7421	6.8288	8.2608	8.6923	8.168	5.4133	4.9573	8.1246	9.5104	6.8425	4.8232	4.9295	6.5153	9.0369	5.5676	7.2687	6.817	7.9776	5.3379	6.1107	7.182	8.2313	8.3033	6.4629	9.228	6.4871	6.663	6.7358	5.3678	4.6754
U133A__PSAT1	5.5922	6.1399	8.26	8.0258	8.3365	5.8022	7.5477	7.3947	6.1203	8.0365	8.0175	9.2056	7.8975	7.0305	5.8761	6.9252	9.2504	7.682	6.5519	6.2562	5.9222	6.8654	6.9891	8.1257	6.2789	6.354	5.5266	6.6541	9.1564	8.6713	8.1064	10.4203	8.6947	6.019	7.2478	5.7838	6.2581	6.1356
U133A__PSMD3	8.2836	10.1567	7.0712	10.9679	7.0583	7.8847	6.5305	7.5896	7.2693	7.2269	8.5095	7.8073	7.9887	7.5412	7.8983	7.6875	7.627	7.5954	7.4128	7.8714	7.6951	7.6183	7.296	7.7875	7.2688	7.4941	8.1391	9.5126	7.7735	7.5639	8.0665	6.9437	7.5932	7.4112	8.182	10.762	6.9633	8.6239
U133A__GDPD3	6.5019	10.0153	6.477	6.1503	5.7463	7.4532	6.4548	5.9638	6.4119	6.4377	5.6627	7.0271	6.539	7.2005	6.6596	6.229	6.574	5.8339	8.0906	6.7648	6.1995	6	7.6927	6.1031	6.4612	7.043	5.897	8.9869	6.01	6.9427	6.2605	7.4305	6.4492	6.1856	6.1103	6.7211	6.0486	6.5637
U133A__KRT4	6.9644	10.0722	8.7605	5.5598	5.6361	5.6631	6.5386	5.5032	6.0737	5.8991	9.4795	11.8723	5.6528	12.978	7.2059	6.06	11.0246	5.7431	5.5836	5.7032	5.4862	5.5855	6.3982	5.4281	5.8633	6.9905	5.5702	9.9403	5.9632	5.8219	5.4273	5.8027	8.5931	7.1576	6.1567	7.2326	5.8672	5.5862
U133A__ASH2L	7.6539	7.106	8.131	7.6494	8.5314	9.22	7.5736	8.1569	8.175	8.2125	7.7153	7.5994	7.691	8.0986	7.5654	8.62	7.1897	8.0532	7.6117	7.6926	11.06	8.0895	7.7328	7.9855	8.1322	7.3696	8.1864	7.1923	7.7714	7.6423	7.6905	7.7051	7.6894	9.0066	7.6147	7.9134	8.7789	8.7874
U133A__SH3BP5	4.5669	6.8751	7.6365	6.3726	5.3896	6.2074	5.7432	8.4108	7.7287	6.5201	5.893	6.0643	6.2105	6.5372	4.3785	6.5156	7.5147	5.231	8.6417	8.4431	6.9531	6.5498	6.6958	5.8189	7.3821	6.1776	6.3141	6.571	7.6624	5.2193	4.8949	6.9699	5.8436	6.8418	6.3893	7.6927	5.6068	6.8504
U133A__SLC7A8	7.3048	5.798	5.7109	5.7615	5.8899	8.455	6.1601	5.8675	8.0313	5.7669	7.8747	5.7383	5.8996	6.5492	5.7296	6.3784	5.5527	5.9301	5.7221	6.1378	7.958	5.7353	7.7026	5.7737	8.1897	5.8861	8.0638	6.3444	6.1507	5.8374	5.8904	5.5125	7.8173	6.3478	5.8013	8.7776	6.0993	5.5508
U133A__PSCA	6.6794	6.7882	7.2379	5.2285	4.2226	4.8065	5.209	4.548	4.64	4.7495	4.3334	5.1205	5.3627	7.273	4.5253	4.1651	4.4817	4.9353	4.7136	5.3853	4.4292	4.5383	9.04	4.3378	10.8662	8.2352	4.6424	5.1155	4.7656	4.5504	4.7827	9.1162	7.0019	6.9657	4.3908	5.4954	4.3161	4.4651
U133A__PTPLA	5.6938	4.6823	8.4154	5.182	10.3468	6.3568	6.7459	5.8693	5.5657	8.0611	5.5909	5.7785	6.5564	4.9583	7.3047	7.8945	6.0142	6.1322	5.8509	6.5989	6.5047	9.4651	5.5866	7.4552	6.2385	5.0439	5.0779	4.2583	7.0215	6.8608	6.9817	6.4239	5.1713	5.2383	6.5071	7.8667	4.9885	5.9094
U133A__NMU	7.7687	4.1757	5.3381	4.3252	4.1752	4.6813	8.636	7.3185	5.2777	6.318	7.1706	9.1284	4.9977	4.242	7.6872	6.8751	4.3367	4.0377	4.0093	4.3863	4.6474	5.4827	5.9742	7.7496	6.7082	4.4051	6.521	3.9427	4.1099	7.0073	4.7095	4.1234	7.0702	6.565	6.9468	5.598	7.6505	8.6929
U133A__MTUS1	8.1313	8.2705	5.8908	7.106	5.1455	6.8015	7.0624	5.4657	5.8096	5.252	6.6955	7.581	6.4001	7.6864	7.4877	5.5626	7.7194	4.6984	6.658	6.7777	5.5679	6.0087	7.1452	5.2202	6.4472	7.1152	5.1951	6.9902	5.1036	5.8514	5.3492	7.484	8.1098	8.0734	6.0826	8.2206	8.2206	6.8675
U133A__IMPA1	5.2363	5.5406	5.9502	6.2377	7.8499	6.6765	6.7184	6.6645	7.2692	6.5049	7.2301	6.5723	6.7778	6.2072	6.3296	9.1622	7.2514	8.1778	6.2839	5.8652	7.2879	7.6629	5.4641	9.0728	6.6845	5.8907	6.172	5.4364	7.0298	7.1631	7.3519	6.3428	7.4269	7.1394	6.7237	7.0669	6.539	7.6335
U133A__S100P	12.2566	12.327	10.5147	11.0487	5.0735	7.5039	10.9637	4.7325	5.2795	10.1086	6.5254	11.5796	9.9017	12.2557	12.0478	7.712	8.9893	5.1897	9.773	9.2327	5.5205	4.7583	11.337	4.7626	9.1549	10.5134	5.0912	11.2303	5.2787	11.5415	5.0971	12.7148	10.8632	12.7788	7.1557	10.2222	9.7332	10.0476
U133A__PAPSS2	7.0707	5.8816	3.9695	5.3602	6.6711	3.8394	4.8937	4.6984	3.9281	5.1435	5.5366	3.971	6.3733	4.9065	3.897	5.6995	8.2559	6.008	6.3637	6.5578	3.9412	7.408	6.6677	8.8003	6.8324	5.2034	4.2712	5.4182	4.7146	5.0383	4.0733	11.0443	7.0197	7.4545	6.4273	9.8404	8.3648	5.2131
U133A__INHBB	8.9319	9.0488	9.6677	9.0222	4.1472	9.3761	9.6701	5.4203	7.5198	6.4504	6.9645	5.8516	8.5289	9.8052	7.5508	5.3406	7.9114	6.0214	9.2939	8.3263	6.5851	5.2305	8.5668	6.0086	6.9465	8.4557	9.7103	9.4064	5.8637	4.8836	5.3548	8.8214	9.2832	9.0283	8.3476	7.9003	8.528	7.9564
