Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	ZR751	ZR75B
U133A__CTGF	7.1473	7.1015	3.7722	4.1421	3.9205	8.5961	4.3162	8.5365	9.9978	4.0779	4.3177	9.4636	4.2303	4.7664	5.4268	4.3982	6.0839	8.247	7.842	4.0585	9.9469	3.8967	4.0791	5.2649	9.6523	4.0025	4.9953	4.3345	7.9564	9.3229	4.4806	7.7701	4.498	6.5857	7.0046	4.3973	4.4522	3.768
U133A__GBE1	5.9443	6.4724	7.7376	6.6096	6.8172	8.3086	5.6093	8.2969	6.3136	6.5675	5.634	6.3318	6.8546	5.9996	6.9661	6.1714	4.7537	6.2946	7.1265	6.681	8.3006	6.7359	6.2895	6.9486	7.9882	6.2151	4.4946	7.001	6.3652	7.6464	6.7836	8.4375	4.6733	6.5709	5.4259	5.6225	7.0307	6.1135
U133A__SEPP1	6.7939	8.2703	4.9517	6.4515	7.7486	4.5723	7.1106	4.2487	4.7281	4.5017	7.5343	8.2599	4.836	8.2811	4.6901	6.4853	8.1246	5.8341	6.3741	4.8683	4.9177	4.4563	4.5954	6.2604	4.3451	10.806	10.2101	9.6458	6.2624	4.7379	4.6913	5.1189	8.3721	8.0684	8.6532	8.6522	9.6879	6.5472
U133A__HES1	7.2466	7.8362	6.8655	7.9131	6.4896	5.1651	6.9367	6.6125	7.8518	7.9219	7.5594	6.5368	6.5024	7.6893	6.658	8.8103	9.585	7.7168	6.5411	6.9986	6.0367	6.746	7.2969	6.3761	5.6609	7.8519	6.9642	6.1492	7.3558	5.9077	7.0221	4.6059	7.9363	7.6559	7.3246	7.1297	7.1431	5.8228
U133A__PLAUR	7.2636	7.0817	7.6566	6.3774	6.0661	7.9196	6.3478	7.0145	8.6018	7.3217	6.6571	6.7499	6.7768	7.13	8.4113	6.868	6.8516	8.1211	7.2534	7.3607	8.1234	6.4877	6.4579	6.9693	8.9904	6.1449	6.6998	6.2084	6.715	7.4222	9.277	7.1697	6.0395	6.8223	6.7814	6.3108	6.3425	6.7746
U133A__FAM174B	7.6688	7.039	8.6806	7.2556	6.398	5.5542	6.0659	6.0848	5.9859	5.9155	6.0452	5.895	5.4407	6.3246	6.3647	7.21	7.2938	5.6754	5.7021	6.1376	6.1391	6.7886	7.0665	5.7914	5.7429	7.5637	7.1023	6.5758	6.7257	6.0008	5.608	5.8132	8.5023	7.6422	6.56	6.7379	6.8445	6.1006
U133A__GRB10	4.7959	5.4919	6.2638	8.5374	8.2707	5.3595	7.4569	4.8131	5.402	10.2075	6.5732	6.3604	4.9465	4.8583	6.6414	6.6836	6.2955	4.6338	6.1154	7.6347	7.8401	5.8101	5.4498	7.1144	6.6734	6.0157	7.1687	5.4992	4.9824	5.3711	4.4084	7.763	6.053	7.6325	5.8099	6.8667	4.8448	6.1565
U133A__MYST4	7.0787	6.8894	5.2493	6.0654	8.0895	5.6758	5.793	5.2378	5.4408	7.1973	6.6176	5.3211	6.4505	5.2011	5.0087	5.4608	5.5126	5.0508	5.4213	5.8407	5.1085	4.9302	6.0605	5.4057	6.1108	6.9664	7.4141	6.5656	5.5771	5.5914	4.719	5.0868	7.9743	6.9307	5.7341	5.835	7.4708	8.7538
SNP__GNTIVH	0	0.087	-0.89	-0.287	0.024	-1.829	0.268	0.006	-0.35	-0.2	0.473	-0.406	-0.148	-0.224	-0.173	-0.316	0.473	-0.286	-0.029	-5.759	-0.242	0.183	0.043	-0.039	0.167	0.747	0.227	-0.018	0.049	-0.21	-4.154	0.011	0.196	-0.014	0.916	0.315	-0.046	-0.007
U133A__IRX5	7.7399	6.5809	5.5081	7.7145	8.7913	6.7582	9.7052	5.397	6.7088	8.4982	9.2355	7.8438	5.0398	8.2703	6.928	8.3002	6.9459	7.2265	6.0328	7.8287	5.68	6.4979	7.5153	5.4402	5.6562	8.26	7.8134	9.0329	6.3151	7.6172	6.2181	4.7753	8.3988	8.6255	7.2192	7.8621	8.7904	8.8174
U133A__DIP2C	6.0306	5.6	4.8042	6.1426	7.3021	5.8184	7.2703	5.3375	5.9785	7.7083	7.6453	5.5877	6.3643	5.5528	4.2909	6.1653	5.8443	5.318	7.5229	3.946	5.2792	6.2597	6.5002	7.9021	5.9908	7.1526	6.9179	6.2128	5.3484	6.081	4.2421	5.8763	8.1831	5.9789	5.1349	5.6502	6.2191	6.4159
U133A__IGFBP6	5.6731	5.3829	5.4442	5.5177	5.4819	5.8921	6.136	9.5022	6.4634	6.072	5.3744	6.0119	8.7753	8.4806	5.5659	6.2527	5.5465	5.6679	9.4268	6.2516	8.8554	6.6417	6.2663	7.9486	6.8116	5.5454	5.6252	5.7893	6.0209	5.8285	8.1014	8.1687	5.7392	5.2594	5.5176	6.0702	5.9415	5.281
U133A__ADORA2B	6.2311	6.1615	8.2451	5.3114	5.5734	8.4773	5.51	7.5576	7.9456	5.3852	6.126	7.0501	8.6464	7.6821	8.9669	7.12	7.1201	7.0246	7.5635	7.1372	8.0401	6.1847	5.779	9.0234	8.2953	5.5289	6.2769	5.5188	6.1711	7.4778	6.8111	6.6939	5.2126	6.4237	5.9435	5.4204	6.1897	6.3068
U133A__FOXA1	9.1328	7.7572	6.523	9.0263	9.4147	4.7595	8.7472	5.2356	5.2283	5.7444	8.14	5.0961	5.822	6.5694	7.5076	8.5585	8.8813	6.9658	5.4233	5.6401	5.6268	8.3942	8.6803	4.7116	5.3926	8.8057	8.3218	9.2428	7.9736	5.241	5.689	5.6432	8.73	9.3117	8.6746	8.6077	8.9553	8.3695
U133A__RARRES3	6.2411	9.4968	5.8376	5.5572	6.055	5.0381	5.4944	6.3901	5.277	9.0935	6.0281	5.4879	6.1373	9.54	7.6356	9.1496	7.8721	5.3288	7.4354	9.2101	6.0114	5.3198	5.0877	8.6168	5.42	5.3185	8.767	4.7062	6.5872	5.4085	5.0522	5.5527	5.5433	9.1235	7.481	6.2309	5.626	4.9116
U133A__PLEKHF2	7.8227	5.5542	5.4206	8.353	9.5772	5.3539	7.7758	4.5965	6.2048	6.0169	8.5369	6.5492	6.6429	8.251	6.1642	5.9198	9.5057	6.5501	5.6869	6.6621	5.3134	7.6518	7.2111	5.1421	5.4357	9.0386	6.3531	8.0942	4.8166	4.8152	4.6651	5.4296	6.1804	9.5436	9.1234	7.8132	8.9253	8.4682
U133A__PFAS	5.8087	7.2736	6.9577	6.1119	6.5991	8.7473	6.1154	6.7468	5.5604	6.2578	6.0204	6.3444	7.593	6.4576	6.8626	6.2873	6.5166	6.7627	6.3816	6.5395	7.3623	6.2854	6.3664	7.0189	7.8924	5.9161	6.185	5.9481	6.517	6.6954	6.8338	7.343	6.1087	6.0204	6.034	6.4774	5.549	7.0923
U133A__DAAM1	5.7712	6.9394	6.7256	7.4256	9.1201	5.7426	6.5441	7.2811	5.5412	5.8286	7.3134	4.3108	6.1768	6.3515	5.6336	5.6113	9.0542	6.947	5.6935	6.8334	4.2798	6.7682	7.0736	5.712	4.2843	6.6937	6.402	7.1325	6.6966	5.278	5.2773	4.3674	7.2789	7.6872	5.4127	6.6933	7.2217	7.1886
U133A__PARP12	5.6212	7.2533	7.2406	5.7221	8.0136	5.4178	5.3115	5.7062	6.5946	9.2451	5.6289	6.6519	6.3163	7.2762	7.1555	7.6052	6.4157	5.7841	7.1514	8.4965	6.4931	6.121	5.4093	6.91	5.8362	6.0526	6.5117	5.5824	5.8208	5.7415	6.6629	6.5579	6.5832	7.6618	5.5611	5.8681	5.0997	5.5159
U133A__KDM4B	7.0519	7.1044	6.0515	7.4491	8.6966	7.1928	8.1492	5.8728	6.1444	7.9974	8.6306	5.6694	6.594	6.2074	5.1967	7.3001	6.7817	6.8032	6.8838	6.5409	5.945	6.1848	6.9393	7.2455	6.6163	7.5952	6.4755	8.2976	6.1498	6.6724	6.5498	6.4961	7.8561	6.9118	6.5551	8.9722	8.1269	7.1149
U133A__RNASET2	8.128	8.9614	7.3384	8.3523	7.6879	6.5304	7.4109	5.2228	6.2817	7.1632	7.2288	8.724	8.1106	6.9623	7.4644	8.3347	7.8744	5.444	5.712	7.6474	6.5863	7.8307	8.1873	6.5105	6.851	9.2695	6.9932	8.1165	8.4278	6.555	7.8822	6.0853	9.1341	8.5411	9.2691	6.3693	7.9327	8.4503
U133A__C1orf115	7.2949	6.9475	4.7813	5.8685	6.449	5.1898	6.9003	5.6689	6.3547	7.1337	5.0147	6.5582	6.3223	6.1112	4.7567	7.2879	7.3154	6.2642	6.4033	5.1145	5.007	5.4686	5.3279	4.9872	4.8072	7.4573	8.5627	7.4798	6.4155	4.7245	5.8825	5.5547	5.9571	8.6383	9.0861	6.4767	9.6618	6.7793
U133A__CX3CL1	5.1792	7.6425	4.8388	7.1501	5.3846	4.4939	4.8967	4.5963	6.9372	6.8788	6.223	5.5573	4.6235	5.6115	5.7214	6.2905	8.0736	5.568	6.0087	8.0273	4.9628	5.0352	4.9562	5.0901	4.7459	4.917	5.7636	4.6433	6.4664	4.8297	4.8225	5.1102	4.8107	9.8596	4.9193	4.7497	4.864	4.668
U133A__FOLR1	7.267	7.2539	5.7563	4.6122	6.6765	5.2837	5.2817	5.1053	6.6157	6.049	5.332	5.7393	5.2999	6.8881	5.2769	6.1082	8.4179	5.9979	5.2837	5.4512	5.5185	4.9262	5.2332	5.4749	5.3677	5.9134	5.4527	5.4047	5.8875	5.3654	5.6305	5.0397	7.4495	7.0132	7.5242	7.7639	6.0473	5.2068
U133A__FSTL1	6.755	6.2572	6.8274	5.936	6.4877	11.5266	6.0422	9.2564	6.8735	6.4112	6.7142	7.1585	8.8436	9.9158	7.9294	6.0962	8.8284	9.2432	9.4494	8.6058	10.846	5.9821	5.6398	9.7716	8.6291	5.7009	5.857	5.6561	5.9557	9.5334	9.6656	8.1824	5.4895	8.1404	5.6432	6.6733	5.9264	5.6587
U133A__PHLDA1	5.8382	4.4531	7.9418	4.5088	4.1534	6.2364	3.6929	5.3714	5.9748	4.3261	4.9452	5.4819	8.5993	8.0713	8.0033	4.3273	5.8991	6.5052	8.8726	6.6058	9.3967	4.738	4.353	7.4466	9.4625	4.3342	4.674	3.9009	3.6627	8.757	7.7525	6.9589	3.8358	7.0777	3.679	6.5088	3.659	3.5303
U133A__SLC9A3R1	9.519	9.6155	8.3819	9.3381	11.1179	7.3427	10.3084	7.7009	7.7895	7.6797	11.4694	8.4963	8.6198	9.0035	8.2239	10.6246	9.0584	8.1738	7.8626	8.8965	7.1743	9.7706	10.4869	6.8074	7.6842	11.736	8.9875	10.9463	9.4829	6.4568	7.3574	6.9491	9.7921	9.1212	9.2263	10.2388	10.2528	11.1031
U133A__EFHD1	9.5837	9.9173	6.1706	9.7862	10.4842	6.3996	10.6224	6.1782	8.6955	9.7906	10.8012	8.6042	5.8168	7.3487	6.7717	10.3858	10.3268	8.7539	6.6386	5.7835	6.4648	6.0895	7.4306	6.4413	6.5019	8.6508	9.4486	9.002	9.7556	6.3446	5.8119	6.6156	9.3171	10.3552	9.4809	9.9842	9.006	8.7483
U133A__TPD52L1	7.5691	7.9725	8.419	7.606	7.9326	4.9533	6.9205	4.5253	7.7398	7.015	9.1963	6.7747	6.7627	9.2769	7.7655	6.3176	7.331	7.9275	6.0534	8.7119	4.9874	8.7672	9.101	4.4448	4.8542	8.9955	10.0234	6.5342	8.4437	4.5276	7.166	5.6365	8.1106	8.9222	9.7928	8.0223	7.4465	7.8597
U133A__PSCA	6.6794	6.7882	7.2379	5.2285	4.9533	4.2226	4.8065	4.7535	5.209	4.548	4.64	4.7495	4.3334	5.1205	5.3627	6.3379	7.273	4.5253	4.1651	4.4817	4.9353	4.7136	5.3853	4.5383	4.3378	10.8662	8.2352	4.6424	5.1155	4.7656	4.5504	4.7827	9.1162	7.0019	6.9657	4.3908	4.3161	4.4651
U133A__H2BFS	7.6939	8.14	9.1665	9.0151	9.4825	7.5511	10.0856	7.8887	7.4697	7.0381	9.6266	8.3781	8.1802	10.1758	8.4017	10.2471	11.3662	8.0953	10.2003	8.323	7.2868	9.2405	9.6227	9.2039	7.7851	10.0234	10.8112	9.3547	8.8394	9.4932	8.0654	6.9914	9.1738	9.0903	8.557	9.8876	8.7904	7.7033
