Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	ZR751	ZR75B
U133A__NDC80	5.5522	5.0453	7.3704	6.0641	4.7678	7.5886	4.8913	6.9694	6.2093	8.2113	4.6458	5.6359	6.8255	7.5058	5.4579	4.6172	4.7843	6.5212	6.879	6.771	7.0702	5.4314	5.1758	6.8271	7.4584	5.221	4.9644	4.8313	4.8279	6.9992	6.9676	6.0043	3.5759	5.4467	3.7379	5.2985	5.8115	6.0871
U133A__TSPAN13	9.6774	10.0953	8.3777	10.249	10.7603	5.511	9.5712	6.4062	7.7338	7.6575	9.9233	6.7565	9.5285	9.5561	9.2752	10.1883	10.611	8.413	7.5481	10.2011	5.4571	9.1734	9.4408	7.3108	5.6786	10.1128	10.3424	9.7301	9.8614	8.6711	6.8176	6.1061	11.0026	10.0425	11.2545	10.2015	10.0917	10.3821
U133A__HIST2H2BE	5.2169	6.1555	6.3954	5.9939	9.4664	4.7581	6.4892	5.8138	7.028	5.845	9.4831	6.6393	5.1986	7.3397	5.9223	8.8657	8.9328	6.3304	8.0707	6.4151	4.9797	7.2026	8.2043	5.8962	5.0337	9.2133	6.6612	6.7257	5.8532	5.39	5.6544	5.0466	7.1041	7.1433	5.9142	6.7795	5.3079	6.1542
U133A__FOSL1	4.9248	5.3058	7.3819	5.233	5.3308	7.6711	5.4235	8.2125	6.1157	5.0024	5.1796	5.4742	8.448	5.8887	8.4594	5.524	5.2056	5.8006	7.7595	5.3363	8.6803	5.7547	5.2672	8.0784	9.0559	5.1136	5.2681	5.017	5.2985	7.8919	9.0164	8.8942	5.1416	5.3076	5.2537	5.2915	5.1363	5.52
U133A__TMEM135	5.668	6.7817	5.0456	5.5373	6.4603	5.8126	5.7686	4.8527	4.7886	5.852	6.7122	6.661	5.797	5.1155	5.4529	5.7782	7.1022	5.8957	6.9366	6.0968	4.6112	4.98	5.7666	6.6658	6.102	6.82	6.0613	7.4905	6.4907	4.9966	5.5595	5.5384	7.1223	7.9843	7.1232	6.8095	7.3552	5.975
U133A__SORL1	5.7086	8.3488	6.9424	6.2947	7.7962	3.6815	5.7057	4.7523	7.3847	5.8328	7.1687	4.6981	6.6514	5.1493	4.9174	6.5956	7.6933	5.6486	4.043	5.3373	4.3902	5.4828	4.6985	4.3243	3.9044	7.8562	7.1221	6.9027	7.7997	4.4591	4.9864	4.7273	7.0604	8.2421	7.5793	7.4088	6.4981	5.8997
U133A__FNBP1L	5.7282	6.3494	5.7353	6.3034	7.1137	5.7258	7.0659	3.4285	4.9683	6.9366	5.9928	5.0314	4.7531	5.4856	5.0975	5.066	6.6526	6.1696	6.4593	6.5269	4.7117	4.8914	4.3192	4.6485	5.9207	6.0796	6.3206	7.3428	5.9159	4.2674	4.7058	3.693	6.4658	6.9367	6.033	5.5292	5.9501	6.1131
U133A__PPFIBP2	6.7549	6.3345	4.8049	7.4348	6.1149	4.4968	6.0418	5.0472	6.4455	5.3026	5.1869	5.4586	4.7554	5.4037	4.6165	6.349	7.4999	5.2311	4.6232	5.0742	4.2075	5.4242	4.8287	4.5175	4.6322	6.4314	7.3432	7.8022	6.3835	5.0991	4.7511	4.6531	7.8773	6.6225	6.8047	4.696	6.0795	4.9504
U133A__AUTS2	8.2188	8.3114	4.5825	8.4291	7.2653	7.3927	3.7114	4.054	5.8691	8.7868	6.4949	8.1057	6.1945	7.6533	4.4486	7.6466	8.6231	6.8757	5.9822	8.5624	4.3504	6.3258	5.1607	4.39	4.093	3.561	7.8198	8.4658	6.084	4.5523	3.3971	4.0043	7.8252	9.0873	7.7387	7.5901	5.5548	5.9426
U133A__ACAA1	6.1633	8.8997	6.6984	5.2632	6.5332	6.3551	7.0217	5.9495	6.3772	6.4261	7.1641	7.3011	6.5595	6.1541	6.6504	7.2811	7.0428	6.9482	6.9299	6.3982	6.6822	7.7278	6.912	7.0365	6.3811	6.9764	7.9024	6.7552	9.1231	6.4906	6.7173	6.0876	7.3427	6.9957	6.6535	6.6359	6.6572	6.2702
U133A__AXL	4.5848	4.3447	4.36	4.6163	4.3957	9.7332	4.3709	9.0689	7.011	4.3959	4.4975	4.5981	4.2906	4.9826	5.1863	4.9555	4.2474	5.2312	9.2723	4.1729	10.475	4.5906	4.4261	8.3136	10.3645	4.1508	4.614	4.2537	4.0831	9.5546	7.5369	9.6852	4.2137	3.971	4.2126	4.5153	4.2859	4.2316
