Cell lines	600MPE	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC2185	HCC3153	HCC38	HCC70	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751
EA_G__DEPDC6	7.4503	9.1632	7.448	4.9752	7.5121	6.4015	7.052	8.3884	8.0948	6.8441	4.7516	5.8902	8.5968	6.2251	6.0457	7.4547	6.8396	7.695	7.3615	5.541	9.0918	9.6198	7.432	8.03	6.4449	6.1382	5.6161	7.127	9.8221	6.946	8.0294	8.5831	6.7683
EA_G__GPR176	5.2765	4.458	5.1443	7.1887	6.8504	7.4156	6.7334	4.2781	5.7714	5.2195	6.5779	6.6746	4.4455	6.8578	6.1532	4.8029	5.2116	5.7415	7.3208	4.5928	4.5879	4.3922	5.6259	5.0005	7.254	6.2727	8.3008	4.8269	4.2057	5.2999	6.1686	4.6943	4.4512
EA_G__CAPN13	7.1311	6.7239	6.7757	4.5748	5.9724	4.4929	4.4092	7.9041	4.5065	4.7075	4.6089	5.0453	6.0129	5.6988	4.2756	5.5895	5.7773	6.2634	4.4638	4.5847	7.3388	6.8161	7.333	7.547	4.4298	4.957	4.3726	8.1653	7.2106	8.5483	6.0565	6.693	5.6346
EA_G__C2orf54	8.3218	6.6129	6.4191	5.3623	6.4403	6.3795	5.2559	7.0081	6.0254	5.6238	5.8691	6.2319	7.7521	6.3336	5.1584	7.085	6.7537	6.16	5.3858	5.5605	7.7213	5.2486	7.7989	9.4912	5.4913	5.8188	5.4747	5.8124	8.1237	8.5672	5.5588	8.1165	8.5209
EA_G__SACS	4.5844	4.387	4.7922	8.2338	5.5884	6.3576	7.5184	5.6008	4.9033	5.9435	6.2962	5.4477	3.5737	6.839	6.8542	4.146	5.1792	4.7755	6.9225	7.6452	4.2029	3.5922	4.7532	5.8038	8.5415	5.6956	7.7867	4.8587	4.2936	4.3439	4.6223	5.3828	4.3278
EA_G__ABCA12	4.3109	6.8238	7.0373	3.3572	3.9202	3.4709	3.4184	8.1267	8.8693	3.3669	5.5671	6.1363	6.998	4.6112	3.2091	5.7931	6.2715	9.5323	3.1101	3.3908	10.1166	5.9646	7.5299	8.0032	3.6763	5.1243	3.733	6.1352	9.0577	7.3809	7.9179	9.511	9.895
EA_G__GGT1	7.5575	7.1065	7.2693	5.3711	7.6542	5.7143	5.8255	8.3686	6.7667	5.8302	6.2027	5.5974	7.0078	6.4158	5.6441	6.8205	6.2737	6.3007	6.0052	6.8593	9.9959	6.1859	7.8444	7.6843	6.2313	5.996	6.5788	5.9141	7.6846	7.3051	6.8609	6.8846	9.633
EA_G__FAM59A	7.1098	7.2024	7.3453	4.8712	6.68	5.9347	5.6379	7.3743	6.2539	5.5819	5.5316	4.9289	5.9312	5.9031	4.8528	7.5857	6.6224	6.0759	4.0473	5.419	7.0464	6.7735	6.2219	7.0846	5.2325	6.4577	5.2007	6.2579	7.22	6.1833	5.4105	6.3264	6.358
EA_G__PERLD1	7.9981	11.5309	8.5186	7.0395	8.0143	6.7798	7.5751	11.7835	7.7075	6.0197	6.9121	6.5128	8.5531	7.9337	8.1056	7.9547	7.2717	7.3187	6.8706	6.7476	10.1259	7.7315	8.2906	10.1853	7.6784	7.1932	6.6914	7.5985	12.8771	7.0808	7.6174	10.9271	8.078
EA_G__C3orf14	7.1203	7.9076	7.1029	6.9583	7.4013	2.6217	6.2124	8.1857	7.2363	5.9098	4.7573	6.6061	7.1222	5.897	5.4185	5.5153	8.5062	8.6206	5.5483	6.9514	7.3778	5.6174	7.1317	7.1147	5.7149	5.6834	7.1176	6.801	6.5169	6.6653	5.9565	8.4885	7.6724
