Cell lines	600MPE	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
U133A__KIAA0100	8.8681	9.2054	7.9417	8.8628	7.4282	8.9246	7.7525	7.5068	7.9503	8.0312	8.2047	7.8415	8.2902	8.4022	8.2701	7.8823	7.6288	7.6848	8.8026	8.3881	7.8276	7.2512	8.327	8.6738	9.0547	7.8274	8.4813	9.7569	7.9615	8.3141	8.6067	8.8547	8.3358	9.2605	10.2621	8.2115	8.5997
U133A__BIK	6.79	6.6526	5.7028	7.7609	4.4661	7.2407	6.9484	5.4635	5.8565	5.8302	7.4245	6.541	6.2117	6.5191	7.3676	5.0893	5.7594	6.005	6.0503	6.236	6.6067	5.2379	7.4079	5.0096	7.3216	7.224	8.0241	6.3969	5.3947	7.7769	5.5715	8.47	6.3561	5.6218	6.5498	7.1572	6.2503
U133A__SLC9A3R1	9.519	9.6155	8.3819	9.3381	7.3427	10.3084	7.7895	7.6797	11.4694	8.4963	8.6198	9.0035	8.2239	9.0584	8.1738	7.8626	8.8965	7.1743	9.7706	10.4869	10.1918	6.8074	8.9042	7.6842	11.736	8.9875	10.9463	9.4829	6.4568	7.3574	6.9491	9.1212	9.2263	10.2388	10.5344	10.2528	11.1031
U133A__PDLIM2	6.1838	6.4469	6.5686	5.0195	8.445	5.1054	6.7985	7.5575	4.7108	6.3607	5.2325	5.6691	6.1512	6.3079	7.0536	6.8265	6.1954	8.6963	6.1059	5.2037	5.8817	6.625	6.3894	6.7859	4.9201	6.5696	4.5589	7.137	7.7536	6.8021	7.2215	5.6906	4.947	5.8226	6.1853	6.1648	6.9082
U133A__TFF3	12.242	7.4282	5.6939	11.8098	5.9539	7.9505	5.6693	5.4995	9.7873	5.9862	5.5639	5.8248	5.9636	5.7579	5.9571	5.5964	5.385	6.1336	7.9223	8.6074	8.054	6.0694	12.8617	5.781	12.1275	8.7981	6.2142	7.2255	6.0829	5.986	5.7096	7.2202	6.9097	7.2481	12.881	8.677	9.4077
U133A__TPM2	2.9737	3.2967	2.7599	2.7023	9.2246	3.0307	6.6508	2.7736	3.2918	9.0163	7.0455	3.3028	3.2698	3.8763	6.7663	7.9299	8.1468	9.5375	3.3478	3.2518	3.2009	4.4389	3.1689	3.4678	2.8649	3.6268	3.157	3.4752	8.5825	7.37	8.2812	3.0699	5.6483	3.0476	3.3862	3.4566	2.9659
U133A__FBP1	6.8861	5.4407	5.6061	8.7593	5.8518	8.9571	5.675	5.3145	9.223	5.9597	5.9596	8.9816	6.1031	5.4783	5.7636	6.0568	6.0106	6.2966	9.2997	10.2366	9.9675	5.5894	10.3739	5.6397	10.3698	8.9993	6.1156	7.3014	5.5824	7.2633	5.8976	8.5732	7.7395	7.7367	9.8135	9.0869	8.5342
U133A__KYNU	3.1107	7.5015	4.3378	3.7016	4.199	6.8799	3.3451	3.3778	5.2812	5.0897	9.7837	6.6414	8.1632	5.8705	8.3008	4.2979	3.6763	3.9397	9.3041	9.2168	3.205	6.7245	6.0479	5.4828	6.253	3.5387	3.4423	4.7613	3.2793	9.6851	5.4603	7.9465	4.0878	8.121	5.0006	5.7334	3.5004
U133A__CDH1	9.4054	3.1026	9.7731	10.1506	2.7451	7.2616	8.8869	7.6506	10.3047	8.1115	8.7079	9.9294	9.3213	2.9912	9.3955	7.3494	9.9431	3.1604	9.7553	10.3314	4.8896	2.9383	10.1819	3.7691	10.7292	10.1856	5.9099	3.9307	3.1058	9.2079	3.5212	10.4251	9.7177	9.7436	10.2468	10.6202	10.3636
U133A__TOB1	8.8416	8.1199	7.4176	9.54	5.6991	8.2963	8.2331	6.9626	9.9774	7.4185	7.3983	7.7978	6.7211	8.3342	7.3782	8.2944	7.4541	4.4955	8.4614	8.9689	8.6463	7.562	8.9663	5.935	10.6432	8.5555	9.5297	8.6703	5.2081	4.7449	5.9356	8.2344	8.8228	9.8445	9.2366	9.6404	9.1081
U133A__GPRC5C	7.4235	6.1309	5.8727	6.7046	5.3902	6.9703	5.6507	5.5117	6.314	5.8513	5.5639	5.7202	5.8357	6.4456	5.8599	6.2879	5.6807	6.194	6.4966	6.7739	7.9681	9.0957	7.5182	5.7214	8.3154	6.1173	7.1564	6.0889	5.7109	5.5935	5.16	6.437	6.2738	7.4572	7.4876	7.2886	6.3964
U133A__SH3GLB2	6.5425	6.1316	5.2045	7.5758	5.7078	7.1346	6.1178	5.6393	7.6168	5.069	5.9234	7.0037	5.1924	6.4713	5.3567	5.5879	6.4594	5.1439	5.1173	7.4452	7.2121	5.1126	7.0174	5.9868	6.6336	6.07	6.1606	5.7669	4.7977	6.3724	5.9489	6.4003	6.9105	7.6052	6.7678	5.9303	6.9862
U133A__KIAA0182	8.7175	8.7547	8.2326	9.4399	5.5927	8.9031	7.0695	8.2032	9.5198	6.5335	7.1268	7.6521	7.6461	8.5395	7.194	7.6429	7.7941	6.6802	9.3437	9.2681	7.1592	5.5687	8.3507	6.8539	9.4821	8.1927	8.8215	8.4014	6.3604	6.768	6.9346	8.9541	8.2608	10.1651	8.3246	9.5845	8.7069
