Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	ZR751	ZR75B
EA_G__SLC41A2	8.1421	8.4848	6.7907	4.3917	6.1309	6.1846	5.6932	6.1248	5.3879	6.9565	5.411	6.6603	6.7003	4.9392	4.8678	6.0899	6.8641	7.1262	8.5509	6.8164	6.1753	6.5638	4.728	6.1709	5.5837	6.1195	5.3723	6.7179	7.4743	6.5936	4.2531	8.2518	7.09	4.9964	6.0132	7.1428	7.3483	7.4376	7.289	7.9059	5.9091
EA_G__KRT23	9.6844	6.71	4.0332	4.1386	8.425	3.63	3.6053	3.3917	6.9669	3.8549	3.5091	3.9312	4.4876	9.4953	4.3026	8.6489	8.5774	4.8774	7.5157	6.7166	3.6214	9.4504	3.4724	4.2074	4.4201	3.2977	6.7056	3.5147	3.6071	4.4773	5.3331	5.8319	3.6117	5.6051	3.61	8.5478	7.6456	7.5049	9.525	3.9554	3.8349
EA_G__GGTLA1	7.5007	7.3788	6.2268	6.3669	6.878	6.1905	6.0814	6.6603	6.7707	7.5678	7.6624	6.1555	7.3496	6.2578	6.2133	6.8887	7.8904	6.8315	6.6194	7.1387	10.2083	7.1062	6.6863	6.4749	7.2202	8.3333	6.2023	7.35	6.3075	6.4503	7.0979	7.968	6.2433	8.4897	8.5197	6.2857	6.6545	6.8449	6.5823	6.645	6.1589
EA_G__LOC342897	6.8877	9.3215	7.5298	6.5232	6.405	6.341	6.1959	6.632	5.9222	7.6628	6.4521	6.3118	6.4283	6.2297	6.6868	7.9023	6.4686	6.7961	8.5321	6.0562	6.1129	9.8111	6.3895	6.8347	6.4992	6.3021	7.7221	6.2784	6.5222	7.442	7.3158	8.7168	6.8808	6.9333	6.6187	6.6136	9.7598	7.336	6.8452	7.4687	6.4656
EA_G__C11orf82	5.4609	6.6509	7.0184	5.8662	6.1257	6.612	5.9729	6.7047	7.3918	5.794	6.557	5.736	6.3239	6.8492	8.7831	6.1601	7.329	6.5411	5.4224	6.7061	7.6886	5.452	6.9309	6.308	5.3933	6.4071	4.8317	6.9059	5.714	5.3618	5.9928	5.8672	5.7982	5.7614	7.2557	5.8854	5.4156	5.9697	6.6975	5.2868	5.7959
EA_G__SCNN1A	11.0357	9.555	7.8103	8.6409	7.5026	4.9473	5.4678	6.0977	5.4577	6.6565	4.7544	9.9819	8.3223	4.8405	6.7003	8.1132	8.4818	7.7408	9.5645	6.633	4.8998	8.5155	4.5885	6.2766	7.8867	4.3763	10.0856	5.2414	9.5227	10.347	5.8397	9.433	5.0744	10.6293	7.2214	10.5261	9.1262	10.4535	8.2861	6.6651	8.573
EA_G__DAPK1	8.9532	4.6543	4.198	4.9839	5.432	4.4592	4.2831	6.5444	8.6502	8.8307	5.3304	7.8309	4.8701	4.8078	5.0352	9.0553	7.5061	4.3889	5.5257	6.0966	7.5478	8.9386	4.2903	4.4422	5.4142	7.3737	7.8863	4.1997	4.5624	8.8908	5.1879	6.1992	5.0654	8.4505	4.3745	6.9328	6.3755	6.2194	4.7905	4.6603	5.1694
EA_G__CX3CL1	4.8992	7.5203	5.2355	8.1937	8.0604	5.3572	4.9287	5.3369	7.6396	8.1076	8.1127	5.2753	8.3565	6.5916	5.3695	5.828	6.712	7.5009	8.6337	6.9305	7.4107	9.3933	4.8522	5.3974	6.5175	5.562	8.1013	5.068	5.56	6.1645	5.6093	8.2584	5.6996	5.5162	5.4522	5.5328	9.1033	5.7656	5.5337	5.342	5.4813
EA_G__TUBA1A	7.6355	5.4685	5.381	5.6512	9.2456	8.5574	5.2673	7.9122	7.5744	7.0553	7.0856	5.0704	8.0223	5.4043	5.756	5.3459	5.6963	5.4513	5.4595	6.7726	8.2873	6.6422	6.9356	6.9528	9.6075	9.3841	6.0716	6.1397	7.3423	5.4308	5.3052	5.5696	8.0508	6.0672	7.9037	8.3704	6.2207	5.6145	7.3729	5.7136	7.3281
EA_G__C3	11.1381	4.8038	5.7921	4.907	4.8165	5.0298	4.8716	6.9961	10.3847	6.4352	5.328	4.6601	4.7003	11.1099	6.3911	9.6805	5.2872	5.1273	8.1162	8.8543	5.0106	10.7164	5.3388	5.0779	5.4296	5.4559	6.1123	4.8816	4.7966	5.3727	5.5679	5.181	5.009	12.2114	8.5831	5.4673	5.6334	5.676	6.1862	4.9409	5.0681
EA_G__ZNF750	6.7199	7.3482	4.6567	6.7097	6.6858	4.9155	5.6839	5.0681	4.6689	7.2202	5.1846	6.7591	6.451	4.7703	5.1668	5.5797	5.4145	6.5387	7.1353	5.1352	4.7351	5.3662	4.4688	6.4591	5.1944	4.6503	6.6426	4.6995	6.0296	5.1191	6.1847	7.0681	4.8725	5.4428	4.8895	6.5246	7.0578	6.3349	6.3737	6.7232	5.4634
EA_G__LIMCH1	7.6729	7.1979	8.1876	6.1613	5.42	4.5467	6.3037	6.0626	7.395	7.1166	6.8517	6.8013	4.1516	7.2452	5.1939	7.2528	7.5119	6.9764	7.6972	7.1046	6.2167	7.687	5.8547	5.5204	6.7916	6.0262	7.6843	6.9463	5.4395	7.1263	6.3067	7.1549	4.6569	7.9684	7.7513	7.9734	8.5039	7.5117	5.6847	7.0369	4.9648
