Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM102PT	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	UACC893	ZR751	ZR7530	ZR75B
EA_G__SPARC	4.5171	4.8293	4.5504	4.2699	11.8832	4.6628	11.3015	6.7226	5.1153	9.4855	4.3425	4.5079	9.4465	4.4679	6.789	4.6287	4.7111	4.3059	10.9051	4.8481	12.1508	4.9966	4.6314	6.3594	12.8203	6.4311	7.2862	4.4453	12.4428	4.7077	5.2404	6.4279	4.8983	4.5518	8.4651	5.4089	10.5706	4.7633	4.8747	4.5219	4.6737	5.388	4.7502	5.2492	4.5409
EA_G__EHD2	7.3175	7.175	6.3603	5.9076	9.1305	7.8483	9.2984	8.6393	6.4028	8.256	6.0272	6.5969	6.0329	8.7643	7.588	8.5066	7.2154	7.8595	7.7524	8.1121	9.9391	6.6247	6.7547	7.943	8.9681	7.5343	7.6772	6.0786	8.2494	6.2251	7.1402	6.3427	7.063	8.5541	8.4964	8.0041	9.1996	6.4192	9.2335	7.4684	6.7046	6.3061	6.9207	7.7155	6.7111
EA_G__HDAC2	6.7153	6.747	7.0578	6.167	6.6431	6.4113	7.1337	6.9761	7.2984	6.983	6.4842	6.0039	7.0528	6.5693	7.1402	7.1866	6.2847	9.5415	7.1172	6.7302	6.9559	6.6858	6.5704	7.2637	6.7192	6.2857	7.3268	7.0509	6.3683	6.7625	6.6287	7.528	6.2293	6.4072	6.5104	6.8425	7.5238	7.2283	6.4637	5.9981	7.0068	7.2679	5.7278	5.9362	6.9298
EA_G__ANKH	4.7353	6.1321	5.4319	5.8632	7.5366	6.1278	7.6402	8.4813	9.0894	8.5155	4.6888	6.49	7.8379	8.1721	8.2302	6.7129	4.9062	5.1636	6.8831	8.2345	8.8695	6.0957	5.1663	7.006	7.9234	5.9965	7.4819	6.675	4.8461	6.5143	5.6252	7.7873	6.0369	7.6483	7.6275	6.1743	8.3735	7.4034	7.2997	4.911	7.1822	5.059	5.0068	4.9226	4.9094
EA_G__SGK	4.2316	5.0406	5.4106	5.3314	9.0838	4.1858	8.9845	8.9248	4.3511	8.7011	6.361	5.0384	6.6596	7.7021	7.7639	6.6802	4.4304	5.1726	7.019	6.1623	9.2354	5.1628	5.3706	5.9424	8.3272	5.1426	8.4342	7.6622	3.713	9.8637	5.0158	7.9203	4.8986	9.538	9.7393	8.7562	8.0896	5.5156	7.5815	4.7744	5.5835	6.797	5.6857	4.6742	5.0778
EA_G__OXCT1	7.2396	3.8296	8.4114	6.6974	7.6963	5.013	7.8727	7.1334	8.0745	7.4034	7.2139	5.189	6.4591	7.4007	8.9635	7.5756	6.782	7.5346	8.2972	9.2401	7.5998	4.8802	6.6138	7.6144	8.2942	6.3135	6.3182	7.2839	6.4151	6.6497	7.5831	7.4861	3.8325	6.6026	7.0297	6.6852	8.4107	4.7164	4.0608	4.1641	7.1322	8.8827	7.5781	6.6738	6.675
EA_G__TBC1D9	7.4411	8.3535	7.6125	9.4084	6.2048	8.2922	6.5655	5.6316	6.1005	6.2244	8.751	9.4283	6.6935	4.8845	6.4304	6.9985	7.2152	7.8677	6.602	7.9176	7.5388	8.4629	10.3338	8.8604	7.3339	8.5367	7.0702	9.0012	8.2913	7.3994	6.6536	7.5585	7.897	7.2012	7.062	6.6687	7.2625	9.282	7.818	7.18	7.4421	8.7903	7.7944	7.915	8.5484
EA_G__CYP2J2	7.5609	6.4435	6.7259	6.0601	4.78	5.8339	4.8267	6.1137	5.5908	4.6398	7.7706	6.8903	5.9356	4.8007	5.9878	5.8329	6.8396	7.4097	4.6187	6.0827	4.8923	6.3696	7.0868	5.2002	4.2793	4.9988	5.9153	7.5381	8.3749	4.7865	5.4937	5.6165	7.2803	6.3689	4.893	5.2515	5.3152	6.042	5.895	5.9996	6.2447	6.2343	7.9614	5.8812	6.8202
EA_G__SLC2A10	9.6698	7.9608	10.7486	9.8002	6.8356	10.1507	8.164	6.4242	5.8402	6.8335	11.2291	7.9253	8.8672	6.5273	6.8478	6.7776	6.6976	10.3875	5.8592	7.7648	6.767	8.3111	8.0817	7.3966	8.4211	10.4721	6.001	10.875	10.7141	7.1378	9.5163	6.321	8.1679	5.5527	8.2501	6.9448	5.9196	11.5189	9.9163	7.1665	9.4465	10.1347	10.4236	11.0404	9.4271
EA_G__ADAM19	7.0925	6.7177	5.0563	5.4713	6.7155	4.8301	8.5323	7.786	6.0565	6.9025	4.6711	4.9038	6.0687	6.2888	5.1522	5.7544	5.1512	5.8864	6.6231	5.7394	8.7117	5.4742	5.4706	5.9616	8.544	6.158	7.72	4.7314	6.6282	6.9773	5.6521	4.8965	7.3337	5.3309	8.5251	5.7288	5.9389	4.9755	6.095	5.2166	5.0739	5.4624	5.4023	5.4397	5.2444
EA_G__SLC7A2	4.1619	5.7925	6.7311	8.2218	4.0757	8.7507	4.8287	3.7876	4.1333	4.9639	5.9544	8.7823	6.0163	5.3979	3.8374	4.2238	6.6085	3.8787	4.037	3.9158	7.6908	8.0985	9.9521	5.9318	4.9481	6.4416	6.383	6.6805	6.0503	5.5324	4.4132	4.6343	4.5285	6.4926	4.1797	5.4227	8.1212	5.8559	4.0673	3.9632	7.5091	3.9481	7.2721	3.9987	8.5677
EA_G__CRIP2	10.4931	10.8373	10.9609	12.0226	9.889	9.8807	8.4484	8.4184	9.5757	7.1672	11.6983	10.5287	8.4838	7.4709	7.5177	8.5105	10.8318	9.9585	8.7795	10.025	8.8842	10.8957	10.0144	10.4003	9.5079	9.8837	6.5594	11.1565	9.5562	7.2181	9.9669	9.0374	10.9026	7.0788	9.354	8.7135	7.478	11.0502	8.721	10.6665	10.0145	10.979	10.3347	10.6863	10.564
EA_G__B3GNT5	3.7793	3.4685	6.1603	3.4095	7.3741	3.4778	6.2026	6.7891	7.2792	5.5026	2.7919	4.23	7.8987	8.0016	8.0347	8.5495	3.517	6.1118	8.2947	8.3827	5.2203	4.1337	3.8927	3.425	6.7749	3.9863	6.2757	6.2889	3.2818	6.8772	5.3898	6.3645	3.9481	9.0181	3.9823	7.6143	8.2305	3.8217	4.389	4.0838	4.0239	8.6121	3.3395	3.7285	3.122
EA_G__UPP1	5.4549	6.1015	5.448	5.1849	6.6737	5.1357	6.4721	6.9823	5.3696	6.6838	4.889	5.2305	5.3407	7.4135	7.397	7.9997	5.1198	5.3149	6.9028	6.2895	6.4335	5.6169	5.127	5.3567	6.8378	5.5727	6.9034	4.8709	5.1442	7.6244	5.3505	8.3399	5.686	8.8184	7.1274	6.5287	6.8426	5.5523	5.5613	5.6237	5.6119	6.1904	5.0034	5.6276	5.0762
EA_G__ACOT4	7.9904	7.5193	8.1776	7.8059	5.4917	7.1285	5.342	6.0694	5.512	4.9214	7.8169	7.2952	5.7055	6.1858	6.3676	5.3287	5.4342	6.8359	5.1841	6.5305	5.4131	6.8139	7.1462	6.5896	6.7919	5.8255	4.9953	6.0179	7.6577	5.8164	7.627	6.8348	7.675	5.8886	5.6212	6.388	5.26	5.4872	6.8487	8.7934	8.7735	7.5333	6.8973	6.4895	6.3898
EA_G__EPHA2	9.1154	8.5414	7.3461	6.8444	9.4567	7.1665	9.5499	8.6973	7.4528	7.6542	8.0337	6.4815	6.9884	9.9389	10.0314	10.1517	7.8157	8.3948	9.354	8.7865	9.6476	7.7947	7.5449	6.8313	9.4881	8.1785	10.4042	6.9463	7.1418	9.3141	7.4838	8.4318	8.3671	9.7141	8.6969	9.6151	9.4186	8.7254	7.5725	7.0417	7.2961	8.9298	6.8289	7.8989	7.5115
EA_G__TGFBR3	6.5099	6.7991	4.4764	5.0756	6.1711	7.4151	7.5172	5.2755	5.2617	8.7465	5.9379	5.4751	5.3792	6.5962	8.4593	5.5511	5.8642	6.5754	5.6738	4.7788	7.5407	5.0052	5.0281	5.1701	6.7982	5.5957	7.4513	5.4792	6.559	7.2916	5.1781	5.9003	5.1645	6.5678	7.6446	6.5163	7.7885	5.2928	6.1309	4.9654	6.4007	6.143	4.9888	5.7522	4.6663
EA_G__PTBP2	6.4415	7.2314	6.6012	6.7424	7.4693	7.969	7.2658	6.7197	7.4457	7.0102	6.2017	6.8719	7.038	6.114	7.7229	7.0862	6.4489	6.1892	7.3498	7.0678	7.4414	5.4425	6.7625	6.7048	7.2886	5.1418	8.2313	6.6261	6.8417	6.964	5.6934	6.5544	6.5126	5.4014	6.8487	6.6015	7.5655	6.5175	6.4271	6.3348	6.1613	6.954	5.6732	6.3707	6.3614
EA_G__TCEA3	8.2375	5.9539	6.0256	7.4926	5.0487	8.8314	5.784	5.0673	5.5704	6.1196	8.0815	7.159	8.4022	5.5647	6.6279	5.2515	8.1284	5.1551	5.0747	8.4357	5.064	6.9062	6.2141	6.8153	5.6284	7.255	6.534	6.4577	8.4136	5.2794	7.6133	5.5343	5.6212	5.449	5.6072	5.5857	5.4579	6.1439	8.5451	7.826	7.9185	7.6275	9.0069	7.6162	8.328
EA_G__CYR61	8.1331	7.5718	6.2582	7.0497	10.1687	6.6562	8.8855	8.8232	5.6125	7.8517	6.3522	6.707	7.4924	7.1965	9.2169	9.0015	6.8394	7.3317	9.6694	7.091	10.623	6.3553	5.982	5.9694	8.6434	7.9536	11.0584	6.8937	6.6652	8.3874	6.7454	7.6251	8.1061	6.3948	10.084	8.4031	9.4395	6.6971	6.4717	6.9073	7.0874	7.2997	6.1877	8.5372	6.0361
EA_G__TMEM63C	7.9641	8.592	8.7886	7.8238	4.5419	8.2991	5.1121	4.5942	6.0379	5.3185	8.5746	8.1623	7.3653	4.9035	4.698	7.1967	8.3326	7.5247	6.3223	7.3911	4.2781	5.8289	6.3846	8.1346	7.6805	8.2487	4.4405	7.4794	8.0082	4.2713	9.2885	4.4969	7.5344	8.1459	4.2336	4.6113	4.8724	8.902	7.7339	5.4872	9.4194	7.9501	7.6357	8.1439	6.3547
EA_G__RND3	10.1573	7.8999	6.1271	6.4514	9.3787	6.5605	8.5919	9.1991	7.1835	8.7782	9.0163	5.1647	6.6321	8.5989	9.4839	9.9065	8.1357	10.6716	9.4119	9.3223	10.8501	8.1155	8.1217	8.3319	9.0663	8.8121	9.5673	7.2105	7.5672	10.0562	7.4692	8.5887	7.9216	9.6231	7.9453	9.0072	8.2004	7.6541	8.1492	7.8509	4.3407	8.9943	5.9197	8.3125	5.8057
EA_G__SRPX2	4.1973	4.7095	4.3877	4.2742	4.2844	4.0862	5.6395	5.4767	4.4034	6.441	4.0076	4.3344	4.1716	5.7482	7.5426	8.5976	4.5518	5.2662	6.331	9.6519	7.1681	4.5453	4.3283	4.2355	4.4019	6.2141	5.4315	4.1632	5.0324	6.2722	4.908	6.6739	4.8403	7.9095	6.884	6.2682	6.3809	4.7994	4.7459	4.5637	4.38	5.2552	4.4076	6.9111	4.1805
EA_G__C19orf21	9.6189	9.4483	8.7564	8.9369	5.9232	8.5724	5.9774	8.5302	5.5468	5.8788	9.3517	5.2243	6.8438	8.0179	8.5636	8.8702	8.1843	9.7186	5.4781	6.6279	5.5706	8.7843	8.5778	8.8654	5.7745	9.6936	7.9411	8.8758	8.9668	7.1158	6.591	5.886	9.9506	9.3039	5.9944	6.0195	5.6263	8.618	8.3524	7.9338	8.3996	8.3519	8.8792	8.9167	9.0596
EA_G__CDH1	9.4474	3.8156	10.2402	10.823	4.1816	8.2155	4.0369	9.3623	7.7169	4.0645	9.8984	10.4438	8.4461	8.5324	9.4381	9.6232	10.1534	4.383	8.3525	9.6597	4.2637	9.9596	10.2763	6.5768	4.0202	10.0856	3.8114	11.1983	10.3286	3.8855	7.0185	8.4138	4.1026	9.4372	4.9675	8.714	4.0229	9.5589	9.2285	9.8379	9.9968	10.255	10.6397	5.7449	10.3255
EA_G__C6orf211	7.1167	7.5529	8.0371	8.9695	6.4566	8.8642	6.897	6.4826	6.1229	6.7659	8.2246	9.54	7.1196	6.925	6.4815	7.7673	6.107	8.0926	6.2859	6.6822	7.1049	9.1159	9.3817	8.8041	6.4438	8.1352	7.1002	9.6383	8.3855	6.6972	6.2112	7.3962	6.8191	7.0519	7.0987	6.614	7.3027	7.2231	8.1988	7.496	8.4447	7.6335	6.9121	6.8186	10.4963
EA_G__BCAS1	7.6511	9.0168	10.5313	7.3913	4.4087	6.403	4.8708	4.3423	4.4869	4.5984	10.3867	6.7622	4.1964	4.6724	4.3328	5.14	7.4981	9.0372	4.5142	4.3987	4.438	7.9077	7.2716	6.6171	4.3473	7.9229	4.8844	7.3564	9.719	4.4918	5.6839	4.3173	9.8324	4.6518	4.4616	5.0177	4.8637	7.8706	7.9093	7.3722	7.4533	8.4832	8.0127	10.0374	8.1104
EA_G__PDCD4	8.7451	7.2221	9.1525	9.6114	6.9065	9.7468	6.1232	6.4642	9.1019	7.7495	8.5973	10.2921	6.4907	5.6176	6.6294	5.985	8.6672	8.9419	5.47	7.9542	5.877	8.1806	7.8868	8.306	6.0254	8.0429	8.695	9.6332	10.4832	5.8717	8.1844	7.2464	6.4457	9.0451	7.2904	6.741	5.8866	7.7702	7.9408	8.9593	9.1703	9.0652	10.8018	8.0638	10.2493
EA_G__TMEM86A	7.6884	6.4556	7.9473	6.8599	4.9403	6.4644	6.0208	5.4973	5.6342	5.8239	8.5714	6.3085	5.762	5.926	5.7045	5.7253	7.6555	7.3806	5.8631	5.8009	5.1528	6.1998	6.2003	6.8156	5.8978	7.248	5.4022	8.2918	7.6789	5.5458	8.1152	6.1145	6.5041	6.1566	5.7141	5.8456	5.6566	6.9858	7.4011	6.777	7.7605	8.6329	9.1894	9.7284	6.9478
EA_G__ANTXR1	5.3638	5.021	6.2803	4.3643	8.3203	6.4484	7.697	7.9829	6.8212	6.5266	4.5447	5.1114	6.4815	6.0603	7.8974	7.4695	4.5918	6.41	7.5128	8.5385	8.4815	6.8244	5.5532	4.8534	9.1346	5.6954	7.7099	4.9336	5.5327	8.2659	5.7268	7.7026	5.1019	6.795	7.686	8.0006	8.3681	6.3598	6.7588	6.3156	5.2435	4.7063	4.9089	5.2067	5.114
EA_G__RAPGEFL1	8.115	7.7646	6.1232	8.7161	5.978	6.5795	5.369	4.9558	6.0299	5.6241	5.6552	10.077	6.4717	5.3366	7.5171	5.0197	5.3495	5.3794	5.4444	6.1792	5.1847	7.0274	6.1289	8.0831	5.5754	7.4461	5.9926	5.5345	5.1585	5.0872	5.0997	6.3095	7.8168	7.9098	5.8965	7.0462	5.6465	4.9533	7.3086	7.7411	12.0503	8.9024	6.1056	5.6449	7.5132
EA_G__CRIP1	8.4336	5.31	9.7731	11.423	5.334	5.4641	5.5377	5.3474	8.9387	4.8935	11.7544	5.561	8.2598	7.0206	5.2656	5.5827	7.7479	5.8054	5.3255	8.2606	5.0561	5.5382	5.4859	9.0144	5.3967	8.9139	4.9174	9.2424	6.8474	5.2885	7.5698	5.13	5.9588	5.398	5.2163	8.9972	5.2167	5.7411	5.2574	9.2766	9.2825	10.7322	9.7626	7.8381	10.5449
EA_G__SPDEF	9.8828	10.1908	10.7931	10.5658	5.6685	11.013	6.2657	5.9359	6.1425	5.7703	10.7443	9.8237	6.0475	6.0136	6.4407	7.5494	10.9979	10.0929	6.9762	6.3194	5.7139	10.0469	10.246	9.7584	5.6466	10.4039	7.0764	10.5661	10.3098	5.6631	10.5877	9.537	10.0553	5.7384	6.1331	6.4231	5.9152	10.0886	10.6581	9.6624	10.226	10.1083	11.1169	10.7321	10.8329
EA_G__CACNA1H	6.0676	6.82	7.2696	9.4583	6.1214	6.1458	7.018	5.7582	6.1617	6.0673	6.1627	6.4997	7.3923	6.3318	5.8868	5.9737	6.2978	6.1446	6.0735	6.2132	5.9137	8.2955	7.6072	8.1588	7.4458	8.0116	6.0461	7.8382	5.8969	6.3647	6.8471	5.7131	6.4679	6.1379	6.0852	6.2573	6.1246	6.197	6.8091	7.2879	8.0756	6.4027	6.2936	7.9896	7.955
EA_G__FSTL1	6.3208	6.1624	7.111	6.4291	11.8037	4.1138	8.0435	4.7382	6.2309	9.2198	4.3438	6.6183	6.5907	7.6625	10.1327	8.6742	4.1313	8.2704	9.5531	8.6378	11.1061	4.3358	4.4994	4.4241	11.153	6.2928	8.265	4.5749	4.7229	10.6526	4.7707	8.5027	6.2699	7.0024	8.5073	9.2021	9.4467	3.6254	5.1479	7.162	4.0235	4.0057	4.5517	5.9264	4.4062
EA_G__LOX	4.0749	4.3528	4.4889	3.8604	11.8002	3.914	6.3952	6.6246	6.7898	7.5504	3.5531	4.0064	8.533	6.0924	5.0426	3.8545	4.5193	6.5508	7.0379	6.2016	11.1703	4.2671	4.1135	3.8759	8.062	4.1215	7.2851	4.4892	3.6242	7.0178	4.1681	5.7811	3.9021	6.8512	11.4184	9.062	6.3026	3.8599	4.396	3.8898	4.255	3.6751	5.2499	4.1958	3.5707
EA_G__DSE	6.5087	4.9218	5.6022	4.7233	8.355	4.9347	7.9989	7.6562	6.4394	6.6805	5.0587	4.8985	7.5324	6.6408	7.9313	5.3415	5.3874	7.9374	7.4554	8.003	8.3474	5.6499	5.7104	5.3844	8.2435	5.5075	7.6652	6.1001	5.1929	7.8005	5.5859	5.4654	4.9368	9.2396	7.761	8.7834	8.6778	5.2952	5.2387	5.0241	5.9327	5.6865	4.7765	5.7247	4.927
EA_G__TGFB2	8.6086	7.8164	3.7069	9.2193	8.588	6.9572	7.9395	10.7977	7.555	9.4652	4.3705	3.9796	5.5356	6.4676	8.377	10.1452	8.5107	9.3163	9.5593	8.9543	9.47	6.2555	6.1774	3.7395	10.108	7.0037	10.0626	5.2703	6.8137	8.0111	4.9299	9.6945	7.8379	8.9621	7.1376	11.2373	8.4518	5.0337	6.8578	6.7752	5.3196	9.358	4.1757	9.6894	4.3058
EA_G__DENND2D	9.997	9.4962	7.6366	9.6926	5.0582	10.5443	5.0932	6.6694	5.7422	5.009	8.94	8.9067	8.0075	7.518	8.247	6.8982	8.6752	5.336	4.9887	9.91	5.1395	9.0231	9.3336	9.4078	4.9272	8.8728	5.2654	8.4821	9.6716	4.8617	8.3451	9.9052	9.1582	7.3402	5.3816	5.7459	5.3505	7.6687	9.5729	8.9438	8.6823	7.7926	8.5828	9.0024	8.5644
EA_G__ZNF750	6.7199	7.3482	6.7097	6.6858	4.9155	5.6839	5.0681	4.6689	7.2202	5.1846	6.7591	6.451	4.7703	5.1668	5.5797	5.4145	6.5387	7.1353	5.1352	5.3662	4.4688	5.7987	6.4591	5.1944	4.6503	6.6426	4.6995	6.0296	5.1191	5.0527	6.1847	7.2245	7.0681	7.3181	4.8725	5.4428	4.8895	6.5246	6.3349	6.3737	6.0345	6.0842	6.7232	6.8005	5.4634
EA_G__ABCC11	4.9799	5.0771	8.9135	5.5246	4.3409	6.068	4.4537	4.3488	4.5022	4.3945	9.0536	6.4968	4.3846	4.531	5.3781	4.6172	7.1058	5.5215	4.3978	4.7067	4.5984	4.5406	4.9815	5.9853	4.152	8.7674	4.4954	7.3019	6.4495	4.468	9.0235	4.202	6.726	4.5602	4.427	4.9806	4.4854	9.756	8.4576	9.3681	8.0366	7.2449	9.5692	9.4496	4.8818
EA_G__SPATA20	8.607	8.2653	9.8882	9.1813	8.1514	8.139	8.2593	8.3121	6.1306	8.2299	8.5791	8.2522	8.7598	7.2456	7.3484	7.5176	10.0703	6.5447	7.6949	6.7962	8.138	8.7451	9.2789	7.7178	8.0638	8.4625	8.5716	8.8268	8.9717	7.8041	8.4922	7.2017	7.7205	7.8669	7.4663	7.7456	7.3248	7.3058	7.8187	8.4599	8.4633	8.1037	8.1349	8.6816	8.717
EA_G__CAPS	10.7823	9.0478	7.9658	9.4653	5.8603	7.0129	6.1867	6.1536	6.1463	5.8143	10.8287	7.3341	10.5962	5.7871	6.0836	6.8688	6.898	6.3952	7.0283	6.1385	5.7156	6.4196	5.9889	7.0841	6.3328	9.9621	5.8726	8.5837	6.55	5.9006	7.1682	6.7698	9.0415	5.9625	6.2687	6.1294	6.116	11.1088	7.0327	6.4839	7.9726	9.0677	6.3301	7.1219	6.3652
EA_G__EIF4E3	7.0364	5.4824	7.2474	7.4659	4.5878	5.0746	5.5138	5.3437	6.8688	5.5045	6.8369	7.0819	4.3997	5.1302	6.239	6.0991	5.1057	6.1237	6.53	4.8672	5.1393	7.2438	6.8172	5.9784	5.9235	6.9772	5.0888	6.9388	6.4891	7.2105	8.7185	6.7985	6.0213	7.15	5.1767	5.775	5.6633	7.4823	7.2701	7.191	8.1294	4.5177	6.33	8.3075	6.6383
EA_G__CD44	5.0643	6.221	5.8402	7.147	9.4203	5.0229	8.9066	11.129	6.7431	8.6542	5.9841	8.2408	10.1261	11.6066	10.3665	10.8891	4.2923	6.5189	10.2825	8.932	10.7718	5.0212	5.5111	8.1534	9.6122	6.1197	8.8998	8.3912	8.3341	9.5925	5.0009	10.3164	5.3355	10.4721	9.4761	9.5375	9.1489	4.4169	4.2538	7.4487	7.7525	6.8486	7.9545	7.7468	4.4431
EA_G__ATP2C2	7.3612	7.1301	8.2179	7.788	5.3497	7.7028	5.2331	5.9351	5.1224	5.0997	8.4417	7.4719	5.2602	7.0346	7.169	5.8961	7.2734	8.3016	6.6985	6.8254	4.8393	8.5253	8.1187	6.7656	4.7757	7.7212	5.1175	7.5495	8.7963	5.0799	7.9613	7.5006	7.5787	5.8326	5.4452	6.4738	5.2595	8.2752	6.7796	7.0768	7.274	8.2264	7.6677	7.6717	6.6969
EA_G__GPX1	10.2914	6.6074	10.0255	6.4332	9.521	9.8669	10.5247	9.3434	6.2869	10.2073	9.7081	8.4087	6.2304	9.3709	10.6769	10.1513	10.0008	6.2999	10.699	10.1105	9.8717	6.0935	6.4483	9.9092	7.1531	6.2273	10.1702	10.003	8.6833	10.9678	10.1856	9.2024	6.5478	10.8948	9.3792	10.175	10.1287	6.4856	6.3658	6.0835	6.0718	9.7448	6.1269	6.5552	6.5288
EA_G__ELF5	4.2981	5.8202	7.3218	7.309	4.3044	4.9445	4.6138	5.2392	9.8355	4.3338	6.7358	7.7811	4.6943	4.4652	6.239	4.271	7.1992	7.4263	5.3967	4.411	4.0815	6.4913	6.7385	4.4565	4.0654	7.7369	4.2349	6.8165	4.3561	4.3397	4.6392	5.7308	6.1555	4.4508	4.6482	4.6594	4.1047	8.7989	5.8785	8.5803	7.339	5.5081	5.3151	4.6994	6.8873
EA_G__CDC42EP3	9.0257	7.1684	6.4466	5.5439	6.0591	5.2021	8.0448	8.6114	5.8992	7.0122	6.1762	6.0531	6.2691	8.2591	7.7353	7.5788	6.1763	7.0087	7.4932	6.5898	9.4579	5.4725	5.3958	6.2346	7.5972	6.5662	9.2612	6.0781	7.1779	8.1474	5.7903	7.7506	7.6114	7.8489	6.5633	7.1839	7.8793	6.2241	8.4548	6.881	6.5467	7.8879	5.3772	7.2264	5.4262
EA_G__C3orf14	7.1203	7.3072	7.9076	7.1029	6.9583	7.4013	6.7338	2.6217	4.8057	6.2124	8.1857	7.2363	5.9098	4.7573	6.6061	3.3429	7.6641	7.1222	5.897	5.5153	6.8306	8.5062	8.6206	8.6997	5.5483	6.1287	6.9514	7.3778	5.6174	6.2698	7.1317	6.3466	7.1147	6.4855	5.7149	5.6834	7.1176	6.801	6.6653	5.9565	8.4885	7.574	7.6724	7.5997	6.9621
EA_G__MEGF9	7.0461	6.094	8.7061	7.4811	5.822	7.6443	5.7505	5.9558	7.2222	6.1581	6.9122	9.1405	6.0661	6.5113	6.1046	6.7453	7.5722	6.5073	5.9738	6.3046	6.2887	7.6627	7.5047	7.6915	5.9312	8.2692	6.1493	9.7645	8.6638	6.12	7.6239	5.9218	6.2421	6.9981	5.741	5.513	6.3937	7.5167	7.5806	8.0296	7.315	8.4113	8.3711	7.6681	7.4477
EA_G__KIAA1324	9.1151	8.7391	9.9689	9.3165	4.7668	10.7206	5.1131	4.988	4.7104	4.92	9.8157	9.2718	5.0802	4.8433	5.3249	5.2066	8.5814	8.9328	5.2349	6.1461	4.7633	8.0162	10.4682	9.8777	4.8393	8.4161	5.5117	10.5581	11.1607	4.9792	8.8761	8.5655	8.3421	4.8408	5.2686	5.0444	5.1043	8.8778	9.1857	8.7249	9.1258	8.1983	9.4421	8.9984	8.6387
EA_G__PHLDB2	5.7212	5.3408	5.7194	4.9969	8.6835	4.4439	6.5496	6.4181	4.4526	5.8504	5.3834	7.5781	3.7571	7.6237	8.9054	8.6763	5.2838	5.8088	7.6562	6.4523	8.0371	3.6151	5.7272	3.3209	7.538	6.4464	7.4978	5.7096	8.3029	8.3139	4.8409	6.7974	4.7423	8.2984	5.2801	7.3468	7.9553	5.0748	5.1493	4.1791	6.0091	8.4273	3.5286	6.9273	3.6532
EA_G__SERPINE2	4.0868	4.5291	5.0367	4.5921	8.5856	4.3339	6.949	6.6648	6.196	10.0503	4.0924	4.3624	6.511	6.4522	5.0436	6.2877	4.351	4.4667	7.9244	4.4716	8.6674	4.8736	4.5462	4.2566	7.5002	4.6258	6.157	6.2779	4.8582	7.752	4.7758	5.2379	4.3674	8.3752	6.3207	7.4697	5.5084	4.4828	4.6027	4.4743	4.4909	4.3923	4.3197	4.807	4.6893
EA_G__ATP2A3	6.4418	10.1714	10.4885	9.4747	5.8486	6.8611	6.7855	7.2042	6.2893	6.6021	10.5171	6.5551	6.2867	6.3948	6.3348	5.8829	8.8228	9.0422	5.9762	6.0371	5.8594	9.182	10.404	7.3743	7.3485	9.1894	5.9051	9.8146	8.7424	6.6343	7.2988	5.8833	9.8741	6.031	6.0386	6.5756	5.9371	10.2892	7.2415	8.8388	8.334	8.8456	8.8984	6.6488	9.8977
EA_G__PLAU	5.9385	4.9315	4.8841	4.8479	8.6933	4.4801	6.9891	8.7436	5.0131	5.279	4.9719	4.9397	4.9615	8.8449	7.0979	4.7291	5.766	6.7666	5.7082	6.0511	8.372	5.0009	5.0307	4.8073	7.1008	5.1139	9.1058	5.2563	4.9718	8.7948	5.5771	7.4528	6.7449	7.6762	11.4254	6.0597	6.0434	5.0122	5.0896	5.0643	5.9255	5.0427	5.1345	5.0074	4.9608
EA_G__TM4SF1	10.5837	9.103	7.0223	10.4072	10.5797	6.7515	7.1555	10.7816	9.0133	9.5101	4.7912	8.7278	11.0193	8.0929	10.0698	9.8907	7.6939	10.7058	8.5726	11.0964	10.8372	6.659	6.9126	9.4039	8.5816	5.4335	10.4572	4.2343	10.6986	9.4283	10.1197	9.8954	8.2184	7.9622	11.0903	9.3613	9.8035	4.5973	8.9507	6.8106	7.9421	9.7508	9.8794	9.0782	5.3992
EA_G__CNN3	8.4208	5.6037	7.712	6.7753	9.0177	9.2162	9.186	8.9063	8.3886	8.6155	9.2855	7.7128	8.5625	7.7239	9.4372	9.1471	8.8511	7.7323	9.3889	9.7946	9.0441	4.2049	3.5971	9.1817	9.392	8.0108	9.5909	8.2272	9.1239	8.1729	9.3042	9.1002	7.601	7.1549	9.0462	8.283	8.3459	8.3036	8.6341	8.8297	7.4936	6.5196	8.3843	8.5096	4.7103
EA_G__ITGA6	6.7446	3.5983	6.6671	6.3461	7.6542	5.1661	6.8924	9.2656	5.7846	8.5126	7.5573	5.6742	7.6857	10.5288	10.3204	8.9874	5.8986	3.6557	8.6883	7.0879	7.2968	4.2723	3.9472	7.6904	6.793	5.9178	8.1442	6.6046	8.5089	7.6112	7.7496	7.938	4.1794	10.7535	7.3789	8.221	8.2275	6.6701	7.5001	6.7193	7.6797	8.0979	6.882	6.6226	4.358
