Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM102PT	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	UACC893	ZR751	ZR7530	ZR75B
EA_G__CDYL2	7.3631	7.0718	8.2646	8.9194	5.849	8.0675	6.0964	5.272	5.5548	5.3771	8.4468	8.5447	5.8033	5.7483	5.7744	7.8384	8.2642	8.1388	5.639	5.97	6.2366	8.7179	8.367	8.0456	5.4427	8.2305	6.9612	8.487	8.1416	6.4887	7.5519	5.2961	7.1617	6.6979	5.9508	5.5106	6.3854	8.3072	7.6963	7.086	7.575	8.0785	7.7872	8.1768	6.4997
EA_G__GPR137B	7.3173	7.3696	7.4089	8.1599	7.0778	7.3259	6.5502	6.2259	6.8084	6.4613	8.107	8.2884	6.8585	6.7126	6.9986	6.5121	8.0507	7.6793	6.8539	3.5024	4.7996	6.656	7.7104	7.9816	7.3236	7.799	6.6327	7.212	5.9258	7.5814	6.6425	6.7756	7.1303	7.1856	6.8735	6.4763	5.6081	7.6708	7.3033	7.8159	7.0711	7.502	8.8563	9.3997	7.0471
EA_G__SLC39A11	8.0039	7.6914	7.5502	7.8772	6.5108	9.2791	6.7062	6.8888	6.8928	7.3307	7.5156	8.6527	7.168	6.3672	7.0764	7.36	8.9869	8.1172	7.0266	7.8446	6.3549	7.9397	7.9691	7.1896	7.3801	8.435	6.5379	7.9556	9.0344	5.9575	6.4632	7.6117	8.3686	5.9832	7.2705	6.1905	6.1289	7.8538	6.7183	7.9721	9.1536	8.162	9.6432	9.0248	8.6471
EA_G__EGFR	7.0647	8.2975	7.0644	5.2572	8.4673	4.4568	7.2387	8.684	8.52	7.7874	4.1842	5.2693	6.4645	8.6796	8.6335	8.7636	6.7396	8.5062	8.3438	8.6417	8.6737	5.6004	4.6993	4.237	8.2983	6.3225	9.1647	6.6811	4.4528	8.5708	5.0546	10.3181	8.2905	9.6404	7.1305	9.1228	7.7843	5.1254	4.8298	6.2005	4.4951	8.1127	6.3168	5.0316	5.4392
EA_G__XBP1	11.283	10.9214	11.4285	11.4319	8.6723	11.3432	8.8291	8.5408	9.0517	9.4895	11.6752	10.8517	8.688	9.1233	8.734	9.1933	10.7393	11.2423	8.6586	9.7409	8.5637	10.908	11.5332	11.3709	8.4505	11.6948	8.6487	11.8604	11.6993	8.5579	11.4718	9.2858	10.6695	9.9592	8.502	8.3625	9.0461	11.0474	11.1636	10.9799	11.4501	10.4703	11.6409	11.3098	11.6006
EA_G__GATA3	6.1846	6.0285	9.1018	10.8993	4.9681	10.7896	6.1487	5.7457	8.0649	4.7885	9.427	10.3545	5.8406	7.0576	7.0787	7.9689	10.1018	9.3687	5.6591	8.1065	4.9955	10.3924	10.9892	10.6143	4.5959	9.7188	5.609	9.224	9.5855	5.1752	9.916	7.3519	7.2562	6.6393	6.9	7.9032	5.883	10.1592	9.5042	10.5263	10.2285	8.1247	9.6733	9.3112	10.1029
EA_G__DCBLD1	8.0507	7.3596	6.569	5.4158	6.654	6.1741	8.4015	7.8853	7.573	8.619	7.2112	6.2603	8.716	7.3743	8.3283	9.1338	6.5455	9.7068	8.8283	8.1033	9.1712	7.6008	7.0742	7.695	7.9422	7.6603	9.4711	7.2718	7.6412	7.2028	7.4242	9.2099	6.6999	8.5466	8.6572	10.4023	9.4362	6.8646	7.0277	6.9867	7.219	7.0936	6.199	6.4776	6.7029
EA_G__STARD10	8.7444	9.3189	9.838	10.3464	6.9657	8.9884	6.4416	7.0812	7.6816	6.3309	10.6337	9.9114	7.9561	7.2257	7.6626	7.4036	9.0078	9.147	7.3262	7.4777	6.0307	9.734	9.5739	9.1011	7.4208	9.3232	6.2262	9.903	9.0237	6.5342	9.6166	7.8873	9.3077	7.2342	6.0593	7.4425	5.9183	8.838	9.3903	8.7334	9.6701	9.8082	9.2205	9.0721	9.5445
EA_G__CASP4	6.3019	7.5155	5.3109	5.4746	5.9578	3.3988	5.6448	6.0738	7.8177	6.3475	4.2606	5.0249	4.6603	8.3937	7.5857	8.3653	5.5842	6.3506	7.6006	7.609	7.1811	3.0831	4.2468	3.2894	6.8069	5.7767	7.2394	7.347	6.6588	7.0098	5.7453	6.3644	6.5478	9.1491	4.3336	7.0875	7.6942	7.0168	5.509	6.2177	3.4534	7.4753	6.0266	5.9055	3.7952
EA_G__ICA1	6.8007	4.2391	7.7109	6.3638	4.2132	7.1927	4.0661	4.9716	5.9258	3.7922	7.0962	6.1191	4.2211	4.1324	4.8164	5.9834	7.7682	6.8093	5.7834	4.0011	3.8101	6.8677	7.0587	6.9084	4.0082	5.8056	5.9475	6.8185	5.8066	5.8248	6.6253	7.2328	6.7251	5.135	5.4292	5.8257	4.0589	6.974	6.9839	7.286	7.3446	6.8797	7.8273	7.3063	7.4766
EA_G__MMP2	4.619	4.7727	4.5862	4.3656	4.9219	4.4867	6.4642	7.6929	5.7732	10.9422	4.4826	4.4733	4.9088	6.0595	5.4077	5.6186	4.9253	4.9941	4.6012	5.7767	10.3265	5.0395	4.9834	4.8745	9.8229	5.0684	4.6176	4.5248	5.481	7.0672	5.6996	6.143	5.2895	5.7591	9.6213	7.411	9.4531	4.7076	5.1411	4.8119	5.1935	4.771	4.914	5.5935	4.563
EA_G__ERBB3	9.6684	9.5479	9.4394	10.4453	4.3498	9.8292	4.7561	7.4364	7.8742	4.4095	10.05	9.2441	9.4138	7.239	7.3572	7.9625	10.1738	9.7082	7.3935	8.8706	4.0683	9.4649	9.439	9.5575	3.9776	9.4408	4.5784	9.6653	10.1482	4.6712	9.5168	8.6211	9.1277	6.0088	4.1238	6.8843	4.2234	9.5831	9.2288	9.7254	9.7608	8.9509	9.5803	9.8393	9.1455
EA_G__PIGS	7.5697	8.5192	7.5384	7.3005	7.0996	7.4286	6.7605	6.3865	6.7787	6.7768	8.2206	7.0898	6.9207	6.921	7.0373	7.7928	8.8838	6.9324	6.8199	7.0957	6.2242	7.1866	7.6895	7.3205	6.4457	7.3331	7.1863	7.4162	6.9111	6.5395	7.4132	6.4615	8.3361	7.1263	6.8413	7.2873	7.503	8.072	7.4937	8.455	9.3036	7.445	8.1412	10.136	7.9504
EA_G__ANXA9	8.5276	6.7661	6.2682	9.5791	4.8888	9.4956	5.7138	5.0476	5.9137	4.926	8.2202	8.4838	6.7228	5.7918	5.6264	7.0057	8.458	6.7506	5.056	7.3041	4.9863	9.2851	9.9914	8.5984	5.2292	8.5816	5.3425	8.1028	9.0798	5.6182	8.036	7.5301	7.942	5.7071	5.0301	6.1862	5.2573	7.8449	8.2312	8.9961	8.5833	8.3673	6.7036	8.9761	6.1409
EA_G__NEO1	8.3678	8.1311	8.4096	7.9551	4.4578	8.5612	7.2634	4.7627	8.6836	7.8939	7.5711	7.2029	7.98	4.5447	5.3175	7.4789	6.1497	7.0483	6.3222	4.2867	6.1454	8.0342	7.8392	8.7581	5.6569	7.7871	5.2894	8.4418	5.9796	6.1552	5.3117	4.2339	7.2067	7.5441	7.8876	6.2855	4.4395	7.8903	8.2012	7.4667	9.0972	6.3005	8.4778	8.2715	7.2
EA_G__CAV2	6.8437	4.5018	3.7097	5.5046	9.6475	3.2968	8.6311	9.8419	4.7699	9.5411	3.41	6.384	6.665	9.7361	10.2366	8.8897	6.038	6.3564	9.7925	9.1849	9.3055	6.8317	4.985	4.251	9.9149	5.9759	8.7015	5.0696	5.7687	8.6755	3.9831	8.9411	6.1201	9.7754	9.4274	10.0236	8.9668	6.5462	6.8936	3.7499	5.2992	6.7317	4.0191	4.6447	4.5273
EA_G__DEGS2	10.094	7.8298	10.9171	11.1362	6.9738	11.1875	7.0794	6.9282	7.169	7.3682	7.8178	11.8243	7.0946	7.2195	7.4204	7.132	9.2692	9.1281	8.1767	7.466	6.9471	8.7706	10.052	10.3736	7.0186	11.2507	7.0805	9.9454	11.6743	7.2836	10.5058	8.0862	8.2788	6.9093	7.3888	7.2168	7.1113	10.6843	9.5285	10.7139	10.7919	9.3138	11.6494	11.6226	11.3238
EA_G__ANXA1	9.3451	3.6072	4.0476	6.3945	10.2017	3.5434	9.8127	10.6675	5.6443	9.7178	5.7747	3.241	9.4661	10.3797	10.7509	10.8582	5.3532	5.1369	10.5083	11.0436	10.0326	3.448	3.7029	7.6301	10.0666	7.3355	9.9841	4.7581	8.4359	10.6138	3.764	9.3598	5.1137	11.4555	11.0653	10.5969	9.902	8.9069	8.2487	5.7561	3.9458	7.7779	3.0291	6.6238	3.6732
EA_G__TJP3	9.3077	8.0518	8.3849	8.6587	5.9377	7.9192	6.2656	6.4262	6.6429	5.9521	9.8328	7.6407	6.3501	6.2599	7.1653	7.5222	8.3666	8.4592	6.5682	8.0263	5.6884	8.0699	7.9648	7.8198	5.7056	8.8534	6.1169	8.5057	8.1059	5.998	8.1475	8.2122	7.9939	6.2051	6.014	7.1509	6.1539	8.6348	7.8886	8.6752	8.1957	8.0349	8.4645	8.4597	8.0411
EA_G__PGM1	7.8898	8.6544	6.894	5.8824	8.622	4.6605	8.209	7.3383	10.4094	8.5205	6.1105	6.4397	8.8014	7.6357	8.8727	8.9912	7.0929	7.8702	8.6363	9.1468	8.202	6.5508	6.1904	7.3897	7.7642	6.6494	8.2013	6.8272	5.1604	8.7974	7.7994	9.0118	8.4064	7.9723	8.5244	9.113	8.4196	4.5141	8.3836	7.488	8.3279	8.1634	8.1875	5.9426	7.4485
EA_G__LOXL2	5.4783	5.8448	5.6278	6.8917	11.5706	5.3784	9.6539	7.3672	8.3444	9.7971	5.3611	5.5669	7.4703	6.3969	7.012	8.4417	5.7226	5.7593	8.9623	7.7097	10.4794	7.4047	6.4296	5.5399	10.1895	5.9609	8.8689	5.4797	5.8476	9.5549	6.3622	9.0558	6.7527	5.7949	8.6472	9.8992	9.576	6.1699	5.9034	5.8065	6.9555	6.7612	5.6576	6.1934	5.5175
EA_G__MMP14	5.1852	5.3987	5.2335	5.0592	10.3729	5.1512	8.7278	8.0249	9.9154	9.7962	5.0892	5.2954	5.2874	8.803	7.6928	6.3976	5.5909	8.0609	5.2277	8.7686	8.9717	5.9409	5.8539	5.4178	7.6746	5.4804	8.2005	5.1668	5.3091	5.4596	6.2949	6.8819	5.8482	8.5531	11.2199	7.0852	7.8574	5.7305	5.7344	6.2135	5.2291	5.6479	5.5205	6.0697	5.535
EA_G__LOC653391	6.5666	6.9131	7.1983	7.2077	6.6292	8.0002	7.3097	6.5219	6.9319	6.3736	7.7959	7.6275	7.6459	5.7625	6.5929	7.0805	6.409	6.3346	6.4281	6.0577	6.9954	6.7399	7.0051	7.3013	5.7961	7.2901	6.637	7.2294	8.9528	6.7812	6.2286	5.8537	6.5107	5.7725	6.2781	6.0329	6.7981	7.771	7.4489	7.9916	8.5776	6.6807	9.8749	7.4445	8.768
