Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	ZR751	ZR75B
EA_G__FAM126A	6.3818	4.5794	7.043	7.153	4.3663	8.6294	6.0958	8.0276	6.8821	7.6573	8.533	3.5746	4.3202	7.0721	8.1954	7.9781	8.1677	5.2757	4.5708	7.4622	7.9965	6.1561	9.3766	5.7628	4.3029	2.9915	9.1447	5.9057	7.9583	6.4401	5.131	4.7284	4.2539	8.47	5.9557	9.0501	6.6312	5.0043	6.138	7.4823	6.6976	7.2663
EA_G__SNAI2	4.1699	3.7124	6.6607	3.6871	4.9983	9.1313	3.88	6.8686	6.4837	3.2197	8.7471	3.8197	3.4385	9.9938	8.7811	7.6103	8.0586	4.2035	3.6267	5.6992	9.113	6.23	9.6167	3.8127	4.5304	3.9551	10.2171	6.415	6.0717	4.3797	4.0291	3.8604	3.2179	9.5792	6.7031	8.0848	4.5561	3.8284	5.6708	3.7912	3.9037	4.1802
EA_G__IMPA1	6.2638	5.64	6.5029	6.7796	7.4844	8.5002	7.0914	6.9401	8.1413	6.4712	8.0437	10.1349	7.6023	7.4605	7.4336	7.2358	7.1067	6.8733	6.3577	7.343	9.2356	6.7086	8.7102	6.2201	6.475	7.7587	8.1433	6.6791	8.6678	6.847	6.3373	6.3375	5.9252	7.897	7.4781	8.082	6.392	7.3375	7.6818	7.4752	7.3998	7.6444
EA_G__ARRB1	8.2889	9.278	8.6028	9.8252	9.1138	7.2888	9.9283	7.3377	8.1013	10.1215	7.5478	8.8726	9.7235	8.7038	5.9949	7.766	8.4052	8.3822	9.0201	6.4387	7.4618	8.705	7.8793	8.548	9.302	11.1235	8.3332	10.9277	8.1342	8.6984	8.8635	8.7944	9.5879	6.4149	7.6542	5.28	8.8767	8.3635	9.7353	8.9914	7.8939	7.5003
EA_G__CX3CL1	4.8992	7.5203	5.2355	8.1937	8.0604	5.3572	4.9287	5.3369	7.6396	8.1076	8.1127	5.2753	8.3565	6.5916	5.3695	5.828	6.712	7.5009	8.6337	6.9305	7.4107	9.3933	4.8522	5.3672	5.3974	6.5175	5.562	8.1013	5.068	5.56	6.1645	5.6093	8.2584	5.6996	5.5162	5.4522	5.5328	9.1033	5.7656	5.5337	5.342	5.4813
EA_G__FNBP1L	8.5219	8.5289	7.6478	8.4539	8.351	7.0591	9.6076	5.9068	6.7787	8.6686	8.0961	8.2637	8.7931	7.2188	5.7429	7.8353	7.8897	8.8583	8.3303	8.2916	8.1014	7.8392	6.9948	7.4318	6.9272	9.038	7.6996	5.3207	7.3964	7.8818	8.683	7.6256	8.5993	7.5481	7.6881	4.6379	8.162	8.6585	8.0922	7.9175	7.8445	8.0693
EA_G__CPAMD8	7.0478	6.0825	7.2596	7.2388	6.7996	5.6587	6.0427	5.8858	5.6522	7.7413	5.7791	6.8633	6.049	6.0436	5.9711	6.7098	6.1118	7.7258	8.4635	5.9444	5.3842	6.5933	5.5284	6.2974	6.322	5.9579	6.7371	8.6424	5.4769	7.4537	5.9555	7.027	6.3632	5.7861	6.2587	5.9367	6.3406	7.1091	6.9385	8.6235	6.9222	6.1828
EA_G__COL4A1	5.2274	5.1752	5.7736	5.0845	4.9534	8.4977	5.0007	7.2238	7.7123	5.163	7.1576	4.8711	4.8859	6.8901	7.6945	6.6224	5.5455	5.2071	5.3043	8.5407	8.3695	5.3973	9.1832	5.3929	5.3075	5.1744	10.8621	5.4841	6.5621	5.0616	4.8149	5.8907	5.2895	5.8097	6.7643	5.719	5.1567	5.4451	5.4895	5.3269	5.2465	5.1624
EA_G__TNFSF15	8.1057	5.0665	4.2376	6.5491	5.3442	4.8168	3.937	4.4439	6.7509	8.5035	4.0823	4.4359	4.2295	4.6983	5.0589	6.2062	5.7244	5.1553	6.7812	6.1778	3.8683	5.2534	4.2908	5.1889	4.1671	6.2623	4.6553	5.7061	4.5483	8.9447	6.2674	5.0295	4.9746	4.2144	5.4643	4.2661	8.0557	5.1116	7.2695	5.1029	4.7308	4.587
EA_G__SLC24A3	6.1884	5.8567	4.866	7.6921	8.927	4.9069	8.2005	4.916	5.4026	8.4196	5.6591	7.088	7.3408	6.854	5.1651	4.81	5.1148	6.8799	7.4995	5.2071	4.6949	7.2516	7.5909	6.3113	7.6462	7.4927	4.6514	6.4122	4.8684	7.4147	6.5707	7.3839	6.6887	4.7718	5.043	4.925	7.853	6.2864	7.3459	7.4011	6.9271	6.0728
EA_G__TMEM164	7.0979	7.7662	7.5251	7.6781	8.5025	8.6222	7.5074	6.9499	6.4544	7.9946	7.5203	7.2907	10.3866	7.6298	6.9435	6.7799	7.3942	7.1179	7.5043	6.098	6.9625	8.2039	6.4079	7.2698	7.5322	8.1896	6.8379	7.2051	7.0206	7.6833	8.395	7.0973	8.247	6.3434	7.049	6.8636	7.9599	6.9667	8.2506	6.4222	7.892	7.3908
EA_G__ERBB3	9.6684	9.5479	7.8567	9.4394	10.4453	4.3498	9.8292	4.7561	7.4364	7.8742	4.4095	10.05	9.2441	9.4138	7.239	7.3572	7.9625	10.1738	9.7082	7.3935	4.2979	8.8706	4.0683	9.4649	9.439	9.5575	3.9776	9.4408	4.5784	9.6653	10.1482	9.5168	9.1277	4.1238	6.8843	4.2234	9.5831	8.8726	9.2288	9.7254	9.5803	9.1455
EA_G__AGPS	8.9363	4.5517	9.653	7.2311	5.8532	8.6021	7.7053	9.966	9.7677	7.5441	8.9797	8.0721	7.7352	8.2133	10.1761	9.4607	8.6283	5.8763	8.5532	9.0848	9.1475	8.4572	9.3307	3.0191	3.3336	8.3692	9.0361	7.3817	9.4937	5.9847	8.784	6.8236	5.0358	9.7549	8.9906	9.4369	8.3386	7.3149	7.8151	3.4863	4.0977	5.1068
EA_G__TGFB3	7.1774	8.6881	4.6236	8.3173	7.5047	5.5213	7.607	5.4798	5.4247	6.0167	7.2469	8.7177	7.0531	5.7405	5.0309	4.787	4.6977	7.879	8.3291	5.2017	9.4529	6.474	5.1135	6.187	6.6684	7.2071	8.1792	8.396	4.6681	7.9033	8.6527	8.8772	8.7065	7.2984	5.3984	5.4579	8.0666	7.2829	8.7559	8.4583	7.4674	6.7545
EA_G__CASC3	8.4111	9.6823	7.6614	8.4248	8.6808	8.2243	8.6113	8.0582	8.1973	7.9778	8.0954	7.4338	7.6564	7.9305	7.912	8.0334	7.8723	7.6213	7.5706	8.3042	8.4255	7.8706	8.0943	7.7102	7.7204	8.3021	7.685	7.5713	8.0209	7.2821	7.7417	7.4073	9.4532	7.9767	7.5439	8.5877	7.4034	7.8038	7.7745	8.4013	8.2008	8.5735
EA_G__TIMP2	8.0733	8.3458	7.5595	5.3944	8.578	8.7678	6.3471	8.0449	8.206	6.7557	9.266	6.5326	6.6301	7.4328	7.5212	7.6423	8.8436	4.6538	6.5074	8.6701	9.1357	7.1354	8.2937	6.9135	6.629	7.6709	9.9272	7.2971	7.5771	5.6731	6.6532	4.7218	8.7064	9.815	7.1412	8.3924	5.6884	6.8307	6.477	7.3707	4.9285	7.046
EA_G__ZNF750	6.7199	7.3482	4.6567	6.7097	6.6858	4.9155	5.6839	5.0681	4.6689	7.2202	5.1846	6.7591	6.451	4.7703	5.1668	5.5797	5.4145	6.5387	7.1353	5.1352	4.7351	5.3662	4.4688	5.7987	6.4591	5.1944	4.6503	6.6426	4.6995	6.0296	5.1191	6.1847	7.0681	4.8725	5.4428	4.8895	6.5246	7.0578	6.3349	6.3737	6.7232	5.4634
EA_G__MX1	6.7692	4.7426	5.3908	4.6858	9.9373	4.5484	4.9095	6.497	4.1892	9.6165	5.0623	4.3829	6.8304	9.198	7.6388	8.4811	4.8605	8.1899	6.5906	4.1496	6.4851	10.4663	4.1959	5.0645	5.0942	4.7296	7.1075	6.892	5.0751	4.657	8.2662	5.3425	4.8804	4.7268	8.276	4.5754	5.3837	10.0995	6.0441	7.4259	4.8218	4.6197
EA_G__PPFIBP2	7.8433	6.5176	5.6898	8.685	6.6337	5.3909	6.8131	4.6677	5.2124	6.2853	5.3868	7.7925	5.6154	5.8536	4.9366	5.4374	5.497	7.8702	7.7047	5.6356	5.98	5.7397	4.7978	6.5585	6.3397	6.9949	4.0523	8.1624	5.0389	7.4755	8.9514	7.7945	6.9673	5.7632	5.0592	4.8184	8.3164	7.5942	7.3962	6.0261	6.9521	5.8403
