Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
EA_G__NDRG1	8.4	9.8484	5.8322	8.7133	9.8188	5.5384	9.3256	8.6415	8.5602	9.5889	8.3611	7.8924	9.7411	8.8303	8.7656	6.7588	8.959	8.7092	8.2533	6.2012	6.9912	9.0867	7.8963	7.9608	6.3947	7.7957	5.9748	7.386	8.7999	6.907	6.5758	9.8309	8.3425	10.8731	8.0081	7.7749	8.6069	10.3212	6.7802	8.7834	7.0928	7.3212
EA_G__FCGRT	8.0984	6.3375	6.171	6.3255	6.9019	7.5422	6.1345	7.4991	6.7804	7.4801	9.5356	7.3195	6.4734	6.8704	6.4856	6.2959	7.0946	7.0073	6.2378	8.0161	6.4038	6.3573	6.6541	6.9661	7.1641	7.9189	7.9785	6.235	6.8045	6.6482	7.5823	6.5542	6.3355	6.6267	6.4737	6.2798	6.2364	6.4266	7.6764	7.0002	8.1798	6.101
EA_G__ACY1L2	4.4885	6.3544	4.2798	5.2636	5.2117	7.1705	4.3953	7.4794	6.8949	5.8679	4.2893	4.5942	7.0163	6.9582	7.6089	7.0387	4.4362	6.7671	7.8102	5.7572	6.2657	5.5172	6.373	6.3109	4.5518	5.766	5.1085	7.7561	6.9709	4.501	4.6458	6.8882	5.3066	6.6272	7.5867	5.6536	5.6762	4.8928	4.6226	4.7204	4.5761	4.4612
EA_G__B3GALNT1	6.1488	4.8247	4.0581	7.7167	7.4481	4.2293	7.5074	5.454	5.5644	4.7191	7.6901	7.8454	7.4987	6.5447	6.5885	5.2193	7.6185	6.9654	3.7969	6.9197	6.6681	5.229	7.4146	6.9288	6.2082	6.7603	5.3114	7.6341	7.4663	6.6235	7.1675	5.7178	6.2119	5.2284	5.5004	5.8687	7.7405	6.557	6.9052	7.1476	4.4337	4.388
EA_G__HTRA1	6.2862	5.6965	6.1051	6.4451	6.5223	5.9336	5.8078	5.5567	6.4642	8.8644	5.5565	5.663	6.1941	7.7513	7.8993	6.2761	6.0636	6.3601	6.4929	7.8425	6.1129	8.4365	7.3277	7.0242	5.7893	8.8277	6.7649	7.2179	8.0149	5.9177	6.5156	6.1682	10.3495	9.0221	8.2772	6.2785	7.8298	7.9626	6.5837	7.5357	6.2563	6.2826
EA_G__SGK3	5.7648	5.5345	5.8073	7.7462	7.3721	5.8386	6.7755	6.8608	6.8632	3.7862	7.6689	8.075	6.2488	6.7499	6.9819	6.0813	4.8688	8.1469	6.143	5.6877	6.0123	6.4531	5.643	7.2611	7.2405	5.2273	6.546	6.6847	8.3658	5.6821	4.6227	6.2563	6.8148	5.3602	6.0481	6.2606	5.9953	6.007	7.5886	6.1775	5.8094	5.8588
EA_G__LAMA3	5.7582	5.5579	6.0638	4.2184	5.7869	5.4644	5.921	8.2205	4.7544	5.0204	4.6329	6.6558	4.3638	7.0316	7.6528	7.2159	4.4619	6.1338	7.564	4.7692	7.0691	4.2558	4.6036	5.0835	6.5762	4.5143	5.1434	4.4574	5.8823	6.1132	5.0278	5.876	6.1251	7.4765	6.2387	4.6469	5.5989	5.0869	6.2141	6.0862	6.2837	6.6314
EA_G__FABP5	4.5852	4.0903	3.2953	5.6242	4.9494	3.2476	4.6763	8.607	6.7919	6.8194	6.1227	5.9207	8.2855	8.2952	8.2315	3.6763	3.7999	3.8303	6.6193	8.1268	8.0179	7.4143	4.5795	4.4465	3.9307	7.8224	7.8662	8.5296	6.4531	5.4059	3.6267	5.0183	9.5285	6.2494	8.6298	3.1829	4.1928	3.9817	3.7328	3.6033	6.0214	6.839
EA_G__KHDRBS3	5.5866	5.2929	5.2192	7.4323	5.2636	6.0986	5.881	8.0092	6.2243	9.3798	4.5873	5.8819	6.606	5.7121	6.2307	5.1169	5.029	5.6936	6.2337	5.3907	5.2712	6.524	5.1743	5.2629	5.5469	5.3718	6.6775	7.9135	6.2174	6.6511	5.8407	5.5557	8.8877	5.3408	7.2329	6.2066	6.9152	5.1955	5.3581	5.8237	5.1687	6.5312
EA_G__EHD2	7.3175	7.175	6.3216	6.3603	5.9076	9.1305	7.8483	8.6393	6.4028	8.256	6.0272	6.5969	6.0329	8.7643	7.588	8.5066	7.2154	7.8595	7.7524	9.2252	8.1121	9.9391	6.6247	6.7547	7.943	8.9681	7.5343	7.6772	6.0786	8.2494	7.1402	7.063	8.4964	8.0041	9.1996	6.4192	7.1679	9.2335	7.4684	6.7046	6.9207	6.7111
