Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
U133A__ANKRD57	5.9697	4.6663	6.3858	6.1402	6.2868	5.939	7.7336	6.0224	5.2587	6.8299	5.4594	6.5732	6.5182	6.5702	5.2921	5.1079	5.4951	5.5572	6.0201	5.2873	5.7804	5.1389	7.8938	5.3602	5.5994	6.4687	6.098	4.9998	6.1175	5.572	5.31	6.1903	6.4324	7.6739	6.4395	5.5621	7.0825	5.7018	6.1324	5.2503
U133A__KDM5B	8.1465	7.4558	6.7369	8.3674	9.3575	7.7621	6.8057	6.7703	9.3637	6.7633	6.888	7.5471	7.688	6.1548	8.1849	7.2104	6.6561	7.2374	7.8139	5.2883	6.9218	8.0348	7.1544	7.1837	8.3026	6.3683	7.883	7.3634	7.4506	6.7803	6.9829	6.1166	5.7313	8.4742	8.648	7.9186	10.1097	9.667	8.2108	8.2752
U133A__TPM2	2.9737	3.2967	2.7599	2.7023	3.0083	9.2246	3.0307	6.6508	2.7736	3.2918	9.0163	7.0455	3.3028	3.2698	3.2636	3.8763	6.7663	7.9299	8.1468	9.5375	3.3478	3.2518	3.2009	4.4389	3.1689	3.4678	2.8649	3.6268	3.157	3.4752	8.5825	7.37	8.2812	2.8239	5.6483	3.0476	3.3862	3.4566	3.5368	2.9659
U133A__IL17RB	7.8873	5.2466	6.0934	6.843	6.2471	5.4904	7.3323	7.4661	7.126	7.2657	7.2222	5.3553	6.507	5.8397	6.6872	5.6375	6.1953	5.9681	6.8122	5.8206	6.4179	5.8688	6.2372	5.2065	7.0024	5.0123	8.7116	8.1319	6.924	5.5917	6.0384	5.6864	4.3868	5.6571	5.6092	6.6666	5.8909	6.2496	6.2285	7.187
U133A__TFPI2	7.557	4.6395	8.3102	4.7191	4.3087	6.5383	4.1132	3.9849	4.0743	4.199	4.0486	6.8855	4.0854	4.3796	4.6333	5.0358	4.0053	6.1919	6.6266	4.2509	4.1836	6.2286	4.2252	8.7661	4.6738	7.4605	7.1817	4.1103	4.1122	4.4394	6.8177	6.9668	7.5053	5.1922	3.9556	4.0933	4.5088	5.9324	4.8398	5.2502
U133A__AHNAK	5.281	5.7218	6.4729	5.9388	5.7781	5.2206	5.2713	6.1827	6.0559	6.224	5.2952	5.0968	6.7373	7.6819	5.6581	6.8806	5.6812	5.9843	7.446	5.8018	5.7293	4.9851	8.2307	5.331	5.487	5.0914	7.506	6.7486	6.7658	6.1605	5.0432	4.7147	5.4686	5.7549	7.3006	5.636	5.4948	6.6421	7.3673	7.5269
U133A__CRAT	6.1327	7.0301	4.5222	8.5392	5.3326	6.6085	4.9208	5.0816	7.4136	5.5972	6.259	4.5969	4.802	4.7328	9.3471	6.135	5.24	6.8102	4.6552	5.6507	4.7699	4.963	5.0092	6.6468	6.8732	4.6449	6.5012	7.3414	9.0429	5.5132	6.5242	6.0194	4.8625	8.281	6.3673	6.9289	7.6199	7.4963	6.8954	7.0787
U133A__ELMO3	5.9066	5.7889	8.5436	6.3025	7.6556	5.2339	6.9758	7.0401	5.4423	6.5243	5.5475	5.3853	6.8982	5.5113	7.6866	5.2542	6.1292	5.5702	7.6032	5.6752	6.3077	6.383	5.9392	5.4442	6.9119	4.9135	8.2494	7.547	7.8003	5.5882	5.0385	7.7912	5.3956	5.9363	5.2154	7.257	7.1531	7.128	5.2535	7.3481
U133A__DDIT4	7.5309	9.4689	6.8728	9.5108	6.8696	10.5424	8.9504	7.5289	10.2985	7	9.2058	8.7386	8.6661	6.8977	10.1339	6.091	10.2213	7.4198	8.3905	6.1963	7.3089	8.6375	7.2565	7.6621	8.6169	6.395	8.1399	8.6558	9.5738	9.6591	9.6427	10.4824	8.3328	9.356	9.6722	6.2074	10.9391	9.3186	10.2433	8.7454
U133A__CALD1	4.2559	5.8786	8.3527	3.9365	4.9682	7.9225	3.6763	6.2884	9.1905	3.4181	8.0223	6.0784	7.1754	4.4506	5.9083	5.5558	9.2409	8.6378	8.8403	9.3954	3.6019	3.9175	4.3435	7.5768	4.9728	7.2995	5.0421	4.1759	3.5041	4.7812	7.3616	7.3157	7.8436	7.7707	6.7517	4.3805	4.0465	4.0081	5.9235	3.6434
U133A__FBP1	6.8861	5.4407	5.6061	8.7593	9.0806	5.8518	8.9571	5.675	5.3145	9.223	5.9597	5.9596	8.9816	6.1031	8.462	5.4783	5.7636	6.0568	6.0106	6.2966	9.2997	10.2366	9.9675	5.5894	10.3739	5.6397	10.3698	8.9993	6.1156	7.3014	5.5824	7.2633	5.8976	9.8817	7.7395	7.7367	9.8135	9.0869	6.2665	8.5342
