Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
U133A__S100A7	3.9827	9.8627	4.378	3.7425	4.4874	3.7545	3.8373	3.8754	6.8983	4.1202	4.0664	4.1086	9.5441	6.8918	3.7975	7.5508	11.45	3.5806	4.2457	4.1132	4.0098	3.8376	4.0133	3.8093	4.1274	3.8115	3.9822	4.0015	4.0927	6.568	3.8366	4.4695	3.707	3.8521	3.8059	3.7223	9.5054	3.8849	4.0714	4.6177
U133A__BET1	6.457	6.8917	6.1	6.4871	6.6266	5.9282	6.3555	5.9264	7.1228	5.9494	6.4942	6.1672	6.1476	5.602	5.7067	7.193	6.5846	6.7723	7.2706	6.6186	6.4599	5.748	6.1616	7.2448	6.7981	7.2339	6.0368	6.4559	5.7412	6.4165	6.3714	6.2335	6.4052	6.7489	9.1437	6.3116	6.7942	6.0472	6.1844	6.3389
U133A__NOTCH2NL	7.8298	8.6341	7.7021	7.6974	7.8539	7.4215	6.8991	8.7139	10.2228	7.6996	7.2474	7.7885	6.7152	7.8414	7.163	7.8356	7.0501	7.9431	8.1671	6.7489	7.9419	8.6442	6.2143	7.3806	7.39	7.798	6.7809	7.1969	7.2189	7.5982	7.1509	6.6654	6.8928	6.7038	7.4317	7.8704	9.2372	8.3514	8.2976	7.9329
U133A__EGFR	6.5405	8.8087	11.1948	9.1916	5.4966	8.9985	4.6032	8.5853	8.75	5.4451	6.1574	10.0365	8.0004	9.7369	8.7474	10.2614	7.8659	7.3722	9.5572	8.9579	5.5013	5.3316	4.5102	8.86	6.0289	9.7841	6.2142	4.6987	5.0824	8.0587	7.8138	9.152	8.0666	4.8664	4.2139	6.1317	6.387	8.1672	4.77	4.7772
U133A__TGFBI	5.9683	6.9042	6.5137	6.5837	5.5476	6.1062	5.7755	5.3076	9.9085	5.8022	5.705	8.7344	7.4678	9.0113	6.0496	7.0812	6.6511	11.1168	10.6715	11.2079	6.2419	8.2212	5.6705	10.843	6.2392	7.7059	5.9087	6.0484	5.846	6.7466	11.8115	10.622	11.553	5.5123	5.6781	5.5711	6.5084	5.5391	5.9796	5.3747
U133A__GDPD3	6.5019	10.0153	6.477	6.1503	6.642	5.7463	7.4532	6.4548	5.9638	6.4119	6.4377	5.6627	7.0271	6.539	7.1794	7.2005	6.6596	6.229	6.574	5.8339	8.0906	6.7648	6.1995	6	7.6927	6.1031	6.4612	7.043	5.897	8.9869	6.01	6.9427	6.2605	7.4305	6.1856	6.1103	6.7211	6.0486	6.3816	6.5637
U133A__KLK6	5.4123	4.917	9.4507	4.8753	4.8251	4.9481	5.1348	9.2735	8.0249	4.9307	5.5788	5.2118	9.1099	11.2762	5.5614	4.9339	8.6374	5.5375	4.5087	5.3166	5.1605	6.1085	4.7658	4.9606	5.3853	4.769	4.9731	5.1898	5.2134	5.3923	4.8629	4.7454	4.6814	5.0521	6.9941	5.0235	5.6345	5.0571	5.2259	4.6177
U133A__SERPINH1	7.3383	7.1112	7.8774	8.1094	7.609	10.5733	9.4768	8.1624	9.1995	7.2126	9.7949	9.0328	9.016	7.5828	8.5273	8.1352	9.7503	8.4767	8.1285	9.4153	8.799	8.2441	7.2596	6.5507	9.796	8.2198	7.7041	7.8123	8.1456	7.2836	9.8089	9.2239	8.8404	6.2635	9.6402	8.6763	7.692	7.3527	7.3068	6.6774
U133A__KANK1	5.1845	6.3431	4.3153	4.4629	5.8517	6.3967	4.9071	7.1835	6.6344	4.4494	7.8058	6.3191	6.8472	5.5078	4.8784	4.5401	6.1554	7.7999	8.4046	6.2557	5.5361	5.3198	4.7946	4.5636	5.0467	5.6924	4.7356	4.2955	5.7617	5.8712	5.7353	5.6835	7.4	5.007	6.1543	5.6976	6.0245	5.7133	6.432	6.2831
U133A__CCNE1	6.8741	7.656	7.5247	6.0468	6.445	6.8969	7.2893	7.2019	7.4141	6.8348	10.73	9.2363	7.2786	7.4831	6.9354	6.9815	7.6167	6.8902	7.2455	6.758	7.6532	6.6415	6.293	8.9341	7.247	6.0525	6.3022	6.87	6.3794	7.0469	6.7699	7.6627	7.2453	5.2141	6.1398	6.3324	6.5824	6.3656	7.0144	7.2583
