Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
U133A__MUC1	10.1555	9.7623	6.6886	8.1214	10.3854	6.7355	8.7127	8.4463	6.4213	9.1046	5.7418	6.0486	7.3453	7.7259	6.8365	6.3458	9.5673	5.6403	7.3812	6.1272	6.3008	10.2523	7.5387	9.6077	5.4753	6.9283	6.0402	6.3749	4.8389	5.6669	8.8905	7.0484	9.262	11.7763	9.5261	10.3378
U133A__MELK	7.4057	8.2586	9.206	7.7049	8.1506	9.2766	8.9561	8.3064	8.9809	8.3003	8.785	9.0786	8.8704	11.0903	8.9656	8.5623	9.9242	8.7947	8.3998	9.4282	8.8347	7.7825	8.938	9.0018	9.3381	8.7079	8.3682	8.1645	9.0565	7.3721	8.1871	6.5906	7.9253	7.6879	7.8002	9.065
U133A__HIST1H2BD	7.1145	7.0557	6.7147	8.3315	8.972	6.5474	8.7616	6.8223	6.2897	8.8163	7.4548	8.5844	6.7043	8.5002	6.9767	9.7647	6.8531	6.3362	8.789	7.8715	8.7047	6.9099	9.1778	9.4058	9.1269	7.538	8.103	6.6518	5.7787	6.7578	7.389	6.2454	8.4972	7.73	7.5308	6.3211
U133A__CDH3	7.4771	5.8198	9.8096	7.8882	6.491	6.043	5.968	9.171	6.7938	7.3889	7.5876	9.1796	9.4736	5.595	10.0478	7.9629	10.7173	5.1299	8.2078	5.9477	5.3993	8.3918	8.9883	8.0795	6.1937	5.3708	9.2653	10.3897	6.1326	9.8329	9.791	7.8968	7.9784	8.8535	9.2606	8.2434
U133A__C2CD2	6.774	8.7407	9.2737	7.1994	7.3698	5.6435	5.9359	6.1188	7.8405	7.7948	6.9643	6.2788	6.0795	5.1897	5.3207	6.1441	7.489	6.3777	5.9892	4.3464	7.1836	6.9948	6.8773	5.5821	4.915	8.4905	6.6962	7.2271	6.4275	7.5738	8.665	6.9045	6.6834	8.2981	6.738	7.3067
U133A__TPBG	8.362	9.3082	9.5497	10.0326	9.716	9.0389	8.1457	8.6684	8.0417	9.4877	7.0253	9.1174	9.7268	8.3264	9.6879	7.878	9.2793	10.0826	10.3529	11.3764	9.4309	9.3753	11.2864	9.3918	8.2486	8.6674	6.8472	9.796	9.0604	8.4863	9.5087	7.8683	10.1331	10.3387	9.525	9.7759
U133A__SNX3	7.4822	8.0248	8.9435	8.0462	7.0702	8.3886	7.6091	7.4899	7.8493	7.3454	8.4501	8.4314	7.936	11.1678	8.4686	7.962	8.1692	7.7878	7.6676	8.7653	8.4924	8.0632	8.4013	8.1024	8.0647	7.9791	8.03	7.2657	8.0497	8.0363	7.9844	8.681	7.3744	8.4575	7.824	7.949
U133A__HIST1H2BH	5.6812	6.0699	6.681	6.6317	7.5581	5.8329	7.5314	5.3788	5.4489	7.8848	6.2884	8.0459	6.4774	8.926	6.4962	8.3146	6.1497	6.5559	7.7503	6.9409	7.3871	6.9553	8.1245	8.6179	7.6452	6.122	7.1496	6.3953	6.4262	6.8218	7.0021	6.1434	7.3149	5.5171	6.5665	5.6708
U133A__CDKN2A	5.4592	5.6337	4.6481	4.6365	5.0078	9.7826	5.6669	5.4065	7.8926	5.4771	8.3981	9.1976	5.8929	4.8747	8.6854	4.4747	9.9184	4.8437	4.5033	6.0073	9.0399	5.1148	5.1969	6.6681	5.4652	5.6444	4.5362	4.7548	4.9797	5.2966	6.2669	5.514	5.2599	4.5154	5.1321	5.1595
U133A__HIST1H2BG	4.8283	4.2641	3.7738	5.0005	8.9158	4.5763	5.5262	4.4331	5.2718	9.2574	5.3945	6.471	4.4167	6.6603	4.5105	7.4535	4.1956	4.0378	6.6731	6.9855	5.2408	5.3898	8.9951	6.9417	6.9214	4.4134	4.9449	4.4145	4.68	5.8657	6.7726	3.6731	5.8628	4.7131	4.8942	4.9211
U133A__C5orf13	7.5479	5.1369	4.8195	6.7214	7.2221	10.5831	8.7053	6.8127	10.1445	5.6449	7.1065	5.3783	7.077	6.914	5.561	7.2038	5.9763	8.7252	5.8234	8.3707	9.2578	5.8943	6.9229	7.5753	8.2068	4.9232	7.1556	5.2497	9.5255	9.8606	6.3485	5.4205	6.0864	7.4534	6.3202	6.9258
U133A__EFNB2	5.4764	4.7613	4.9303	7.0119	6.4386	8.6207	7.4791	8.8445	5.5096	6.4622	4.9044	7.0896	7.4331	9.9666	5.9393	6.9153	7.5536	5.9236	6.9459	6.1413	8.3547	5.5304	7.2819	7.5891	7.6132	4.8166	4.7258	8.8053	8.021	8.057	5.2698	4.9264	5.6351	4.1326	4.9242	7.1568
U133A__ABCD3	7.0063	7.9745	7.1436	6.3069	7.8492	6.8135	7.3862	5.9183	7.255	8.2673	7.6174	8.3466	6.7182	7.2546	7.3412	7.5314	9.019	6.6247	6.5144	8.4445	6.8172	6.5626	6.7162	8.2522	7.3388	7.5039	6.6689	7.1388	7.2822	7.4719	8.3822	7.5774	6.2728	7.9323	5.995	7.2171
U133A__MTSS1	6.1643	5.7383	5.3768	7.3643	7.6215	4.9656	5.9102	5.6476	7.3985	7.25	5.0706	6.7544	5.934	5.6185	5.7008	5.9595	5.9118	5.8551	6.7478	6.1281	5.0839	6.6973	6.2973	5.9324	6.0706	5.5902	5.4629	5.0714	6.036	5.7336	6.3201	6.996	5.2492	8.4561	7.5645	6.722
U133A__UQCRFS1	10.0269	10.6652	10.6758	9.9943	10.0223	10.9053	10.2782	10.0791	10.9378	10.9334	13.007	10.5051	10.2465	10.8613	10.4987	10.4377	10.6239	10.3676	10.4159	10.2653	11.9652	10.0527	10.1782	10.8522	10.6767	10.6897	10.4716	10.5062	10.0575	9.6761	10.3779	9.5102	10.0002	10.14	10.4875	10.7572
U133A__ENDOD1	6.0301	6.163	5.9949	6.1888	7.7402	5.962	4.8192	6.8451	4.831	9.2858	7.1931	6.9526	9.1862	7.0642	7.3106	7.9812	8.5395	7.4115	5.7154	6.3748	5.9568	6.6527	6.7055	5.6026	5.3417	5.8318	6.5422	6.6354	5.9732	5.0008	7.2533	6.1859	6.1984	7.3685	6.6468	7.2686
U133A__CLTA	8.5441	9.0829	9.4492	8.6889	9.0599	10.0873	9.5486	9.3638	9.2209	9.4214	9.6276	9.6784	9.5067	12.2679	9.8756	8.4701	10.062	9.7442	9.1292	9.8156	10.0738	9.7081	10.4124	9.1562	9.658	9.2826	9.7985	8.6576	9.6315	10.4003	8.318	8.7302	9.1874	8.7619	9.8217	9.2826
U133A__PHF11	6.8572	6.8199	6.1504	6.1094	7.5155	4.6492	6.1965	6.3952	8.6781	5.6711	5.5715	6.1798	6.3456	6.8223	6.0406	6.8884	8.1456	5.5505	6.4986	5.6302	5.53	6.6321	6.368	7.2591	5.8747	5.8702	6.4841	6.3897	6.1046	4.2574	7.3746	5.6881	5.8207	8.1203	6.3191	6.1857
U133A__TRIM16	6.1574	6.1974	9.2691	5.7526	6.4896	7.8195	6.6675	6.8223	7.0869	5.7686	6.3137	8.2659	7.3056	6.6343	7.8839	7.5431	5.7772	7.4161	6.7198	6.2253	7.6578	5.7971	7.4512	6.3	8.2898	7.0752	6.5095	7.3537	6.161	7.2962	7.0737	6.0595	6.0184	6.2297	6.5469	6.4635
U133A__TOM1L1	7.9076	5.7186	6.2969	9.4773	7.1879	5.1145	6.9637	6.7397	4.7466	7.9732	5.146	5.8162	5.9377	6.3062	6.4622	6.6798	6.1347	4.2894	7.4272	7.1205	5.3791	7.2296	8.1008	6.8372	7.168	5.5921	6.9032	5.8708	6.031	6.4239	7.0091	6.756	7.2706	7.6229	8.6175	7.7091
