Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM44PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
U133A__CRIP2	8.2574	9.2634	9.209	9.9678	7.8746	8.3415	6.5901	7.7681	8.0402	9.0021	7.6044	5.5453	6.6722	6.6952	9.1442	8.8685	7.8221	7.9649	7.9883	7.3507	8.6357	8.6983	6.3079	5.1886	9.2302	8.0924	6.1297	7.8109	6.317	8.3547	8.1304	6.4487	5.4693	9.8773	9.3237	7.1792	9.294	7.9542	9.0175	9.4029
U133A__BNIP3L	6.9596	6.2052	8.103	7.7679	8.6934	7.3541	7.1476	7.3395	8.3008	5.2278	6.0727	5.3145	6.0933	4.5581	4.9433	8.0548	6.343	7.0537	6.2095	7.0532	4.6164	7.3856	5.59	6.7753	6.9296	7.1868	7.5776	7.2602	6.6789	6.0024	7.387	5.6349	5.8446	7.6413	5.9886	7.5988	6.5657	9.1955	9.4425	7.1327
U133A__KRT8	10.7115	11.2525	11.1708	11.8105	4.6994	10.4767	8.954	9.9402	9.7313	11.932	8.4941	8.913	10.6646	11.1743	11.3477	11.4994	9.9269	9.5922	9.5457	5.7145	11.6793	12.1159	7.5837	8.3426	11.2063	10.4653	7.4827	9.1194	10.6725	11.5414	4.6224	9.8963	8.3775	10.5897	11.607	9.9593	11.9459	11.5683	9.9995	11.4816
U133A__PBX1	10.6681	9.5764	9.4725	9.8965	7.1982	8.9231	6.5424	8.3278	6.6554	8.7516	7.3662	6.3245	8.2703	4.0816	6.8856	9.1327	6.7302	7.2431	8.0011	5.482	7.1916	8.0443	5.4143	4.6607	8.253	8.9907	5.5921	9.1773	7.7912	9.2953	7.468	4.6159	4.8149	9.5481	8.8864	7.913	8.3759	9.2425	9.5066	9.2392
U133A__SHMT2	6.8623	6.8222	7.071	7.0055	7.6469	6.4895	7.3888	7.1328	7.2544	6.7988	6.8016	7.7717	6.9625	7.2352	7.8769	7.1546	6.8061	6.8646	7.8655	7.2257	6.7149	7.2691	7.2939	8.2976	7.3437	7.2153	7.3381	7.1317	7.7508	7.177	6.9664	7.6724	8.1897	10.3165	7.3443	8.1213	7.8199	7.3251	6.8354	7.5223
U133A__GCLM	6.0291	7.5479	5.4249	5.7461	7.6196	7.7395	6.217	5.5992	7.0837	7.1773	7.0669	8.3129	8.4717	7.7987	5.9682	6.114	8.1152	7.5195	8.4664	8.4537	6.8713	5.8763	6.4362	8.8706	6.9329	7.2826	7.292	6.7209	8.5339	6.6394	7.626	8.7869	8.1921	6.054	9.6596	7.1043	5.0209	6.7278	4.8826	6.8645
U133A__ZNF331	6.4667	6.4893	6.6717	6.5898	6.001	6.6904	6.5039	6.412	7.3283	6.6125	5.7946	6.5556	6.7707	5.6242	6.4507	7.9402	6.0492	6.7359	6.045	6.5582	6.7028	6.8579	5.7567	4.7952	6.3292	6.1146	6.3099	6.2743	6.0364	6.3638	6.3851	5.5762	5.4367	5.6572	5.8448	9.3518	6.0682	6.9039	6.5066	6.4904
U133A__EMP1	6.5915	6.3958	5.0881	5.0017	7.0257	3.4401	4.9083	8.7769	3.0985	3.053	3.4966	8.7768	9.395	6.5596	3.3468	6.9316	8.1768	7.9686	9.811	7.0502	3.0761	3.2399	5.1524	7.7947	4.2229	7.3056	7.4591	3.2898	7.0991	5.2264	7.5455	8.5932	7.733	3.5142	6.6688	7.6672	3.1839	6.04	3.7279	3.3071
U133A__BAMBI	7.9423	7.7371	8.9023	7.5743	6.9601	6.2266	5.3968	9.6671	8.1715	6.709	9.1836	5.0368	8.6409	7.1635	10.0622	9.9698	9.0514	8.4507	6.8335	6.9717	9.2056	9.9099	6.2606	5.4793	9.4644	8.5589	6.2331	8.7966	8.3108	7.9292	4.5666	6.7164	5.3211	8.6945	8.2318	7.2579	7.7471	9.0866	9.8166	7.6499
U133A__H3F3B	7.1153	7.6458	6.8108	8.2883	6.0123	6.4618	8.9871	8.8573	7.1954	8.4394	6.9287	5.9507	7.0464	6.4184	7.1435	6.8265	7.0783	7.8289	7.0707	7.3306	7.6452	8.284	8.7099	6.7496	10.2592	7.0589	6.0237	7.7466	8.446	7.8328	7.7113	6.1992	6.8249	7.6668	6.3482	6.8449	7.6191	7.3514	9.1649	7.8457
U133A__MBNL2	5.4423	7.1301	6.9266	6.3789	7.5204	6.3889	6.5848	7.0872	6.6647	6.2769	7.2559	6.1725	8.5786	7.1597	5.3797	7.9226	7.5396	6.4642	8.1549	6.4804	6.1638	6.2054	6.866	6.1347	6.8225	6.7261	7.1979	5.267	8.4373	6.5825	5.3103	5.603	6.3923	8.6513	6.7985	5.6113	6.2038	6.5181	6.0766	4.5447
U133A__PSMB8	5.9129	8.1465	4.8895	7.4786	5.1509	5.1652	8.4902	6.704	9.2071	5.7421	6.8288	8.2608	8.6923	8.168	8.0046	5.4133	4.9573	8.1246	9.5104	6.8425	4.8232	4.9295	9.0369	7.2687	6.817	7.9776	6.9481	5.3379	9.8933	6.1107	7.182	8.2313	8.3033	6.4629	7.4662	6.4871	6.663	6.7358	5.3678	4.6754
U133A__POMZP3	5.4865	6.9158	4.8456	6.8032	4.5827	6.9213	5.7618	5.5264	7.0392	6.9656	5.8224	5.1062	6.2726	5.167	6.7511	6.4184	5.8832	6.3568	6.674	5.9695	5.8044	5.7527	5.6313	5.8609	5.5526	6.3727	6.6844	4.785	5.9917	7.0482	5.1092	5.7715	4.1477	4.9582	4.9848	4.7271	5.8462	5.25	6.281	8.1041
U133A__TUBA4A	8.127	8.0959	6.0048	6.8604	7.1961	7.2988	7.4336	8.0741	6.1229	7.2844	6.1504	9.7248	8.2095	9.6436	6.3914	6.9849	6.436	8.1739	9.3597	6.724	7.2218	6.3682	6.2093	7.6192	6.6858	8.986	6.7349	7.9045	7.136	7.5394	6.7402	10.2412	10.2433	8.5017	8.76	8.7116	6.8016	6.4082	7.5034	9.1448
U133A__HSPA2	7.5745	5.3383	4.8587	5.2922	5.7385	6.2135	6.716	7.2722	6.0608	4.9351	4.4227	6.2423	7.8916	5.2766	6.8258	5.7926	7.3109	8.2914	8.5554	5.5942	5.4509	5.593	7.7696	6.2914	4.4708	9.3607	6.0147	4.9705	6.2649	5.9957	7.5395	6.4053	5.2248	5.4669	6.2015	6.9474	4.6155	5.8189	4.7869	5.566
SNP__LOC646227	0.007	-2.69	0.102	0.164	0.226	-0.061	-1.058	-2.097	-1.775	-1.061	0.016	-0.155	-1.532	1.382	0.039	-0.318	-2.287	-0.019	-0.26	0.33	0.264	0.317	0.414	0.366	-0.158	0.3	-2.082	-1.661	0.421	-1.859	0.7	-0.195	0.037	-2.05	0.044	0.217	0.053	0.104	-0.013	0.319
SNP__BTNL3	0.007	-2.69	0.102	0.164	0.226	-0.061	-1.058	-2.097	-1.775	-1.061	0.016	-0.155	-1.532	1.382	0.039	-0.318	-2.287	-0.019	-0.26	0.33	0.264	0.317	0.414	0.366	-0.158	0.3	-2.082	-1.661	0.421	-1.859	0.7	-0.195	0.037	-2.05	0.044	0.217	0.053	0.104	-0.013	0.319
