Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM44PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
U133A__IFI27	4.6386	5.1543	4.6777	5.8546	4.687	4.5519	6.1249	4.9288	11.1042	4.871	6.238	7.2516	11.349	11.3436	8.4421	4.4035	5.9256	4.4385	10.9936	4.7467	4.7579	8.9666	7.4637	4.661	4.404	4.8339	4.3892	4.6337	9.6865	4.5304	4.6953	8.0022	6.5604	4.5079	9.8241	4.5195	4.8154	4.3101	4.3879	4.4577
U133A__HPCAL1	5.578	5.9845	6.8938	5.68	6.2353	6.2788	6.425	5.0138	6.6114	7.5659	5.1776	5.7204	6.5238	7.2026	6.9069	6.7662	5.615	5.6009	6.7248	7.1728	6.3002	6.1858	7.3554	6.8879	7.152	6.1281	7.7229	5.5699	6.4916	5.8186	6.4995	8.5889	8.5868	6.3343	6.0455	6.5193	5.2869	5.4867	6.0023	6.3035
U133A__SH3BP5	4.5669	6.8751	6.3726	7.6208	5.3896	6.2074	6.9909	5.7432	8.4108	7.7287	6.5201	5.893	6.0643	6.2105	6.1593	6.5372	4.3785	6.5156	7.5147	5.231	8.6417	8.4431	6.5498	5.8189	7.3821	6.1776	6.072	6.3141	5.8103	6.571	7.6624	5.2193	4.8949	6.9699	6.6186	6.8418	6.3893	7.6927	5.6068	6.8504
U133A__SARS	7.7374	8.322	8.1394	8.1342	9.4981	9.6965	8.0424	7.7344	7.4681	8.0177	8.2959	8.6775	8.9196	8.2049	8.4746	7.1093	8.7586	9.6745	9.0718	8.3933	8.447	8.5561	8.8517	9.7475	7.8395	8.1705	8.2515	8.5303	9.4187	8.3585	9.224	8.73	8.4421	9.1614	8.5609	8.9271	7.9232	7.8378	7.7401	8.0215
U133A__EFHD1	9.5837	9.9173	9.7862	10.4842	6.3996	10.6224	6.1782	8.6955	9.7906	10.8012	8.6042	5.8168	7.3487	6.7717	10.3858	10.3268	8.7539	6.6386	5.7835	6.4648	6.0895	7.4306	6.4413	6.5019	8.6508	9.4486	6.8756	9.002	9.6148	9.7556	6.3446	5.8119	6.6156	9.3171	10.9233	9.4809	9.9842	9.4813	9.006	8.7483
SNP__WWOX	-2.18	-0.55	0.092	0.19	-2.109	-1.822	-0.483	-0.105	0.708	-2.381	-1.667	-0.81	0.304	0.23	-2.29	-1.709	-0.412	-1.319	0.442	-2.607	0.572	0.448	-0.661	-2.395	0.457	-2.223	-2.09	-1.648	-1.899	-0.561	-0.206	-2.091	0.026	0.541	-0.389	-0.132	-2.033	0.479	-0.056	-0.372
U133A__TBC1D9	6.3771	7.496	6.0691	9.2575	4.8144	7.0148	5.4363	4.3359	5.6622	8.2883	5.4965	3.5309	5.9846	5.0743	5.0615	7.5382	5.0659	6.6908	7.3101	6.1223	6.8606	8.7386	5.9894	6.3818	8.4877	7.2127	6.5487	5.1711	6.4193	6.5539	5.0828	4.6908	6.4141	8.6955	7.8878	6.6034	5.0197	7.5227	6.7933	7.8456
SNP__CFHL4	0.651	0.5	0.706	0.482	0.492	0.442	0.058	2.355	0.418	-0.838	0.434	0.253	0.026	0.136	-1.672	0.176	0.221	2.628	-2.421	-0.061	0.408	0.351	0.315	0.099	2.833	0.39	0.207	0.745	0.152	0.263	-0.264	-1.268	0	0.029	0.502	0.291	0.282	1.222	0.569	-2.009
U133A__F3	5.6359	5.7878	4.8426	4.8308	4.8733	5.2295	6.1369	7.2696	6.3878	5.6992	5.0961	9.3964	8.9468	10.1006	5.3373	5.3307	6.0537	5.7376	5.6586	7.8855	4.9005	4.6238	5.4199	10.2136	4.9116	5.5278	5.6705	4.8716	8.5018	5.9576	4.987	10.2594	8.114	6.1874	5.575	5.6275	5.1655	4.9829	4.8419	4.8161
U133A__CEBPD	6.6929	8.6335	6.0731	7.3742	9.5029	6.3522	8.6464	8.0968	9.7249	7.1484	7.2111	7.8098	8.6922	7.3539	6.7642	6.9569	9.2087	8.8963	8.6788	6.0953	6.5099	7.0844	8.7538	5.9531	6.0972	6.213	10.7514	6.2153	9.1109	6.6089	8.2928	8.4856	8.7118	7.0693	6.229	5.3927	7.6899	7.834	7.6569	6.9549
U133A__SMAD1	6.1768	8.0307	7.0053	6.9269	4.9053	6.5586	6.3497	6.5566	9.9596	6.5567	6.8041	7.2639	7.3547	6.1045	6.815	8.6213	6.2115	6.5284	8.183	5.8833	5.9847	5.9323	4.5864	5.352	7.1573	6.8609	7.2431	6.1689	8.2154	6.9091	6.698	5.7876	6.9541	8.3608	8.1333	6.0181	6.3538	6.7073	7.2564	7.3093
U133A__DECR1	6.66	9.0064	7.3199	6.8777	7.0909	7.5545	6.3566	7.8356	5.9952	7.8875	7.8221	5.3596	7.6481	6.4086	7.4553	7.8985	7.6777	8.2614	7.4609	6.9361	6.6044	7.7078	7.9482	7.3017	6.9448	6.9046	7.3967	7.1159	6.222	9.7578	7.3422	5.6397	6.2275	3.9487	7.8193	3.9781	7.355	7.5332	6.7474	6.8056
U133A__VAV3	6.6139	7.1379	8.3207	8.416	8.4371	8.5097	5.7556	7.4218	5.5936	6.3399	6.8818	5.7202	6.9613	6.2428	6.8161	8.366	6.9085	7.5863	7.8535	6.6148	5.7006	6.4528	6.1239	5.5022	8.7219	7.0271	6.3556	8.7019	7.5407	6.3496	5.5358	5.611	5.8513	9.0343	9.0471	7.438	8.7886	7.663	6.9197	6.7062
U133A__CAV1	4.2859	4.1942	4.49	4.2497	10.769	3.9335	9.4857	10.2245	4.1066	5.7522	4.5139	10.4314	9.7651	8.6141	5.5414	5.3759	8.5934	9.5218	8.7912	11.4435	5.6543	6.486	10.4205	10.5667	4.3654	4.8546	9.7885	3.8748	8.9838	5.5985	10.5467	9.5059	10.8746	4.009	4.0188	4.2529	4.2671	4.1429	3.9104	3.9756
U133A__PHLDA1	5.8382	4.4531	4.5088	4.1534	6.2364	3.6929	5.3714	5.9748	4.3261	4.9452	5.4819	8.5993	8.0713	8.0033	4.3273	5.8991	6.5052	8.8726	6.6058	9.3967	4.738	4.353	7.4466	9.4625	4.3342	4.674	8.6611	3.9009	7.3799	3.6627	8.757	7.7525	6.9589	3.8358	3.8758	3.679	6.5088	4.2782	3.659	3.5303
U133A__FKBP4	7.8938	7.2314	7.8308	8.6332	6.4693	7.5977	6.5142	6.4888	7.6079	10.106	8.0188	7.4516	7.9534	8.2485	6.6807	6.7073	8.3906	6.7943	7.4821	6.6219	7.3035	8.5173	6.0714	7.0025	8.2281	5.9213	7.899	7.3097	6.3919	8.068	6.4055	8.0056	7.8416	7.6881	8.8764	7.2406	8.8391	7.4746	8.1696	8.6481
U133A__KRT19	11.6554	11.9776	11.935	12.491	3.995	11.6489	4.3819	10.8671	10.3292	12.2228	3.8177	10.8381	4.5913	4.6342	12.1027	12.4618	11.0216	10.3341	11.7799	3.831	10.65	11.6347	4.0939	7.2772	11.6624	11.784	2.7874	10.9377	11.6762	12.0028	3.9802	10.1275	3.2941	11.8623	11.3416	11.4468	12.1604	12.1037	11.9516	11.561
U133A__MB	7.4236	8.8244	8.3925	7.7501	6.4009	7.7355	6.2279	8.32	6.2043	7.2	6.8466	6.6614	7.0329	7.5746	8.7101	9.3254	8.8972	6.5353	7.1009	6.1489	7.3687	7.2662	5.9791	5.6782	8.6018	8.4996	6.0373	7.5244	8.5503	9.1745	6.167	6.6543	6.5481	7.8482	8.0994	7.9644	7.1885	8.5176	9.4389	8.2806
U133A__TOM1L1	7.9076	5.7186	9.4773	7.1879	5.1145	6.9637	5.2507	6.7397	4.7466	7.9732	5.146	5.9551	5.8162	5.9377	4.7196	6.3062	6.4622	6.6798	6.1347	4.2894	7.0622	7.4272	5.3791	5.9639	8.1008	6.8372	6.9063	7.168	6.292	5.5921	6.9032	5.8708	6.031	6.4239	6.1552	6.756	7.2706	7.6229	8.6175	7.7091
U133A__ERBB2	9.3202	12.1579	12.0098	9.58	7.0802	8.4009	6.6464	8.7493	7.9295	7.6523	11.8139	7.294	7.8108	11.5446	12.1228	9.3757	8.9136	8.1445	7.98	6.6782	7.0358	8.5128	7.0918	6.6117	11.035	7.8448	6.9505	10.215	7.107	11.611	6.9193	6.6093	7.3643	8.4025	8.2068	7.652	8.3078	12.1946	9.1095	8.3688
U133A__SLC16A1	5.5794	5.7645	6.0565	5.5591	7.9693	6.5954	7.3612	7.3152	6.2764	5.9809	7.3342	8.5427	8.3794	8.0237	5.8946	5.2666	7.0439	8.327	8.4403	7.6278	6.1698	6.5289	7.8131	5.4479	5.6483	8.4516	8.7246	5.5286	6.8735	5.5178	8.0539	8.2358	8.9896	5.3126	6.8499	6.7675	5.835	6.0467	4.937	7.0823
U133A__INPP1	4.5957	4.4569	4.9835	4.834	5.0794	5.1826	7.3585	5.963	4.6759	5.639	5.6827	7.4891	8.6164	5.1384	5.125	5.405	5.9736	7.2265	6.8993	6.1595	5.0695	5.2167	7.3656	7.1876	5.2332	5.0871	5.0822	5.2625	5.1707	4.6214	5.2558	5.5906	7.2272	4.1464	5.1839	4.8667	4.4657	5.4371	4.7565	4.867
U133A__L1CAM	5.131	6.8401	5.4162	6.1226	5.1979	5.9992	8.195	5.5173	7.8196	5.2405	5.5027	5.3762	5.4281	5.847	6.0005	7.5077	7.1837	6.3174	4.9963	5.9868	7.9212	7.0946	9.0199	5.5005	5.3735	5.5797	8.8828	5.2012	6.2122	7.695	5.1086	9.1313	5.2153	6.4661	5.2006	7.2869	6.3167	7.8844	5.2102	5.2926
U133A__MDK	6.9831	5.8166	10.4845	7.2442	9.5628	5.4762	6.205	7.2438	10.8926	6.6919	8.7624	7.8046	8.1924	5.8212	6.9879	9.4224	5.5966	9.6158	7.3553	5.9591	7.08	9.2987	7.3533	6.272	9.0373	7.1533	8.1474	6.1214	6.9398	5.8713	5.747	6.4917	5.8461	10.8153	8.0067	6.3981	7.7515	7.1022	5.765	5.7944
U133A__DSP	8.0337	8.7599	10.2272	10.7384	4.1204	8.9093	5.3527	9.9995	10.3829	5.1408	8.2259	9.6499	10.3321	8.5612	9.3468	10.8212	10.0141	8.0855	10.7105	4.4382	8.5645	8.7556	6.7151	6.2146	8.9265	9.3477	4.8909	6.8808	9.7884	8.7908	4.2093	8.6303	4.4257	9.3172	8.6894	9.0121	9.2126	10.4274	10.2253	8.4497
U133A__CXADR	7.6356	8.125	8.0181	6.1243	6.7715	6.9799	6.3442	9.6569	8.9106	5.2516	7.8702	7.8678	7.9469	7.8178	6.08	8.9819	8.0862	7.9097	9.6282	6.0306	5.2912	5.231	6.9797	6.2083	8.1996	7.5407	7.8024	8.7362	8.4962	7.2304	4.3852	7.5256	5.8744	9.329	6.5358	8.1198	8.1157	8.0455	7.9043	7.8021
U133A__UNC13B	5.8654	6.5725	8.6947	6.836	6.2814	7.5756	6.3921	6.0785	6.0703	6.063	6.198	6.356	6.456	6.2065	6.365	10.5586	7.1594	6.4438	6.3226	6.2149	6.499	7.2795	6.063	6.3471	6.8049	6.9117	6.7771	7.4585	7.2927	6.1252	6.9704	5.8598	6.6068	6.5921	6.1088	6.4418	6.7886	7.3338	5.8494	6.6952
U133A__CAMK2N1	7.984	9.1459	8.3458	8.7947	5.1483	8.6556	6.5119	6.3505	6.2577	8.6715	6.6419	7.179	7.922	9.9631	8.7955	8.3152	6.6618	7.3195	10.0484	8.0878	9.553	7.2483	7.6561	6.867	9.2583	9.8342	6.2862	9.6245	9.273	9.5868	5.7111	9.1636	7.9183	9.6719	9.3498	9.8937	8.0816	9.4807	8.5041	6.3299
U133A__ALDH3B2	6.5658	8.7068	9.5624	8.1606	5.2722	7.965	4.8835	6.0893	7.5457	8.0414	6.9725	4.847	7.2269	5.3528	8.9681	10.1542	6.3245	4.9788	4.7615	5.3712	6.066	6.2633	5.4095	4.5362	10.3719	7.7701	4.6051	8.9937	8.7803	7.1355	4.5919	5.4648	4.9338	7.1044	9.6258	8.5803	7.4248	8.7639	9.0773	8.4681
U133A__FXYD5	9.4366	8.8706	6.3544	6.9093	10.5229	6.5905	8.4872	9.7949	7.3967	6.6968	9.5407	10.4388	9.0421	11.5641	7.4501	7.8566	10.3211	8.4657	10.2902	9.5227	6.2427	6.8433	10.5826	9.5884	6.6844	7.9084	8.5436	8.14	10.4145	8.7157	7.1906	10.2745	9.6556	8.4212	6.6578	6.5669	8.3634	9.4597	6.2665	6.3151
U133A__PLAUR	7.2636	7.0817	6.3774	6.0661	7.9196	6.3478	7.0145	8.6018	7.3217	6.6571	6.7499	6.7768	7.13	8.4113	6.868	6.8516	8.1211	7.2534	7.3607	8.1234	6.4877	6.4579	6.9693	8.9904	6.1449	6.6998	7.9687	6.2084	8.0323	6.715	7.4222	9.277	7.1697	6.0395	6.2115	6.7814	6.3108	6.3435	6.3425	6.7746
SNP__GBP3	0.014	0.102	-0.252	-0.189	0.15	-0.545	-3.361	-0.062	-0.05	-0.463	-0.029	-0.116	0.296	-0.172	0.04	-0.263	0.218	-0.037	0.3	0.226	-0.47	-0.55	-0.126	0.708	-0.172	-0.032	0.237	-0.063	0.151	0.266	0.462	0.202	-4.112	-0.139	-0.425	0.043	-0.3	-3.392	-0.366	-0.36
U133A__CCNG2	6.4336	6.4736	8.8661	7.9676	6.148	7.2863	5.9703	6.6605	7.9378	6.2712	7.1643	6.5364	5.9897	4.6778	6.3269	6.7081	6.0424	7.5071	6.8682	5.8272	4.8462	6.6988	6.4808	5.8436	8.5074	7.0697	6.0597	8.2579	6.0462	6.3197	6.1248	5.9026	3.8867	7.83	8.2081	4.4897	6.7813	7.3914	8.2052	6.0948
U133A__EPHX1	9.2984	9.4723	8.1169	8.3973	7.1109	8.2915	7.3683	7.4411	8.7598	8.4953	9.9386	8.5795	9.9609	8.4863	10.0493	7.8213	8.9538	9.4613	8.7891	7.3381	7.0555	7.8906	9.6453	6.3209	8.6889	7.9022	6.9284	8.9822	8.5941	9.2182	9.6237	8.4249	7.4054	8.0834	10.684	9.5756	8.2271	7.9728	8.159	7.221
U133A__PFKFB3	6.4163	5.8115	6.5643	8.0618	6.4057	5.4033	4.3547	5.7092	4.2179	5.9599	5.4297	6.8708	5.8142	6.5936	6.0622	6.17	5.7306	5.9454	7.4158	5.4595	5.3191	5.7956	7.654	5.85	5.5781	7.4072	6.2564	5.907	5.4075	5.1845	4.5678	5.6563	5.1913	4.7671	6.1675	7.6179	8.8019	8.5879	5.527	6.0006
U133A__S100A2	5.7104	5.2629	5.0266	5.1361	8.7308	5.1261	9.3678	11.8664	8.1017	4.6494	5.0442	12.1145	9.7223	9.938	6.7237	5.0393	12.6387	7.9326	10.0914	6.775	6.5171	4.9131	7.9401	5.843	5.1111	6.0773	7.1644	4.8966	8.4703	5.6079	8.4846	10.926	8.9102	5.3655	5.0966	5.9202	5.5082	5.3582	5.3529	5.7302
U133A__MEGF9	6.1887	5.2454	7.1921	7.8359	5.352	6.5592	4.9552	5.4416	7.4246	8.1128	5.4149	5.8697	5.8965	5.6407	5.6619	5.7681	5.6285	6.0475	6.4887	5.5942	7.7911	6.5321	5.0869	5.5495	9.258	7.1866	5.7579	6.6597	5.1058	5.7238	5.1876	5.0277	5.331	6.8868	5.748	6.8659	6.6887	6.5666	6.1345	6.9286
U133A__TP53I3	6.4026	6.6763	6.3293	5.9343	7.1322	6.819	8.4069	7.1618	6.3678	6.5144	7.206	6.7321	7.3316	7.6571	8.1537	5.8259	8.1345	6.9746	6.8374	7.2446	6.7114	7.2028	7.0884	7.7591	7.3	6.3167	6.5748	7.4749	7.2586	6.4755	7.6138	7.5304	7.6483	5.9188	7.7496	6.2309	11.9441	6.5465	6.4171	6.7233
U133A__CDK14	8.6483	5.1017	6.7216	6.7512	4.9859	5.9636	6.2085	6.0433	7.151	5.5382	5.5826	6.0146	6.2902	5.8351	6.0482	5.5811	6.4406	6.7865	5.4488	6.9009	5.2891	5.3301	5.5064	6.4005	5.6448	6.3828	5.5782	5.0626	5.745	5.0038	5.8604	7.3179	6.1089	6.4645	6.1169	8.4385	5.6363	6.2927	5.5939	5.8693
U133A__MYO1B	4.9251	5.2274	7.7381	6.2344	6.9998	6.1406	7.0427	5.4766	5.3426	6.0185	5.3998	8.7032	7.6434	8.6547	5.2345	8.6163	6.3402	6.0725	6.5031	6.5145	6.8656	7.213	7.3374	6.5732	5.6089	6.271	7.0135	4.2831	7.265	4.6345	8.0745	7.5374	7.5324	6.6835	7.2965	6.2627	4.8035	6.0925	4.0897	3.9421
