Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
U133A__GLRX	6.8448	7.9543	6.2487	5.5297	5.4206	5.9715	5.401	5.7698	5.7644	5.382	6.2804	7.6191	5.9803	6.3704	6.4851	7.4296	6.5379	6.0868	8.8566	4.4996	5.6094	6.3079	7.2202	5.8142	5.8988	9.5291	5.7724	6.5263	6.9671	6.2362	7.2404	9.8389	7.6701	6.5914	6.1673	5.9565	6.1801	5.2603
U133A__LMCD1	6.5609	6.4091	6.5713	6.1756	7.4953	5.3439	6.2751	7.8319	5.3364	7.8935	7.3762	5.3461	5.7221	5.6691	7.0603	5.1047	6.4592	6.3042	5.9992	6.2394	5.9717	8.0941	5.9372	7.2973	6.2042	7.0151	6.8584	6.1463	5.4766	5.0203	5.7004	7.9499	6.6592	7.4884	7.5056	8.1009	6.6191	5.7219
U133A__SFRS6	5.1027	6.4503	5.5985	6.1503	8.7222	8.5327	6.3893	6.1256	5.2021	6.5156	5.1361	4.9718	5.3161	5.411	6.7121	5.1546	7.6094	5.018	8.5848	5.8865	5.7259	7.5059	7.9648	6.813	8.5154	5.9907	6.083	5.5542	8.1771	5.4189	6.0867	5.3898	5.2692	6.619	5.7387	5.2859	5.8011	6.6038
U133A__CLIC3	4.5666	8.3548	7.3076	6.491	6.4612	3.6425	6.6116	6.5625	4.1162	9.4396	3.2494	4.1193	7.3005	3.2852	7.8558	3.5136	3.8325	4.8032	3.4001	4.7747	7.6637	4.0788	3.6152	7.5984	6.3844	4.7366	7.8342	6.9665	3.6517	3.9377	4.0323	7.4723	8.2999	4.2879	9.4402	9.412	5.9785	6.9891
U133A__PGAP3	6.0798	7.7235	5.5166	7.8242	5.9351	5.2618	5.6344	6.0077	5.363	5.2591	5.2674	5.2901	5.1176	8.224	5.914	5.4419	5.4125	5.624	5.2056	5.12	5.6348	5.6203	5.1433	5.5062	7.3947	5.4054	5.9113	6.9123	5.3523	5.1623	5.3377	5.4946	10.9139	5.4472	5.34	7.9766	5.7382	5.5235
U133A__ESR1	6.6831	4.5396	4.5822	6.3976	9.5319	4.5782	6.6629	4.3235	4.353	8.2688	4.2264	4.7002	5.0748	4.3154	4.4719	4.0143	4.271	4.5688	4.0522	6.4113	7.7469	9.7696	4.5068	6.1899	8.2838	6.551	4.4076	4.7332	4.2618	4.2987	3.6143	4.1637	4.8123	6.8369	7.3126	6.7535	5.0044	7.8658
U133A__PFAS	5.8087	7.2736	6.9577	6.1119	6.5991	8.7473	6.1154	5.5604	6.2578	6.0204	6.3444	7.593	6.4576	6.8626	6.5166	6.7627	6.3816	6.5395	7.3623	6.2854	6.3664	5.9483	7.0189	5.7511	5.9161	6.185	5.9481	6.517	6.6954	6.8338	7.343	6.1087	6.0204	6.034	6.4774	6.2811	5.549	7.0923
U133A__MREG	7.2904	7.4837	6.8632	7.3162	7.6224	4.1264	6.9158	4.9852	4.4452	7.6384	6.6941	7.6708	6.2989	5.9287	7.3828	6.2187	6.2332	6.664	4.6508	8.3801	8.8786	8.0033	5.5713	7.5852	8.2337	7.7519	7.482	6.9532	4.3075	6.558	4.6489	4.8388	7.7298	7.2458	7.0424	8.2713	6.0785	6.4466
U133A__DUSP6	9.086	4.5862	4.7356	7.2517	5.9772	4.8545	3.8179	3.2318	4.2026	3.781	5.2299	8.0553	4.5799	7.6182	4.4033	4.5763	3.9989	3.4463	6.0844	3.8725	4.1192	7.7835	5.8583	8.4975	6.7839	6.3629	7.4639	3.4721	4.239	6.1233	5.2699	7.8927	10.078	10.1408	5.8571	6.0751	3.7037	3.6122
U133A__NR3C1	5.0765	6.954	7.0652	5.1788	5.9925	8.9925	6.6683	6.9561	9.1735	6.103	6.7952	7.9111	7.5877	6.4	5.6099	4.8193	7.9143	7.896	7.9943	6.4699	6.8241	5.5863	8.052	4.8591	5.6192	5.6545	7.9997	5.85	7.6812	6.8754	7.9483	5.625	7.9101	6.4618	4.868	6.6686	6.906	6.4361
U133A__FAR2	6.3903	8.0677	5.6978	6.9496	6.2868	5.9047	5.7329	6.2657	5.466	7.1439	6.4881	6.0924	5.6582	5.9597	7.204	5.8775	6.299	8.1854	7.381	5.6307	5.8298	6.5426	6.0009	6.0981	6.5191	7.4616	5.4745	7.7824	5.6838	6.4978	6.3407	8.1011	8.018	7.6185	5.7586	5.2172	8.6558	8.0705
U133A__IRS2	8.2646	5.3993	6.3871	6.1831	6.7845	6.2723	5.228	9.8849	5.6423	6.4241	5.833	9.3915	7.7954	6.0032	5.453	8.6129	6.621	5.3606	5.4758	5.921	6.2504	6.3569	6.8503	5.6481	7.1192	5.6215	5.0591	5.6329	6.3412	7.299	7.7423	7.3676	6.7356	5.7346	6.0545	5.8869	5.9846	6.0265
U133A__SLC6A8	6.9459	7.8981	6.0022	7.4036	5.6976	8.3725	5.8974	5.6049	7.2957	6.4491	7.5947	8.6334	5.8306	7.764	7.1394	6.7583	6.8535	5.7344	6.6405	5.9897	6.7365	5.8509	6.4881	6.2545	7.9234	6.7876	7.6796	9.4851	7.0348	8.6371	8.1285	9.511	6.0505	6.3318	6.7968	6.2045	6.8256	7.9459
