Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
U133A__PGAP3	6.0798	7.7235	7.8242	5.9351	5.2618	5.6344	5.7326	6.0077	5.363	5.2591	5.2674	5.2901	5.1176	8.224	7.6509	5.914	5.4419	5.4125	5.624	5.2056	5.12	5.6348	5.6203	5.1433	5.5062	4.8408	7.3947	5.4054	4.7	5.9113	5.2243	6.9123	5.3523	5.3377	5.4946	5.4472	5.34	7.9766	5.7382	8.6703	5.5235
U133A__AKR1C2	5.4605	6.4464	5.9221	5.7432	6.1651	5.4722	6.1618	7.525	8.0987	5.4578	6.006	12.3755	8.7393	8.1344	5.8008	5.8194	8.3491	9.221	7.9785	9.3591	5.9496	6.9475	8.881	8.398	7.346	5.5549	6.8639	7.5265	6.8303	6.1791	8.2474	5.8097	6.0822	7.9192	9.6358	5.6004	5.3554	5.4338	5.3534	5.9593	5.4075
U133A__SVIL	5.5003	4.8517	5.9836	5.9508	5.7247	5.0124	4.6089	7.332	7.4092	5.6298	5.9932	5.7452	6.6285	6.4526	5.98	6.3594	7.6708	7.1366	8.5448	6.6256	5.809	6.2058	5.4137	6.0857	5.9291	6.7219	5.8165	7.5742	6.7548	7.3894	6.508	4.7982	7.4993	5.5299	6.2033	4.5356	5.5557	7.8651	5.3402	5.7597	5.6652
U133A__BPTF	6.8483	8.6408	7.5001	7.6163	6.0281	6.4019	7.0439	6.6098	6.6248	7.1143	5.6327	6.1347	5.7794	5.5429	5.7568	5.7125	6.3422	6.9605	6.1183	5.9811	8.3108	7.9599	6.0414	7.5758	5.8278	6.3989	7.9848	5.5364	5.5385	8.2596	5.8439	8.0437	6.3576	5.9499	7.0151	5.641	6.9433	6.4234	6.8825	6.804	6.4022
U133A__ANXA1	8.3863	5.1813	6.8058	4.8279	10.1509	4.9132	10.8697	10.2727	4.9733	4.6701	10.5859	11.0167	11.8721	11.347	5.6928	5.3504	11.3303	10.7389	11.4584	11.0326	4.9591	4.9942	5.0231	10.6713	6.8432	11.1804	5.5085	9.4097	11.2499	5.0185	10.4199	5.8809	10.9965	9.9079	9.1288	9.263	4.6556	4.9519	4.8945	6.9477	4.9117
U133A__MAP1B	5.2828	4.7448	4.9262	4.8618	7.9119	4.5738	8.9057	6.6054	8.1982	4.5955	5.1547	5.4784	4.3322	4.8752	5.5192	4.6449	6.1241	8.077	7.8322	9.7287	4.2933	5.1401	5.3466	8.6245	5.0681	8.226	4.7169	4.9647	8.3504	4.3393	5.1029	4.5124	7.7301	8.3276	10.7187	4.8221	4.5797	4.5998	4.8576	4.7635	4.5338
U133A__BNIP3	7.6212	7.8948	9.2703	9.5636	9.4819	7.7395	7.0844	5.595	7.838	8.4411	7.3292	7.4467	5.1835	7.0648	6.7499	4.7334	6.4132	7.9987	5.153	7.1221	7.702	8.0036	8.58	7.3753	6.7418	8.1999	8.8301	5.3629	9.8497	9.1338	7.0312	7.5778	7.4537	7.7954	6.9843	7.6257	6.803	10.5984	10.5509	7.9679	8.3751
U133A__DHX40	7.0381	5.7867	8.6347	7.5986	5.919	5.9241	6.6666	6.2316	6.2846	7.014	5.6478	6.411	6.2943	5.4408	5.3047	6.003	6.5949	7.426	6.0468	5.1125	7.2359	8.2093	6.9354	6.8654	5.6059	6.4999	8.5027	4.9426	5.6922	6.9965	5.6456	5.1172	6.5324	5.98	5.644	6.3122	6.9005	7.842	7.2802	6.5906	7.0766
U133A__CLTA	8.5441	9.0829	8.6889	9.0599	10.0873	9.5486	9.594	9.3638	9.2209	9.4214	9.6276	9.3187	9.6784	9.5067	9.1855	12.2679	9.8756	8.4701	10.062	9.7442	9.0902	9.1292	9.8156	10.0738	9.7081	10.2228	10.4124	9.1562	10.0977	9.658	11.2641	9.2826	9.7985	9.6315	10.4003	8.7302	9.1874	8.7619	9.8217	9.4565	9.2826
U133A__SIDT2	5.8856	8.986	7.3246	8.4842	6.6145	6.7782	5.5119	5.727	7.0085	7.2121	6.4307	6.7302	6.8686	5.6188	6.7115	8.9948	6.3065	6.9148	6.7901	5.7854	7.1027	6.6763	6.7265	7.3668	6.6904	6.4539	7.618	6.7863	6.0924	7.0954	6.1609	7.2985	7.8062	6.5306	8.0395	6.6182	7.7683	8.1148	7.4488	6.6886	7.262
U133A__AKR1C3	4.5755	3.9471	3.4576	3.4923	3.5327	3.5596	4.8023	5.9661	4.4479	3.8913	4.2299	11.0316	6.9613	6.4956	4.1821	3.6174	8.1922	8.1221	9.9288	7.8707	3.9479	4.7752	5.2109	8.5158	5.1772	4.3366	5.6304	9.5174	4.2349	3.4918	3.5481	3.5267	3.8637	7.2755	9.2411	4.8461	3.8538	3.7663	3.6274	4.2163	3.8302
U133A__CBX1	8.4414	6.701	8.128	8.569	8.3009	8.5655	9.3982	8.5777	8.5155	8.4208	8.4249	7.6401	8.1699	8.0173	7.215	8.5637	8.7994	9.1475	7.7093	7.9956	9.3734	9.1815	8.776	8.3982	8.2793	8.7068	9.3827	7.8836	7.7429	9.1379	7.9157	6.7832	8.6748	8.0114	7.2854	8.6622	8.8604	8.3903	8.4396	11.2225	8.951
U133A__C1orf115	7.2949	6.9475	5.8685	6.449	5.1898	6.9003	5.6689	6.3547	7.1337	5.0147	6.5582	6.3223	6.1112	4.7567	7.2879	7.3154	6.2642	6.4033	5.1145	5.007	5.4686	5.3279	5.574	4.9872	7.0146	4.8072	7.4573	8.5627	5.6939	7.4798	6.4457	6.4155	4.7245	5.5547	5.9571	9.0861	6.4767	6.1671	9.6618	7.4263	6.7793
U133A__CDKN2A	5.4592	5.6337	4.6365	5.0078	9.7826	5.6669	8.3294	5.4065	7.8926	5.4771	8.3981	4.2781	9.1976	5.8929	6.2697	4.8747	8.6854	4.4747	9.9184	4.8437	4.4975	4.5033	6.0073	9.0399	5.1148	4.0997	5.1969	6.6681	7.7218	5.4652	7.5379	5.6444	4.5362	4.9797	5.2966	5.514	5.2599	4.5154	5.1321	5.0203	5.1595
U133A__CNN3	6.5662	5.928	6.2459	5.2624	7.9772	7.5358	5.2634	7.333	7.2978	5.852	8.5066	5.2216	8.3566	7.6308	7.8934	5.711	7.0815	8.6543	9.1609	8.1059	3.6902	3.6053	8.2442	7.3666	6.0036	9.026	7.1398	7.5905	6.7258	8.7984	8.6832	6.3226	7.2367	5.7464	5.5974	7.5337	7.6915	8.1608	6.8602	6.3169	3.467
