Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
U133A__MT1E	7.8851	7.3809	10.9472	7.1994	7.283	8.052	7.2057	8.2554	6.7525	10.3763	8.6888	9.325	7.7407	8.1952	7.1704	8.6778	10.2166	7.6766	10.4822	6.9449	7.3634	8.8841	11.072	7.7895	10.3548	7.9851	7.853	10.6588	10.8935	10.8512	7.4854	7.5278	9.3421	7.187	7.2065	8.0755	6.722
U133A__CLIC3	4.5666	8.3548	7.3076	6.491	6.4612	3.6425	6.6116	6.5625	4.1162	9.4396	3.2494	4.1193	7.3005	3.2852	7.8558	3.5136	3.8325	4.8032	3.4001	4.7747	7.6637	3.6152	3.714	6.3844	4.7366	7.8342	6.9665	3.6517	3.9377	4.0323	7.4723	8.2999	4.2879	9.4402	9.412	5.9785	6.9891
U133A__HIST2H2BE	5.2169	6.1555	6.3954	5.9939	9.4664	4.7581	6.4892	7.028	5.845	9.4831	6.6393	5.1986	7.3397	5.9223	8.9328	6.3304	8.0707	6.4151	4.9797	7.2026	8.2043	5.8962	5.0337	9.2133	6.6612	6.7257	5.8532	5.39	5.6544	5.0466	7.1041	7.1433	5.9142	6.7795	5.2721	5.3079	6.1542
U133A__BMP7	5.505	7.1792	6.1026	10.2899	5.9915	5.5804	5.844	5.7479	5.7537	6.1111	6.2167	5.7013	7.6113	5.7656	8.3614	7.0256	6.2535	5.3106	5.8496	8.2441	8.6872	6.8215	5.4503	5.7334	5.8301	5.615	8.7775	6.0241	5.685	5.5064	5.6985	7.0329	5.9278	5.9429	6.7478	5.5512	5.6131
U133A__UCP2	9.6294	10.6891	8.7103	11.051	10.1722	9.2555	7.9243	8.9817	5.642	10.1599	7.6198	8.3911	5.8092	6.2556	8.7794	8.1962	9.2716	8.7817	5.512	8.6396	9.2632	7.505	9.3588	10.4657	9.2304	9.6833	10.2665	6.2975	5.8019	5.5516	9.1125	9.8997	7.4515	9.3054	8.5052	7.9376	8.6715
SNP__FHIT	0.008	-0.512	-0.843	-0.527	-0.136	-1.144	-0.552	-0.124	-0.233	-3.014	-0.436	-2.443	-0.429	-0.127	-0.262	-1.066	-0.422	-0.748	0.159	-0.429	-0.566	-0.69	-0.584	-0.186	-1.065	-0.058	-0.613	-0.183	0.859	0.017	-0.265	-0.361	0.266	-0.31	-0.272	-0.059	-0.371
U133A__MT2A	10.9552	11.1401	13.2516	10.4878	10.1506	11.974	9.7104	11.2993	9.0299	11.5175	10.4585	11.412	10.5068	12.4137	9.637	11.1486	12.017	10.5049	12.7479	9.4434	9.8433	11.5674	12.3499	11.3019	12.5433	10.9416	11.1928	12.3549	12.769	12.9115	10.216	11.9342	11.154	9.7036	9.4884	10.4759	9.1116
U133A__TM7SF2	6.3544	7.7736	5.9613	8.9903	7.2452	5.9644	6.5563	7.4551	7.1445	7.2359	5.6688	6.2564	7.1204	5.884	7.2668	6.8554	6.8658	5.6005	5.6277	7.5725	8.4942	5.3969	5.339	8.007	7.0843	8.3892	6.8779	5.8961	6.7959	5.3671	7.9074	6.0172	6.2127	9.688	8.7472	7.5838	7.4074
U133A__DAAM1	5.7712	6.9394	6.7256	7.4256	9.1201	5.7426	6.5441	5.5412	5.8286	7.3134	4.3108	6.1768	6.3515	5.6336	9.0542	6.947	5.6935	6.8334	4.2798	6.7682	7.0736	5.712	4.2843	6.6937	6.402	7.1325	6.6966	5.278	5.2773	4.3674	7.2789	7.6872	5.4127	6.6933	7.2805	7.2217	7.1886
U133A__ISOC1	5.1663	6.6553	6.119	7.541	8.1396	5.287	9.2407	5.7943	7.3405	8.0976	6.9094	6.4093	6.761	6.1868	6.9766	6.6684	5.8931	5.609	5.2129	7.5138	8.045	5.4164	6.9834	7.4249	7.287	7.952	6.9193	5.8083	6.542	6.1968	6.8505	6.9708	5.616	6.3399	6.6446	7.5794	7.608
