Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
U133A__CDC42EP3	6.5387	5.3841	7.4184	4.6925	3.6723	4.5565	3.1213	6.9265	4.1005	3.5236	5.3886	7.7389	6.2455	6.0531	5.6163	6.6861	4.9871	4.6904	8.1804	3.5095	4.5022	5.9676	4.1611	8.5465	4.5654	4.5823	3.2159	3.9786	4.1004	5.9385	6.0244	3.4122	6.797	9.3553	4.4616	4.6908	3.2918	3.4654
U133A__PRODH	7.029	8.2633	5.8233	8.8993	6.2647	5.8303	8.8246	7.1422	6.0662	6.391	6.1094	5.6095	6.9142	6.0079	8.4251	6.3012	6.0604	5.6111	6.144	6.6374	6.2947	5.8934	8.895	5.9198	9.8687	8.7783	9.8905	7.0932	6.1111	6.2748	5.5846	7.0003	9.5521	8.7129	7.005	6.463	8.3004	8.9385
U133A__CYR61	7.9058	8.1337	8.7486	7.2872	6.0591	9.9464	5.4504	7.7791	4.4815	7.6012	8.4784	6.7943	8.0849	8.6439	7.6799	9.575	10.4785	5.9019	10.6077	5.4758	5.6887	7.6585	7.316	11.0284	6.8624	7.1407	6.9966	8.7828	10.4135	8.5484	9.6697	6.1964	9.4093	7.826	8.5165	6.9877	5.8984	5.861
U133A__AXL	4.5848	4.3447	4.36	4.6163	4.3957	9.7332	4.3709	7.011	4.3959	4.4975	4.5981	4.2906	4.9826	5.1863	4.2474	5.2312	9.2723	4.1729	10.475	4.4261	4.7784	8.3136	5.0443	10.3645	4.1508	4.614	4.2537	4.0831	9.5546	7.5369	9.6852	4.2137	3.971	4.2126	4.5153	4.3396	4.2859	4.2316
U133A__ATP2C2	6.3307	6.2095	5.2594	6.78	6.1865	4.7505	6.4084	5.4049	4.9367	6.2669	4.6402	5.5946	6.105	5.0725	6.7137	6.1365	4.8823	5.9041	4.6599	5.6878	5.0964	4.7406	6.6441	4.5629	6.3763	7.4543	5.9877	6.6966	5.0115	5.5817	4.528	7.6748	7.6835	6.0596	5.6751	6.1125	7.0079	5.4811
U133A__ZHX2	6.6374	9.2638	6.7542	7.8713	7.8561	4.9952	6.5017	6.0232	7.4021	7.1239	5.0842	5.9716	7.2131	6.5772	8.4563	6.9501	6.0953	8.0637	5.4724	7.4885	6.2762	4.9739	7.7711	6.05	7.6426	6.7416	7.0132	6.648	6.059	6.029	4.8623	6.4096	7.6708	6.0315	5.7254	6.6176	7.2085	7.0087
U133A__ADM	5.277	8.0616	8.6678	6.529	5.3128	7.8679	5.4283	7.2131	7.8738	6.5466	6.1613	7.8844	8.3814	8.7626	6.6973	6.3123	7.5305	5.4869	10.3763	6.2425	7.0655	8.2545	7.1649	7.5308	6.2133	6.6996	5.353	6.5454	8.4176	7.0588	7.011	5.4331	7.1671	6.3307	7.7379	7.1417	6.1264	5.0025
U133A__HIST1H2AC	6.6347	6.1315	6.2762	6.5263	8.9285	6.3159	8.2325	6.2668	5.7625	8.2922	6.892	6.4753	8.9315	5.4115	9.1759	6.6311	9.0257	6.3429	6.1112	7.5399	6.5756	7.5443	6.7217	5.4127	8.1253	8.7312	7.1371	6.148	7.2614	5.7119	5.4892	7.0303	8.049	6.763	7.3041	6.8911	6.201	5.5955
U133A__NXN	7.5201	5.0095	6.0575	5.7535	7.3153	8.3716	6.529	7.7664	8.4054	5.6117	8.0771	8.1691	6.7657	7.223	5.3557	6.4697	7.3231	7.8487	7.2476	6.0448	5.3731	9.1328	6.9807	7.7845	6.3448	5.8264	5.2453	5.2668	8.8314	7.8895	6.2312	5.8514	8.3257	6.6533	7.0094	7.3149	5.6373	5.9735
U133A__PTRF	6.1143	6.0022	8.9581	6.2617	5.8685	9.7082	5.8463	8.3455	6.1188	5.7173	6.9987	8.6548	8.2281	7.4855	6.6073	6.763	9.0215	7.1768	9.9604	6.3204	5.3083	9.1023	6.1647	9.8031	6.2294	7.3507	6.3333	5.6802	9.5435	8.2916	9.4023	5.267	6.4218	6.5915	6.796	6.1726	5.4646	5.981
U133A__ALDH3B2	6.5658	8.7068	6.0898	9.5624	8.1606	5.2722	7.965	6.0893	7.5457	8.0414	6.9725	4.847	7.2269	5.3528	10.1542	6.3245	4.9788	4.7615	5.3712	6.2633	10.8627	5.4095	7.7902	4.5362	10.3719	7.7701	8.9937	7.1355	4.5919	5.4648	4.9338	7.1044	9.7612	8.5803	7.4248	8.7639	9.0773	8.4681
U133A__PGAP3	6.0798	7.7235	5.5166	7.8242	5.9351	5.2618	5.6344	6.0077	5.363	5.2591	5.2674	5.2901	5.1176	8.224	5.914	5.4419	5.4125	5.624	5.2056	5.6348	5.6203	5.1433	5.5062	4.8408	7.3947	5.4054	5.9113	6.9123	5.3523	5.1623	5.3377	5.4946	10.9139	5.4472	5.34	7.9766	5.7382	5.5235
U133A__SLC22A18	7.9216	9.8466	8.2002	6.9283	7.348	6.2391	7.5694	7.2846	6.1165	7.0052	7.1159	6.0673	7.2986	7.5464	7.0656	6.8706	7.6326	7.6014	6.6027	7.285	8.8137	8.6316	8.4775	6.4509	7.087	8.9262	8.4863	8.4106	6.5985	7.3737	6.3947	6.8661	8.755	6.9685	7.2273	7.5805	7.9351	8.1929
U133A__KIAA0182	8.7175	8.7547	8.2326	9.4399	8.9626	5.5927	8.9031	7.0695	8.2032	9.5198	6.5335	7.1268	7.6521	7.6461	8.5395	7.194	7.6429	7.7941	6.6802	9.2681	7.1592	5.5687	8.3507	6.8539	9.4821	8.1927	8.8215	8.4014	6.3604	6.768	6.9346	9.4211	8.9541	8.2608	10.1651	8.3246	9.5845	8.7069
